7r/4R2p/8/1B6/P4k2/7P/3n4/4b2K w - -,e7e1
1k1r3r/pbqn4/3bpP1p/2pp3P/1p1P1RN1/2PBB3/PP1Q2P1/R5K1 w - -,f4f1
q7/5pkp/rrpb1np1/3p4/3P4/4PN1P/2R2PP1/1NRQ2K1 w - -,b1d2
3r2k1/pb2qp1N/1p1b2p1/7p/4p2P/1P2P1P1/P3QPK1/B2R4 w - -,a1f6
r4rk1/1bq1bppp/p2p1n2/4pP2/2N1P3/1PNQ4/P2B2PP/4RR1K w - -,d2g5
2r1rbk1/p1q2pp1/1pp1nn1p/3P1N2/P1Q5/2N1B2P/1PP2PP1/3RR1K1 b - -,c6d5
2r1r1k1/p1qn1ppp/1p3n2/2p2B2/2PPb3/P1BQ1N2/5PPP/2RR2K1 w - -,f5e4
2r2rk1/p1Nbbppp/1p3n2/4p3/2P5/4BP2/PP2B1PP/R2R2K1 w - -,c7d5
R7/8/3rk3/5pp1/8/6K1/8/8 w - -,a8e8
8/2r3kp/1R4p1/5p2/2N5/6P1/1Pn2PKP/8 w - -,c4d6
8/p1r4p/3R2P1/5pk1/2B1p3/1P4P1/Pb2KP2/8 b - -,h7g6
r1bqr1k1/4npb1/p2B3p/4P1p1/2p5/2p2N1P/P1B2PP1/R2Q1RK1 w - -,f3d4
2r5/p7/4pkp1/2p1R3/3n1PP1/8/P5K1/4R3 w - -,e1c1
r1bk2nr/pp1n1ppp/2p5/8/5B2/2b2NP1/PPP1P2P/2KR1B1R w - -,b2c3
4r2k/2R5/1P1p4/3P1n2/4p3/2R2p2/5K1P/8 b - -,e4e3
2bqr1k1/p1r1npbp/1pp5/3p2N1/3P1N2/1P1QP1PB/P4P1P/2R1R1K1 b - -,g7h6
qr4k1/r1n1ppb1/1n1p2pp/2pP4/P3P3/R1N1BNP1/1P2QPKP/R7 w - -,f3d2
6k1/1pp4p/3pB3/3P4/1nr2P2/6P1/5RKP/8 b - -,g8g7
r4rk1/pp1qb1pp/3p4/3np3/1PPpP3/PR6/5PPP/2BQR1K1 w - -,c4d5
1r3rk1/p1p2p1p/2pb2p1/8/5P2/4B1P1/P4P1P/1R3RK1 w - -,e3a7
r4rk1/pb1n1pp1/1pp1pq1p/3P4/3P4/P1N5/1PPQBPPP/3R1RK1 b - -,e6d5
r1br2k1/pp3pbp/2n1nqp1/2p1p3/4P3/2P2NPP/PPQN1P1K/R1B1RB2 w - -,f1g2
3rk1r1/4p2p/pq3n2/1p1pQP2/8/8/PPP4P/1K1R1B1R w - -,f1e2
rnbqkb1r/pp3ppp/3pp3/3nP3/3Q4/2P2N2/PP3PPP/RNB1KB1R w KQkq -,b1d2
3r1rk1/2q1npbp/1p2p1p1/p1p1P3/PnPpNPP1/1P1P4/3BR1BP/1Q2R1K1 w - -,g2h3
8/8/5B2/2pk4/R7/1r3P2/5KP1/8 b - -,b3b6
r3rbk1/pp4p1/q1n1pn1p/3p4/N4P2/P5PP/1P2PBB1/2RQ1RK1 b - -,a8c8
7k/1p2n1p1/p3p3/3pP3/3P2K1/P2Br3/1P6/R7 w - -,a1d1
r1bqkb1r/pppppnpp/5n2/3P2B1/4p3/2N5/PPP1QPPP/R3KBNR w KQkq -,g5f6:g1h3
5rk1/4q1pp/1pr5/pNp1pp2/P7/1b1PQ1P1/1P2PP1P/2R2RK1 w - -,d3d4
8/3rkp2/2pqp3/7p/Q5p1/P7/1P3P2/1KR5 b - -,d6d4
r2B2k1/1b4p1/p6p/1p1n4/2pP4/8/PP2B1PP/3R1RK1 b - -,a8d8
8/p3Qpk1/1p5p/4N3/K2r1p2/2q1n3/P3B3/8 w - -,a4b5
r4r1k/ppp3pp/2q5/4b3/PP1pN3/1Q1P2P1/1B2nPK1/R4R2 b - -,c6g6
8/8/rp3pk1/3R4/5PPK/8/8/8 b - -,a6a1
5Q2/7p/3p2pk/3Pp3/qpp1P3/7P/1PP3P1/7K b - -,h6g5
2k1r2r/1pp2p2/p1q1b1p1/3pP3/6P1/5P2/PPPQB3/1K1R3R b - -,c6d7
5r2/4R3/1p5p/2p5/2Pb1kP1/2N5/P1K4P/8 w - -,e7e4
r2qk2r/pp1n1ppp/2pbpn2/3p4/2P3b1/1P1P1NP1/P3PPBP/RNBQ1RK1 w kq -,c1b2
r2r2k1/1p1nbppp/1q2p3/2p1P3/p1PN1P2/4B1P1/1P2Q1BP/3R1RK1 b - -,c5d4
8/7R/8/2k5/4KP1p/5N2/5b2/5r2 b - -,c5d6
3q3k/prr1p2p/4Qbp1/2Bp1p2/1P1P4/2P2P2/P3R1PP/4R1K1 w - -,a2a4
6k1/P4p2/6p1/8/4q3/7P/Q2p2K1/8 w - -,g2g3
r1bq1rk1/p1pnppbp/1p3np1/3p4/1P1P4/4PN2/PBPNBPPP/R2Q1RK1 b - -,c8b7
r5k1/p1pn2pp/1ppb2q1/4pr2/2P5/3PB1P1/P1PN1P1P/1R1Q1RK1 w - -,d2e4
rnbq1rk1/pp3pbp/6p1/2pB4/4P3/2B5/PP1Q1PPP/R3K1NR b KQ -,b8d7
r1b4r/ppk3pp/2n2p2/2b1p3/4B3/5NB1/PPP2PPP/3RK2R w K -,c2c3
r2qr1k1/3n1ppp/p1p3b1/3pbN2/6P1/2NB1Q1P/PPP2P2/3RR1K1 w - -,c3a4
4r2r/ppk1q2p/2n2np1/4p3/4pp2/1BP4Q/PP3PPP/2BRK2R b K -,g6g5
r2q1rk1/pp1n1pbp/2p1pnp1/N7/2PP4/1P1B1Q2/PB3PPP/R4RK1 w - -,b3b4
8/4k3/1R2pp2/1p4p1/b1N5/P7/4KPPP/1r6 b - -,f6f5
8/1R3kp1/r2p1p1p/4pP2/p3P3/P1P1K1P1/1P5P/8 b - -,f7f8
r5k1/pp2rppp/2p1p3/3n4/3P4/2PB4/PP2RPPP/1K1R4 w - -,g2g3
8/5p2/4pk2/1R4p1/r6p/PK5P/5PP1/8 b - -,a4e4
3qk1nr/pQ1r1pbp/3pp1p1/8/4P3/5N2/PP3PPP/R1B2RK1 w k -,b7b5
r4rk1/5qp1/1p2p3/p1bp3p/8/2P1N1Q1/PP1R1PPP/4R1K1 w - -,e3d1
2r2rk1/pp1qpp1p/2n3pb/3pP2n/3P1P2/1PN2NP1/P2Q1B1P/R1R3K1 w - -,g1g2
1r6/8/8/p4pkp/2P5/3R3P/PP3P2/6K1 w - -,b2b3
r2qr1k1/1ppb1ppp/3p1b2/pNnP4/P7/2P4P/1P2BPP1/R1BQ1RK1 w - -,c1e3
6k1/p1n3p1/1pQP4/5b1q/2P4p/PP2R1bP/8/5RK1 b - -,h5g5
4nk2/1pp5/7b/1P2Pp2/5PrP/5R1K/3R4/r7 b - -,h6f4
r3kbnr/1bqp1ppp/p1n1p3/1pp5/4P3/2NP2PN/PPP2PBP/R1BQ1RK1 w kq -,f2f4
r1r3k1/pp2pp1p/1b2q1p1/8/8/4P1PP/PPQ2PB1/R2R2K1 w - -,c2e4
2kr3r/1bpq1pb1/p2ppnp1/1p4Np/3PP2P/2NBQP2/PPP3P1/1K1RR3 w - -,e4e5
7r/4kp2/pp1p4/3PpP2/3rR2p/P1N5/1P1b2PP/5RK1 w - -,e4d4
5k2/R6p/6p1/2p5/8/p5P1/PbR2PKP/4r3 w - -,c2c5
2b1qr1k/2p3pp/prPppn2/1p3p2/1P1P4/P2BPPP1/1BQ3KP/2R1R3 w - -,g2g1
r4r2/pp1k2pp/3pn3/3b1p1P/3PpB2/P3PP2/1P3KP1/1NR4R w - -,b1c3
r3k2r/1b1p1pp1/p1p2n2/2q1pP1p/2P1P3/2NB4/PP2Q1PP/R4R1K w kq h6,c3a4
2r2rk1/5ppp/p4n2/2Np2q1/3Qn3/5BP1/P3PP1P/R1R3K1 w - -,c5d3
q2rn1k1/1b2bpp1/pp1pp2p/2r5/2PNP3/1P1B4/PB2QPPP/3RR1K1 w - -,d3b1
r4rk1/pp1qppbp/3p1np1/8/3BP3/1P6/P1P2PPP/RN1QR1K1 w - -,c2c4
rn3rk1/1bq1bppp/p2pp3/8/2PN4/1QP3P1/P3PP1P/1RB2RK1 w - -,b3b7
5r1k/2qb3p/p2b4/1pn5/1B1p1p1Q/P2P4/1PP3BP/4RR1K w - -,e1e7
4r1k1/pb2q1np/1p2p1p1/nP1r4/4R3/P4N1P/Q4NP1/4RBK1 w - -,f3e5
r4rk1/pp1nbpp1/1qp4p/4nb2/2P1NB2/1QN3P1/PP3PBP/R4RK1 w - -,f4e3
r1bq1rk1/ppp1ppbp/1nn3p1/8/2PP4/2N1BN1P/PP2BPP1/R2QK2R b KQ -,e7e5
1r6/3b1p1p/3kp3/1r3p2/p1RP4/5BP1/PP1R3P/1K6 b - -,b5b6
r5k1/p3q3/1p5R/5p1Q/1nbP1P1P/8/P4P2/6K1 w - -,h6h8
1r2qbk1/5p1n/p7/1b2PNB1/6P1/1P5P/3Q4/2RR2K1 b - -,b5e2
r2q1rk1/3n1pbp/b1p2np1/p3p3/P3P2P/2PNBP2/3QN1P1/R3KB1R w KQ -,e2g3
r1b2r1k/2q1bppp/p2ppn2/1pp2P2/3nP2N/2NP2Q1/PPP3PP/R1BB1R1K b - -,c8b7
1rbqr1k1/1pp2pbp/p2p1np1/4n3/P1PNP3/1PN1B1PP/5PB1/R2Q1RK1 b - -,c7c5
r3k2r/1p2bppp/p4n2/n1p1Nb2/P1p2N2/4P1P1/1P3PBP/R1BR2K1 w kq -,g2f1
4r1k1/p2qppbp/6p1/B2PP3/4QP2/6RP/5PK1/8 b - -,e8c8
1r1n1k2/1b1q1p1r/p2N1R2/1pppP1Pp/3p3P/P2P2P1/1PPBQ2K/5R2 b - -,b7c8
r4bk1/1R3p2/p6p/2B3p1/2P2nP1/5PKP/PP6/3R4 b - -,f8c5
1r2b1k1/2Rnqp1p/4p1pP/1p1pP1N1/1P1P1Q2/6P1/4BP2/6K1 w - -,c7a7
3r2k1/q4ppp/p1QB2n1/1p4P1/1P6/P3P3/4KP1P/2R5 w - -,c6c8
r2qkb1r/p2b1ppp/2n2n2/3pp3/8/1Q3NP1/PP1PPPBP/RNB1K2R w KQkq e6,d2d3
6k1/1bp1bppp/ppq1p3/4P3/2PQp2P/1P2B1P1/P3PPB1/6K1 b - -,g8f8
