8/6p1/p7/Bp6/1P2b3/1k3pP1/5K2/8 w - -,f2e3
4k3/3n1p2/2R4Q/4p1pp/4P2P/5P2/KPP2qP1/8 w - -,h6d6
1r3rk1/pp4bp/1n1nppp1/N2P4/6P1/1P1b4/1B3PBP/R2R2K1 w - -,d5e6
r3k2r/1ppq1pp1/p1np1b1p/8/4b1P1/2P1BN1P/PPPQ1P2/1K1R1BR1 w kq -,d2e2
8/2K5/2p5/8/5p2/5k2/3q4/6Q1 w - -,g1c5
7k/1p3pp1/3Rq2p/pNQ5/P5r1/2P5/1KP5/8 b - -,g4c4
r6k/3br1R1/8/2pP1P1p/5K2/4N3/8/8 w - -,g7e7
4r3/6pk/3p1p1p/1p3P1q/pPn1P3/P2Q2P1/K6P/2R4R w - -,h1e1
1r1q1k1r/5pp1/p2b1np1/3pn3/Q7/B1N1P2P/P3BPP1/3RK2R b K -,d8e7
1r2k3/1Pn2r2/3R1p2/4pB2/4P1P1/3P3P/7K/1R6 w - -,b1b6
7R/5k2/4p3/4p1p1/4PnPp/5P1P/2r2K2/5B2 w - -,f2g1
8/3N1r2/p4p2/6k1/7P/1P6/2Q3PK/q7 b - -,g5h6
1rr3k1/ppn2pb1/3p1npp/2pPp1N1/2P1P3/P1N2PP1/1P1B3P/R2R2K1 w - -,g5h3
r3kb1r/1pq2ppp/p3p3/P1Nn4/6Q1/3PB3/1P3PPP/R4RK1 w kq -,a1c1
r2q1rk1/3nppbp/p4np1/2pb2N1/2BP4/4P3/P1QBNPPP/R4RK1 w - -,c4d5
r1b2rk1/pp2ppbp/2np1np1/q2N4/4P3/4B1PP/PPP1NPB1/R2Q1RK1 b - -,a5d8
2rr4/p3ppk1/1p4pp/3n4/3PN3/P3P1P1/5PKP/2R2R2 w - -,g2f3
8/7p/prn1k1p1/5p2/RPP1pP2/6P1/2N1K2P/8 b - -,e6d7
3Q4/5p1k/8/6p1/7p/8/7K/4q3 b - -,e1e2
3r2k1/Q4pqp/1n2p1p1/2N5/2P2P2/1P6/P3R1PP/3r1R1K w - -,e2e1
2R5/8/8/8/1p1K4/1P5r/3k4/8 b - -,h3d3
5rk1/7p/p2pq3/1p4p1/1Pp1PRn1/2P4P/P1B3P1/3R2QK b - -,f8f4
r1b1k1nr/1pp1q1bp/6p1/2P2p2/1pBnp2N/3P2P1/PB2QP1P/RN3RK1 w kq -,e2d2
6k1/5pp1/2n1p2p/2P5/5q2/p1Q2NPP/P6K/2Rr4 b - -,f4c1
5r2/3R1B2/4Q1pk/1P4b1/q5P1/2P5/1P6/1K6 b - -,f8f7
r4rk1/pp1qnpbp/2n3p1/2ppp3/4P1bP/2PP1NP1/PP2QPB1/R1BR1NK1 w - -,f1e3
3r1rk1/1p3ppp/1bb1p3/N3P3/P1R3Pq/2B2N2/1PP1QPK1/8 w - -,a5c6
8/8/8/8/3p4/6k1/4Bp2/2rN1K2 b - -,c1a1
r1n2r1k/1p1b3p/2pp1b2/q1nPp3/p1P1Pp1P/P1N2P2/1PQNBBR1/1K4R1 b - -,c8e7
1r1r2k1/p4pp1/1qp4p/n3B3/4P3/6R1/P1QPNbPP/R6K b - -,f2g3
r2q1rk1/5ppp/p2bpn2/2pp4/1p1n1PP1/1P1PN2Q/PBP3BP/R3K2R w KQ -,h1f1
r7/1pp2k2/p2p4/5PpN/1P4p1/2PnP3/P2R2P1/6K1 b - -,d3e5
R7/p2r2p1/1pnk1p1p/1B6/3PK1P1/P7/1P3P1P/8 w - -,a8c8
r2qrbk1/pb3ppp/1p1p1n2/2n1p3/2P1P3/1P1B1N2/P2NQPPP/B2R1RK1 w - -,b3b4
8/8/5pk1/3n4/3n2PP/5P2/6K1/8 b - -,d4e6
rn3rk1/1b3pp1/p1N1p3/1p2P1qp/5n1b/1PN3Q1/PBP3PP/2KR1B1R w - -,g3g5
2r2rk1/p1pn1pbp/bp4p1/8/2q5/5NQP/5PPB/1BR2RK1 w - -,b1d3
r2q1rk1/bp3pp1/p1pp3p/4p3/4P1Pn/1PPP2N1/1P2QPP1/R1B2RK1 b - -,d6d5
r1br4/1pp2pkp/p1n2np1/4p3/P1B1P3/2N2N2/1PP2PPP/R3K2R b KQ -,c6d4
8/8/8/1p1p1kpp/P2P4/1P2KP2/6PP/8 b - -,b5b4
2R5/6pk/5p2/2P1p2P/4P2P/5P2/2r3K1/8 w - -,g2g3
r3k1nr/p1q2p2/2p1p1p1/2bpP2p/Q7/2PB4/PP3PPP/1RB2RK1 b kq -,g8e7
r3k2r/ppqb1ppp/2n1pn2/2b5/2B5/5N2/PPPNQPPP/R1BR2K1 w kq -,d2e4
r2qkbnr/pp1npppp/2p5/8/2p5/5PP1/PP1P1PBP/RNBQ1RK1 w kq -,d1c2
r2r2k1/6p1/2qnbp1p/2n1p3/p1P1P3/2QN2PP/2RN1P2/R4BK1 w - -,d3c5
6n1/2q2p1k/p2b2pp/2pP4/1pP4N/1P4PP/PB3PK1/4Q3 b - -,c7d8
4r1k1/2p2pb1/2q1n1pp/4p3/1PPpP1P1/5QN1/3B1PP1/R5K1 w - -,f3b3
1R6/4bpkb/4r2p/pp2P1p1/8/P1Q1R1PP/1Bq2P2/6K1 b - -,c2b1
2r5/4r3/1ppk4/p2p1p1p/P2P2pP/1PRKP1P1/5P2/2R5 b - -,e7b7
8/1p6/p4rkp/4Rp2/5P1P/1P4K1/P7/8 w - -,g3f3
1qrr2k1/1p2nppp/pP2p3/P1NnP3/8/5B1P/1Q3PP1/2RR2K1 w - -,b2b3
2r3k1/1p5p/p1bQ2p1/P3Bq2/3P4/1P5P/7K/4N3 w - -,d4d5
3r1rk1/1p1Pppb1/6p1/pP1P4/7B/8/P3BPP1/5RK1 b - -,d8d7
4k3/7Q/p3r1pp/P7/5KPP/8/8/8 b - -,g6g5
3r1r1k/p1b3pp/2p5/1pPq4/3Bp1n1/1P2P3/P2N1Q1P/2K2R2 w - -,f2f8
7r/pp3pk1/2p2qp1/7p/2Q3nP/1BP4R/P3rP2/5K2 w - -,c4e2
q4rk1/r4p2/pp2pp1p/8/1b1P4/2NB1b2/PP1Q1P1P/2R1R1K1 w - -,d2h6
2r2rk1/5ppp/2R5/2nPp3/8/1pP1Q1P1/6BP/6K1 b - -,b3b2
r4rk1/ppq2ppp/1nn1p3/4Pb2/2PP4/P3BN2/3QB1PP/R3K2R w KQ -,e1g1
8/7p/6p1/2pkppb1/6P1/1PBP1P1P/4K3/8 b - -,g5f4
r4rk1/1ppq1ppp/p2b4/n2p1b2/N2P1B2/4P3/PP2BPPP/2RQ1RK1 w - -,a4c5
r2q1rk1/4bppp/p1Pp1n2/1p2p3/4P1b1/1PP2N2/1P1N1PPP/R1BQR1K1 b - -,d8c8
r2q1rk1/2p3bp/3p2p1/p1pP1b2/P1P1Np2/5B1P/1P1Q1PP1/R4RK1 b - -,f5e4
2rr1bk1/qp1b1ppp/p2ppnn1/8/2PNP3/1PN2P2/PB1Q2PP/2R1RB1K b - -,d7e8
2Q5/5k1p/p3r3/1p1q4/7B/P4nPK/1P5P/8 w - -,c8c7
r2q2k1/ppp2pbp/2b2np1/3P4/P7/2N3PP/1PP2PB1/R1BQr1K1 w - -,d1e1
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/B3P3/2P2N2/PP1PQPPP/RNBR2K1 w - b6,a4c2
1r2r3/5pk1/1p2qPp1/p1p5/P1Qp3p/1P1P4/6R1/5RK1 b - -,g7h7
rn1q1rk1/ppp2ppp/3b1n2/3p2B1/3P2b1/2PB1N2/PP3PPP/RN1Q1RK1 b - -,c7c6
r7/2p1r2p/N1Rn2p1/1p2pk2/8/5PP1/PPP4P/2KR4 b - -,d6c4
2k1rb1r/p1pp1ppp/bnp1q3/4P3/2P5/1PN5/PB2QPPP/2KR1B1R w - -,f2f4
rq2b1k1/5pp1/4p2p/2RpN3/3P4/1P5P/1Q3PP1/6K1 b - -,e8b5
8/3R4/1B4k1/p4np1/r7/5K2/5P2/8 b - -,a4f4
3q1rk1/1b3rbp/1p1p2p1/pNnPpp1n/P1P5/1PB2PP1/3NRQ1P/1B2R1K1 w - -,b1c2
8/1k4n1/7R/4r3/6KP/8/2R5/8 w - -,h6h7
8/p7/8/1K6/5n2/1P4k1/P7/8 w - -,a2a4
5k2/5p2/5P1p/1p1rP3/p7/2R5/3bK2P/3R4 b - -,d2c3
5r1k/p4Bp1/3R1n1p/Q7/2p5/2P5/PP4PP/7K b - -,f8f7
2B5/8/1p1p1k1p/p1p2p1P/2Pn1P2/1P4P1/PB1b1K2/8 b - -,f6f7
r2qr1k1/pp3ppp/2p2n2/2b1n3/4P3/2N3PP/PPQ2PB1/R1B2RK1 w - -,f1d1
1k3b1r/1n1q4/3P1p2/2B3pp/1RP2P2/5QPP/6K1/3R4 w - g6,f3a3
8/4p2p/8/p1b3PP/1pP5/8/2k5/1R5K w - -,b1f1
r4rk1/1p2ppbp/1n1p2p1/2pP2B1/4P1n1/2N5/1PPN1PPP/R4RK1 b - -,g7c3
r7/1R3pk1/6p1/2p1P2p/r4P1P/3P4/p1PK4/R7 w - -,d2e3
r3kb1r/pp2n3/2p1p3/3npb1p/7P/1BN3N1/PP1B1PP1/2KR3R w kq -,h1e1
8/5p1p/2b5/pkPN4/3K1P1P/8/P7/8 w - -,f4f5
