8/3k4/8/p2pBp1p/3P4/2R2P1P/Pq6/7K w - -,c3c7
r1q2rk1/pbpnb2p/1p1pp1p1/5p2/2PPP3/2PB1N1P/P3QPPB/3RK2R b K -,e7f6
r4r2/pp4bk/3q1n1p/4Nbpn/2Qp1p2/2P4P/PP1NBPPB/R4RK1 w - -,c3d4
8/7R/2k3p1/3p1rP1/1P1K4/2P5/8/8 b - -,f5g5
8/8/3K2k1/3N3p/6bP/6P1/8/8 b - -,g4f3
3r2k1/4np2/p1pr2p1/1pRp3p/PP1P2qP/2QBP1P1/5PK1/R7 w - -,c3c2
8/p5kp/1b4p1/4p3/3rN3/2K2P2/P1R3PP/8 w - -,c3b3
8/6pk/1p2Q2p/3r1p2/6b1/P5P1/3qPP1P/1R3BK1 b - -,d5d6
8/5pkp/p2q2p1/2p2b2/2p2N2/P3R1P1/1r1PQPKP/8 w - -,e2c4
rnb1k2r/1pq1bppp/p2ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 b kq a3,b8c6:e8g8
r1bq1rk1/ppp3bp/3P1nn1/3Pp1p1/4Pp2/2NN1P2/PP2BBPP/R2Q1RK1 b - -,c7d6
rn2k2r/pbp1q1p1/3p3p/2p1pP2/2P1P1P1/1R6/PP1BQ1BP/R5K1 b kq -,b7a6
r1b1k1nr/ppp2ppp/2np1q2/2b1p3/2B1P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,c2c3
1r1b4/5pkp/4b1pn/8/1P6/2P1N1P1/p2R1P2/R5K1 w - -,c3c4
5rk1/4qp1p/6p1/1p6/8/4P2P/P1Q2PP1/1R4K1 b - -,e7e5
2kr3r/1pp4p/p3Q1b1/5p2/2Pp4/qP1B1P2/P2R1KPP/3R4 b - -,c8b8
2B5/8/1p1p4/p1pP4/2P5/2K1k3/PP1n4/8 w - -,c8f5
8/3B4/p4k2/1p1p4/P4P2/6K1/3r4/8 b - a3,b5b4
8/p3r1kp/2b3p1/3pP3/2p2P2/2P2B1P/P1R5/6K1 b - -,g6g5
2r2q2/Q4p1k/4p2p/5p2/3P4/P5RP/5PP1/6K1 b - -,c8a8
r1bq1b1r/1p1k3B/p1n1p1Q1/3pp3/5P2/6P1/PPP2B1P/RN2K2R b KQ -,d8e7
3r2k1/4qp1p/6p1/ppp5/n1b1PP2/2P1B1PP/P4QB1/2R3K1 b - -,d8d3
8/8/4pk1p/6p1/4B2P/2r3P1/5PK1/8 w - -,h4g5
1r3rk1/p2qbppp/4p3/R2p4/Q1nP4/2P2B1P/P3NPP1/2B3K1 b - -,d7a4
1r3r1k/2b1n1p1/bp3q1p/p1p2p1P/2P1pN2/P3P1P1/NPQ1BP2/1K1R3R w - -,d1d7
8/8/3k4/p5P1/4K2P/1Bb5/P7/8 b - -,d6e7
8/8/1p2k1p1/1K3pPp/2PP4/5Nb1/P7/8 w - -,b5b6
6k1/1pp1r1p1/p3pr1p/3p2n1/P2P4/2PNR1P1/1P3P1P/4R1K1 w - -,g1g2
r3k1r1/1b1p1p2/p3pp1p/qP6/Nb2P3/1Q6/PP2BPPP/2R2RK1 w q -,a4c5
8/3B4/5k1p/2p2p2/5P2/1P3K1P/6P1/2b5 w - -,h3h4
5rk1/1p3p2/pnpRp1p1/1B2P3/1P6/P3P2P/1B3PP1/6K1 b - -,a6b5
r7/p3rkp1/2p4p/n4p2/1R1PpB2/P1P3PP/2P2KP1/4R3 w - -,h3h4
6k1/pp1b1p1p/3q4/3P2P1/8/3P1B2/QPr2KPP/7R w - -,f2e3
r5rk/1p1n3p/p2p4/2pP1PB1/Pn2N1Rq/5B1P/1P2Q2K/8 b - -,h4h5
5rr1/pppk4/3p2Pp/3Pp1b1/4Pp2/4P1N1/PPP1K1P1/3R3R w - -,g6g7
8/1k5p/p2p2p1/2pP4/1P4P1/1P6/4K2P/8 b - -,b7b6
6r1/3p1p2/2b1p3/p7/2B1Pk2/2K2P2/P1P5/5R2 b - -,g8g3
7r/p2k2p1/3b1n1p/5p2/1PPP4/PB3K2/8/7R b - -,g7g5
8/1pp5/p3bk2/8/1P2PR2/P1P2P1p/2r5/4KN2 b - -,f6g5
7r/3bp1k1/3p4/pp1P1p1r/3R1R1p/PBP4P/1P4P1/7K w - -,b3a2
r4rk1/1bq1ppbp/pp3np1/2pPp1B1/P1B1P3/2N4P/1PP1QPP1/R3R1K1 w - -,a1b1
1q2rrk1/pbbn2pp/2p1p3/2p2p2/3P4/1P1Q1N2/PB3PPP/1BR2RK1 w - -,d4c5
r7/1p3k1p/3p1p2/2pNnP2/2P1P2P/rP4p1/1R1R1KP1/8 w - -,f2e2
r2nk3/p1r3pp/bppR1p2/5N2/1P2Pp2/2N3PP/2P5/2KR4 w - -,g3f4
1k1r3b/pp1bpp2/3p1n2/n5p1/3NP3/2P2P2/PP1N1BP1/R3KB2 w Q -,a2a4
3q1rk1/3nppbp/rp3np1/p1pp4/P2P1B2/2P1PN1P/1P1N1PP1/RQ2R1K1 b - -,f8e8
8/2K1k3/R1P5/8/8/3r4/8/8 b - -,d3h3
4rrk1/pp4p1/n2p3p/2pNpQ2/2P5/P3P3/1P3P2/2K3RR b - -,f8f5
r1b1kb1r/pp2pppp/1qn2n2/3p4/3P1B2/2N1P3/PP3PPP/2RQKBNR b Kkq -,b6b2
r1b2rk1/p2q1pb1/1pn1p1pp/3p4/3P1P1P/2N1PB1N/PP2QP2/R3K2R w KQ -,h4h5
3b1rk1/p4p1p/2p1b1p1/2Pp4/3P4/2qBQ3/P5PP/4RR1K b - -,d8a5
6r1/p2q4/5k2/2p2n2/2pP1p1p/2P1bP1P/PPQ1R1PB/5R1K w - -,d4c5
2r3k1/1b3r1p/p3p1p1/1p1p4/1B1q1P1P/3B2N1/P1PQ2P1/K2R4 w - -,a1b1
3r3k/ppb3p1/7q/5Q2/8/1B3N2/PP2n1PP/5R1K w - -,f5h3
r4rk1/ppp2pbp/2n3p1/1Q1NP3/3P2n1/1P3NP1/PBq2PKP/R4R2 w - -,b2a3
r1b1r1n1/1p1nqpbk/6pp/pPpBp3/2P5/4PN2/PBQ2PPP/2RR1NK1 w - -,e3e4
8/4R1pk/1pr4p/p7/P7/2p3P1/5P1P/3K4 b - -,c6c4
1k6/1p2qpp1/pN2p2p/3b4/3Pn3/1P2Q2P/P3BPP1/2r3K1 w - -,e3c1
2rr2k1/1q3p2/2n1p2p/p2p2p1/1p1Pn1P1/P1PQ4/1P1N1PP1/R1B1R1K1 b - -,b4c3
r1bq1rk1/4bppp/p4n2/Npp5/P2n4/2NP2B1/1PP2QPP/3BRRK1 w - -,d1f3
r1b2rk1/4b2p/1qn1ppp1/pp6/1P2NP2/P1Q2NP1/4BP1P/2R2RK1 b - -,a8a6
rnbqkb1r/pp2pp1p/2pp1np1/8/3PPP2/2N5/PPP3PP/R1BQKBNR w KQkq -,g1f3
r1nr2k1/pb1n1ppp/2p1p3/4P3/R4P2/1P1NB1PP/2P3B1/4R2K b - -,c8b6
rnbq1rk1/pp1p1ppp/4pn2/2p5/1bP5/2N1PN2/PPQP1PPP/R1B1KB1R w KQ -,a2a3
3r1rk1/1pq1nppp/p1b1p3/8/2P2P2/5BP1/PP1N1Q1P/R4RK1 w - -,f1d1
1rb2rk1/p2p1ppp/2p2n2/q3p3/1bB1P3/1PN5/PBP1QPPP/R4RK1 w - -,c3a4
3q1nk1/5ppp/1pp2n2/p3p3/P3P3/1N2Q1PP/1PP1BP2/6K1 b - -,f8e6
8/p3rk2/6r1/1p6/3R4/3R2P1/6K1/8 w - b6,g3g4
r1b2rk1/1p3p1p/p2q1np1/3P4/2P5/3B1Q1P/PP3RP1/R5K1 w - -,f3f6
4r1k1/Qpp3pp/3p4/4r3/4b1q1/6P1/PP1BR2P/4R1K1 w - -,d2f4
1n6/2k4p/8/2P3p1/Bp2rP2/2K5/3R2PP/8 w - -,c3b3
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g8e7:g8h6
5k2/p4p1p/1p4p1/5p2/2P5/4P1PP/PP1r4/5RK1 w - -,f1f2
5k2/5ppp/1Nn5/p2p1P2/6P1/2P1P2P/4K3/8 b - -,f8e7
6R1/6p1/3k4/4p2p/2K1Pp2/5P2/6rP/8 w - -,h2h4
8/b7/P2k4/1Rp2pp1/1rBp4/3K2P1/4PP2/8 w - -,b5a5
r2q1rk1/1b2ppbp/1n1p1np1/2pP4/7N/1PN3P1/P3PPBP/1RBQK2R w K -,c1b2
rn2kb1r/pp3ppp/2pqpn2/8/3P2b1/2N2N2/PPP1BPPP/R1BQR1K1 b kq -,b8d7
rn1q1rk1/pb2bppp/1p1ppn2/8/2PN4/1PN1PB2/P4PPP/R1BQ1RK1 b - -,d8c8
5rk1/5pp1/2p4p/6nP/2B5/pPq5/P3Q1P1/5R1K w - -,f1d1
5rk1/p4pbp/1pr3p1/2p1p1q1/2P5/Q2P2PP/PB2RP2/1R4K1 w - -,a3a7
rnb4r/pp3kb1/2pBpnpp/8/3P4/8/PPPQ1PPP/2KR1B1R w - -,f1d3
r4rk1/1b1nqppp/p3p3/8/3p1P2/P1P2NP1/4BPKP/R2Q3R w - -,c3d4
3rr1k1/ppq1n1bp/2ppb1p1/4pp2/1BP1P3/1PN1P1PP/P1Q2PB1/3R1RK1 b - -,a7a5
8/7p/4k1p1/3p4/3P1P1P/3K1PPb/8/3B4 b - -,h3f5
