8/1pr4p/p6R/3pk1P1/7P/1P2K3/P7/8 b - -,c7e7
6k1/R7/4Np1p/4p3/6P1/3b1P2/5K1P/2r5 b - g3,c1c6
2rqbrk1/1p2bp1p/p2npnp1/1PBpN3/P2P2P1/2NBPQ1P/5P2/R1R3K1 b - -,a6b5
1r2kb1r/p2n1ppp/q2Pp1n1/2p1P3/PpN5/R4N2/1P2QPPP/2B2RK1 w k -,a3e3
5rk1/1p4b1/p2p3p/2pPq1p1/2PnN3/1P4PP/P5Q1/1B3R1K w - -,f1f8
r1bqk1nr/ppp2ppp/2n1p3/8/1bpP4/5N2/PPQNPPPP/R1B1KB1R b KQkq -,b7b5
8/3k1p2/1Pq5/2r1p3/4P3/1Q3P2/8/4K3 w - -,b6b7
3rk1b1/q7/5Q2/P7/8/3p1BP1/2r2PK1/7R w - -,h1e1
5k2/1R6/5pp1/7p/4PK1P/1p3P2/6P1/1r6 b - -,f8e8
1r6/p2B2kp/5bpn/BPpp4/P2pQP2/1P4P1/6KP/4R3 b - -,d5e4
rn1qk2r/pb2bppp/1pp2n2/3pN3/Q2P4/6P1/PP2PPBP/RNB2RK1 b kq -,e8g8
1k1r1b1r/ppp3pp/5N2/4pp2/1P5q/2PP1B1P/P4PP1/1R1Q1RK1 b - -,h4f6
2rq1rk1/2b3pp/5n2/ppRp1p2/3P4/P3PP2/1PQBN1PP/5RK1 w - -,f1c1
8/5p2/8/Bpp1rk2/P2b1pr1/1P1R4/2R3P1/1K6 b - -,b5b4
r4rk1/bpp1qppp/p1n1b3/3p4/3P3N/4BBPP/PP1Q1P2/R3KN1R b KQ -,a7b6
r3r1k1/pppbqppp/1b1p1n2/4n3/3NP3/2P1B2P/PPQNBPP1/4RRK1 b - -,e5g6
5r1k/3b3p/3Qp1p1/r2pn3/1ppP1q2/4R1NP/PP3PP1/4R1K1 w - -,d4e5
r1bq1rk1/1pp1nppp/2n5/4p3/1pPp4/1P1P1NP1/PB2PP1P/R2QKB1R w KQ -,f1g2
r1bqkbnr/1pp3pp/2n5/p2ppp2/8/P2PP1P1/1PPN1PBP/R1BQK1NR b KQkq -,g8f6
rn1qk2r/1b2ppbp/1P1p1np1/p1pP4/P7/NQ4P1/1P2PPBP/R1B1K1NR b KQkq -,e7e6
r1bqkb1r/pp2pp1p/2n2p2/2pp4/3P4/2P1P3/PP3PPP/RN1QKBNR w KQkq -,g2g3
r4r1k/1ppq2p1/1p1p1n1p/4p3/2Q1P3/P3B2P/1PP2PP1/R3R1K1 b - -,a8a4
3rr1k1/2q3pp/2n2b2/p1p1p3/1pP1Q3/3PPN2/P4P1P/BR1R2K1 w - -,g1f1
r7/8/6K1/1R6/3k3P/8/8/8 w - -,h4h5
6k1/7p/5p2/6p1/4q3/5PPK/1b2P2P/5RN1 b - -,e4e6
6k1/pp1b1pp1/1n1N3p/3Pp3/1P1qP3/3B1P2/P2Q2P1/1K6 b - -,g8f8
r5k1/pp2r2p/2nn2p1/q2p2N1/2pp2Q1/P1P5/2PB1PPP/R4RK1 w - -,f1e1
4rrk1/2q2ppp/p2bp3/2p5/Pp2NPP1/1P1P1Q2/2P3KP/4RR2 w - -,f4f5
r1bqrnk1/p3bppp/2p1pn2/1pPpN3/3P1B2/2NBP2P/PP3PP1/R2Q1RK1 b - -,c8d7
6k1/1pq2pp1/p1n4p/8/2P5/3Q1NPP/Pb3PB1/6K1 w - -,f3d2
rn1qkb1r/pp3ppp/2p1pn2/3p1b2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq c3,d5c4:b8d7:f8e7
r4rk1/p2b2pp/4pp2/q1pp4/2pP1P2/4PN2/P3Q1PP/R4RK1 w - -,g2g4
1r3rk1/3n1pbp/1q1p1np1/1bpPpP2/P3P2P/3B2N1/1P1BQ1P1/1R2K2R w K -,d3b5
8/pp4kp/2p2p1r/3brP2/6BP/6P1/PP3K2/4RR2 w - -,b2b3
1r6/4k1r1/p2nBR2/n2P2P1/3N3P/1p6/4R3/6K1 b - -,e7d8
3r4/pp2k1p1/3nB3/P1pP4/8/3P4/1P3K2/4R3 w - -,e1g1
b1r2rk1/5p1p/1R2p3/pN2P1P1/5Pq1/P7/1RP4P/5QK1 w - -,g1f2
8/8/8/4q3/5k2/8/R6K/8 w - -,h2g1
4r1R1/2p5/1p1p1k2/p1P2P1p/2B1b3/PP5n/4K3/6R1 b - -,h3g1
1r2k2r/q3pp2/3p2p1/2p5/2PbPP2/1P1RN1p1/4Q1B1/1R4K1 b k -,h8h4
r2qk2r/pp1bbppp/2n1p3/3pPn2/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b kq -,g7g6
7k/p2r1qp1/4p1np/8/2Q2n2/P3B1P1/5PBP/R5K1 b - -,f4g2
r1bq1rk1/pp2ppbp/5np1/3pP3/8/2PB4/PP2QPPP/RNB2RK1 b - -,f6e4
3r4/5k2/1p4p1/p2Pb3/P4p2/1P2pP1P/4N1P1/2R3K1 w - -,c1d1
2r2rk1/pp1n2pp/2p2pP1/q2bp3/PbpP4/2N4P/1P1Q1P1B/R3KBR1 w Q -,g6h7
rnb1k2r/5ppp/p1q1pn2/1pb5/8/3B1N2/PPPNQPPP/R1B2RK1 b kq -,c8b7
8/1k6/1pr5/2b2N2/2P1R3/2r1P1P1/5R1P/6K1 w - -,h2h4
3b4/2p2k2/1pPp4/1r1P1ppp/8/1PKRB2P/5PP1/8 b - -,f5f4
5rk1/2p1n1p1/1pPp3p/3Pp3/4PP2/2P3Pb/2N2K2/2B1R3 b - -,h3c8
8/7p/1n1k4/1p1P1B2/2pK2P1/2P4P/1P6/8 b - -,h7h6
r3kb1r/pp3ppp/2n1p3/P2pP3/b2P2P1/P4N2/1B1K1P1P/R4B1R w kq -,b2c3
r2q1rk1/pp2bppp/2pp4/6P1/4PP2/1B6/PPPQ3P/2KR3R b - -,a7a5
8/Q5pk/3p2p1/4p3/4P1Pb/3P1P1p/R3K2q/8 w - -,e2d1
8/p4p2/4b1p1/8/1P3P1P/3kb1K1/8/4R3 w - -,g3f3
4R3/5pk1/3p2p1/2pP3p/4PB2/5P1P/b3r1PK/8 b - -,a2d5
r1b1rbk1/1p3pp1/2q3np/pN6/2P1P3/P3B3/2Q3PP/2RR1BK1 b - -,e8e4
8/3kb3/1R6/2p1B3/2K5/2P5/1P6/4r3 w - -,e5g3
8/2p2k2/3p3P/3P2K1/3n2N1/8/8/8 w - -,g4e3
8/R1nr1p1k/3p1P1p/2pP2pN/1p4P1/8/1PP3P1/6K1 w - -,h5g7
2kr1b1r/pp2pppp/2n5/3q1b2/3N2n1/2P1BN2/PP3PPP/R2QKB1R w KQ -,f1d3:d4f5
3q1rk1/Q4ppp/2p1p2b/1bP1P3/P6P/5BP1/4PB2/1R4K1 b - a3,b5c4
r1bq1rk1/3nbppp/p2p4/1ppPp3/2n1P3/2P2N1P/PPB2PP1/RNBQR1K1 w - -,a2a4
1qr1r1k1/1bbn1ppp/pp1ppn2/8/1PP1P3/PNN1BP2/3QB1PP/2RR3K w - -,e3f4
r4nk1/2qp1r1p/8/1pNb1p1P/5b2/1N6/PPP1Q3/1K1R1R2 w - -,d1d5
rn2kbnr/1p3ppp/2q1p3/3pP3/1p1P4/P1N2N2/3B1PPP/R2QK2R w KQkq -,a3b4
8/5p2/8/8/4K1k1/4PN2/5r2/8 w - -,f3e5
2r2rk1/pb1n1ppp/1p2pq2/2pp4/P1PPn3/NP2PNP1/1Q3PBP/R2R2K1 w - -,f3e5
2rr2k1/1b5p/pp1qppp1/4n1N1/1bP5/1P4B1/PQ2R1PP/1B3R1K w - -,h2h3
r1bqk2r/1p2ppbp/1np3p1/5n2/p2PN3/PB2BN2/1PP1QPPP/2KR3R w kq -,b3a2
r1bqk2r/pp1n1ppp/4p3/8/3PP3/5N2/P2Q1PPP/R3KB1R w KQkq -,a2a4
7b/5K1P/8/5k2/8/8/3B4/8 b - -,h8e5
2r2rk1/3qbpp1/R3pnp1/3p4/3N1B2/8/2P1QPPP/R5K1 b - -,e7c5
r4rk1/pp3ppp/4pn2/7b/4PP2/1QNq2PP/PP4BK/2R2R2 b - -,h5e2
1r1q1rk1/p3bppp/2b1pn2/3p4/8/2NQ2P1/PP2PPBP/R1BR2K1 w - -,e2e4
2r2rk1/p3p1qp/1p2bpp1/1PnpP3/PQ1P4/6P1/3NP1BP/2R2RK1 b - -,c5d7
r1bqrnk1/pp2bppp/4pn2/2pp4/3P1B2/2PBPN1P/PP1N1PP1/R2Q1RK1 w - -,f3e5
6k1/2r1bp2/pqr3p1/2p1p2p/P1R1P3/BP1R2P1/2Q2P1P/6K1 w - -,d3c3
8/3k4/2p1p3/p3Pp2/P2P2P1/1KP5/4B3/b7 b - -,f5g4
8/5ppp/R3k3/3pP3/5pP1/8/6KP/4r3 b - -,e6e5
r5k1/7p/1pp1pQp1/p1n5/2P5/1P2bPqP/P1R1B1P1/3R3K w - -,d1d8
8/6k1/R7/p7/1pP2K2/rP5P/8/8 w - -,f4e5
7k/2p5/4r1p1/2R4p/P6n/2P1N3/1P2KP2/8 b - -,h4f5
8/8/p6r/P2KBR2/4p3/3bP3/6kP/8 b - -,h6h7
1q3r2/p5kp/b2pp1p1/2p2p2/2PnP3/3P2PP/P2Q1PB1/3N1RK1 w - -,e4f5
r4rk1/pp3pp1/2p2Np1/4n3/1b6/1B6/PPP2PPP/R1B1R1K1 b - -,g7f6
