8/8/5k1p/PR3pp1/8/2P3P1/r4PKP/8 b - -,g5g4
7R/8/8/5k2/8/3K4/6rp/8 w - -,d3e3
1R6/5pkp/6p1/2B5/8/2P2N1P/r5PK/3r4 b - -,d1d5
2r3k1/4bpp1/p6p/1p6/3p1P2/P3pbP1/NPP1R2P/4R1K1 b - -,f3e2
5k2/p3pp2/1p4p1/b2P1P1p/4P3/3KB2P/P5P1/8 b - -,f8e8
1r4k1/3r1pq1/6p1/1P1p2Qp/R2P4/6P1/5PP1/3R2K1 w - -,d1b1
6R1/kb2Rp2/1pq5/p1r5/P2p1Q1P/8/5PP1/6K1 b - -,d4d3
5r2/5ppk/p2q3r/1p6/1npP3Q/8/PP2B2P/1K1R2R1 w - -,h4e4
r1bq1rk1/1p2bppp/p1n1p1n1/3pP3/3P4/5N2/PP3PPP/RNBQRBK1 w - -,b1c3
6k1/4Rp2/8/4p1PP/1r6/6K1/8/8 b - -,b4e4
r4k2/ppp1p1bp/3p2p1/3P1q2/1n6/1P2B1P1/P4PBP/R2Q2K1 w - -,a1c1
3r4/1p3pkp/2br1q2/p2PQ1p1/8/4R1PB/PP3P1P/3R2K1 w - -,h3g2
2kr3r/1b4b1/p3q3/3pPn1P/2PN1p1R/2P5/2QNB2P/5R1K b - -,d5c4
3r2k1/1p3ppp/5n2/4p3/1P6/7P/PPr2PP1/R1B1R1K1 w - -,a2a4
8/2k5/4Pb2/1KPB4/7p/7P/8/8 b - -,f6e7
8/3Qb1kR/p2P2P1/4r3/1q6/1N6/PP6/1K6 b - -,g7g6
6k1/np3ppp/p2qpn2/3p4/3P4/P2QPN2/1P2NPPP/2r3K1 w - -,e2c1
r1b3k1/2q2ppp/p4n2/npbr4/8/1N5P/PPB1QPP1/R1B1RNK1 b - -,c8b7
2b5/4k2p/2P4r/3P1P2/4P3/8/1R5P/6K1 w - -,b2b8
r1bq1rk1/pppnbppp/3p1n2/3Pp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQ -,d7c5
5rk1/2qnbpp1/2p1p1b1/rp5n/7P/PBNPBN2/2PQ1P2/R3K1R1 w Q -,e1e2
2rr2k1/p3b3/2p1p3/3n2pp/1PNP1p2/2P2P2/P2BK1PP/R1R5 w - h6,h2h3
r1b5/5rkp/2p2qp1/p1Pp4/R2Pp3/5PPP/P2Q2B1/5RK1 b - -,c8a6
rn2kb1r/p3pq1p/b1p3p1/5pn1/PppP1N2/5BN1/1P3PPP/R1BQ1RK1 w kq -,d4d5
2r1r1k1/2q2ppp/3bb3/4n1PP/P2B4/2P4Q/4BR2/R2N2K1 w - -,h3g2
r4rk1/2n2ppp/4p3/ppbpP3/3N2P1/P1P1P3/1P1N1R1P/5RK1 w - -,d2b3
r1b2rk1/pppn1ppp/5q2/4p3/3P4/2PB1N2/PP3PPP/R2Q1RK1 b - -,e5d4
8/1R6/3k3p/3p1n1p/P1p4P/4P3/3K4/8 b - -,d6c6
r5k1/1p1n1ppp/1qp5/1R6/3p4/P2P2PP/3QPPB1/4R1K1 b - -,b6b5
r2q1rk1/pp1nb1pb/P1p1pp1p/3pP3/1PPP4/4PN2/3QB1PP/RN3RK1 b - -,b7a6
5rk1/pp6/4prq1/3p2pp/P1pPnP2/2P2QP1/R1P4P/2B1R2K w - -,e1g1
1rb1k2r/2q1bpp1/p2ppn1p/1p6/3BP1P1/2NB1P2/PPPQ3P/2KR3R w k b6,h2h4
r4rk1/pp5p/2bp2p1/4bp2/P3pB2/1P5P/2PRNPP1/3R2K1 b - -,a7a5
r2r4/p1q1bppk/1np1p2p/1p2P3/2P5/PP4P1/1B1NQP1P/R4RK1 w - -,a1c1
8/3rnpk1/2pq1p2/4p2p/P1R1P2P/1R4P1/2Q2PK1/8 b - h3,d6e6
3q4/pp6/2n1Rrk1/r4pN1/5p2/2Q5/PP3PP1/4R1K1 w - -,e6f6
rn1q1rk1/2p1bppp/bp3n2/p2p4/3P4/2NB1N1P/PPP2PP1/R1BQR1K1 w - -,c1f4
r4rk1/pp1nppbp/6p1/q2P4/2p1P3/2P1Bb2/P2QBPPP/2R2RK1 w - -,g2f3
r2q1rk1/1pp2ppp/1nb1pn2/p7/2pPP3/P1P2NP1/2Q2PBP/R1B2RK1 w - -,f1e1
8/p2rn1p1/1k3p1p/1P6/1R1P4/4N3/5PPK/8 b - -,b6a5
5k2/4p1b1/p2p2p1/1pr2p2/2b2P2/P1P1NKN1/1P1R3P/8 b - -,f8f7
r2nk1nr/pppq1pb1/3pb1pp/1P2p3/2P4P/2NP2P1/P3PPB1/1RBQK1NR w Kkq -,c1d2
5k2/1R5p/6p1/4pp2/2BpP2P/r2P1NP1/3b1P2/6K1 b - -,a3a1
r4rk1/pp2ppbp/1qn2np1/2pp1bB1/3P4/1QP1PN1P/PP1NBPP1/R4RK1 b - -,f8d8
r1bq1rk1/pppn1ppp/5b2/8/3p4/2P2NP1/PP3PBP/R1BQ1RK1 w - -,f3d4
2bqkr2/2r1n3/p1pp1ppb/Pp5p/1Q1PPpnP/1B3N2/1PP1N1P1/1K1R2BR w - -,b4d2
8/5ppk/4b2p/p7/4P3/1Pp1N1PP/P4K2/8 b - -,e6h3
4rrk1/1nqb1pbp/3p2pn/2pPp3/1pP1P3/pP1N2PP/PBQN1PBK/4RR2 w - -,b2a1
1r6/6k1/6P1/8/K5R1/P7/1P6/8 b - -,b8b2
r2r2k1/1q1nbppp/pp1pbn2/4p1B1/P3P3/1NN2P2/1PPQB1PP/2RR3K b - -,d8e8
rr4k1/p1pb4/3p1q2/3P1p1p/2PNpPnP/3n2P1/P1NQ2B1/1R3RK1 b - -,b8b6
r5k1/1bR3pp/p3Pp2/1p3P2/4pR2/P7/1P1rB1PP/7K w - -,e2h5
3r1r2/q5k1/p3b1p1/1p2p1p1/3bP1p1/1P1B2N1/P2Q1PP1/3R1RK1 w - -,d1c1
r2r4/1p1bnkpp/p1nb1p2/1B1p4/3N4/2P1BN2/PP3PPP/3RRK2 w - -,b5d3
8/8/1p1b4/1P1k1pNp/P5p1/4K1P1/6P1/8 w - -,e3f2
8/8/6R1/2P5/6P1/4k3/5r2/5K2 w - -,f1g1
4B3/1bk2p1r/1p2pB2/8/3K1P2/8/5RP1/8 b - -,c7d6
8/pp3k1p/4r1p1/1qBQ4/8/6P1/PP3PBP/6K1 w - -,g2h3
1r1qrbk1/2p2ppp/2N2n2/3b4/1P1Pp3/4P1P1/2N3BP/1RB1QRK1 b - -,d5c6
rnbqk2r/pp2ppbp/1np3p1/3pP3/3P3P/1BP2N2/PP3PP1/RNBQK2R w KQkq -,f3g5
4r1k1/1p3p2/7p/2PP2p1/5q1n/1B5P/4RpP1/1Q4K1 w - -,e2f2
2r1k2r/1pqbbpp1/p3pn2/4p2p/4P2P/1N1B1P2/1PPQ2P1/1NKR3R w k -,d2a5
r3k2r/pp3pbp/6p1/2p1P3/4P1b1/2P4P/PP1N2P1/R1B1K2R b KQkq -,g4d7
3rr1k1/ppb2p1p/6p1/3pP1q1/3P2P1/2P2Q1P/P4PB1/3RR1K1 w - -,d1b1
r3r1k1/pp1b1ppp/2n1pq2/2P5/2BPpP2/P3B3/1P1Q2PP/R4RK1 b - -,c6e7
r2qk2r/p1pb1ppp/2p1n3/2bpP3/3N1P2/2N5/PPP3PP/R1BQ1RK1 w kq -,c1e3
3k4/pp3p2/3pb2p/3p1r1P/1P1P3P/2P2BK1/P7/1R6 b - -,e6d7
2rrb1k1/pp2ppbp/6p1/q2nB3/2nP1P1N/3BP2P/PPR3P1/R1Q3K1 w - -,d3c4
8/4bkp1/4pp1q/3p4/1PnP2P1/2PQ1P2/5B1r/R3K1N1 b - -,h2f2
1r4k1/2n1q3/pr1p4/2pPb1pp/2B1Pp2/1P1Q1P2/R4BPP/1R4K1 b - -,g8g7
3r4/2r2p2/pNkppQ2/7R/2P2P2/1P1b2q1/PB2B3/5K2 b - -,g3f3
1r6/3N1Qbk/6pp/2p5/1p1nP3/B2P2PP/1RP5/3q3K w - -,h1g2
2r1kb1r/1p1b1ppp/p1n1p3/3nP3/4N3/P2B1N2/1P1B1PPP/R2R2K1 b k -,f8e7
1rbq1rk1/p3n1bp/3pp1p1/1pp2p2/4PP2/2PPB1P1/PP2QNBP/R4RK1 b - -,b5b4:d8c7
r2qk1nr/ppp2pb1/2npb1p1/4p2p/2P1P3/2NP2P1/PP2NPBP/R1BQK2R w KQkq h6,h2h4
r2qr1k1/p1pn1pp1/1p3n1p/3p4/3P4/P1PQPPN1/6PP/R1B2RK1 w - -,e3e4
7r/p3k1pp/1p2bp2/8/r2B1P2/PnP1P1P1/6BP/1R2R1K1 b - f3,h8c8
5rk1/p4pp1/1p3n1p/1P1p4/2q2N2/6Q1/P1r3PP/3R1RK1 w - -,g3f3
8/5pp1/5k1p/8/1KP5/5P2/4R1PP/1r6 w - -,b4a5
8/KP1n4/6b1/2k4p/2B1p2P/4NP2/8/8 w - -,f3f4
r1r3k1/1p2ppbp/1qbp2p1/pNn5/2P1P3/1P2BP2/P2QB1PP/3RR2K b - -,b6d8
1rb1r3/p1nq1pbk/3p1npp/2pP4/2B5/2N2N1P/PP1Q1PPB/1R2R1K1 b - -,e8e1
r3k2r/1bq1bppp/p2pp3/1pn3P1/3NP3/1PN1BP2/1PP1Q2P/1K1R3R w kq -,h2h4
2r1k2r/1bq1bp2/p3nnp1/1p2p3/4P2p/PNNBBQ2/1PP3PP/4RRK1 b k -,c8d8
r3kb1r/1ppq1ppp/2n1bn2/p2pp3/8/P3P1PP/1PPPNPB1/RNBQ1RK1 w kq -,g1h2
8/7p/r2k1pp1/p1rPpP2/R1P3P1/2PK4/1R5P/8 b - -,g6f5
1r6/6P1/3k1B2/8/5p2/p1N5/2K5/8 w - -,c2d3
