8/7R/8/8/8/4p3/2K1k3/5r2 b - -,f1f5
5r2/1p2p1kp/3pb1p1/p3n3/2P2r2/1P2N3/P2R1PPP/4RBK1 b - -,b7b6
r1b2rk1/pp3ppp/2n1pn2/8/2pN4/6P1/PP2PPBP/RN1R2K1 b - -,a8b8
1k1r1b1r/pppqnb2/5pp1/3p1p1p/3P1N1P/P1NBPQP1/1PP2P2/2KR3R b - -,e7c8
r2qr1k1/1pp2ppp/3p4/pPnPp3/P3P3/3PN1P1/2Q2P1P/2R2RK1 w - -,e3c4
8/6Bp/4k3/p7/R3P3/8/4r1PP/6K1 b - -,e6f7
1n1qr1k1/3r1p1p/p1p3p1/1p2bb2/2p1P3/BP4P1/P2N1PBP/2RQ1RK1 w - -,c1c2
2q1r1k1/1p2brp1/p4p1p/P3P2b/R1Np3P/1P1P2Q1/2P3P1/5RK1 w - -,e5f6
5k2/2p2r2/3pR1Q1/2pPp2N/p1P2b2/P7/KP2qP2/8 w - -,h5f6
4R3/8/8/8/3k4/2rn4/K7/8 b - -,c3c7
8/2kbb3/1p1p2p1/2pPp1Pp/2P1Nr1P/P2B1PK1/8/1R6 b - -,f4f8
8/1Q4p1/3k4/4b3/p2q3P/P5P1/6BK/8 w - -,b7b8
5k2/1p2n1b1/p1n3p1/2pp1QBp/8/P1N5/BPP3PP/6K1 b - -,e7f5
4r1k1/3n1pp1/1q3n1p/1pb1pP2/7N/1B4B1/1P2QP1P/3R2K1 b - -,e5e4
6k1/pp1qbr2/5npp/2r5/3p4/2NNP3/PP3PPP/2RQ1RK1 w - -,d3c5
6k1/5pp1/3br2p/q7/2Q5/1PN3P1/P4P1P/3R2K1 w - -,a2a4
8/7p/4k1b1/8/1p1r4/7R/3BK2P/8 b - -,g6c2:e6d5
r2q1r2/ppp2ppk/1n1p4/8/2PQ2b1/P1N2N2/1P3PPP/R4RK1 b - -,g4f3
2rr2k1/5pbp/1p2p1p1/pq1pP3/1n1R1P2/1Q4P1/1P2P1BP/2BR3K w - -,e2e4
r2qrnk1/p1pb1p1p/1pn2bP1/2Pp4/3P4/PP1BBRNP/3QN1P1/R5K1 b - -,f7g6
5rk1/1q1b2p1/pp2p2p/4p1b1/2P1P3/1BN3P1/PP2Q2P/3R1r1K w - -,d1f1
2rr2k1/1p2qppb/pP2p2p/R2P4/2N5/1Q3PP1/4PK1P/3R4 b - -,e6e5
3r2k1/4q1p1/4R2p/2pPb3/1p2p3/6P1/1P1NQP1P/6K1 b - -,e7g5
4rrk1/p5qp/2b2p2/2p1pp2/1pP1Pn1b/1P3B1P/PBQR1NP1/3R3K w - -,b2c1
5rk1/pp3ppp/3q2b1/2R5/3b4/2P1pPP1/4K1P1/n2Q1B2 w - -,d1d4
rnbqkb1r/pp3pp1/4pn1p/2pp4/3P3B/2P1P3/PP1N1PPP/R2QKBNR b KQkq -,b8c6
r1bq1rk1/pp3ppp/2pb1nn1/2B1p1N1/4P3/1BP5/PP1N1PPP/R2Q1RK1 w - -,c5d6
8/1R6/5p2/p4P1k/P7/1P1K3P/4r3/6n1 w - -,b7h7
3kr1q1/pp5b/1nn1pp1B/8/2pPp3/2P3N1/PP1QBP2/2K1R3 b - -,d8c8
2q3k1/2r2pp1/ppr1pb2/4p3/bPP2P1p/P2B3P/Q4BP1/2R1R2K w - -,f4e5
6k1/pbr2p2/1p2nn1p/3p2p1/PP1P4/3B1PP1/4N2P/R3B2K b - -,g5g4
8/3n3p/2pk1p2/R2b4/3B1PN1/6P1/1r5P/6K1 b - -,b2g2
8/8/7k/5PRp/4p2P/4r1P1/5K2/8 b - -,e3a3
8/8/8/3k1n2/4R3/3K4/8/8 w - -,e4e8
1r1rb1k1/1pq2pb1/p2p1npp/P1pP4/1nN2B2/1QN1P3/1P2BPPP/R2R2K1 w - -,h2h3
r1q1rb1k/p4bpp/1p3p2/3P4/2p2Q2/2N1PNP1/PP2P2P/R2R2K1 w - -,d5d6
2k5/pp6/4Q3/3pP3/K4P2/1PP5/P1q5/8 b - -,c8c7
r4rk1/pp3pbp/3ppnp1/3N4/q3PP2/3P1R2/PP1B2PP/R3Q2K w - -,d5f6
1rb2rk1/1pN2ppp/8/p1P1n3/7b/P3P2P/1P3PB1/R1B1K2R b KQ -,e5d3
r1br2k1/1p3ppp/1n2p3/p7/3P4/4BBP1/PP3P1P/R4RK1 w - -,a1c1
r1bq1rk1/5ppp/2p2n2/p1Pp1PB1/1p1P4/1P1B4/P1Q3PP/4RRK1 b - -,c8a6
3r1rk1/pR2ppbp/6p1/4n3/3P4/q3BB2/P4PPP/3Q1RK1 w - -,f3e2
r3k2r/p1q2pbp/bp1ppnp1/4n3/2p1PB1P/2PP1NP1/PP2QPB1/3RKN1R w Kkq -,e2c2
4n3/8/p2k2p1/Pp1P1p1p/3K1P1P/1B6/6P1/8 w - -,b3d1
8/8/3k4/PK2pBp1/4P1P1/4bP1P/8/8 b - -,d6c7
8/8/p1pr4/P4kp1/1PR4P/5PK1/8/8 b - h3,g5h4
5bk1/8/3p4/3Pqp2/p1P4p/3Q1P1P/3N4/3K4 w - -,d2b1
r3nrk1/pp3pnp/3pb1p1/1Pp5/2P1P3/P1N2PP1/2NRB2P/R5K1 w - -,c2e3
1k5r/pp3pp1/4p2r/4Pbq1/Q1BPp3/2P5/PP2RKP1/5R2 b - -,h6h2
6k1/p4pp1/br2p3/3pPq2/P1pP3p/2Q2PP1/2RN2KP/8 b - -,f5d3
6rk/2p2p1p/1p1p1P2/1n1Pq2P/4P3/p4Q2/3R2PN/7K b - -,e5a1
6k1/6p1/3p3p/2pPp1n1/1pP5/1P1KP3/3Q4/3qNN2 b - -,e5e4
3r2k1/2q2p2/2bp1npp/1p2p3/4Pn2/2P1RNNP/1PBQ1PP1/6K1 w - -,e3e1
rn2r1k1/ppp1qpp1/3p1n1p/4p3/2PP2bB/P3PN2/1PQ2PPP/R3KB1R w KQ -,d4d5
rk3br1/1pp1n2Q/pq2N1p1/3p1n2/2B1p3/2B3P1/PPP2P1P/R4RK1 w - -,c4d5
4r3/p4pk1/2pr3p/1b4p1/P2PP3/1B3K2/2R5/3R4 b - a3,b5a6
r1b1r1k1/pp1n1p1p/5np1/q2p2B1/2pP4/2b1PN1B/PPQ2PPP/2R2RK1 w - -,b2c3
8/1Qnk3p/p5p1/4qp2/2P5/4N2P/5PPK/8 w - -,h2g1
6r1/1k4r1/pp5p/3P4/2n1B3/P7/1P3PP1/3R1RK1 w - -,d5d6
3r2rk/4qp1p/p4p2/1p1PpP2/1b5Q/1N3R2/P5PP/2R4K w - -,h4e4
rnbqk2r/1pp1ppb1/3n2p1/p6p/3P3P/1BNQB3/PPP1NPP1/R3K2R w KQkq a6,e1c1
r2q1rk1/1bp1npbp/pp4p1/3p4/P2P1P2/2NQBN2/1PP3PP/R4RK1 w - -,c3e2
r1b1k1nr/ppqn1pbp/3p2p1/2pPp3/2P1P3/2N1BN1P/PP3PP1/R2QKB1R w KQkq -,b2b4
8/7k/3P2p1/4bp2/7P/pNnP3B/7K/8 w - -,h2h1
3rR1k1/1pQq2pp/p2P1pb1/2P5/P7/5PB1/6PP/2R4K b - -,g6e8
4r1k1/5pbp/2R3p1/r1N5/P3P3/2p3P1/5PKP/1R6 w - -,b1b5
r2qr1k1/pp3pp1/2pbb2p/3pN3/2nP1Pn1/2N3P1/PPQ1PBBP/3RR1K1 w - -,e5c4
8/8/5pp1/pr2k2p/7P/4PKP1/1PR2P2/8 w - -,f3e2
r2q1r2/5pk1/p2b1n1p/1p1bN1p1/3P4/1B1Q2B1/PP4PP/R3R1K1 w - -,b3d5
r3kb1r/5pp1/p2pbn1p/4p3/1q2P3/1PNQ4/PB1N1PPP/2R1K2R w Kkq -,e1g1
6k1/1p2qppn/1p1rb1np/2p1p3/P3P3/1PP1B2P/2B1QPPN/3R2K1 b - -,h7g5
r1bqr1k1/pp3pbp/1n4p1/3P4/3Np3/1QNBB2P/PP3PP1/3RK2R b K -,e4d3
3r2k1/1bq2pbp/1p2p1p1/2n5/1B2P3/2P1Q3/r2NBPPP/1R3RK1 w - -,f1d1
2rr2k1/pp1bbppp/4pn2/q3N3/2BP4/P1N5/1P2QPPP/2RR2K1 b - -,d7e8
2r3k1/pp1n2pb/1b1rqp1p/nP1pp3/1Q6/2P1PNBP/P2N1PP1/2RR1BK1 w - -,f3d4
6k1/pp2qrp1/3pN2p/3P1pb1/3B2n1/4PQ2/P1r3PP/1R3RK1 w - -,h2h3
1qr1r1k1/p4pp1/1b3n2/n2p2p1/1p1N2P1/1P2PP2/2RB2BP/1Q3R1K w - -,c2c8
rnb1k2r/pp1pppbp/6p1/2q1P3/6n1/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,d1d4
r2q2k1/pp2R3/2pP2pp/2n2bN1/P2Q4/2P4P/2P2PB1/6K1 b - -,d8f8
r2qrbk1/pbpn1p1p/1p1p1np1/3Pp1B1/2P1P3/1PN2NPP/P4PB1/R2QR1K1 b - -,f8e7
5R2/6r1/8/1PBK4/6p1/2P2pk1/8/8 w - -,b5b6
r4rk1/1q2ppbp/ppn1b1p1/3p4/3PnB2/PN1BPN1P/1PR1QPP1/5RK1 b - -,a8c8
8/1r3kpp/5p2/2pNpP2/1bP3P1/3R1K1P/8/8 w - -,f3e4
2r2r1k/2pb1qb1/1p1p2P1/p2Pp2p/2P1Bp1P/5P2/PPQ2B1R/1K4R1 b - -,f7f6
