8/4k2p/R5p1/8/3K1P2/7P/P5r1/8 w - -,a2a4
r2q1rk1/pb1n1ppp/1pp1pn2/3PN3/3P4/6P1/PP1QPPBP/RNR3K1 b - -,c6d5
rq2nrk1/1p2b1pp/1B1pb3/3Npp2/2P1P3/pPN2P2/P4QPP/R2R2K1 b - -,e7g5
8/3k1p2/3Pp1p1/6Pp/3RKP1P/8/8/r7 w - -,e4e5
2r1rbk1/5pp1/p5np/1p1R4/1Pp1P1P1/P3qBBP/2Q3K1/5R2 b - -,e3a3
3q2k1/5ppb/5n1p/8/Q5P1/2p1N2P/1bN1PPB1/6K1 b - -,b2c1
3r2k1/7p/5Q2/pp1q4/7P/3R2P1/P6K/8 b - -,d5a2
r4rk1/1b1q2bp/1n1ppnp1/2p5/4P2N/1PN3P1/PB1Q1PBP/1R2K2R b K e3,d6d5
3r2k1/7p/6b1/2R2p2/PP2pP2/6R1/5K1P/r4B2 b - -,d8d2
3rq1k1/pp4pp/2pn1p2/P2n3b/3P4/5N1P/1P3PP1/R1Q1NBK1 w - -,a1a3
2kr2r1/1p3p2/p1q1p2p/1n1pPPpP/1PpP3N/2P1B1PB/2Q4K/R7 w - g6,h5g6
r6r/1p2kpp1/1pp1p3/8/3PP3/6P1/1Qbq1PB1/R3R1K1 b - -,a8a1
r2qk2r/pp2nppp/4pn2/3P4/8/1P3N2/P1PN1PPP/R2Q1RK1 b kq -,d8d5
2rq1rk1/3nbpp1/3p3p/p2Q4/Pp2PBP1/8/1PP1B2P/1K1R3R w - -,e2d3
8/8/4p1k1/5r2/4p2P/4Kp2/5R2/8 b - -,g6h5
2b1k1nr/2q1pp1p/2p1n1p1/1p1pN3/1P1P2PQ/r3P2P/2P2P2/1R1NKB1R b Kk -,h7h6
r4qk1/1b5p/p4pp1/2Pp4/Pp1QpP2/1P5P/4B1P1/R4RK1 b - -,a8c8
r1b2rk1/1p2bppp/p1n5/q3p1B1/4Nn2/2P1QN2/PPB2PPP/R2R2K1 b - -,e7g5
r2qkb1r/1p2pppp/1np5/p2n4/P2P2b1/1B3N2/1PP2PPP/RNBQK2R w KQkq -,h2h3
r3nrk1/1p1nqp1p/p2p2p1/P1pPp3/1PN1P3/2N1Q3/2P2PPP/RR4K1 b - b3,c5b4
r1b1qrk1/ppp1ppbp/n2p1np1/6B1/2PPP3/2N4P/PP2BPP1/R2QK1NR w KQ -,g2g4
4r3/1kp5/6pb/1p2Pp1p/p1p2P1P/P3RNP1/1PK5/3r4 w - -,c2d1
r1rq2k1/4bpp1/4p1bp/p2n4/1ppPN3/P1P2BBP/1P2RPP1/R1Q3K1 b - -,b4a3
3rk1r1/1b2np1p/pq3p2/1p1pp3/4P3/2PB1P2/PPN1Q1PP/2KR3R b - -,b5b4
8/3n4/1p1p3p/p2P2k1/P5P1/1P3K2/4B3/8 b - -,d7f6
8/p4ppk/4pB1p/1p1n4/1P2q3/P2N2P1/2Q1PP1P/6K1 b - -,d5f6
2q2r1k/pp5p/1b4p1/8/1P2b3/1Q2pNPP/P5K1/3B1R2 w - -,b3b2
8/5R2/3p2pk/2bBp2p/2P1P2P/1r6/6K1/8 b - -,b3b2
r1bqk1nr/pppp1ppp/2n5/8/4P3/4Q3/PPPN1PPP/R3KBNR b KQkq -,g8f6
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b - c3,c5d4
r2q1rk1/pbp1ppbp/1p4p1/n7/2BPP3/B1P5/P3NPPP/R1Q2RK1 w - -,c4d3
5r2/2p5/1p1p2kn/p2P1Rp1/2PK2P1/1P3B2/P7/8 w - -,f3e2
r2qr1k1/pp2bpp1/2npbn1p/3Np3/4P3/5N1P/PPP2PP1/R1BQRBK1 b - -,e7f8
r1b2rk1/pp1ppp1p/2n2bp1/6q1/2PN4/2N1P3/PP1QBPPP/R3K2R w KQ -,c3e4
4n2r/1p1k3p/1p1pb3/1Np3p1/4P3/1B3PP1/PPP3P1/2KR4 w - -,e4e5
1r3k2/1q2bp1p/4pp2/8/r2N1PPB/P1P5/KPQ4P/3R4 w - -,c2b3
6r1/1p3k1p/1r1p2pB/1bpPpp2/p3P2P/2P2PP1/PP1R1K2/4R3 b - -,g8e8
8/8/1p2r1pK/k1p4p/p1P2P2/R1P3P1/7P/8 b - -,h5h4
r5k1/2p2pp1/pbn1q2p/2p1P3/Q1P5/5N1P/3N1PP1/4R1K1 b - -,b6a5
r4rk1/1p3p1p/bn1p2p1/p2P4/4NP2/5B1P/PP4PK/2R1R3 w - -,f4f5
r1b2rk1/2q2ppp/pn1pPb2/1p6/3NP3/2N3Q1/PPP4P/1K1R1B1R w - -,f1h3
2n2b2/3k4/8/1K1P1N2/8/8/8/8 b - -,f8a3
8/5p1k/6p1/5r1p/3Q4/6qP/6P1/3R2K1 w - -,d4d3
1R6/1p1r1k1p/p1p3p1/2B2p2/P1P2PP1/2b2K1P/8/8 b - -,c3f6
7k/2r1p2p/P2p2N1/4b3/8/1Q3P1q/1P5P/R1B2RK1 b - -,h7g6
rqr3k1/1p1bppbp/2np1np1/p7/3NP1P1/1BN1BP2/PPPQ3P/2KR3R w - a6,d4b5
5rk1/pb1qpp2/1p1p2p1/2r5/2PQP3/1PN5/P5PP/3R1RK1 w - -,c3d5
5bk1/1b3pn1/p1N1p1p1/1p1pP2p/1P1N1PP1/P2PB2P/8/6K1 w - h6,g1f2
1rR2k2/1r1Bpp2/3p1b1p/p2P2p1/P3R3/2P3P1/5PP1/6K1 b - -,b8c8
1qr3k1/3R1ppp/p1b1pb2/2p1P3/2B1NP2/1PN1Q1PP/P7/6K1 w - -,d7d2
3r2k1/1r3ppp/pp1Bp3/4Pn2/2P1q3/1P3PP1/P6P/2RR2K1 w - -,f3e4
r1bq1rk1/1p3pbp/n1pp1np1/p2Pp3/2P1P3/2N1B3/PP1NBPPP/R2QK2R w KQ -,a2a3
r1bq1rk1/pp1n1ppp/3b1n2/3pp3/8/3P1NP1/PPQNPPBP/R1B2RK1 w - -,e2e4
3k4/8/4P3/4K3/3N4/2p2r2/8/8 b - -,f3d3
r2q1rk1/1b1nbppp/p1npp3/1pp5/2P1P3/1P1P2P1/PB1N1PBP/R2QNRK1 w - -,f2f4
r1bq1rk1/pp3pbp/2pp1np1/4p3/2Pn4/1PNP2P1/P2NPPBP/R1BQ1RK1 w - -,e2e3
6B1/r5p1/5k1p/4R3/3K4/7P/8/8 w - -,e5c5
r2qk2r/np3pp1/2b1p2p/p2pP2P/n1pP2PN/B1P5/2PQBP2/R3K2R w KQkq -,a3c1
8/2R2pkp/2Nn2p1/5p2/8/bB1Q2P1/2P2PKP/q2r4 w - -,d3e2
r1q2rk1/ppn1p1np/2P2bp1/8/3P2Q1/P1N1B1PP/5PB1/2RR2K1 b - -,b7c6
2r1k2r/2qp1pp1/N3p3/1p2n3/3QBP2/P7/1PP2K1P/3R4 b k -,e5g4
3r4/3r2k1/1pnP2pp/2pRp3/4N3/1P4P1/5PKP/R7 w - -,a1a4
8/3P3p/4Q1p1/4p3/4Pk2/2p4P/6PK/3q4 b - -,c3c2
r1b1r1k1/1pqn1pbp/2pp2p1/p1n5/2PNP3/2N1BP2/PP1Q2PP/3RRBK1 w - -,d4b3
7r/4k3/2R5/1B3p2/P3p3/1R4P1/7q/5K2 w - -,b5c4
r5k1/rp3ppp/1pp1pn2/P7/1PPP4/3BP2P/6P1/R2R2K1 w - -,a1b1
R7/5pbk/6p1/3N3p/3P4/p1P2PP1/1r6/6K1 b - -,a3a2
2r2rk1/pp2q1pp/1bn1p1p1/3pP3/P2P1P1P/1P1R1NP1/4Q3/R1B3K1 b - -,c6b4
r1b4r/1pq1kpp1/p3p2p/3nP3/4N3/4nN2/PPP3PP/2KRQB1R w - -,d1d2
2r1kb1r/1bqn1pp1/pp1ppn2/7p/3NPP2/2N1B1P1/PPP1Q1BP/R4R1K w k h6,h2h3
6k1/p1r2p1p/1p1r1pn1/2qPp2N/2P5/P5P1/1B2Q1KP/2R5 w - -,e2f3
r4rk1/pp2qppp/1nb1p3/4P3/3Q4/8/PPPB2PP/2KRRB2 b - -,f8d8
r1b2rk1/pp4bp/3q1pp1/2pP4/8/2B2N2/PP1Q1PPP/3RR1K1 b - -,c8f5
8/8/8/1p3p1p/1p3P2/1P1N2b1/k1K5/8 w - -,d3b4
r1k1r3/1pp2p1p/p4p2/2n5/2p1P3/1P2R1B1/PK4PP/3R4 b - -,e8e4
r1bqk1nr/pp1pppbp/2n3p1/2pP4/2P1P3/5N2/PP3PPP/RNBQKB1R b KQkq -,c6d4
r3q1k1/pb4pp/1p3r2/b2P1p2/Nn2n3/B2BRN2/5PPP/R2Q2K1 w - -,d3e4
3rnrk1/pp2q1bp/5pp1/1P1Pp3/1P1pP2B/P2B4/3Q2PP/1R3RK1 w - -,b1c1
2r1r1k1/5ppp/4p3/ppB1P3/2p1P1P1/P3K3/1P3P1P/2RR4 b - -,c8c5
