8/8/8/5p2/5Q2/3qp1P1/8/4k1K1 b - -,e1d1
r1br2k1/p3qpp1/1pn2n1p/2pP4/2P1p3/P1P1B3/Q3BPPP/R3NRK1 b - -,c6a5
1Q4k1/2K2p2/4p1p1/3r4/6P1/8/8/8 b - -,g8g7
r1bq1r2/pp4k1/2p3p1/2p1p1N1/3bP1P1/2N1B3/PPP1QP2/1K1R4 w - -,e3c1
1r3r2/p3nqk1/3p3p/2p1bP2/4B2N/4Q1PP/5P1K/4RR2 w - -,e1b1
5rk1/4qp1p/p5p1/3Pb3/np2P3/1N1N1R1Q/2r3PP/4R1K1 w - -,d3e5
2nqr1k1/1p3pp1/4b3/pP1pPpPp/Pr1P3P/1N6/1B3P2/R1RQ2K1 b - -,f5f4
r4k2/p3rpp1/1p2p2p/8/8/PP2P3/4KPPP/2RR4 b - -,f8e8
3rnrk1/p4p1p/1qQ2Np1/4p3/2P5/1P5P/P5P1/4RR1K b - -,e8f6
8/8/4n1p1/4N3/4kn1P/4p1K1/8/8 w - -,e5f7
b2r3k/R5p1/8/nPpB1p1p/P1P4P/2P3P1/5P2/6K1 b - -,a8d5
r2q1r1k/pp4bp/2ppbnp1/2n2p2/2P5/1PNQ1NP1/PB2PPBP/R4RK1 w - -,d3c2
r1b3k1/2q3pp/2p2rn1/2ppP3/p1P5/1P1P1NP1/P3N2P/R2Q1RK1 b - -,g6e5
r1b1r1k1/1p1n1pbp/3pnqp1/2p5/2P1P3/pP2BPP1/P2QB2P/1NNRR1K1 w - -,c1d3
r7/1r3Rp1/2ppk1p1/2p4p/2NnP3/P2P3P/1PP5/1K6 w - -,f7b7
3rrnk1/1pq2pb1/p3p3/4P1p1/2PNQPP1/1P4R1/PB4K1/3R4 b - -,g5f4
3rk2r/1p2p1b1/p1n3pp/4Pp2/2RP3P/4BN2/P3KPP1/7R b k -,e8g8
r1bq1rk1/p2pbppp/1pn1pn2/8/1PP5/P1NBPN2/2Q2PPP/R1B1K2R b KQ -,c8b7
rnR2bk1/1p3ppp/2p2P2/p3P3/2Pn4/8/PP4PP/2K2B1R b - -,a5a4
6k1/q3p2p/p1p1P1p1/5p2/2B5/P6P/1b4P1/3Q3K w - -,c4a6
r4rk1/1p2bppb/nqp1pn1p/3pN3/3PP3/pP4P1/P1PNQPBP/B1R1R1K1 b - -,a8d8
8/k7/7p/P2K2p1/6P1/3B3P/5b2/8 b - -,f2e1
6k1/5q1p/bNp2r2/3p2p1/3P4/1P2Q1P1/P6P/4R1K1 b - -,f6f1
2r3k1/rp3pp1/p1nnp2p/q1NpNb2/3P4/PQ2P2P/1P2BPP1/2RR2K1 b - -,c6e7
2br1r2/4Rp1p/1p1P2pk/1Pn1Q3/6q1/2N5/2B3PP/3R2K1 w - -,c3d5
3q1rk1/pp4p1/8/3P3p/2P5/PP2Q1P1/5P2/4R1K1 w - -,e3e6
2kr1b2/pp1n1p2/1q2p1r1/2ppP2p/3P4/2P2QN1/PP4PP/R1B2RK1 w - -,f3f7
6k1/1p1q1pp1/p2p3p/3P2b1/3N2Pn/3B4/PPP5/1K2Q3 b - -,g7g6
8/8/4k3/R7/P7/r5PK/8/8 b - -,e6f6
8/6k1/2Rb1p2/PR5P/8/3rpK2/8/8 w - -,b5b7
r3k2r/bpp1n1pp/p1n2pq1/3P4/3P4/1N2BN2/PP3PPP/R2QR1K1 b kq -,e7d5
r1b2rk1/pp3pp1/2nbpq1p/2pp4/3P1P2/2PBPN2/PP1N2PP/R2Q1RK1 b - -,b7b6
6k1/6pp/5p2/8/5P1P/3RP3/1rrRK3/8 b - -,c2d2
8/8/2r3pp/3k1p2/R4PP1/3K3P/2n5/8 b - -,c2e1
6k1/1p4p1/4p1p1/P3P2p/1P3P1P/3pK1P1/8/2r5 w - -,e3d3
3r4/5R2/1p3n2/1Bp4p/P4k1P/1P6/5K2/8 b - -,d8d6
5rk1/2p3pp/2q5/3Q4/2r5/p3PP2/KP1R2PP/3R4 b - -,c6d5
r4qk1/p1nb2bp/1p1n4/2pP1p2/5Pp1/PPNQ2P1/4NBBP/5RK1 w - -,b3b4
5kr1/3p4/1p2p2Q/1P1q4/8/5P2/6P1/2R3K1 b - -,f8f7
r1b2rk1/p3npp1/4P2p/1p6/Nqn5/5N2/PPQ2PPP/R3R1K1 w - -,e6f7
2k4r/3r1p2/p1p1p2p/Q1P1P1p1/3q4/P2B2P1/5PP1/3R2K1 b - -,d7b7
8/1p2qrkp/p2p2p1/2p4n/P3P1Q1/5PPP/1P4K1/R2R4 b - -,d6d5
r3k2r/pp1nppbp/2p3pn/q2pP3/N2P1Pb1/5N2/PPP1B1PP/R1BQ1RK1 w kq -,b2b3
6k1/1b4pp/1nq2p2/p2pp3/Pp1P4/1PnBPP2/3N2PP/2N2QK1 b - -,c6e6
R2r4/2NPNkp1/1r3p1p/1pp5/8/6P1/1P5P/3n2K1 w - -,a8d8
2kr3r/pbpq1pb1/1p2pn1p/6p1/3P2P1/2PBN3/PPQ1NPP1/2KR3R w - -,e2g3
3q2kr/pp1rnp2/6p1/3p2B1/7p/5Q1P/PP3PP1/2R1R1K1 b - -,h8h5
7r/4b1k1/bq2pNp1/3pP1Q1/2pP4/p1P3P1/R1R2P2/1r3BK1 w - -,g1g2
r2q1rk1/1b2bpp1/p2p1n1p/npp1p3/4P2B/2PP1N2/PPBN1PPP/R2QR1K1 w - c6,d2f1
r2q1rk1/1b1p1pbp/6p1/n1pN4/2B5/4PN2/PP1Q1PPP/R4RK1 w - -,c4e2
4r1k1/1p4p1/2p1NpB1/3n4/p3R1P1/6BP/PP1q1P2/1R4K1 b - -,d2c2
3R1rk1/1p4pp/p7/1b6/4N3/8/P1r2PPP/R5K1 w - -,d8f8
8/1p2k2p/1p4p1/1Bb2p2/8/2P2PP1/PP2K2P/8 b - -,c5g1
5r2/p5k1/1p4p1/2p2p2/b1Pp2P1/P2Pq1QP/6B1/5R1K w - -,f1f3
r1b1r1k1/p4pbp/6p1/2Bpp3/8/1P2P3/q3BPPP/2RQ1RK1 w - -,e2b5
3r4/8/8/6kb/R7/5PK1/8/8 b - -,h5g6
4k2r/1p2bppp/p3p3/1q1pNn2/1P1P4/P1B2Q2/2rN1PPP/R4RK1 b k -,e8g8
5rk1/3R1pb1/n6p/1p2pPpQ/1q2P3/3BK3/2P3PP/5R2 b - -,b4c5
r1b1k2r/pp1n1ppp/5n2/3p2B1/2pP4/2q1PN2/PP2BPPP/R4RK1 w kq -,b2c3
r1bq1rk1/ppp1ppb1/3p2pp/8/2PPn2B/4P2P/PP1NBPP1/R2Q1RK1 b - -,c8f5
r2rn2k/7q/2bp1n2/pN2p2p/P1P1P1pP/3B2P1/5Q1K/3RRN2 b - -,h8g8
6k1/3p1p1p/r1r3p1/2pP1P2/P2b2P1/NP6/2R1K2P/3R4 b - -,c6d6
r2q1rk1/1b3pbp/p1n3p1/3p4/2p2B2/4PN1P/PP2BPP1/2RQ1RK1 w - -,f3d4
4R3/pp3ppk/7p/3p4/3P4/1P6/P2q1PPP/2R3K1 w - -,c1a1
r1bqkb1r/pp3ppp/2n1pn2/2p5/2pP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e2c4
2r1k3/1b4b1/pn4p1/4p1q1/n2pP3/2P3N1/P2R3Q/1NK2BB1 w - -,c1c2
r1b2rk1/p1pp1pbp/6p1/1p1P4/2Bq1P2/8/PPP1Q1PP/R1B2R1K w - b6,c4b3
r2r2k1/4Bppp/b1n1p3/p2pP3/2nP2NP/P1p2NP1/2P2PB1/R1q1R1K1 w - -,e1c1
3r4/8/8/1N2k3/2K5/8/8/8 b - -,d8c8
r1bq1rk1/ppp1ppbp/n4np1/3p4/2PP1B2/2N1PN1P/PP3PP1/R2QKB1R b KQ -,c7c5
k4r2/4n1b1/5r1p/1R1pp1p1/q1P1N1P1/P4PP1/1P1N3Q/2K4R w - -,e4f6
r2r2k1/5p1p/2R3p1/p2pn3/N2b4/P1B3P1/1P3P1P/3R2K1 w - -,c6c7
1r4k1/1P3pp1/7p/3q4/1Q1p4/8/PR3PPP/6K1 b - -,d4d3
4r1k1/p6p/1p1p4/1P2p3/2PpP1b1/P2q4/2Q2R2/3NK3 b - -,d3c2
4r1k1/p1pq1ppp/1p2r3/4P3/2P2P2/2PQ2P1/P5KP/R2R4 b - -,d7c6
4r1k1/1R1n4/3r2p1/P2Nb2p/8/4B2P/5PP1/1R4K1 w - -,b1b5
r1b2rk1/pp1n1pp1/2p1p2p/3n4/3PP2B/q1P2N2/3Q1PPP/2R1KB1R b K -,d5e7
3r4/3b1kp1/pp3p2/3n3p/1P1N3P/P3BP2/2R2KP1/8 w - -,d4e2
6k1/4qp1p/2p1p1p1/2Nr1n2/3b3P/P7/1PR2PP1/3RQ1K1 w - -,c5b3
5k2/4pp1p/3p2p1/2pPP3/5P2/3R1K2/2r3PP/8 b - -,h7h5
6k1/2p2ppp/2n5/3Pp3/1p1q1P2/3P2PP/2P3B1/1Q3K2 b - -,c6e7
r3r1k1/1pp2pp1/p2p1b1p/1q1P4/8/P1P1BP2/1P2Q1PP/3RR1K1 b - -,b5e2
4k3/7p/3Q2p1/P1p5/q4P2/7P/6PK/8 w - -,a5a6
