1R6/1P4k1/1r5p/8/6PP/4p3/8/2K5 w - -,c1c2
2r2rk1/2p2ppp/p6q/1pP3N1/2n2P2/1P6/P1Q2PKP/R4R2 b - -,c4a3
5R2/5p2/6p1/8/3K2kP/8/8/8 b - -,f7f5
2r1r1k1/pp1b1pp1/3p3p/3Pp1n1/1q2P3/1P1BNP2/P4QPP/3RR1K1 w - -,f2d2
3r1rk1/1p3qp1/p1nb1n1p/2NppQ2/8/2P2P1N/PP3BPP/R4RK1 b - -,f8e8
2r4k/p5b1/3p1q1p/1p1B1p2/1P3p1N/2PQ1PPb/P3r2P/4R1K1 w - -,d3e2
2r1qrk1/p6p/np1ppb2/5pp1/2PP4/2BQ1PP1/PP2N1KP/3R1R2 b - -,e8c6
5k2/p1R4p/5p2/6p1/P5P1/5PP1/2p4K/2r5 b - a3,a7a5
1r4k1/2n2pp1/3qpn2/pr1pNPQp/3P4/2P3N1/RP4PP/4R1K1 b - -,b5b2
8/8/8/8/R6p/3rk1p1/6PK/8 w - -,h2h3
r5k1/p4q1p/3P2p1/1p2P3/2bQ3P/6P1/P5BK/2R5 b - -,a8d8
5b2/7p/8/1K5P/p5k1/8/8/2B5 w - -,b5a4
2B1k2r/2q2p2/4p1p1/2bp3p/5P2/2P1B3/1P1nQ1PP/4RRK1 b k -,c5e3
r2r1bk1/1p4p1/2pp3p/p7/P1P1BB2/1P4Pb/4RP2/3R2K1 b - -,g7g5
8/8/8/2p3R1/2k4P/P2p1P2/4r3/3K4 b - -,e2h2
r1b1k2r/pp3ppp/1q2pn2/3p4/5B2/2R3P1/PP2PPBP/3Q1RK1 w kq -,f4e5
8/7p/4k1p1/5p2/2N2Pn1/5KP1/8/8 w - -,c4b6
r2q1rk1/pp2ppbp/n4np1/2pbN3/P1NP4/6PP/1P2PPB1/R1BQ1RK1 w - -,d4c5
1k4r1/1p6/p2P4/4P2p/2Q4P/6P1/5R1K/1q6 b - -,b1g6
r1bq1rk1/ppn2ppp/2p2b2/8/3N4/PP2P1P1/1B2QPBP/R2R2K1 b - -,d8e7
4rk2/p2b4/1p1ppr1p/3B4/P1P4R/1P3PP1/6K1/4R3 w - -,d5b7
rnbq1rk1/ppp1b1pp/3ppn2/5p2/8/1P2PN2/PBPPBPPP/RN1Q1RK1 w - -,d2d4
4rbk1/r4pp1/p1bp1q1p/1pn1p3/4P3/P1P2Q1P/BP1N1PP1/R1B1R1K1 w - -,f3f6
6k1/5pp1/1p5p/1P1B4/3P2P1/1N5P/2r2P2/4b1K1 w - -,g1g2
r6r/2q2pk1/p2bp1p1/1p1pNn1p/3PnP2/2P2Q1N/PP4PP/2B1RR1K b - -,b5b4
r1bqnrk1/1p1nppb1/p1p3pp/2Pp4/3P4/2N2NP1/PPQBPPBP/3R1RK1 b - -,e8c7
r1bqkb1r/pp1n1ppp/2p2n2/3p4/3QPP2/2N1BN2/PPP3PP/R3KB1R w KQkq -,e1c1:e4e5:e4d5
8/p2Rrk1p/1p4pn/2pRpp2/2P1P3/7P/PP4P1/6K1 b - -,f5e4
r3kr2/3b1Np1/p1n2n1p/1pb5/4p3/1B2P1P1/PP2KP1P/RNBR4 w q -,f7d6
r2qr1k1/1p1nbpp1/2p1pn1p/8/2PP3P/1p3NN1/PBQ2PP1/3RR1K1 w - -,a2b3
3rR1k1/pp4pp/2n2p2/3b4/3p1B2/PP1B3P/2P2PP1/R4K2 b - -,d8e8
5rk1/pp4bp/2q3p1/4p1Q1/3n2N1/6P1/PPr2BKP/2RR4 w - -,g2h3
b1r1r3/q4pbk/p1p3pp/B1n1p3/2P1P1P1/5N2/P1BQ1PP1/3RR2K b - -,c5e6
r2q1rk1/p2b2bp/2p1n2n/4pp2/2P5/2NP2P1/P3N1BP/1RBQ1RK1 b - -,d8a5
r3r3/2p2ppk/p2nQ2p/Pb2pN2/1p2P3/1P5P/2PB1PP1/R3R1K1 b - -,e8e6
r3r2k/1p2q1pp/2n1B3/p4P1P/Pb2p1P1/4B3/1PP2Q2/2KR3R w - -,d1d7
2rr2k1/1p1bnpp1/1Pp1pq1p/4N3/2QP4/4P3/4BPPP/R4RK1 b - -,d7e8
r1bRn3/p5k1/1p4p1/5p2/2B2P2/1NP1P3/PP6/4K3 b - -,e8f6
r2q1rk1/4bppp/pn2bn2/1p1Pp3/8/PNN1BP2/1PPQB1PP/R2R2K1 b - -,b6d5
8/8/2pK2r1/2P5/3k2P1/8/2R5/8 w - -,d6c7
4bk2/2b5/2p1p1p1/1pPp1pP1/1P1P1P2/1N1BP3/5K2/8 w - -,f2f3
r3r1k1/ppq2bbp/3p1np1/2p3B1/2PpPN2/1P3PPB/P6P/2RQ1RK1 b - -,b7b5
1r3r2/1p4pk/p1p4p/n1Pp1p2/3PpP2/2P1B1PP/7K/2R1R3 w - -,c1b1
2b2R2/2p3k1/p1p5/4rp1P/2P2K2/1P4P1/8/8 w - -,f8c8
r1b1r1k1/ppqn1pbp/5np1/2p1p3/2P1P3/1P3NP1/PBQ2PBP/RN2R1K1 b - -,d7b8
1Q3nk1/2p2qp1/1p1p1np1/3Pp3/1PP5/4BB1P/4PP1K/8 b - -,f7d7
3r2k1/5pp1/7p/8/3Q4/3P2KP/2q2P2/8 w - -,d4d8
2kr1qnr/pbpp2pp/np6/2bNPp2/2P2P2/6PN/PPQB3P/2KR1B1R w - -,a2a3
rnbr2k1/pp4pp/2p2n2/4ppB1/2P5/2N3P1/PP2PPBP/R3K2R w KQ -,f2f4
1k5r/1pr1bB2/p4p2/1q1p3p/6b1/3N4/PPPQ2PP/1K2RR2 w - -,f7e6
r1b1r1k1/1p1q1pp1/p6p/2p1P3/5NP1/3p1N1P/PP1Q1P2/R3R1K1 w - -,d2d3
r4rk1/pp2bppp/2Pp1n2/q7/8/4BQ2/PPP2PPP/RN3RK1 b - -,b7c6
8/5p1k/1Pq3p1/8/1RN2PP1/K6P/8/8 b - -,c6f3
8/1k4p1/2p4p/8/1P6/P2r2PP/1R3PK1/8 b - -,d3a3
3r2k1/4ppb1/1p1P1npp/2p1B3/1r6/1PN2R1P/P4PP1/4R1K1 b - -,d8d7
r1bq1rk1/1p1nbppp/p2ppn2/P5B1/4P3/1NN5/1PP2PPP/R2QKB1R w KQ -,f1e2
3r1rk1/1bN2pbp/p4qp1/4p3/1P1n3P/2B5/PQ2BPP1/R2R2K1 w - -,c3d4
3qkbnr/rp3pp1/p1n1p3/3p2Pp/3P1B1P/1QNBPP2/PP6/2R1K2R b Kk -,f8d6
8/1p6/p3k3/2Bbb2p/P6P/1P2Rp2/5K2/8 b - -,e6f5
r4rk1/1q1nbppp/pBnpb3/P7/1p2PR2/1N1B4/1PPNQ1PP/R5K1 w - -,b6e3
3RQ3/5pk1/pq4p1/4p2p/2Pb3P/2r3P1/3R1PK1/8 b - -,g7f6
r4rk1/1b1nq1pp/1pp5/p2p1p2/P2Pn3/1PNBPN2/2Q2PPP/2R2RK1 b - -,a8c8
4r3/2R2pkp/6p1/3p4/1PbNn3/6P1/P4PBP/6K1 w - -,a2a3
8/B7/2K1p3/8/4k3/5p1p/7P/8 b - -,e4d3
8/8/p7/P2k2pp/8/1P3KPP/8/8 w - -,h3h4
5r1k/4ppr1/7p/p1qP1B2/Pp2p2P/2P2P2/1P1Q4/2KR4 w - -,f3e4
r2qk2r/ppp1bpp1/2n1b3/3np2p/7P/2NP1NP1/PP2PPB1/R1BQ1RK1 b kq h3,f7f6
8/8/6p1/5k1p/3bp2P/6P1/2R1K3/1r2B3 w - -,e2f1
r4rk1/p1q1bpp1/4p1p1/3pP3/3NnB2/7P/PP2QPP1/3R1RK1 w - -,f2f3
r2qk2r/pp2pp1p/2p2bp1/3nNP2/3P4/4B3/PPP1Q1PP/R4RK1 b kq -,f6e5
1q4k1/R4p2/2Pp2p1/3P3p/2N3nP/1P4P1/Q4RK1/2b1r3 b - -,g4f2
8/2R5/4Kpk1/8/3B4/5r2/8/8 b - -,f3f4
8/4k3/1pB5/5r2/PP1P4/8/2K5/8 b - -,e7d6
rn1q1rk1/1p3p1p/p2p1np1/2pPp3/2P1P3/N6P/PP3PP1/2RQRBK1 b - -,b8d7
1k4r1/p1p5/2Q1pBp1/4P2p/2P5/PP4P1/7q/2KR4 w - -,c6e6
r1bqrnk1/ppp2pbp/3p1np1/8/2PPp3/1PN1P3/PB1NBPPP/R2Q1RK1 w - -,d1c2
