8/3n1K2/2kb1B1R/2p3RP/2r5/8/8/8 w - -,g5f5
5rk1/1pr4q/2p5/4N1PQ/p1Pp1P2/b7/8/1R3RK1 w - -,h5g4
r4qk1/5p2/4pP2/1p5Q/1n1p2PP/3p3K/1P6/1R2R3 w - -,e1e5
4r3/1pp3kn/2np2Q1/p5pp/P1PP4/2P3NP/3B2P1/R5K1 b - -,g7g6
q4rk1/5ppp/3ppb2/1p6/BP2bP2/2P1Q3/1B4PP/R4R1K b - -,e4g2
r1bq1rk1/4bppp/ppp2n2/2n1p3/P3P2N/2N2Q2/BPP2PPP/R1B1R1K1 b - -,a6a5
4r3/2kb2bp/r1p3p1/N7/BB1p4/1P2p3/P5PP/1KR1R3 w - -,c1c5
8/1p3r1p/p1b5/4k1P1/6QP/8/PP6/6K1 w - -,h4h5
8/6k1/6b1/p1p1Rn2/8/P1nP1BP1/Pr3PKP/8 w - -,f3g4
7r/4k3/3R2Pp/p1rRPp1P/1p4P1/8/PP6/1K6 b - -,c5d5
8/6p1/p2k3p/1p2pp2/1Pn5/P1PKPB2/6PP/8 w - f6,f3b7
2r3k1/1b5p/p4rp1/Pp1p4/1P2pPR1/4P3/2qQB1PP/3R2K1 w - -,g4g5
8/5p2/4p3/r3Pnp1/6Rp/4k2P/6P1/1R4K1 w - -,b1b3
r1bqr2k/pp5n/5p1n/2p1pP1Q/3pN2P/3P3B/PPP4K/R4R2 w - -,h5h6
rr4k1/2q3pp/4pn2/pBPbNp2/Qp1P4/4P2P/1B1n1PP1/R3R1K1 w - -,b5d3
r4rk1/1b1nqppp/pp2pb2/2p5/P1BP4/2B1PN2/1P2QPPP/2RR2K1 b - -,c5d4
2q1r1k1/2rb1pbp/6p1/2PQ4/p2NP3/8/2R1BPPP/3R2K1 b - -,e8e5
r5k1/pp3p1p/1b4p1/8/8/2P2q2/PP2rPPP/R1B2RK1 w - -,g2f3
8/p1n5/2p1k3/1P3pp1/1PPP4/3BKP2/8/8 b - -,c6b5
4k3/2R3pB/4p3/8/1r1p4/6P1/1n3P1P/6K1 w - -,h7g6
r4rk1/ppp1q2p/4p1pb/3pPnN1/3P3P/6P1/PPPQN3/2KR3R w - -,c1b1
2rq1r2/1b3kp1/p5p1/5p2/3PpP2/2B1P3/1P3Q1P/R5RK w - -,f2g3
6k1/1q2bp2/ppn1p1pp/2p1P3/P1P2P2/2N1P2P/1B1Q2P1/6K1 b - -,c6a5
2kr3r/pq3p2/5P1b/2pPN2p/2P2Bp1/P2Q4/2K4P/4R2R b - -,b7a6
2q1k2r/1p2bp2/4p3/P2pP1p1/1p1P4/4QNP1/5P2/1R4K1 b k -,c8c2
8/5B2/1R4p1/4kp2/1p3r1p/5P1P/3n1PK1/8 b - -,g6g5
3n3Q/pp1nkp2/4p3/3pP1pB/3P3p/8/PqR2PP1/3R2K1 b - -,b2c2
rnbq1rk1/p1p2ppp/1p2pn2/3p4/1bPP4/P1NBPN2/1P3PPP/R1BQK2R b KQ -,b4c3
6k1/2Bn1ppp/1p6/5PP1/p7/3R4/4r1r1/R5K1 w - -,g1h1
2r1r1k1/p4p1p/bp3np1/1P1p4/3N4/P3P1P1/5PBP/R1R3K1 b - -,a6b7
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQK2R b KQkq -,f8e7:f8c5:d7d5
r2q1rk1/1bp1bppp/p1np1n2/1p2p3/P3P3/1BPP1N2/1P1N1PPP/R1BQ1RK1 b - -,f8e8:c6a5
1k1r3r/1b2bpp1/1qn1p2n/p6p/1p1pPP2/3P1NPP/PP1B1NB1/R1RQ2K1 b - -,b7a6
4r1k1/2qb1pp1/1bp2n2/p2p4/P2P3p/3Q1PP1/3BP1BP/R1R3K1 w - -,g3h4
4r1k1/2r3pp/qp2pp2/1Rb5/2P1Q3/8/P1RN1PPP/6K1 w - -,e4d3
r3k2r/pppq2pp/2n2p2/3p1n2/3P4/P1PBB3/2P2PPP/R2Q1RK1 b kq -,f5d6
3q1rk1/6p1/3bR3/ppp4Q/5P2/2PP2P1/P5N1/6K1 b - -,d6e7
1rb5/2p4p/P1P1p1p1/2kp4/R2N1P2/8/5PPK/8 w - -,a6a7
2rb1rk1/1b4pp/3p4/p4p2/Pp3P2/1P1PNP1K/3BR3/5R2 w - -,e3c4
1r5r/3kppb1/3p2p1/pp5p/4PBnP/2PN1KP1/PP2RP2/R7 b - -,e7e5
2r5/p7/1pNR3p/6k1/5n2/8/PPP5/7K w - -,c2c3
r1b2rk1/ppp1qppp/2p5/4Pn2/8/2N2N2/PPPQ1PPP/R4RK1 b - -,f5h4
r2qk1nr/1bp2ppp/p3p3/bp6/PnpP4/4PN2/1PQNBPPP/R1B2RK1 w kq -,c2c3
rn1q1rk1/pp2bppp/2pp1n2/4p2b/2P5/P1NP1NPP/1P2PPB1/R1BQ1RK1 b - -,b8d7
8/8/4B2b/p2p4/P1Pk4/8/8/3K4 b - -,d5c4
1r4k1/1p3ppp/8/R2p4/3P4/8/1P3PPP/6K1 b - -,b8d8
r2qkb1r/3n1ppp/3pbn2/p2Np1B1/4P3/R3NB2/1PP2PPP/3QK2R b Kkq -,h7h6
2bq2k1/5p2/p1p3pb/1p2p2p/4P3/1BP2P2/PP3QPP/3N2K1 w - -,f2e2
2r2rk1/4pp1p/p5p1/4p3/4P2P/1P6/P3RPP1/3R2K1 b - -,c8c7
6k1/3R4/7p/3PpN2/2K1PbP1/8/8/5r2 w - -,d5d6
r1b1q1k1/pp4p1/1n5p/2p1N3/2P4B/P1P5/3Q2PP/5RK1 w - -,d2d6
3K1k2/5p2/5Bp1/6P1/1bB5/8/8/8 b - -,b4a3
r3k2r/pp3ppp/2n1pn2/2P3B1/bbpR4/2N2NP1/1P2PPBP/4K2R w Kkq -,d4c4
1r1rn3/p5k1/2R2pPp/2QnP3/p7/P4N1P/1qB2RP1/6K1 w - -,f3d4
8/6k1/4Bp2/p3nP2/2pR4/P1r4P/6P1/7K b - -,c3a3
8/pp3pk1/1bn2qpp/8/2B5/1P3N1P/P2Q1PP1/4r1K1 w - -,d2e1
r1b5/3n1pkp/1qp1p1p1/p2nP3/1ppPN3/P1P3P1/3Q1PBP/R3R1K1 b - -,b4b3
1r5k/p1r4n/8/2p2P2/5RPp/5B1P/P7/3R1K2 b - -,h7g5
r1bq1rk1/ppn1ppbp/1np3p1/8/2PP4/P1N2N1P/1P2BPP1/R1BQ1RK1 w - -,c1e3
3rRk2/5p2/pN6/2qB4/5P2/3K4/PP6/8 b - -,f8e8
r2qk1r1/5ppp/2p1p3/1p1n1P2/2p5/3n2P1/PBQP1PBP/1R2R1K1 b - -,a8a2
r1bqk2r/pp3ppp/1npbpn2/8/4P3/5NP1/PPQP1PBP/RNB2RK1 b kq e3,d6c7
r5k1/pp2P1pp/2ppq3/4n3/2P3p1/2P3P1/P2NQ1B1/5RK1 w - -,c4c5
8/5pp1/2k1p3/6rp/K5P1/R3P2P/8/8 w - h6,a3c3
rnbqkb1r/ppp2ppp/4pn2/8/2Pp4/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e2e3:e1g1:b2b4:d1a4:d2d3
2r2rk1/1p2npb1/1pnBp1p1/3P2Pp/7P/2PB4/PP1N1P2/R3K2R b KQ -,e6d5
rnbqk1r1/pp3p1p/4pn1Q/2pp4/1b1PP3/2N5/PPP2PPP/R1B1KBNR w KQq c6,c1e3:e4e5
4rrk1/1bq2pbp/p1n3p1/P1p1p2n/1pNpPP1N/1P1P2P1/R1P3BP/Q1B2RK1 b - f3,e5f4
2r1r1k1/1ppq1pb1/3p2pp/1PNPp2n/2P1P3/1Q3NP1/1B3PKP/R3R3 b - -,d6c5
8/5pk1/6p1/P3R2p/5K1P/r4P2/3R4/5b2 b - -,a3a4
6k1/pR6/8/7B/3b4/1P4PK/5r1n/2B5 w - -,c1f4
r4rk1/ppq2pbp/2ppbnp1/P3p3/1n1PP3/1PN1B1PP/2P1NPB1/R2Q1RK1 b - -,a8d8
r5k1/p2q2b1/1n1pr3/1pp5/4b3/4N1Q1/PPP3BP/R1B2RK1 w - -,g2e4
6k1/3b2bp/p1ppq1p1/2p1p1B1/4P3/1PNP3P/P1P2QP1/6K1 b - -,h7h6
3k3r/1p6/p2ppnB1/3b4/3N3B/8/P1P4P/2K5 w - -,h4f6
r3r1k1/pp3ppp/2p5/3p4/1P1Pq3/4P2P/P1Q2PP1/1R3RK1 w - -,c2e4
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N4P/PP2NPP1/R1BQKB1R b KQ -,c7c5
rnb1kb1r/pp3ppp/2p5/3p4/2qNn3/2P1B3/PP2NPPP/R2Q1RK1 w kq -,b2b3
r1bqrnk1/pp3pp1/2pb1n1p/3pp3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 b - -,f8g6
8/6pk/r3K2p/3N3P/8/5R2/8/8 w - -,e6f7
r2q1rk1/1b1nbppp/1p1ppn2/p1p5/P2P4/2P1PN1P/1P1NBPPB/R2Q1RK1 b - -,f6e4
4rrk1/3n2p1/p3qn1p/1pbbp3/2p1P2B/5N1P/PPBRQPP1/3R2K1 w - -,e4d5
4q2k/1p3pp1/3R3p/pN6/P1r5/2P5/1KP2Q2/8 w - -,f2d2
