8/Pk3p2/6pp/4p3/1P6/6PP/4KP2/8 b - -,b7a7
1r2r1k1/1pp1qppp/2n2b2/pR6/4p3/P1P1PP2/2QPB1PP/2B2RK1 b - -,e4f3
3brBk1/p4p1p/2p1b1p1/2Pp4/3P4/2qBQ3/P5PP/4RRK1 b - -,e8f8
2r2rk1/pb3ppp/4pn2/1Pb1B3/8/5N2/PPB2PPP/R1R3K1 w - -,e5d4
r1bqk2r/ppppnppp/8/2bPp3/1P6/P5P1/3PPPBP/R1BQK1NR b KQkq b3,c5b6
r1bq1rk1/pp1nbpp1/2p1p2p/3n4/2BP4/2N1PNB1/PP3PPP/2RQK2R b K -,d7f6
3q4/pp1b1kp1/4p3/4p3/1PP2pPb/P2B1Pr1/4QK2/4R2R b - -,d7c6
2Rrr1k1/pN6/6p1/3p4/1P2p3/4P2q/P3QP2/5RK1 b - -,d8c8
r6k/p3r1pp/1pp2p2/2p5/P2nP1N1/3P3P/1PP2RP1/R5K1 w - -,g4e3
8/4Q3/7k/7p/7P/5KP1/8/3q4 w - -,e7e2
5R2/p3r1p1/1kn4p/1p2p3/1P2Pp2/1KB2P2/6PP/8 w - -,f8a8
r3bbkr/2N2qp1/1P3p2/4p2p/p3P3/6NR/1PP3PP/3Q1R1K b - -,a8b8
r1b1k2r/1ppnqppp/3ppn2/p7/2PP4/P1B1PN2/1PQ2PPP/R3KB1R b KQkq -,e6e5
1k3nrr/p1q4p/1p3p2/3p1b1P/1PpPpPP1/P1P4Q/4NR2/R6K w - -,g4f5
8/5p1r/p3p3/k1p1P1KP/2Pp1P2/3P4/1R6/8 b - -,a5a4
3rr1k1/ppq2pp1/2pb1n2/4n1p1/N2B4/1P2P1P1/P3QPBP/2RR2K1 b - -,c7e7
4r1k1/pp3qbp/6p1/3p4/2p5/2PRBP2/PP2QPKP/5N2 b - -,c4d3
4r3/5k2/1R2n1b1/P2R4/8/3p1PKP/P5P1/8 b - -,e8g8
r4rk1/2p2p1p/p2b4/4pp2/Pp2P1b1/1B1R4/1PPN1PPP/R5K1 b - -,f5f4
rnbq1rk1/ppp2pbp/3p1pp1/8/2P5/1PN1P3/P2P1PPP/R2QKBNR w KQ -,g2g3
3R4/8/8/5p2/4n1p1/8/7k/5K2 b - -,f5f4
8/p4p1k/1p5p/1N2p3/P3qn2/8/1Q1R4/3K2B1 b - -,e4h1
r3k2r/pp1nbppp/2p1pn2/8/1q1P1Bb1/2N2N2/PPPQBPPP/2KR3R w kq -,c1b1
r1bq1rk1/pp2pp1p/2np2pb/3n4/3P4/2P2NBP/PP1NBPP1/R1Q1R1K1 b - -,d5f4
r2r2k1/1p1b1pp1/3p2n1/2pPP3/2P1P3/6PP/PB4B1/R4RK1 b - -,d6e5
2rq2k1/1p3pp1/3np3/p2p2p1/3P2P1/QP1NPP2/P4KP1/2R5 w - -,c1c8
1n6/2r2pkp/p3pPp1/1p2P3/3P4/2P5/5PP1/R4RK1 b - -,g7f8
r4rk1/ppqn1ppp/3bpn2/3p3b/2PP4/1Q1B1N1P/PP1N1PP1/R1B1R1K1 w - -,c4c5
rn1q1rk1/pbp3bp/1p1ppnp1/5p2/1PPP1P2/2N1PN2/P2BB1PP/R2Q1RK1 b - b3,b8d7
r3kb1r/pp1n1ppp/2p2q2/8/8/1B2BP2/PPPQ1P1P/2KR3R b kq -,f6f5
8/1B6/1p3k1p/1P3Pp1/8/6P1/2n2K1P/8 b - -,f6f5
2Q5/5bk1/p1p5/q2p3p/3Pp3/1p2P1NP/6P1/6K1 w - -,g3f5
2rr2k1/3n1pp1/pq2p2p/8/Pp1pP3/1P1Q1PP1/2P3KP/R2N1R2 w - -,a4a5
r1rb2k1/1pq2pp1/p2p1n1p/P2Pp3/8/2N1BQ1P/1PP2PP1/R3R1K1 b - -,c7d7
8/7k/1p1p2pp/3Pb3/1P2N2P/1R1K1P2/6r1/8 b - h3,g6g5
2q2bk1/1b1r1p2/p1pBp1p1/2P1P2p/PP2BP2/5QP1/7P/3R2K1 b - -,f8g7
4rr1k/p1n2nbp/1p3q2/1PNPpp2/P7/1Q3P2/4RBPP/4RBK1 b - -,b6c5
1r5k/1p1R2p1/1P3b1p/p7/8/1q3N2/5BP1/2R3K1 w - -,f3d2
r2qk2r/1p2bp2/2pn1np1/p2p4/3P2P1/PPN1PB2/R2B1PQ1/4K2R b Kkq -,h8h1
r2qkbnr/pppnpppp/8/3p3b/8/1P4PP/PBPPPPB1/RN1QK1NR b KQkq -,c7c6
2N2r1k/1p4pp/4pb2/8/7P/PQ4B1/KPR5/7q w - -,b3e6
r3kb1r/pp2npp1/1qn1p3/3pP2p/3P4/5NN1/PP3PPP/R1BQ1RK1 w kq h6,h2h4
r1b2rk1/ppq1pp1p/2n2npb/3pN3/3P1P2/2PB4/PP1N2PP/R1BQ1RK1 w - -,d2f3
r3k2r/q4pp1/3b1n1p/8/4p1b1/3P4/PPP2PPP/RNB1QRK1 b kq -,a7c5
r2q1rk1/2pbbppp/p1np1n2/1p2p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 b - -,a6a5
r2q1rk1/1p2ppb1/p1Pp1npp/n4b2/2P2B2/1PN2NP1/P3PPBP/2RQ1RK1 b - -,a5c6
7k/p7/3r4/1Pp5/5N2/4K1P1/8/8 w - -,f4d3
rn2qrk1/pb4pp/1p1p4/2pPppB1/2P4P/2P3P1/P1Q1PPB1/R2R2K1 w - -,g3g4
r1bq1rk1/pp4b1/3N3p/n2p2p1/1P4n1/3B1NB1/P1PQ2PP/1R3RK1 b - -,a5c6
r1bqrnk1/pp4bp/2pp4/5p1n/2PP1P2/2N1B2P/PP1QN1BK/3R1R2 b - -,f8g6
5r1k/6pp/1p6/1Pq1p3/2BnQ3/1P4P1/6KP/4R3 b - -,d4c2
r1b2rk1/1ppnqppp/3p1n2/4p3/p1PPP3/P1BB1N2/1PQ2PPP/R4RK1 w - -,f3h4
rn5r/2q1bpk1/4p1p1/p1p1P2p/P1Pp1P2/1P1N1Q2/3B2PP/1R3R1K b - -,b8c6
r1bq1rk1/pppn3p/3p1Bpn/4pp2/2PP4/2N1PN2/PP2BPPP/R2QK2R b KQ -,d8f6
2r5/4qrkp/Q2R4/5p2/4p2P/4PpP1/PP3P2/3R2K1 b - -,c8c2
r2qk2r/p3nppp/2p1p3/2b1Pb2/3p1B2/5N2/PPPN1PPP/R2Q1RK1 b kq -,e7d5
r1bq1rk1/1p2n1b1/p1np2pp/2p1pp2/2P5/1PNPPNP1/PB1Q1PBP/R2R2K1 b - -,g8h7
1r5r/3k2p1/3bp2p/1p1nn3/8/3P2P1/PP1BPPBP/2R2RK1 w - -,f2f4
3q1rk1/pb2ppb1/1pr4p/3p2pn/3P4/2P2NB1/PPQN1PPP/3RR1K1 w - -,f3e5
8/1p4p1/pnp2k1p/5P1P/PP3PK1/8/2N5/8 w - -,a4a5
3q1rk1/p1p1bpp1/3p1n1p/2p2P2/1r5B/2N5/P1P1QPPP/R3R1K1 w - -,f2f4
r4k2/8/1Q2p1B1/1p1q1p1P/8/2P5/1b6/1KR5 w - -,c3c4
3q1rb1/pp1r3k/2p3pn/4Pp2/3P1N1p/2PB1RPP/P4Q2/5RK1 w - -,g3h4
3r3r/kpq1bp2/pnb1p1p1/n2pP1Pp/P1pP1P1P/2P1N3/QPBN3R/R1B2K2 w - -,f1g1
k7/1bq2pp1/1p1bpn1p/p7/2PB4/1P1N1P2/P1B3PP/1K4Q1 b - -,f6d7
r4rk1/4ppbp/1n1p1np1/qNpP2B1/P3P3/5P2/1P1Q1NPP/R4RK1 b - -,a5d2
r1bq1rk1/p2pnpbp/1pn1p1p1/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - -,a1b1:d1c1
2k1n1r1/1pp1bNpp/p1p5/6B1/6P1/2P4P/PP3P2/3R2K1 b - -,e7g5
3rr1k1/pp1nbpp1/1qp2n1p/4p3/4P1PP/1NP1B3/PP3PB1/R2Q1RK1 b - -,e7c5
rn2kb1r/pp3ppp/2p2n2/4P3/P1p3b1/4PN2/1P3PPP/R1BNKB1R b KQkq -,f6e4
6k1/1b6/8/1p2p1p1/1bp3P1/2Pn1NQ1/1P3R1P/2qNK3 w - -,e1e2
6k1/1p1Qbppp/p3p3/8/2q5/P1P1B1PP/5P1K/8 b - -,e7a3
2rr2k1/2q1bppp/2bppn2/p5B1/1p2PP2/P1N1QB2/1PPR2PP/1K2R3 w - -,a3b4
r4rk1/pb2ppbp/p2p2p1/q7/4nP2/1NNQ3P/PPP3P1/R1B2RK1 b - -,a5f5
2r1n1k1/5ppp/8/B7/2p5/P4b2/5P1P/1R2R1K1 w - -,e1e3
r4rk1/1p4pp/1np1b3/p1n1pp2/2P5/1PN1N1P1/P3PPBP/1R3RK1 w - f6,f2f4
3r1nk1/p3rqpp/1pn5/2p1p1N1/2P1NP1Q/3PP3/P5RP/3R2K1 b - -,f7g6
6k1/8/6p1/3RK2p/5P2/6P1/7r/8 w - -,e5f6
8/2p2k2/1p3p2/4n3/3N1nP1/rR5P/5P2/5BK1 b - -,a3b3
3q2k1/2p4p/Q2b1pp1/8/5P2/4B1P1/PP5P/6K1 b - -,g8g7
r2q1rk1/1ppb3p/n2p2p1/p1nPp3/2P1Pp2/P1N2P2/1PBNQ1PP/R3K2R w KQ -,b2b3
r5k1/3rbp1p/1p1p2p1/2nPp1PP/p3P3/2N1BP2/PPK5/6RR w - -,g1a1
2b1r1k1/Bp3ppp/5n2/q2p4/4P3/1P3P2/2Q1BKPP/3R4 w - -,c2c5
3r4/p4p1p/1p3k2/2P2pr1/4pR2/P5PB/P3P1KP/2Rn4 b - -,b6c5
r1bqk2r/pp1nbpp1/4pn1p/2pp4/4P2B/P1NP1N2/1PP2PPP/R2QKB1R w KQkq c6,f1e2
r4r2/1ppkn3/p2pb3/5pBn/8/2NB2P1/PPP4P/4RRK1 w - -,g5e7
q4rk1/1bp2pp1/1bnp1n1p/1p6/3PP3/NB3N2/1P3PPP/2BQR1K1 w - -,a3b5
