3Q1b1k/8/6P1/8/2PpBq2/p7/5P2/5K2 w - -,d8d4
r1q1kb1r/3N2pp/p3pp2/5b2/Q2P4/2N4P/PP3PP1/R1B2RK1 b kq -,c8d7
8/5R2/3k1N2/3P2p1/5rP1/8/3r1PK1/8 w - -,f6e8
3r1r2/1pqn1pbk/p1p1b1pp/2P1p3/N3P3/1P4PP/P2BQPB1/R2R2K1 b - -,f7f5
8/8/6r1/5K2/4pRP1/8/P3k3/3q4 w - -,f5g6
b7/7P/4k1B1/p1p5/2P2p2/1P4p1/P3K3/8 b - -,f4f3
r2q1rk1/5pbp/1N1p1np1/2pP4/P7/2N3P1/1P2QPKP/R1B4R b - -,d8b6
6k1/p5pp/4p3/Pr1n4/1BR3P1/3N4/4PK1P/8 b - -,d5b4
8/p2k1p2/2p2pr1/1p1p3p/1P1P3P/P1P1R1P1/5PK1/8 w - -,g2h3
rnbqk2r/pppp1ppp/8/8/2P1P3/2N2N2/PP1Q2PP/R3Kn1R w KQkq -,h1f1
3q1rk1/1p1nbpp1/p3b2p/P2p4/3PPBP1/7P/8/3RQRK1 b - -,d7f6
3rk3/5p2/4p3/2r5/3q2P1/Q3R2P/5K2/1R6 w - -,f2g3
2kr3r/p3b1B1/2p5/q2p1P1p/4ppn1/2N4Q/PPP4P/2KR1R2 w - -,f5f6
8/Bp1r1k1n/2p2r2/4R1p1/6K1/P5P1/1P6/5R2 w - -,f1e1
2r2kr1/p4p2/1p2bp1p/3p4/2pP4/P3PN2/1P3PPP/2R1K2R w K -,g2g3
r3kb1r/1p1n1pp1/p1pq1n2/3pp2p/1PP4P/P1N1P1Q1/1B1PBPP1/R3K2R b KQkq -,d6e6
8/5k1p/4b1p1/3nBp2/8/5P2/4B2P/2K5 w - -,c1d2
6rr/kp2q3/p1p1p3/P1Pp1p2/1P1P1R1p/4P2P/4R1P1/5Q1K w - -,f1f2
4rk2/1p3pp1/3b2bp/r2p4/3P4/PB2PN1P/1P3BP1/3R2K1 b - -,e8c8
1r6/7k/b1pNpPp1/p3P2p/2pPR2q/P1Q5/6BP/6K1 b - -,b8b1
rnb2rk1/pp2q1pp/2pbp3/3p1p2/2PPn3/P1N2NP1/1PQ1PPBP/1RB2RK1 b - -,b8d7
2n1r1k1/1bQ2ppp/p1q5/1pp5/4PB2/5P2/PP4PP/3R1BK1 w - -,d1d7
r2qk2r/pp1nbppp/2b1p3/2ppP3/P4B2/3P1N2/1PP2PPP/RN1QR1K1 w kq -,d1d2
rn2r1k1/1bq1bppp/p2ppn2/2p5/2PNPP2/2N3P1/PP4BP/2RQR1K1 b - -,b8d7
r4rk1/ppp1qpbp/2np1np1/4pb2/2PP4/PPN1PN2/1B2BPPP/R2Q1RK1 w - -,f1e1
r1b1kb1r/pp1p1ppp/1qn1pn2/2p3B1/3P4/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,d1c1
8/2q2pk1/1p2pbp1/pQ6/8/2P2BPP/1P3P2/6K1 b - -,f6e7
8/8/4kp1P/5R2/4r1P1/5K2/8/8 b - -,e4a4
1rr3k1/1pqbppbp/p2p1np1/2p5/PnPPP3/1PN1B1PP/4NPB1/2RQ1RK1 b - -,c5d4
r1q3k1/p3pbbp/2p2pp1/2NpP3/2nP1P2/6P1/PPQ3BP/2R2R1K w - -,c2e2
8/p4pk1/B7/5n2/6n1/4rN2/PP5K/5R2 w - -,h2h3
r2q1rk1/p5bp/3p1np1/2pPpbB1/Q1P1p3/P1N5/4BPPP/1R3RK1 w - -,b1b7
8/8/2P5/6pK/4Bk2/5P2/8/6r1 w - -,e4d5
8/7k/7p/P3P3/2Q2P2/1P2p3/1K6/6q1 w - -,a5a6
4rqk1/1p5p/2np2p1/8/1p3P2/1Nb2Q2/P5PP/2BR2K1 b - -,g8g7
2b5/6k1/1p2pp2/pB1pP3/P2P1PK1/1P6/8/8 b - -,g7g6
1rb1rbk1/2q2p2/2np1npp/1pp1p3/1P2P3/2PP1NNP/B2B1PP1/R2QR1K1 w - -,d1c1
4bnk1/4ppb1/1N1p2pp/3P4/1p2P3/1N2P1PP/P7/5BK1 w - -,b3a5
6k1/6p1/R5pp/4N3/8/7P/PP3rPK/2r5 b - -,f2e2
3r4/p6p/1pn1kp2/2p5/4P3/1PP2R1P/P5P1/2B3K1 b - -,d8d1
1r6/5p2/3p1kpp/1bpP4/P3P2P/2R1KPP1/6N1/8 b - -,b5a4
8/8/8/8/6p1/8/4KNkp/8 w - -,f2g4
1r6/4k3/p4p2/K1p3p1/1nP2p1p/5B1P/3R1PP1/8 b - -,e7e6
2r1qrk1/1ppb1p1p/1n3p2/p2Pp3/Pb2P3/1QN2NP1/1P3PBP/R1R3K1 w - -,f3h4
8/1P2Q2p/7k/5p2/8/6P1/q4K2/8 w - -,f2f3
5rk1/1p2q1p1/2n1b1Bp/p2pn2P/7N/5P2/PP6/R1BQ2K1 w - -,d1e1
rqb1r3/3n1pkp/p1p2np1/1p1p4/PP1PPb1B/2NB1N2/2Q2PPP/1R2R1K1 w - -,e4d5
r2q1rk1/p3ppbp/2b2np1/4p1B1/8/2N5/PPP1QPPP/2KR3R w - -,d1d8
3r1rk1/1ppqb1pp/2n2p2/p1p1p3/P1b1P1PN/2PPB2P/1P2QP2/3RK2R w K -,d3c4
r1bq1rk1/pp2bppp/8/2pn4/3N4/1P2P1P1/PB3PBP/R2Q1RK1 w - -,d4f5
8/3k4/8/1K2R3/1p6/8/P7/4b3 b - -,e1c3
3rr3/2p2pk1/1p1p2bp/pPnN2p1/P3P3/2P2PP1/2B3P1/3RR1K1 b - -,d8d7
8/4R2p/6p1/5qk1/5R2/4P1PP/5P1K/8 b - -,f5c8
r7/P7/8/5pk1/4p3/R4P1p/5K2/8 b - -,e4e3
8/p1n3k1/1p1p1b1p/3P4/1P2KP1p/4B3/P3B1P1/8 w - -,e3f2
rnbr2k1/p4pp1/1pp4p/3p4/1P1P4/3BP3/P3NPPP/R2R2K1 w - -,d1c1
r2q1rk1/4bppp/p1nppn2/1pp5/4P3/P1PP3P/1P1NQPP1/R1B1RBK1 b - -,f6d7
r1b2rk1/ppq2ppp/2nbpn2/3pN3/5B2/2PBPN2/PP3PPP/R2QK2R w KQ -,e5c6
r3r1k1/1bq2p1p/3ppbpB/1p6/1Nn1P3/2P3P1/RP2QPBP/R5K1 w - -,a2a8
3r2k1/p5pp/2Q5/qP1bPp2/Ppp2P2/3rP3/2R3PP/4BRK1 w - -,c6c5
8/4R1bk/2R3p1/r7/6KP/6P1/8/8 b - -,a5a4
3r1rk1/p4pb1/2p2np1/3P4/4p1qp/1P2PbP1/PB1QNP1P/R1R2BK1 w - -,c1c6
6k1/4r2p/p5p1/5p2/4bP2/2B1P1P1/P1p1K2P/1rR5 w - -,e2d2
r1q2r2/1pp4k/2nb1npp/p2Np3/4PP1N/4B1P1/PP4QP/R3R1K1 b - -,f6g4
2r3k1/p1r2pp1/1p2b2p/1PPp4/P2B4/5BP1/2R2P1P/2R3K1 w - -,c2c3
1k1r1b1r/pp3p2/6pp/3Pp3/7q/P2Q1P2/1PP1B2P/RK5R b - -,f8c5
r4rk1/2p2ppp/p1p1p3/q7/Nn1P4/1Q4P1/1P2PP1P/R1R3K1 b - -,a5b5
r2q1rk1/1bp1bppp/p7/1p2N3/Pn6/1N1P3P/1PP2PP1/R1BQR1K1 b - -,d8d5
1R3b2/6k1/4r3/8/P4P2/3pN1K1/5P1P/8 b - -,d3d2
6k1/q4ppp/1b2p3/8/3r1Bn1/5B2/1P3PPP/Q4RK1 w - -,a1a7
r4rk1/2q1np1p/3p2pb/p2Pp3/1p2P2P/1P2N1PB/P3QP2/R4RK1 b - -,h6g7
2r2r1k/3b2pp/1q1p4/pP2p1b1/R1B5/2N2P2/1P2Q1PP/5R1K b - -,g5d8
r3nrk1/ppp2ppp/3pb3/8/2P1P1Pn/2PP2BP/P3N3/R1q2RKB w - -,f1c1
2rq1rk1/1p1bppbp/p1np1np1/8/3PPB2/2N2N1P/PP3PP1/R2QRBK1 b - -,f6h5
7R/pp3p2/5r2/2b4p/4k3/2P1N3/PP2K3/8 w - -,e3c4
8/5k2/R7/5P1P/6K1/6P1/p7/r7 b - -,f7g7
4r2k/p1p3p1/3p2qp/3Rn3/2P1p3/2P1Q3/P3PPB1/6K1 w - -,e3e4
8/5pk1/1R2p1p1/3p4/1P1P1P1p/1r3r2/6KP/3R4 b - -,h4h3
r2qk2r/1b1nbppp/p3pn2/1p6/2pPP3/P1N2N2/1PB2PPP/R1BQ1RK1 w kq -,d1e2
1R3bk1/2P1n1p1/3p2Np/4p3/8/4N2P/5PPK/2r5 b - -,e7g6
5r1r/2qnp1kp/1p1p1ppn/p1pP4/P1P1PP2/2P4P/2Q1BRPB/5R1K b - -,h8g8
8/p7/8/1p3p1k/1r3P1P/4K3/3R4/8 b - -,a7a5
r2qr3/5kpp/p1b1p3/1p2Pp2/5N2/P2R4/1PP1Q1PP/2K4R b - -,d8g5
3rr3/1p1bpk1p/1Nq1np2/6pP/1P6/4Q1P1/5P2/3RRBK1 w - -,b6d7
q1r3k1/r1pn1ppp/p2b1n2/1pN1p3/1P1P4/2N1P1P1/P2BQP1P/R1R3K1 w - -,a2a4
2r1r1k1/5pbp/p2p1np1/2BP4/1p2P3/3N1P2/P1n2NPP/2R2RK1 b - -,d6c5
8/pp1kp3/8/n4p2/3P4/2P2R2/P5PK/8 b - -,e7e6
1n3qk1/p4p2/2B4p/3NP2b/3Q1PpP/6P1/PP6/7K w - -,d5f6
