8/7R/1k4B1/8/3K4/5r1n/7p/8 w - -,h7b7
2r2rk1/p2n1pbp/5np1/NB1p4/3Pp3/4P2P/PP3PPB/R1R3K1 b - -,a7a6
r2r2k1/pb2bp1p/2p1p1p1/8/2NP1B2/1P6/1P3PPP/R1R3K1 w - -,f4e3
r2r2k1/1bqn1pbp/p3n1p1/P1p1p3/1pP1P3/3BBNPP/1P2QP2/RN3RK1 w - -,b1d2
r6r/1pp2kpp/2nb1p2/p2p1n2/3P4/2P1NN1P/PP3PP1/R1B1R1K1 b - -,f5e3
rnq1kb1r/pp2pppp/5n2/3pN3/3P2b1/1QN5/PP2PPPP/R1B1KB1R b KQkq -,e7e6
4r1k1/p2R4/1p2p2b/2p2PNp/4BKpP/2q5/8/6R1 w - -,f5e6
r1bqnrk1/ppp1bppp/2np4/4p3/2P5/PP1PP1P1/1B1N1P1P/R2QKBNR b KQ -,f7f5
r3r3/1bq1bpk1/p2p2p1/1p1Np1N1/4n3/P2P3Q/1P1B2PP/4RR1K w - -,d3e4
2r2rk1/1pqn1ppp/p3bn2/4p3/8/P1PBP3/2QN1PPP/R1B2RK1 w - -,c1b2
8/5k2/1p2n1p1/pP6/P5KP/8/2BB1b2/8 w - -,d2c3
6k1/p4pp1/b3p3/1r1pP1qp/2pP4/P1Q2PP1/2RN3P/6K1 w - -,g1g2
7k/1br2ppp/p2N1n2/1p1p4/1Q6/2P1qP2/P3B1PP/3R1K2 w - -,d6b7
2q3k1/5b1p/3b1pp1/2p5/3pP1PP/1rPQ1P1K/6N1/R2R4 w - -,d1c1
r1b1k1r1/ppp2p1p/1n1b4/4p3/4N3/1B2PN2/PP3PPP/3RK2R b Kq -,e8e7
r1bqkb1r/ppp2ppp/2np1n2/8/2P5/2N5/PP1QPPPP/R1B1KBNR w KQkq -,b2b3:e2e4
r1bq1k1r/pp2bp1p/4p1p1/1BppN2n/3P4/2P1P3/PP1N1PPP/R2QK2R w KQ -,d1f3
2r5/p5rk/7p/b3pp2/2pp1nPP/1P1P2R1/P1R1PN2/6K1 w - -,b3c4
5q2/6kp/p2pQ3/4p2P/2P1P3/3P2PK/8/8 w - -,h5h6
r1r2qk1/3n2p1/b1p1p2p/ppPp1p2/3P4/PP2P3/1Q1NBPPP/2R1R1K1 b - -,f8f6
r1bqk2r/ppb2pp1/2n1p3/7p/4BBn1/1NP2N2/PP2QPPP/3R1RK1 b kq -,d8e7
r5k1/1p1b2qp/2p2rp1/p2pN3/P2Q1n2/1P4NP/2P2PP1/3RR1K1 b - -,d7h3
4r3/p4q1k/1r1pn1pp/2pQ1n2/2P2P2/2B1P3/PPN3RP/3R3K b - -,f7e7
r6r/pp1kbp2/2p1p2p/2Pp1bp1/3PP3/1PN3P1/1P3PBP/R4RK1 b - e3,d5e4
8/5P2/1k2K3/3RN3/1b2r3/8/8/8 b - -,b6c7
2r3k1/1q3pbp/1r4p1/Rp2p3/4P3/1Q3N1P/1P3PP1/3R2K1 b - -,b7c6
5r1k/1p2qpp1/pnr1b2p/3pPB2/3P2Q1/P1N3RP/1P4P1/4R1K1 b - -,f7f6
4rrk1/p1pp2pp/np6/3P4/1b1N1Bn1/2N3P1/PP3PP1/R4RK1 b - -,g4f6
8/3b1k2/np1B1pp1/2pP3p/2P5/3B1P2/5KPP/8 w - -,h2h4
2r3k1/1p3ppb/4pn1p/1BB4P/8/2P2PN1/1P1K2P1/r2RR3 b - -,a1d1
8/8/1r1p4/4p1p1/1pRpP2k/1P1P4/2P3PK/8 w - -,c4c8
r3r1k1/1bq2pp1/p4b2/4PR1Q/2B5/2N5/1PP3PP/5R1K b - -,c7c4
6k1/pp5p/2b3p1/5p2/2P1q3/1P2P1PP/P2p1QN1/3Rn2K w - -,d1d2
8/8/6p1/5p1p/3P1P1P/3k1KP1/5B2/r7 w - -,f2e3
6k1/2pr1pp1/7p/p6r/8/1P1P2PP/PN2PP2/2R2K2 w - -,f1g2
r4r2/1ppq2pk/p6p/2Qb1p2/1P1Pn2N/P3p1PB/3B1P1P/2R3K1 w - -,c5c2
r1bqn1k1/p3nrb1/1p1p2pp/2pPp3/1PP1PpP1/P1NB1P1P/Q3NB2/R3K2R b KQ -,g8h7
2b5/4kp2/1pp5/p1n1n1p1/2PNP1P1/1PN1KP2/P5B1/8 w - -,g2f1
r2qkb1r/pppn1ppp/4pn2/3p1b2/3P1B2/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f6h5
1r5r/1p2k1pp/p4p2/n1P1p3/4b1P1/b3PB2/P4P1P/1N1R1RK1 w - -,f3e4
rnbqk1nr/pp3ppp/4p3/2pp4/2PP4/P1P2N2/4PPPP/R1BQKB1R b KQkq -,b8c6
8/p1r3k1/P4p2/1K4p1/3b2P1/6QP/8/8 b - -,d4e5
6k1/5p1p/6p1/8/2Nr1P2/P2p3P/1R3nPK/8 w - -,b2f2
8/1p2rpk1/2b3pp/2Ppr3/Pp1N3P/4PRP1/3K4/1R6 w - -,b1b4
r3k2r/2pq1pb1/1p1p1np1/1N1P2Nn/p1P1PB1P/P7/1P4Q1/1K3R1R b - -,e8d8
2kr3r/pp2p3/2p1Pp1b/3p3p/1N1P2q1/5N2/P1R2PQ1/R5K1 b - -,g4e6
r2qrnk1/pp2bpp1/4bn1p/3p1B2/2pP1B2/2N1PP2/PPQ1N1PP/3R1RK1 w - -,f5e6
r1bq1rk1/p3ppbp/2pp1np1/6B1/4P3/1BN5/PPP2PPP/R2QR1K1 b - -,d8a5
2br2k1/4Qppp/3P1q2/8/2r5/6p1/P5BP/R2R2K1 w - -,h2g3
5rk1/r3ppbp/1q3np1/2pPR3/8/2N3P1/PP3PKP/R1BQ4 w - -,d1e2
8/8/6p1/5p2/r5k1/8/1R3KP1/8 w - -,b2c2
r5k1/3bqppp/3p1n2/2pPp3/p1P1PP2/P5P1/2QN2BP/1r3RK1 w - -,c2b1
8/8/1k1K4/4N3/3P4/2n5/8/8 w - -,e5c4
1rq2rk1/2npbppp/p3p3/2p1P3/2P5/P2B4/1P3PPP/R1BQ1RK1 b - -,c7e8
r1bqk2r/1p1n1ppp/p1n1p3/3pP3/3P1P2/8/PPN3PP/R2QKBNR b KQkq -,d8a5
rnb1kbnr/ppp2p1p/8/4P1N1/6p1/8/PPP1P1PP/RNBK1B1R b kq -,b8c6
r2q1rk1/3bbppp/p2p1n2/n3p3/Pp2P3/3P1N2/1PBN1PPP/R1BQR1K1 w - -,d3d4
r2qnrk1/1ppb1pb1/3p2p1/p1nPp1Pp/2P1P3/2N1BN1P/PPQ1BP2/R3K2R w KQ -,e1c1
r1b1k2r/1p2np2/pn2p1pq/3pP2p/2pP1P2/2N2NPP/PPP2Q2/2KR1BR1 w kq -,f3g5
5k2/7p/1n1Np3/4P3/5P2/1p3K1P/1P6/8 w - -,f3e4
5r2/pp3kpp/2p1b3/8/2P4P/1P4P1/P2R2BK/8 b - -,f7e7
5r1k/2q3p1/pp6/5p1b/3r3P/1Q3P2/PPB5/1K2R2R w - -,b3e3
4r1k1/p4pp1/5q1p/2p1r3/2PpB3/P5PP/1R1QPP2/4R1K1 b - -,e5e4
8/4N3/3p2bk/6pp/1PPq4/4n1PP/P4Q2/5R1K b - -,d4e4
3rq1k1/2r2pp1/4p2p/p2nN3/1pRPN2P/1P4P1/PB2BPK1/2R5 b - -,c7b7
1r1qnrk1/1ppbn1bp/p2p2p1/3Pp3/1PP2P2/2N1p1PP/P1Q3B1/1RB1NRK1 w - -,c3e2
r2n1rk1/p1q3pp/3bp3/3p4/2pPb3/2P1N1PB/P2Q1P1P/R1B1R1K1 w - -,f2f4
rn1qkbnr/pp2pppp/2p5/5b2/8/3P2N1/PPP2PPP/R1BQKBNR b KQkq -,f5g6
r1b1k2r/ppppnppp/5q2/2b1p3/B3P3/2NP2Q1/PPP2PPP/R1B1K2R b KQkq -,f6g6
2k3rr/1b1n2b1/p1q1p1Pp/Pp1pP1p1/1PpP2P1/2P1B2R/2BQ1N2/1K4R1 w - -,f2h1
8/4k3/7r/3R4/8/PK6/8/8 w - -,a3a4
8/p3k1pp/5p2/2n5/3K4/P6P/B4PP1/8 b - -,e7d6
r1b2rk1/1p2qppp/p3p3/6P1/2nN3P/1R6/PPP1QPB1/2KR4 b - -,c4d6
7R/b7/P3p1k1/5ppp/2B5/4P1P1/r4PKP/8 b - -,a2c2
1k1r2n1/1bqn1p2/p1p3r1/1p2p3/4P3/3N1P2/PPP1NQ2/2KR1B1R b - -,g6d6
8/8/p7/1pbkp1p1/4p3/1P2N2P/P3KP2/8 b - -,d5d4
r1rb2k1/3n1p1p/p2p1npB/2qPpN2/1p6/5B2/1PP2PPP/R1Q1R1K1 w - -,c1g5
5r1k/7p/2pp1bn1/1p1qp3/2P2pP1/3P1P1P/rP3BB1/1R1Q1RK1 b - -,b5c4
2rqk2r/1p1nbppp/p2pbn2/4p3/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R b k g3,d7b6
r4r2/1p5k/1qb1p1p1/p1p1np1p/3pPQ2/1B1P3P/PPP3P1/R4R1K w - -,f4e5
