8/5k2/6p1/7p/4b3/PR5P/2r2BpK/8 w - -,f2g1
2r4k/p4pb1/5p2/1pp2Rp1/4B3/1P4P1/P4P1P/5K2 b - -,c8e8
r1bqk2r/ppp1bpp1/8/3n2p1/2BP4/2P2Q2/PP1N2PP/R3K1NR b KQkq -,c8e6
2kr2nr/pb1q4/1pnppppp/2p2P2/2P1P3/2PP1NP1/P5BP/R1BQ1RK1 b - -,g6f5
r4rk1/5ppn/2pbp2p/1p1q3P/p2P1PP1/3NB3/PPP1Q3/1K1R3R b - -,f7f6
3r3k/p1q3p1/1p3n1p/1P1pR3/P2p4/2NQ1PP1/6PK/8 w - -,d3d4
2r2rk1/1RPq1p2/3p3p/6p1/8/6P1/5PP1/1QR3K1 w - -,b1b6
1n3rk1/r2b4/pNpqpn1p/1p1pNpp1/2PP4/4P3/PPQ1BPPP/2R2RK1 w - -,c4d5
5k2/2p2r1p/3pR3/pP1Pp1PK/7P/8/8/8 w - -,b5b6
r2r4/pB1n1pk1/1p1q2p1/2pP4/Q4P1p/7P/PP3RP1/3R2K1 b - -,a8b8
2r2rk1/2qbbppp/p1nppn2/1p6/4PP2/1NN1BB2/PPP3PP/R3QR1K w - -,e1g3
r1bqkbnr/pppp1p1p/2N3p1/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,b7c6:d7c6
8/pp3kr1/q2p4/4ppQ1/2r5/1N6/PPP5/1K5R w - -,g5f5
r4rk1/pp2p1b1/3p2pp/3P1p2/1PP1n2q/PR2B2P/2Q1BPP1/3R2K1 w - f6,e2f3
3k4/1p5r/8/p2P2p1/4P3/bP1N4/P5B1/6K1 b - -,h7c7
4n3/5bk1/5b2/7R/1P1P2Bp/4BN2/r7/6K1 w - -,h5a5
5rk1/p1pq1r2/1p1p3p/1P1Pnp2/PP1Qp3/6P1/2R1BP1P/2R3K1 b - a3,f7g7
1rb1k2r/3np2p/2Q3p1/1B1R4/p7/2P1q3/P1P3PP/K4R2 b k -,e3b6
4B3/5rk1/6pp/p1QPp3/1p2Pq2/7P/P3n1P1/2R4K w - -,c1c2
2r2rk1/5ppp/pq2p3/3b1PP1/3N4/4R2P/1PPQ4/1K1R4 b - -,c8b8
2r1q1k1/R1p2pb1/1p1p3p/3Qn1p1/1PP1P3/5PPP/4BBK1/8 w - -,b4b5
3r2k1/5pp1/ppRP4/4p3/1P1pn3/8/5PPP/3R2K1 b - -,d8d6
2rr2k1/p4pp1/1q2p2p/1p6/5PNN/Pn1P2Pb/1BP2R1P/3Q2K1 b - -,b3d4
8/2q4k/1p1Np2p/p2nP1p1/P1Q5/3P2PP/8/6K1 w - -,c4e4
r1bk3r/pp1n3p/3p2p1/1BpK4/5P2/2P2N2/P5qP/R1BQ1R2 w - -,d5d6
8/8/2k5/1pp1p2p/3nP1B1/2K5/8/8 w - -,g4h5
r1b3k1/ppp4p/1n1n2p1/3PN2P/5r2/2N5/PP2B3/2KR3R b - -,g6g5
1r1q1rk1/5p1p/b2p2p1/2pBb3/p7/2P5/PP1N1PPP/R2QR1K1 b - -,b8b2
r3kb1r/ppp1pppp/3q1n2/3P1b2/1n6/1BN2N2/PPP2PPP/R1BQK2R b KQkq -,e8c8
rnbq1rk1/pp1p1ppp/3b1n2/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQ -,f2f4
1rb1k2r/2q2ppp/p4n2/1p2pP2/4P3/2PBB3/2P3PP/R3QR1K b k -,c8b7
7r/pp1k3p/3p2p1/8/2r5/2n4P/P4PP1/4Q1K1 b - -,h8e8
8/7p/3k2p1/p1q1p3/Pp1npP1P/1P1P2P1/1Q2N3/5K2 w - -,e2d4
2r3k1/p2q2pp/2pp2b1/6Pn/2P2P1N/5Q1P/PP1K2B1/3Rr3 w - -,d1e1
rnbqk2r/ppp1bp2/3pp2p/6pn/3P4/3BPNB1/PPP2PPP/RN1QK2R w KQkq -,b1d2
6k1/2nN4/3p2K1/pp1Pp3/1Pp1P3/P1P5/8/8 w - -,b4a5
b2rk2r/2p3pp/pb3p2/1pn1p3/4P3/P1N2P2/1PPB2PP/N1KR1B2 b - -,c5e6
r2q1rk1/pp1bppbp/1n1p2p1/1B2n3/4P3/1NN1BP2/PPPQ2PP/R4RK1 w - -,e3d4
6k1/3b1pp1/8/8/qP2B1p1/6P1/5P1P/1Q4K1 w - -,e4d3
5q2/1Qp2ppk/5n1p/3P1b2/3P4/3pP3/3N1PPP/R5K1 b - -,f8e7
3rrqk1/1ppn1p2/1N1p1nbp/pP2p1p1/P2PP3/2PQ2B1/B2N1PPP/R3R1K1 b - -,d7b6
8/5P2/P3p3/4P2r/2K5/8/5k2/8 b - -,h5h8
r2r1b2/3n1k1p/2p1bpp1/p1p1p3/N1P1P3/1P1N3P/PR2BPPK/3R4 w - -,g2g3
2r1r3/1p2qnk1/p1p1b1p1/2Pp1p1p/P2P1P2/1R1NP2P/2Q3P1/4RBK1 w - -,e1b1
r2r1k2/1p2qpn1/4n1p1/2P3Pp/1PB5/5PQ1/2N4P/3R2RK w - -,d1d8
r1r3k1/1p2ppb1/pn2bn1p/4N3/3P4/2N2BB1/PP4PP/R2R2K1 b - -,b6d5
r2q1rk1/1b3pp1/p2p1b1p/nppNp3/4P3/P2P1N2/BPP2PPP/R2QR1K1 b - -,a5c6
6k1/pp3pp1/3pb2p/2p4q/5P2/1P1PB1P1/P1P4P/5QK1 w - -,h2h4
8/5Bp1/1r3b2/2R3kp/8/2n2P2/3R2K1/8 b - -,g5f4
8/1bbN1p1p/p5p1/1k2P3/5P2/4B3/2K3PP/8 b - -,b7g2
8/r1p1rpk1/2Bnp1pp/2R5/3P2PP/4P3/5PK1/2R5 w - -,c1c2
2r2rk1/2p4p/p5p1/1p2Rp2/4b3/4N2P/PP3PP1/2R3K1 w - -,g2g4
r1b2rk1/ppp2pbp/2n3p1/3qp2P/8/1P2P3/PB1P1PP1/R2QKBNR w KQ -,h5g6
r1b2rk1/1pp2pp1/p1nq1n1p/2p1p3/2B1P3/P2P1N1P/1PP1NPP1/R2Q1RK1 b - -,c8e6
8/p5pk/1p3p1p/1P1q2nP/P2rb3/2Q1R3/6P1/4RBK1 b - -,f6f5
8/1b6/pb2pk2/1p1n1p1p/6p1/P2BPPP1/1P1NK2P/5N2 b - -,g4f3
5k1n/5nbQ/6p1/p2pP1q1/3P4/N2B4/P6R/7K w - -,h7h3
1n3rk1/pb2rpp1/1ppq3p/1P1p4/P2P1N2/2Q1P3/5PPP/1BR2RK1 b - -,f8c8
4qrk1/1p2bpp1/7R/2QN4/5p2/5n2/PPB1r3/1K4R1 b - -,f7f5
r2qk2r/pp2nppp/2nb4/2p1p3/6bP/1P1P1NP1/PBPN1PB1/R2QK2R w KQkq -,d2c4
r1q1r1k1/1ppb1p1n/pb1p2p1/3P1BP1/3N1P1p/P2Q3P/1P2NB2/2R2RK1 b - -,g6f5
r3kb1r/1pp2ppp/4b3/pP6/2nB4/P3P3/4BPPP/RN2K2R b KQkq -,f8d6
rq3rk1/1bnnppbp/pp1p2p1/2pP4/P1B1PP2/2N2N2/1PP1QBPP/3R1RK1 b - -,b6b5
r2q1r2/p2npkb1/4bpp1/1p1p4/2pPPBP1/2P5/PPQNBP2/R3K2R b KQ -,d7b6
4r3/5pkp/p1Nn2p1/3P4/1R6/7P/P4PP1/6K1 w - -,g1f1
r3rnk1/2pq1p1p/pp1b1p2/3Pp3/P3P3/1QP2NN1/5PPP/3RR1K1 w - -,g3h5
8/5pkp/1P2p3/2K3p1/2R5/5P2/1r5P/8 w - -,c4b4
r1bq1rk1/pp3ppp/2nppn2/8/1pPP4/P4NP1/1P2PPBP/RN1Q1RK1 b - -,d8b6:f8e8
4r2r/pppk2pp/2nbR3/6B1/3p4/5N2/PPP1QPPP/4q1K1 w - -,e2e1
r7/ppp2qpk/3pr2p/4nP2/6P1/4B3/PP2Q2P/R5K1 w - -,f5e6
2r2rk1/p1npbppp/bp2pn2/8/1P1PP3/P2B1NP1/1B1N1P1P/R3R1K1 w - -,d3a6
2r3k1/5pp1/pb4p1/3BB3/5P2/3P1KP1/7P/8 b - -,a6a5
3r2k1/pp2bpp1/2n2n1p/P1p1pP2/2N1P3/2P1B1P1/1P4BP/4R1K1 b - -,f6e8
r1bqkb1r/pp1n1ppp/2pp1n2/4p3/3PP3/2N1BP2/PPP3PP/R2QKBNR w KQkq -,g1e2:a2a4:d1d2
8/7k/8/4q1pp/pB5P/4P1RK/6P1/8 b - -,g5g4
rnbqk2r/pp2ppbp/5np1/3p4/3P4/2N1P1P1/PP3PBP/R1BQK1NR b KQkq -,e8g8
1r4k1/5ppp/5n2/2qp4/1p1Rp3/PQNnP2P/4NPP1/6K1 b - -,b8a8
8/2pb2k1/3p1npp/p2Pp3/P3P3/2PB2P1/3N2KP/8 w - -,d2c4
6r1/6P1/5P2/4B3/4k3/2K5/8/8 w - -,f6f7
8/8/8/7P/6P1/R3kn1K/8/4r3 b - -,e3f4
8/4P3/1pB2kb1/p1p5/2P5/4p1P1/7P/6K1 w - -,e7e8q
b1r4r/4qpk1/1p1ppbp1/4n3/1PP1PN1P/7P/P1RQ1BB1/3R2K1 w - -,d2e2
r1q1k2r/pp1nbpp1/2p1pnp1/3p4/2PP4/1QN1P1P1/PP3PBP/R1B1K2R w KQkq -,c1d2
2k5/2p2rp1/1p1p4/4p1r1/p1P5/PP3P2/2P3PR/1K1R4 w - -,b1b2
