8/1r5R/6n1/1kp1bKP1/2p5/8/1P1R4/8 b - -,b7h7
rnbq1rk1/2p2ppp/1p2pn2/3p4/p1PP4/P4NP1/1P1NPPBP/R2Q1RK1 w - -,b2b4
2q1rnk1/pb3pp1/1p1Rp2p/1P2P3/2PQ4/2N2P2/P5PP/5BK1 w - -,f1d3
8/8/2R3pp/1p3k2/p1b4P/P5P1/5K2/8 b - -,c4d3
2kr3r/pb1n1p2/2p1p2p/1p1qP3/1b1PN1pN/3Q2B1/1P3PPP/3R1RK1 w - -,d3e3
r2qr1k1/R4pb1/2R4p/2BNp1p1/1P2Pn2/3PQ2P/2P2P2/6K1 b - -,a8a7
1R3bk1/2r4p/p3pppP/1p1R2N1/2n2P2/1BP5/PP4P1/1K6 b - -,f6g5
6rk/1pr5/p3ppq1/3p2Pp/P2P1b2/2PQ1RB1/1P3PP1/4RK2 b - -,f4g3
r7/2p3p1/r3bk1p/P1p2p2/2P5/R2BPPP1/5KP1/R7 w - -,e3e4
8/6p1/1k3p2/4p2p/2K1P2P/5PP1/8/8 b - -,b6c6
r6k/p4r1p/2qp2p1/1p2b3/8/2P1N2Q/PP1R2PP/3R3K w - -,e3g4
r7/pp1nB2k/2p1pp1p/3p1qR1/2PP4/1P3P2/P4Q1P/6RK b - -,f6g5
r2r2k1/1p1bppbp/p1n3p1/8/4P1n1/2N2N2/PP2BPPP/R1BR2K1 b - -,d7e8
8/5p1p/1p1k2p1/6P1/3P1P2/1r1KP3/2R4P/8 w - -,c2c3
r4r1k/pppq1pb1/2n1p1p1/P3PnBp/3P3P/1BP2PN1/1P6/R2QK1R1 w Q -,g3e4
r1bq1rk1/1pp2ppp/p1p1nb2/8/3P4/2P2N2/PP2QPPP/RNB2RK1 w - -,f1e1
5rk1/p5pp/2pp2q1/2p2b2/2P2p2/1R1PB3/P2Q2PP/6K1 w - -,e3f4
r3kbnr/ppN2ppp/4p3/2PpPb2/1n6/4BN2/P3BPPP/R4RK1 b kq -,e8d7
3r1rk1/bppqnppp/8/P7/1P1p4/5BP1/1B1QPP1P/R4RK1 w - -,f3b7
8/pp3pk1/6p1/4p3/4P2p/1P2P3/P7/4K3 b - -,h4h3
1r1r2k1/1p3p1p/p1npp1p1/2p5/2P1P3/P1NP4/1P3PPP/1R1R2K1 b - -,b7b5
rn1qkb1r/1bp1pppp/p4n2/1p1P4/8/1BN2P2/PPPPN1PP/R1BQK2R w KQkq -,e2f4
r4rk1/p2bb1pp/2n1p3/P2p1p1n/2pP4/1pP1PN1P/1P1N1PPB/RB3RK1 w - f6,f3e5
r4rk1/p1R2pbp/Q3p1p1/3pP3/4q3/P3BN1P/5PPK/8 w - -,e3d4
r1b2rk1/pp2npbp/1q2p1p1/1N6/P1p5/6P1/1PQ1PPBP/R1B2RK1 b - a3,e7f5
8/7p/3kp1p1/pB6/P5PP/4K3/r4P2/8 b - -,a2b2
3kr1r1/p1p2p2/1p4p1/3Pp2p/1bP1P1bP/3R2P1/PBP3B1/1K2R3 w - -,c2c3
3r4/ppp2pk1/6p1/8/P2rB3/1P6/3NNPK1/8 w - -,e2d4
r4rk1/1p3p1p/nB1q1bp1/3P4/5R2/1Q4P1/5PBP/4R1K1 w - -,f4c4
k1n5/pp1b4/4p3/1P1pq3/P4B2/Q2B2P1/5PK1/8 b - -,e5d4
2rqk2r/p3pp1p/4n1p1/2p5/3P4/4B3/PP2QPPP/R2R2K1 b - -,c5d4
7b/5k1p/p1p3pP/1pPpP3/3P1P2/7r/PPKB4/6R1 w - -,g1e1
r7/8/5p2/5kpp/3B3P/3K2P1/p4P2/R7 b - -,a8a6
r2qk2r/1b1nbppp/1pn1p3/pBppP3/3P1N2/2P2N2/PP3PPP/R1BQ1RK1 b kq -,e8g8
3r1rk1/pp1nnpp1/1qp1p2p/4P3/3P4/2NQ1N2/PP1R1PPP/5RK1 w - -,d3e4
r1b2rk1/4bpp1/2p1pn1p/p1np4/8/2N1PPBP/PPPNB1P1/2KRR3 b - -,c5a6
8/8/2B1bk2/2P5/1P3b2/6pp/8/R6K w - -,b4b5
rnbqkbnr/pp2pppp/8/2p1P3/3p4/2P5/PP1P1PPP/RNBQKBNR w KQkq -,c3d4
5k2/R7/6K1/P5P1/8/8/6r1/8 w - -,a5a6
1n1r1rk1/1p3ppp/pq2pn2/2b5/3N4/1P4PP/PBP1QPB1/3R1RK1 w - -,d4f3
r1b2rk1/2q1bppp/p2p1n2/np2p3/3PP3/1P3N1P/P1B2PP1/RNBQR1K1 b - -,a5c6
r2k3r/p1q4p/1b2p1p1/1B1pPp2/Q7/8/P4PPP/2R1R1K1 b - -,b6c5
3r2k1/2r1bpp1/ppp1p2p/3n4/1PNP4/2P3PP/1P1R1P2/2B1R1K1 w - -,e1d1
6rk/pb1nbqrp/1p2p3/2ppPp2/3P4/PP1BPN1R/2P1Q2P/2B2R1K b - -,g7g4
2r3k1/2r1qpp1/bp1bpn1p/p2pN3/P1PP4/1PB1Q2P/2RN1PP1/2R3K1 b - -,d6a3
8/8/4k3/4p3/PRbp4/r7/3K4/8 w - -,b4c4
4r1k1/3qrp2/pp1p1npp/8/1PPN4/PN1Q1PP1/4P1KP/2R5 b - -,h6h5
rnbq1rk1/1p2ppbp/p2p1np1/2pP2B1/P1P1P3/2N5/1P1Q1PPP/R3KBNR b KQ a3,d8c7:d8a5
2b1rrk1/pp2qpbp/1n4p1/8/3N4/1BN1PQ1P/PP2R1P1/5RK1 b - -,e8d8
r4rk1/2qn1ppp/p3p3/1p1b4/8/PN1BQ2P/1PP2PP1/3R1RK1 w - -,d3e4
r5k1/1b2qpbp/2rn2p1/p3p3/Pp2P3/1N1BB2P/1P2QPP1/3RR1K1 w - -,f2f3
2nrr3/4n2k/ppb3pp/2pqBp2/8/NPPP2P1/2Q3BP/3RR1K1 b - -,d5g2
rnb1kb1r/1p3ppp/p4n2/4p3/P1p5/2N1PNP1/1P3P1P/R1B1KB1R b KQkq -,b8c6
3k4/p7/2P3p1/4Kp1p/1P3N2/6n1/P7/8 w - -,f4g6
4r1k1/p5pp/1qp5/1p1p2b1/4n3/1PP1NBPb/P4P1P/2R1Q1RK b - -,e4f2
5k2/2p3p1/5p2/2RPp2p/3r3P/6K1/6P1/8 w - -,g3f3
rn1qk2r/pp4p1/2pbbp1n/3pp2p/4P2P/2PP1NP1/PPQN1PB1/R1B1K2R w KQkq -,d3d4
5rk1/4b2p/4ppp1/2pq4/1p6/3P2P1/1BPQ1P1P/r3R1K1 w - -,b2a1
6k1/5p2/4p2p/7q/3P1B2/4PP1b/2p2K1P/2Q5 b - -,h5g6
6k1/pp3pp1/1b2p2p/4P2P/2r5/8/PP4P1/1KBR4 w - -,g2g3
2b5/4kp2/2pr4/p3p3/P1B1P3/2P2Pr1/2K5/6R1 w - -,g1g3
r1b1k2r/p1ppqppp/2p2n2/8/1bP5/2N3P1/PP2PPBP/R1BQK2R b KQkq -,c8a6
rn1q1rk1/pb2bpp1/3pp2p/2p5/4P3/2P2NP1/PP1N1PBP/R2QR1K1 w - -,d1c2
3r2k1/pp1rbp1b/2n1p2p/2p1P3/5q2/2P2N1P/PP2Q1BN/R3R1K1 w - -,e1f1
2r3k1/p2b3p/2p1n1p1/3p1p2/N2P1Pn1/4PN2/P4PBP/1R4K1 b - -,c6c5
b2q2k1/b4pp1/p3pn1p/Np6/1P2P3/P5PP/1BQ2PB1/6K1 b - -,a7b6
6k1/pp1n2p1/3Bp2p/3p1p1b/3P4/1P2P1PP/2r2PB1/1R4K1 b - -,h5e2
r2qk2r/pp2bppp/4b3/3n3Q/2Bp4/8/PPPP1PPP/R1B1R1K1 w kq -,e1e6
2r3k1/pb3p2/1p2p1p1/8/1P3bP1/1P3P2/2PN4/1KR4R w - -,c1d1
rnbqkb1r/pp2pppp/2p2n2/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R w KQkq -,e2e3:c1f4:c1g5
2r5/7p/p3k1p1/1p1bp3/5p2/8/PPPR2PP/2N1K3 b - -,g6g5
6k1/p2n2p1/1b6/3bPP2/3p4/q5BP/6PK/1B1Q4 w - -,f5f6
r1bqn1k1/pp3rbp/3p2n1/1N1Pp3/4Pp2/3N1B2/PPQ2BPP/2R2RK1 w - -,b5a7
8/3R1p1p/2r3p1/1k2B1P1/1pb2P2/7P/3K4/8 b - -,b5a4
r2r2k1/6pp/p1b1p2q/1p3p2/3P1R2/4QN2/PP3PPP/R5K1 w - -,h2h4
8/4p3/2k5/1p2R2P/1P6/p4PK1/P7/7r w - -,f3f4
2r1rbk1/1bqn1p1p/p1p2np1/1p2p3/2P1P3/1P3N1P/PBQN1PP1/3RRBK1 w - -,c4b5
3r4/1pq2kb1/2pnbp2/p5p1/4P1P1/1PN1BPQ1/1PB5/2K4R b - -,d6e8
5k2/5p1p/1p4p1/p1r1p3/R1P1P3/7P/P4PP1/6K1 w - -,g1f1
r7/1p3kpp/2n1R3/3r1p2/p2p1PP1/P6P/1PPB4/1K2R3 b - -,d4d3
8/pp4R1/2kp1r1p/2pn2p1/2P5/7P/P2BK3/8 b - -,d5f4
