8/6k1/P7/2q5/8/5K2/6B1/5Q2 b - -,c5c6
r2qk2r/1b4bp/p3pnp1/1pp5/5P2/P1P5/2PNBBPP/R2Q1RK1 b kq -,e8g8
4n1k1/p4p2/1pp1b1pp/4P3/2P1N3/1P3B1P/P5P1/3K4 b - -,c6c5
8/4p2p/1pkp1p2/7R/r1PKPP1P/6P1/P7/8 b - -,e7e5
8/p5k1/1p6/8/3KNPP1/8/8/r7 w - -,d4e5
r1b1kbnr/pp3ppp/2n5/2pqP3/8/2P2N2/PP3PPP/RNBQKB1R b KQkq -,d5d1
r2rq1k1/4bppp/pp6/n2P4/6Q1/P4N2/1B3PPP/2RR2K1 b - -,e8f8
8/8/3kp2r/1r1b2R1/1p6/1P5P/1KPRB3/8 b - -,b5b8
1n2r1k1/4rp1n/pbpR2p1/4P2p/1P2N3/2B2N1P/1P2R1P1/7K b - -,b6c7
r5k1/1bqn1ppp/p3rn2/1p2p3/2p1P2N/2P4P/PPB2PP1/R1BQR1K1 w - -,d1f3
r1b1k2r/1p1n2pp/5p2/p1Pp4/qP6/P1Q2N2/3BPPPP/4KB1R w Kkq a6,c3e3
8/8/6p1/8/5k1P/4b2K/4b3/8 w - -,h3h2
8/8/1p6/8/8/krK5/8/6R1 w - -,c3c2
r1bqk2r/1p1nb1pp/p2N1p2/3Pp3/8/Q7/PPPB1PPP/R3KB1R b KQkq -,e8f8
6k1/1p3pp1/p3p2p/3r3P/8/2PK4/PP3PPR/8 w - -,d3e3
8/1p3qk1/2b5/2B1QP1p/p1P1p3/1P6/P6P/6K1 b - -,f7f6
r4rk1/pbpnq1pp/1p6/4p3/2P1Pp2/P1RB1N2/1P2QPPP/3R2K1 w - -,d3c2
2r2rk1/p3q1p1/1p2p2p/n1p2p2/3PpP2/2P1P2N/1P2QRPP/R6K b - -,c5d4
2rq1rk1/pp3pp1/2n4p/2p1p1b1/4Q3/PPN1P3/1B1P1PPP/R2R2K1 w - -,c3a4
r1q2rk1/pp2b1pp/2p3b1/2n1p3/P3P1QP/2N1N1P1/1P3PB1/R4RK1 w - -,g4c8
8/3k2K1/R7/pr6/5n1P/7P/8/8 b - -,f4h3
rn3rk1/pp2ppbp/1q4p1/2pnP3/3P2b1/N1PB1N2/PP4PP/R1B1QRK1 w - -,a3c4
r5k1/pb4pp/1p1b4/2pp1r2/3PpP2/1P1BP2R/PB4PP/R5K1 w - -,d3e2
3r1rk1/ppq1bp1b/2n1pn1p/2p3p1/4PP2/2P2NPP/PP1NQ1B1/R1B1R1K1 b - -,g5f4
r2q1rk1/pp2bp1p/2pn1np1/3pNb2/3P4/2NBPPB1/PPQ3PP/R4RK1 b - -,f5d3
3r4/2R5/8/8/8/1kp1K3/8/8 w - -,e3e2
5bk1/1p3p2/5P2/pn1p1RPp/3P2pP/1P2B3/P1r3B1/6K1 b - -,b5c3
8/1KP5/p7/P6p/8/5kpP/8/8 b - -,g3g2
r2r2k1/5p2/5Pp1/2p4p/2PnP1b1/1P4P1/3R1KBP/2N2R2 b - -,d8b8
4r1k1/1p2rp1p/p1nq1np1/3p4/5N2/1PP2NP1/P1Q1RPP1/4R1K1 w - -,c2d3
Q7/5pk1/4pbpp/1P6/7P/P1p2PP1/3r4/2K5 w - -,a8e4
1r6/1p5k/p1pPp2P/4Ppp1/1P1P4/1P3K2/8/7R w - -,f3g2
rn1qk2r/pb2bppp/3ppn2/1pp5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w kq -,a2a4
8/5p2/4p3/r3Pnp1/4R2p/1R5P/3k2P1/6K1 b - -,a5a1
r3r1k1/1bq1bp1p/p3p1p1/1p1pP1P1/3NnP1Q/3BBR2/PPP4P/4R1K1 w - -,h4g4
r4rk1/1p1nppbp/1qpp1np1/p7/3PPPb1/P1NBBN2/1PP3PP/R2Q1R1K w - a6,h2h3
8/1p6/2b5/p1p1kRp1/PbP1P1P1/1P2K2n/2B5/8 b - -,e5e6
2r2k2/p1r2pp1/1p5p/1P3R1P/4PK2/5PP1/3R4/8 b - -,c7c5
5bk1/1b1r1q1p/p3npp1/Pp6/3NP3/4N1BP/1Q3PPK/3R4 b - -,b7e4
6k1/1p4b1/1p2b3/4p3/4NpP1/2P2P2/2r5/4RBK1 b - -,e6d5
8/8/2N5/1p6/4k3/KPP5/P1Rn4/3r4 b - -,e4d5
2k4r/p1pp1pb1/1n2q3/2p1PQ2/2P3P1/PPNB2B1/6b1/2K1R3 w - -,f5f2
r1bq1rk1/1p3pbp/p2p2p1/2pPn2n/P7/N1N3P1/1P2PPBP/R1BQ1RK1 b - -,f7f5
r2r2k1/1p2bppp/4p3/p6b/2qnPB2/P1N1Q1P1/1P3PBP/3R1RK1 w - -,d1b1
2br1n1k/2r2qp1/1p3p1p/3ppPP1/pPB1P2P/P3P1Q1/1B1R4/2R3K1 w - -,c4d5
rn1qkb1r/1b3ppp/pp1pp3/8/2PN4/1QN1P1n1/PP3PPP/2KR1B1R w kq -,h2g3
3r2k1/5ppp/p3qb2/Ppn5/3p4/1P1Q1NP1/2R1PP1P/6K1 w - -,c2c5
1r3rk1/pp3pbp/6p1/3qp3/PR6/3P2P1/4PP1P/2BQ1RK1 b - a3,f8c8
1r4k1/2R4p/1p3rp1/1B1b1p2/P3p3/4P2P/5PP1/3R2K1 b - -,f6f7
1r1q1rk1/p1p2ppp/3bbn2/3p4/5B2/2NB1Q1P/PPP2PP1/R4RK1 w - -,b2b3
8/4k3/R7/4PK2/6P1/8/8/4r3 b - -,e1f1
1k1r1b1r/1p3p1p/p1n5/3Np3/5p2/2P5/PP2BPPP/3RK2R b K -,f7f5
8/2N1k3/5ppp/8/r1N1P3/4KP2/8/8 w - -,c7d5
rnbqk2r/pp1p2b1/6p1/2p2p2/3p4/1N3N2/PPP1PPP1/R2QKB1R w KQkq -,h1h8
r3rbk1/1b1q2p1/7p/1pppB3/4n3/2P2N1P/1PB1QPP1/R3R1K1 w - -,a1a8
1r6/R1pq1rbk/1p1p2pp/1P1Ppb2/4N3/1Q1P2P1/1B2PP2/R5K1 w - -,a1c1
r2q1rk1/2p1b1pp/pn2p3/1p1p4/4P3/P1N5/1PPQ1PPP/R1B1R1K1 w - -,e4d5
3rr1k1/1p3ppp/p1n2n2/3p1B2/8/2N1P2P/PP3PP1/2RR2K1 b - -,d5d4
2r1k2r/1p1bbp2/p2ppp2/4qP2/P3P1Bp/2N5/1PPQ2PP/4RR1K b k -,c8c4
6k1/1Bp3pp/3p2n1/8/p1P2Pq1/6P1/PP1Q3P/4r2K w - -,d2e1
4rr1k/1p2q2p/p4p1Q/3Bp3/2P2Pb1/8/PP4PK/R3R3 b - c3,e7c7
8/8/4Kpk1/6p1/4P1n1/6P1/5R2/8 w - -,f2f3:f2c2
1r6/Rn6/1P1p2p1/3P1pk1/2NBp2p/7P/5PP1/6K1 w - -,a7b7
r5k1/5rpp/2R1p3/p2pP3/4p3/4P3/5PPP/2R3K1 b - -,f7e7
4b3/1p5p/6k1/2P3P1/n2KN3/P7/Bp6/8 w - -,a2b1
3n1rk1/1pr1p2p/p2p1pp1/3R3P/1qP2P2/1P4P1/PQ3PB1/3R2K1 w - -,a2a3
8/8/8/1P4R1/5K2/1r4p1/3k4/8 b - -,d2e2
3k3r/p6p/1b2pp2/3n4/P1B4P/8/1B6/2R4K b - -,d8e7
7k/p2r1pq1/1pr1pbp1/1bP4p/P2P1Q1P/4B1P1/3R1P1K/3R4 w - -,a4b5
2rr2k1/1q3ppp/2n1p3/1pB5/p2b4/3N2P1/PP1QPP1P/2R2RK1 w - -,d2f4
8/p7/7p/1P1p3P/5p2/b2P4/P2PK3/4N1k1 w - -,e2f3
6k1/1p2rpp1/1np4q/p3p3/P3P2P/2NrPQ1K/BP4R1/8 w - -,g2g3
b5r1/3n1p1p/3k4/P2p3p/R2Bn3/3N4/1P4PP/4R1K1 b - -,d7f8
5k2/6pp/1R3p2/3B4/2bPP3/6P1/4rK1P/8 w - -,f2f3
5r2/R4pk1/6p1/2p3rp/5R2/1B2PP2/PP3P2/5K2 b - -,h5h4
1r1r4/4k3/6p1/3b2p1/1p2P3/1P5P/P3B1P1/5R1K w - -,e4d5
2R5/p7/2p5/2p1k1p1/2P5/2KP4/P1P4r/8 b - -,h2h6
5nk1/1p6/2prn2R/P4B2/3P4/7P/5KP1/8 b - -,g8g7
r7/ppn2kpp/2p2p2/P1Brp3/1PR5/3P2P1/4PPKP/2R5 w - -,d3d4
2n3k1/pp3pbp/4qnp1/3pp3/1P6/PQ1PP1PP/1B1N1PB1/6K1 w - -,b3c3
r5k1/5qpp/3pbp2/1pp1n3/1P2P3/3PN1R1/rBP3PP/1Q3RK1 b - -,c5b4
8/8/1p2k1pp/pP6/7r/2P1K3/1N3P1P/8 b - -,h4h3
4nrk1/2r1q1bp/Bpn1p3/3pP3/P4PPP/4N3/1P6/R2Q1RK1 b - -,e7b4
r4rk1/3R1pb1/1pp3pp/p1n1P3/P1P5/2N3B1/2P2PPP/5R1K w - -,d7c7
r3r3/p1p2pkp/6p1/8/1P1N4/4RP1b/1PP2P1P/3R2K1 b - -,e8b8
2k1rr2/p1p4p/1n4p1/2p1p3/2P4P/1P1B1P2/P7/2K1R2R w - -,e1e3
2r2rk1/p3ppbp/nqp1bnp1/1p6/3P4/2N1PN2/PP1BBPPP/1Q1R1RK1 b - -,f8d8
