8/8/1P1k4/3b1p2/3K1P1p/6pP/4N3/8 b - -,d5f3:d5g2
r4k2/5pp1/P1R1p2p/8/3b4/5P2/2B3PP/5K2 w - -,c2e4
b2r4/2b1nkn1/3q1pp1/r2p4/1NpP1P1p/P1P1NBP1/1B2RQ1P/4R1K1 b - -,h4g3
4K3/4P3/8/7k/3r4/8/5R2/8 b - -,h5g6
r1b2rk1/ppqppp1p/n4bp1/2P5/8/1NP2N2/PP2PPPP/R2QKB1R w KQ -,d1d5
8/p6p/1n2Q3/6Pk/P7/8/1RK4P/5q2 b - -,b6c4
5k2/5p2/5p2/4pP2/B2bP3/7p/4K2R/6r1 b - -,g1g2
5rk1/q6p/p1bp1rpb/Pp2p3/1Pp1P3/2P3P1/2N1QPBP/3R1RK1 b - -,h6g5
r1q3k1/1p2rp1p/p1p3p1/3pNn2/1P1PN3/P2QP3/5PPP/R1R3K1 b - -,d5e4
8/1Qp2p2/4pk2/5qp1/3P4/7P/2r2PP1/5RK1 w - -,b7b3
6k1/6P1/r3RK2/6P1/8/8/8/8 b - -,a6e6
2r3k1/pp1rbppp/2p1p3/8/3P3P/2P1PBP1/P4P2/2RR1K2 b - -,b7b6
r5k1/2pbqp1p/pn1r4/1p1Pp1pP/4P3/1PNN1PP1/P7/1KQR3R b - -,c7c6
8/2RP4/8/r3pk2/8/pN1r4/4K2P/8 b - -,a5d5
2k4r/1p4pp/1Qp1pp2/BnP3q1/3r4/3RR3/PP6/2K5 w - -,d3d4
8/1k6/5p2/3p2P1/1P1r3P/2p2K2/8/4R3 b - -,d4h4
6k1/8/7p/p5p1/8/P1r1P1P1/2p2PP1/2R2K2 w - -,f1e2
2r3k1/1r2bpp1/p5p1/1p6/8/2P1B3/PP3PPP/3R1R1K w - -,g2g3
2r2r1k/p3pp1p/1pp1q3/3nP3/PPNP4/5Q2/5PPP/2R1B1K1 w - -,c4e3
r3kb1r/pp1n1pp1/1qp1pn1p/3p1b2/2P5/3P1NP1/PPQ1PPBP/RNB2RK1 w kq -,b2b3
r2q1rk1/1bp1bppp/p7/1p2N3/1n3B2/1PNP3P/1PP2PP1/R2QR1K1 b - -,f7f6
r1bqk2r/1pp2pb1/p2p1npp/8/3BP3/2N2P2/PPPQB1PP/2KR3R b kq -,e8g8
1r2n3/2b3p1/ppk1pp1p/8/P1NB1P2/4P3/1P2KP1P/2R5 b - -,c6d7
r1bqk2r/pp2p1bp/3p1np1/2p3B1/2PP4/5N2/PP3PPP/2KRQB1R b kq -,d8c7
r1br2k1/1pq1bppp/p1p1p3/3nP3/6Q1/2N3P1/PPP2PBP/R1B1R1K1 w - -,c1d2
r1bqk2r/ppp1bppp/3p4/4n3/8/2P1BN2/PPPQ1PPP/R3KB1R w KQkq -,f1e2:e1c1
r5nk/pp1bq2r/3p1n2/3P2RP/4PR2/2N1Q3/PP1KB3/8 w - -,e4e5
1rq3k1/5ppp/p3b3/Q7/1p5P/6P1/P4PB1/3R2K1 b - -,h7h5
8/p7/5k2/8/1r4PK/8/1p6/3R4 w - -,d1b1
2r3k1/p4pp1/5b1p/5q2/3p4/1P1N4/P3QPPP/5RK1 w - -,f1d1
5rk1/pp3pbp/1n2pnp1/1N1p4/Q2P4/2R1P1B1/PP1N1PPP/6K1 b - -,b6a4
r7/1p2p1kp/1n1p2p1/2r1p3/4P3/1P1RNP2/1KP3PP/R7 b - -,a8a1
2rqr1k1/pb2np1p/1p1pp1pb/8/2PP2n1/PP1B4/1B1NQPPP/3RR1K1 w - -,e2g4
1kr3r1/p1p5/2p5/5B2/2P3P1/8/1K3P2/3R4 w - -,f5c8
rnb2rk1/ppq2ppp/2pb1p2/8/3P4/2PB4/PP2NPPP/R1BQK2R w KQ -,d1c2
r1n2rk1/1pqbbppp/p2pp3/n7/P3P1P1/2N1B3/1PPNQPBP/R4RK1 w - -,f1c1
r2qk2r/np1nbppp/p1p1p3/P2pPb2/2PP4/1N3N2/1P2BPPP/R1BQ1RK1 b kq c3,d5c4
r1bq1rkn/pp4b1/1np1p3/3pP1pP/5PP1/1PNB4/P1PQ1B2/2K3RR w - -,h5h6
3r2k1/2p2p2/1b3p1p/1P2p3/2p1P3/2Pr4/5PPP/R3RNK1 w - -,e1c1
1r2rbk1/pbq2ppp/p2p4/2pPB3/2N3P1/2N3Q1/PPP2P1P/3R1RK1 b - -,d6e5
rn1q1rk1/2p1bppp/p3pn2/1p6/3Pb3/5NP1/PPQBPPBP/RN3RK1 w - -,c2c1:c2b3
r1bqkbnr/pppn1ppp/3pp3/8/2BPP3/4B3/PPP2PPP/RN1QK1NR b KQkq -,g8f6
8/6Bp/6kP/1p1b1pp1/1P6/4K3/8/8 b - -,f5f4
4k3/7p/2K3p1/3Q2P1/2P4P/4P3/2q5/8 w - -,d5g8
1rr3k1/n2bpp1p/q1pp2p1/1pNP3P/1Pn1P3/1N4P1/P3QPB1/2R2RK1 b - -,d6c5
r1bqk1nr/1p1p1ppp/p1n1pb2/8/4PP2/1NNB4/PPP1Q1PP/R1B1K2R b KQkq f3,d7d6
2r1rbk1/1bqn1p2/p5pp/3Pp3/2p1P3/2B3NP/P1B2PP1/1R1QR1K1 w - -,d1e2
8/8/4k3/2p2p2/1p1bp3/1P3rP1/P3KP1R/4B3 b - -,d4c3
6k1/1p3p2/6p1/3R2p1/p2P4/P3P1P1/1P3PPK/2r5 b - -,c1c2
8/p3k3/2p4p/2P1b3/4K1P1/8/8/8 w - -,e4e5
3rr1k1/1p3p2/7R/1qP3p1/p2b4/2RN2P1/PP1Q1PP1/3K4 w - -,h6b6
4r1k1/5pp1/2Nb2b1/3B4/1pR1PPP1/1P6/4K3/8 w - -,f4f5
3n1rk1/p1p2ppp/1p6/6q1/4P3/5Q2/PPP1B1PP/1K1R4 w - -,d1d7
3r1k2/1ppr1pbp/1p2p3/3P1p2/2P2P2/PPNR4/3R1KPP/8 b - -,g7c3
3r2k1/1p4q1/p1b3P1/2p2PP1/3bp1N1/7Q/PP4B1/3R3K w - -,d1e1
r4rk1/p2nqpp1/2p1p1p1/b1pp4/3PnP2/1P1BPN2/PBQ3PP/R4RK1 w - -,d3e4
8/6p1/3kpp2/p2n3p/P2b3P/1B6/4KPP1/r2NR3 w - -,e2d2
r3r1k1/ppp1bppp/2b5/3pPq2/3B1P2/5Q1P/PPP3P1/3RRBK1 b - -,f5c2
3r4/3P1ppk/7p/3Q4/p4P2/7P/P1q3P1/3R3K w - -,d1d4
r2qr1k1/4b2p/1p2p1p1/pb1pPp2/3P1PP1/P3B3/1P2Q2P/2R2RK1 w - -,e2b5
8/4B3/7k/1Kp1n1p1/2P1p1P1/4P3/8/8 b - -,e5g4
3r2k1/4bppp/3ppn2/1R4B1/8/2PQ2P1/q3PPBP/6K1 w - -,b5b7
4r1k1/1pq3b1/p2p2p1/PbpP1p1p/4NP2/2P1QBPP/1P3B1K/R7 b - -,f5e4
5b2/6k1/4Bp2/pp6/3P2P1/P1P5/1PK5/8 b - -,b5b4
r1b1r3/pp3pk1/1bpp1qp1/4p2p/3PP3/2P1NNPn/PPBR1PKP/R2Q4 w - -,a2a4
6k1/3r1pp1/3Brb2/1pP3p1/pP1pP3/P2K3P/6P1/2RR4 b - -,f6e7
3rqrk1/ppp1b1pp/2n1bp2/4p3/8/P1NPBN1P/1PP1QPP1/R4R1K b - -,e8f7
2r2r1k/1b1n2bp/p1pq2p1/1p1pNp2/P2PnP2/1Q2PB2/NP4PP/2R1BRK1 b - -,d7e5
5rk1/1p5p/p1pQb1p1/8/2P1PP1q/1P5P/P5BK/3R4 b - -,h4f4
8/3k2bb/8/7P/3r1K2/4p3/Pp6/7R w - -,f4e3
3q1rk1/p2bpp1p/1r1p2pQ/3P4/1p4P1/1N3P2/PPP4P/2KR3R w - -,h2h4
k1r5/pp1q1p1n/5RpP/3pP1P1/3Pp3/P3B1K1/1PPQ4/8 w - -,f6f2
8/pB4k1/3P2p1/8/P1q5/2b1Q1P1/7P/5R1K b - -,c4f1
r1bqrbk1/1p3ppp/p1p1pn2/8/P1PP4/5N2/1PB2PPP/R1BQR1K1 w - -,c1g5
5rk1/1bpq2p1/3p4/3PrP1R/p3P1p1/P1N3P1/3Q2K1/7R b - -,d7e7
3rk3/6Q1/p2b4/2p5/2P5/1P2P3/6PP/6K1 b - -,d8d7
r1br2k1/pp3pbp/4n1p1/4p3/8/1NP4P/PPB2PP1/R1B1R1K1 w - -,c1e3
8/3kb3/1R6/2p1B3/2K5/2P5/1P4r1/8 b - -,g2e2
8/p5n1/1p1n3N/1P2kpPP/5N2/5PK1/2P5/8 b - -,g7e6
5r2/2r3bk/p2p2p1/1p1Pp2p/1P2Rn2/P1P2B2/1R3qPP/B2Q3K b - -,f2b6
2rr2k1/1qp2pp1/pp2p2p/3bQ3/3P1P2/P1N2P2/1PPR2PP/1K1R4 w - -,f4f5
8/1p2Q2p/p1p3pk/P1P4q/3b1p2/5P2/1PB3PP/7K w - -,e7f8
r2r3k/pp3pbp/q1n3p1/4p3/2P5/2P3P1/PBQ1BP1P/3RK2R b K -,a6a5
4r1k1/1b3ppp/p2bqn2/8/PpBBn3/1P2NN1P/5PP1/1QR3K1 b - -,e6d7
