8/2N1k3/1K2P3/1p5N/1P4p1/8/5r1P/8 b - -,f2h2
r1b1qrk1/1pnnbppp/2pp4/p3p3/P1PPP3/2N1BN1P/1PQRBPP1/R5K1 b - -,c7a6
2b1rr2/3q1pkn/3p2p1/p1pPpP1p/1pP1P2P/1P1B2P1/P2Q4/R4RNK b - -,d7e7
rnbqkbnr/pp1p2pp/2p2p2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq d3,e5d4
3n1rk1/P2P3p/3Q2p1/4Rpb1/1P2p3/2P3P1/7P/3R2K1 b - -,d8f7
r2qk2r/1p1bbppp/p1nppn2/1Bp5/P3P3/1P3N2/1BPP1PPP/RN1QR1K1 w kq -,b5f1
2rr4/1p3n2/p2pb1k1/6p1/2P1P3/1P4R1/P2Q2PP/6K1 w - -,a2a4
r1bqrbk1/1p3p2/p1np2pp/2pBp3/4P3/P1PP1N1P/1P3PP1/R1BQR1K1 b - -,c8e6
5r2/p5k1/1p2Qnp1/2p3p1/P3p2P/1P6/6K1/8 w - -,h4g5
Q2nkb1r/4pp1p/p4p2/8/2pP4/2q1P3/P2N1PPP/4KB1R b k -,e7e6
1r1q2k1/3b2np/p2p1rpb/2pP2P1/2n5/2B2p1P/P4PB1/R1QN1RK1 w - -,c3f6
3r2k1/p4p2/1p2p2p/2b1N1pP/4r1P1/P7/KP6/5R1R w - -,e5f7
8/5pk1/R7/4pP2/4P3/7r/P4K2/8 b - -,h3d3
r3k2r/3qppb1/pp2b1pp/3pP3/2nP1B1P/2N5/PPB2PP1/1R1Q1RK1 b kq -,b6b5
1r1r1b2/1p3ppk/p2p3p/2q1p3/P1P1P3/1PNQ2RP/5PP1/3R2K1 w - -,d3f3
R7/P5kp/8/8/5P2/5K1P/r7/8 b - -,a2a3
6k1/Rp2rp2/6p1/8/3r4/1P5P/6P1/5R1K b - -,d4b4
8/2N1k1p1/5p1p/1p3B2/1P1P3P/n3PKP1/3r1P2/8 b - h3,d2b2
r3r1k1/2N2pbp/3p2p1/p2PP1B1/1qn2P2/2NQ4/1P4PP/4R2K b - -,c4b2
r5k1/p3rp1p/1p4p1/1R6/P2Pp1B1/4P1P1/3K1P1P/8 b - -,f7f5
1r1q1rk1/2p2ppp/1bnp1n2/1p2p3/3PP1b1/NBPQ1N2/1P3PPP/R1B2RK1 w - -,d4d5
6k1/3q1p2/p2P1Q1p/6p1/8/7P/P5PK/8 w - -,h2h1
2r3k1/1p2ppbp/6p1/1r2n3/1B2N3/P7/2P1b1PP/2KRR3 w - -,e1e2
8/8/p5k1/P1Pb2p1/3P2Pp/7P/5K2/B7 w - -,a1c3
2krr3/ppp2p2/5n1p/2b3p1/2P1p3/2BnP1PN/P4PBP/R2R2K1 b - -,f6g4
r2q1rk1/1b1nppbp/p2p1np1/2p5/PP1PPP2/3BBN2/1P1N2PP/R2QK2R b KQ -,c5d4
r4rk1/ppp3p1/2n1R3/7p/3P4/2P5/P3PqBK/R1BQN3 b - -,f2h4
r1b1r1k1/1p1n1pbp/p2p2p1/2pP4/P4P2/2NBq2P/1P1N2PB/R2Q1R1K b - -,e3d3
2RQ4/pp6/1k2p3/3pqnpB/8/6P1/P6K/8 b - -,b6a6
5rk1/pppqnrbp/3pb1p1/3Npp2/2PnP3/3PBPP1/PP1QN1BP/2R2RK1 w - -,e2d4
6k1/R7/8/2r5/5PK1/8/8/8 w - -,f4f5
1k6/1b5p/pR5R/6P1/1pP1qB2/1PbN4/P1K5/8 b - -,b8c8
2r1kb1r/2qb1pp1/3ppP2/6B1/7P/1Np2P2/PPP2Q2/1K1R2R1 b k -,g7g6
2r3k1/5pp1/Qp1q1n2/3p3p/P2Pp3/4P2P/5PP1/R4BK1 b - -,d6e6
r1bqkb1r/p1p2ppp/5n2/1p1Pp1N1/3n4/2P5/PP1P1PPP/RNBQKB1R b KQkq -,f6d5
r2q1rk1/ppp1n1b1/2npbpp1/3Np2p/2P1P2P/3PB1P1/PP2NPB1/R2QK2R b KQ -,d8d7
r2b1rk1/5p1p/3q1np1/pp1Pp1B1/8/P4BQ1/1PP3PP/4RR1K w - -,a3a4
2kr3r/q1p2pp1/ppP2nb1/3P4/P3p1P1/1NN1P1b1/1P2Q1B1/2RR2K1 b - a3,h8h4
8/1pk5/3r1p2/1p2p3/7R/1PK1P3/8/8 b - -,c7c6
2k5/1p3b1p/p4p2/7p/2pbPP1P/P4RP1/1KP3r1/2NN4 w - -,d1c3
3n2k1/1p1q1pp1/5r1p/p1pB4/2P5/PP2Q1P1/5PKP/3R4 b - -,d8e6
8/4bp2/8/p1RBk2p/2K3p1/8/8/8 b - -,e7c5
r3r1k1/1p1b1pbn/pq1p1npp/2pP4/P4P1B/2NBPN1P/1P1Q2P1/4RRK1 w - -,g1h1
7B/8/8/3p4/3Pk1Kp/5n2/8/8 w - -,h8f6
1r4k1/4ppbp/r2p1np1/q1pP2B1/2n1P2P/2N2P2/PP2N1P1/1RQ1K2R b K -,f6d7
8/pp1b2r1/2p2k1p/4b2B/4Pp2/1P6/P3NP1P/3R3K w - -,d1d3
K7/1P5k/6p1/7p/4q2P/Q5P1/8/8 w - -,a3a5
2r5/pp1bQpk1/4p2p/3pP3/8/2P1R2P/P1q2PP1/6K1 b - -,c8c3
3rr2k/bp1q2pp/p1pnbp2/4pN2/1P2P3/P2B1Q1P/2P2PP1/2BRR2K b - -,d7f7
7k/2p2p2/1pbp1P1p/2p1r3/2P1PRPP/3B2K1/2P5/8 b - -,h8g8
r2r2k1/2qn1bpp/1pp2p2/p1b1pP2/P3P1P1/4N2P/1PPB2B1/R3QR1K b - -,c5d4
r2q1rk1/1b2bppp/np2pn2/p1pp4/2PP1B2/P1N1PN1P/1P2BPP1/2RQ1RK1 b - -,h7h6
3rr3/1Bn3pp/p2b1n2/Ppp2k2/8/3P2P1/1PPBQ2P/4R1K1 w - -,e2f3
r3k2r/1bqn1ppp/p2bpn2/1p1P4/2p1P3/2N2N2/PPB1QPPP/R1B1R1K1 b kq -,d7e5
6k1/rr2ppbp/5np1/q1pPR3/8/2N2QPP/PP3PK1/R1B5 b - -,f6e8
8/1p3r2/p5k1/8/2P3P1/1P6/P2R4/3K4 w - -,d2d5
r4rk1/1b3ppp/pqn1pn2/1p2N3/Pb1P4/2N2B2/1P3PPP/R1BQ1RK1 w - -,c1e3
rnb2rk1/p3ppb1/2pp1npp/q7/1p1PPP1B/3B4/PPPQN1PP/2KR2NR w - -,c1b1
5r1k/2pB3p/8/1p1Pp1p1/1P2Pn2/2P1B3/3N1P2/5K2 w - g6,d7b5
2r2rk1/p2qbppp/bpn1p3/3p4/1P1P4/P1N2NP1/3QPPBP/R2R2K1 b - -,a6c4
5rk1/pbp2npp/1p6/3pb2q/1P1P3P/P2B2P1/1B1QRP2/6K1 w - -,d4e5
1k1r4/p1p4p/1p1nq1p1/2p1p1Q1/4N2P/1PPP1rP1/P4P2/2KR3R b - -,d6f7
8/2Q1P3/p5pk/2P5/1p3p2/4qP1P/P5PK/8 w - -,c7d8
3r3k/Q6p/p4p2/4b3/2p2pPq/7P/PP3P2/2R3NK w - -,c1c4
2r1b1k1/1qr2p2/p2pp1pb/1p3P1p/2PQP3/1P2N2P/P3N1P1/2RR3K b - -,b7a7
rnb2rk1/pp2bppp/4pn2/2q5/8/2PB1N2/PP1N1PPP/R1BQK2R w KQ -,e1g1
2r4k/3b2pp/5p2/1p6/8/qN1P3P/2P2QP1/2R3K1 b - -,d7e6
r2qkb1r/p2b1pp1/2n1p2p/1N1pP2P/2nP4/1B3NR1/PP3PP1/R1BQK3 b Qkq -,c6e5
r3rnk1/1p2qppp/2p5/p2pNb2/3Pn3/P1NBP3/1PQ2PPP/1R3RK1 w - -,b2b4
8/6pp/6k1/4p3/5K1P/3b4/6P1/4R3 w - -,e1e5
1r2r1k1/2p1np2/p4q1p/1pP3p1/3P1bP1/3QBN1P/P4PK1/1R2R3 w - -,e3f4
3R1nk1/1r2pp2/1Bp3pp/1p6/2r1P3/P1P2P2/5PKP/3R4 w - -,b6e3
8/8/5b2/4nkp1/3B1p2/8/6PP/1R5K b - -,g5g4
r1bq1rk1/pp2bppp/2n1pn2/3p4/2PP4/1P3NP1/P4PBP/RNBQ1RK1 b - -,b7b6
2R2k2/p2b1ppp/1p3b2/3Bp3/8/4BPP1/PP2P1KP/8 b - -,d7c8
rn1q1rk1/pb3ppp/4p3/1P1nN3/3P4/3BP3/P2N1P1P/R2QK1R1 b Q -,f7f5
r3qrk1/2nb2b1/p2p3p/2pPnpp1/Pp2P3/4BP1P/1PQ1B1P1/R2NRNK1 b - -,e8g6
r3r3/1q3pkp/1b1B2pN/1p1RP3/2n5/3Q3P/5PP1/5RK1 w - -,h6g4
r3kb1r/pppq2pp/3p1n2/4p3/2B1P3/2N1B3/PPP1QPPP/R3K2R b KQkq -,c7c6
2rq1rk1/1p2ppbp/p2p2p1/3N4/2P1P1b1/1P2Q3/P2B1PPP/1R3RK1 b - -,b7b5
rn1qk2r/pp2bppp/2p1pn2/3p4/4P3/2N2Q1P/PPPPBPP1/R1B2RK1 w kq -,d2d4:d2d3
3r2k1/1pq2p2/4p1p1/p4nRp/2P4P/PP4P1/2Q2PB1/5K2 w - h6,g2e4
5k2/p3p3/2p2q2/2PpNb2/3P1Q2/P7/1P1K1P2/8 b - -,f8e8
8/5ppk/7p/3p1p1q/3PbP2/r3B1P1/5Q1P/4R1K1 b - -,h5h3
8/p1b2k2/Pp4p1/1P1p1PP1/3B2K1/8/8/8 b - -,c7b8
