2B5/4k2p/2K5/p4P2/2P5/7P/P2b4/8 b - -,d2f4
3Br1k1/5pb1/pp4pp/4P3/P1p2PP1/1r6/2R4P/3R3K b - -,b3d3
r1bqr1k1/pp1n1pbp/3p1np1/2pP2B1/4P3/2NB3P/PP2NPP1/R2QK2R w KQ -,e1g1
r1bn1rk1/5p1p/1qpp1Ppb/p7/2PpP3/3P2P1/PB2N1BP/1R1Q1RK1 w - -,b2d4
1rr4k/p2nn1pp/2p2p2/1pPppPP1/4P2P/q1PPBB2/P1Q5/1R3R1K w - -,b1b3
r4rk1/1b2bppp/p3pn2/1p1q4/3P4/1P1B1N2/PBR1QPPP/R5K1 b - -,e7d6
r2b4/p5k1/R7/8/2pP4/2P3P1/5P2/6K1 w - -,f2f4
r1bqkb1r/1pp1pppp/p1np1n2/8/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3
r1bqk2r/pp2bppp/2np1n2/2p1p3/4P3/2PP1N2/PPBN1PPP/R1BQK2R w KQkq -,d2f1
2r3k1/1bq2rpp/1p2p3/pP2pp2/PbP1P3/1N2QPPP/2R3BK/3R4 w - -,d1c1
r3k2r/2pqnppp/pp2N3/3pn3/N7/P1PB4/1PQ2PPP/R4RK1 b kq -,d7e6
rnbqkbnr/pp4pp/2p1p3/3p1p2/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq f6,d2d4:d2d3
r1b2rk1/1pp2pp1/1bnp4/p1n1pNq1/2P5/PPN1P1P1/2QPB2P/1RB2RK1 b - -,g7g6
5r1k/rpp1n1p1/p2p2qp/4p3/4P1P1/1BP2N1P/PP3PK1/R2Q4 w - -,d1e2
r7/1pp2b1k/p7/4p1q1/3nP3/2b4P/P1B2QP1/5RK1 w - -,f2f7
6k1/2p5/1p1p1bp1/PR1P1r1p/2P1p3/4B1P1/4K2P/8 b - -,b6a5
8/8/1bNpp1k1/6p1/2b1P1N1/2P3K1/8/8 b - -,b6c7
8/7p/4p3/1p3k2/1BbP4/2P3P1/p1r5/K5R1 w - -,g3g4
8/8/8/8/1k6/1p6/1Nn5/1K6 w - -,b2d1
2knr2r/pppq2pp/5p2/1PPpn3/6b1/2PBBN2/P4PPP/R2QR1K1 w - -,f3e5
2r1k3/1p1bbp1r/3p4/p3q3/P1PNPpp1/1P1Q3P/4RP2/4RBK1 w - -,d4f5
r2qr1k1/2pp1pbp/1p4p1/pbnP4/P2Nn3/BP2P1P1/5PBP/R2Q1RK1 w - -,a4b5
1r1k1n2/2qn4/p3p2p/3bP1p1/1p1N4/3B4/PPP1Q1PB/1K3R2 w - -,e2h5
8/8/8/4kp1r/R7/7P/5K2/8 w - -,h3h4
3r2k1/pr4pp/2Rp1p2/8/3P2b1/1P6/P2N1PPP/4R1K1 b - -,d6d5
rn2nr2/5p1k/p2p2pP/1ppPp3/4Pq1P/2N1QB2/PPP2P2/R3K2R w KQ -,e3f4
3r1rk1/pp3p1p/1q4p1/3R4/3bP3/3QB2P/PP3PP1/R5K1 b - -,d4e3
1r2k3/2r5/p1b1p1p1/b1ppPp1p/5P1P/N1PR2P1/PP2R3/1NK5 w - -,d3d1
4r2k/rpb3p1/p1p3Pp/2P5/2PP4/1R2P2n/P2B4/1R3K2 w - -,b3b7
r2q1rk1/1pnnppbp/p2p2p1/2pP4/P1P1PP2/2N5/1P1BB1PP/R2Q1RK1 b - a3,e7e6
r1b2r2/2pqn1kp/p2pp1p1/Np4Pn/3PpP1Q/P1N4P/1PP1B3/3R1RK1 w - -,c3e4
8/5p2/7p/7K/2r4P/8/pk6/5R2 w - -,f1f2
8/p7/P5R1/5p2/5k2/8/4K3/6b1 b - -,g1c5
r4rk1/pp3ppp/1npqb3/2p5/4PB1N/1P1P4/P1P3PP/R2Q1RK1 b - -,d6d4
2br1r1k/p6p/3qpp1b/1pNn4/1PBPR3/PQ3N2/5KPP/4R3 w - b6,c4b5
1r4k1/3qp2p/5bp1/1p1p1b2/2rP4/2P4P/BQ1B1PP1/2R1R1K1 b - -,c4c8
4k2r/2r1bp1p/2p1p1p1/4P3/1PR2P2/4B3/P5PP/5RK1 b k -,c7d7
rr4k1/2n1pp1p/q2p2p1/2pPb3/4P2P/2N3P1/PP1BQPK1/R3R3 w - -,a1b1
rnbq1rk1/4bppp/2p1p3/p3P3/P1BP4/2p2N2/2Q2PPP/R1B1R1K1 w - -,c4d3
r3k3/pp1b3p/4p1p1/2b3B1/8/3B4/PPP1K1PP/5R2 w - -,f1f4
8/4k1pp/2p1bp2/p7/P3Pp2/2P2N2/2B2P2/6K1 w - -,f3d4
4r3/R5n1/6pk/6Np/7P/6P1/5PK1/8 w - -,g2g1
2rr2k1/1b2bppp/p7/P1pNq3/1p2P3/1P1Q2P1/5PBP/R2R2K1 b - -,b7d5
rn2kb1r/ppp1pppp/5n2/q7/2BP2b1/2N2P2/PPP3PP/R1BQK1NR b KQkq -,g4h5:g4f5:g4d7
r1qrk3/6pR/p4bP1/1p1ppp1N/1Q1Nb3/1P6/P1P5/1K1R4 b - -,f6e7
r4rk1/1pp1qppp/pbnpb3/4p2n/PPBPP3/1QP2N2/1B1N1PPP/R4RK1 b - -,e6g4
8/1b2kp1p/pb2p3/1p3p2/5N2/2P3P1/PP2RP1P/3r1BK1 w - -,b2b3
r1b1r1k1/1ppp1ppp/8/p3q3/2P5/PP2P3/3QBPPP/R4RK1 b - -,a8a6
8/pb3k1p/1p4p1/2p3P1/2PP1p2/P3r2P/3R3K/8 b - -,f4f3
r5k1/1b3ppp/pp6/3q2B1/PQ2r3/5N2/1P3PPP/2R3K1 w - -,b4b6
rnbqkb1r/1p2pppp/p2p1n2/2p5/4P3/2PP1N2/PP3PPP/RNBQKB1R w KQkq -,a2a4
5r1k/2R3pp/1P5n/4p2P/3p4/1q2N3/4QPP1/6K1 w - -,e3c4
3rr1k1/5pp1/7p/q3bb2/4P3/3pQB2/5PPP/3RR1K1 w - -,e4f5
6k1/3rpp1p/6p1/8/1B2P3/P7/2r2PPP/5RK1 w - -,f1e1
4r1k1/1p1n1p2/p2P3p/P3q1p1/3Qp1P1/4P3/4B1P1/2R3K1 w - -,c1c7
r4b1k/p5p1/5PQp/1p6/2pqp3/7R/PPP3PP/5K2 w - -,f1e2
5rk1/1b3ppp/p7/2q1P1P1/1N2P2P/3Q2N1/P4PK1/8 w - -,b4d5
5rk1/1p3p1p/p5nQ/8/2B5/8/PP3qPP/1K1R4 w - -,g2g3
6k1/Q4pp1/1B6/3q3p/4n3/1P4P1/5PKP/8 w - -,a7a5
2rb2k1/p1p2pp1/1r5p/2R2P2/3p4/1B1P2PP/P4P2/2R3K1 b - -,c7c6
r5k1/4ppn1/2p5/p3PP2/6p1/B6P/P4K2/3R4 w - -,h3g4
6k1/p5pp/8/1pp5/q1nrP2Q/P1K2P2/7P/R2R4 b - -,b5b4
rnb1k1nr/ppq1b1pp/2pp4/4pp2/2PP4/2N2NP1/PP2PPBP/R1BQK2R w KQkq f6,e1g1
5n2/2r3k1/6p1/p7/1P3PBP/5KP1/1P2R3/8 b - -,a5b4
8/3K1kpp/5p2/3Rp3/2P5/3P2P1/4rP1P/8 b - -,e5e4
5k2/4R1b1/2N3p1/pr1P3p/7P/Pr3PP1/1n4K1/1RB5 w - -,e7g7
r4nnr/p3pk2/4pb2/qpP4p/3p3P/2N1BP1B/PPPQ1PR1/1K4R1 w - -,c3e4
2r2rk1/1p1qbp1p/pnn1p1p1/3p4/3P1B2/P2QPP1P/BP2NP2/2R2RK1 w - -,g1h2
5Q2/pb1r2rk/1pp5/3P4/2P2P2/P3P3/1B5P/2K5 w - -,b2g7
7k/5pp1/3n4/8/8/3KN2P/1b3PP1/8 b - -,h8h7
2R5/8/6k1/2P2p2/2r2P2/6PK/8/8 b - -,g6h5
r1b1nrk1/6b1/p2p2qp/2pPp3/2B1NpPB/R6P/1PP2P2/2Q1R1K1 b - -,h6h5
3R4/8/5k2/p1r2np1/8/1B3K2/P4P2/8 b - -,c5e5
r2qk2r/1b1n1pb1/pp1ppnp1/3N3p/P1PNP3/4BP2/1P1QB1PP/R3K2R w KQkq -,d5f6
1r1N1q2/pp6/4Rnpk/3B1p2/2p2Qn1/6P1/1P3PK1/8 b - -,h6h5
6k1/1b3pp1/pp5p/3P4/3q2P1/1PNN4/P7/2R2K2 w - -,f1e2
7k/1p3r1p/2p4P/4p1b1/p1P5/P1N2P2/1P2K1p1/6R1 w - -,g1g2
5rk1/1b2r1qp/4pn2/pNRp2p1/P2P4/6P1/1Q2P1BP/2R3K1 w - -,b2d2
8/p7/1p4B1/3Pk2p/1P3ppP/Pb1K4/5P2/8 b - -,b3d5
8/8/6k1/2R5/8/5PK1/5P2/1r6 w - -,g3g4
2r5/p3kp2/3p4/3Pp3/b1p1P3/P4P2/3KB3/3N4 w - -,d1c3
1r1R4/nb3rqk/4p3/BQ2P2p/p1p3pP/P4pP1/1P3P2/4RBK1 w - -,b5c4
r1bqkb1r/pppn1p1p/3p1np1/4p3/PP6/4PN2/1BPP1PPP/RN1QKB1R w KQkq -,a4a5
