1Q6/7p/4k3/4q1p1/4p3/3rp1R1/6PK/8 w - -,b8e8
r2nkb1r/1q1p1pp1/pp2p2p/4PPB1/1PPN3Q/P7/6PP/3R1RK1 b kq -,b7c7
5k2/4bp2/pp1p1n2/7p/2P4q/1PN2R2/PB2R2P/7K b - -,b6b5
1rb1nrk1/1p2qpbp/p2p2p1/P1pPn3/5B2/2N1PN1P/1P2BPP1/R2QR1K1 w - -,f3d2
r2B1rk1/2P2ppp/1q2p3/1Nbp4/2p1n3/8/2Q2PPP/1R2KB1R b K -,c5b4
6k1/2p2pp1/p7/1p1n3p/8/N1P3KP/PP3PP1/8 w - -,c3c4
8/8/8/p6p/7P/1k1KP3/8/8 w - -,e3e4
r3kb1r/ppq1n1p1/2n1ppp1/1B1p4/3P2PP/2NQ4/PPPB1P2/R3K2R b KQkq -,g6g5
2b2rk1/R2n1ppp/p3p3/q2p4/1brP2PP/1RNQP1B1/P3NPK1/8 w - -,g4g5
5rk1/5p1p/P5p1/3Rp3/2Q1P3/p5P1/5PKP/4q3 b - -,a3a2
3r4/1p3kp1/p1pnp3/P5p1/1n1PP3/1N3PP1/1P1K4/3R1B2 w - -,b3c5
rn1qkb1r/1b1p1ppp/p3pn2/2p5/1p2P3/6P1/PPPPNPBP/RNBQ1RK1 w kq -,d2d3
3k4/3b4/3p4/5p1p/2QP1P2/2P3P1/5PKP/3q1B2 w - h6,f1e2
r1b2qrk/1ppn1p2/p2p1n1p/3PpNp1/P3P3/2P2NPP/1PQ2P2/R3RBK1 w - -,b2b4
8/1pn3p1/1p1kp2r/3p3P/3P1PB1/PKP5/6R1/8 b - -,g7g6
r1b1k1nr/ppp2p2/2nb1qp1/3p4/3P3p/1QPBB1N1/PP3PPP/RN2K2R w KQkq -,g3e2
1n6/8/3k2p1/Q2P1pP1/1p1qp2P/1P6/2P3B1/7K w - -,a5d8
2br4/2p1k3/5pp1/p1n1p2p/PpP1P3/1P2P1PP/2BNK2R/8 b - -,d8f8
4r1k1/p3P2p/PpPq2p1/2np4/8/4Q3/6PP/R2R2K1 b - -,e8e7
2k1r3/p1p2Rpp/2pp4/N7/4P3/4n1K1/PPP3P1/8 b - -,e8e4
8/8/P1n5/6pp/4k3/6P1/4K3/8 b - -,g5g4
8/1p1k3p/2p1p3/P1PpP1p1/1N1P2P1/2K2n1P/P7/8 b - -,f3g1
3r3k/p4qp1/4p1np/3n4/3Q4/P5P1/3B1PBP/R5K1 b - -,d8d7
1k6/1pb2p2/2p5/4nN2/q7/2P1N3/1P6/1K5Q b - -,b8a7
rn1qk2r/ppp2ppp/4bn2/3p4/1bPP4/1PN5/P4PPP/R1BQKBNR w KQkq -,c1b2
8/p1N1k3/1p1r4/1K1P1R1p/P5r1/8/8/8 b - -,d6h6
r4r2/1n1q1pbk/p2P2pp/2P5/1R2N3/5N1P/5PP1/3QR1K1 b - -,b7d8
8/7p/P7/3k4/1rpp4/5P2/R3K1P1/8 b - -,b4b8
r2q1rk1/pb2ppbp/1p1p2p1/2p5/1PPnP3/2NP2P1/P2B1PBP/1R1Q1RK1 w - -,a2a4
4rr2/1p4k1/p1p1np2/2Pp1Bp1/3P4/1P3R1P/6P1/5RK1 w - -,f1d1
3rn3/1pr2pk1/p1bp2p1/2q1p2p/P1P1P2P/1PNR1PP1/1Q4B1/3R3K w - -,g2f1
8/p2r1kp1/2p2p1p/3p3P/1PbPr3/2P1R3/1R3PP1/2BK4 w - -,g2g3
2r3k1/pb1qbpp1/1p1pp2p/3nP3/P1NP4/1Q2B2P/1PR2PP1/4N1K1 b - -,e7f8
r1b5/1pp1qpk1/p6p/3Qp3/2P1P3/2P2B2/P5P1/3R2K1 w - -,d5d8
1r3r2/4nk2/bq2p2b/pp1pPp1p/2pP1PpP/P1P1N1P1/1PQB2B1/R4RK1 w - -,f1b1
1r3r1k/b1p2qpp/B2p1p2/4n3/PP1pP2Q/7P/1P1B1PP1/R1R3K1 w - -,f2f4
2k4r/1p1n1pp1/pqp1p3/6B1/PPB1PP2/3Q2P1/3R2K1/8 b - -,d7b8
8/p4qpk/1pQ4p/1P3pnP/P2rb3/4R3/6P1/4RBK1 w - -,c6c3
r2q1rk1/1bp1bpp1/p3pn1p/1p4B1/2pPP2P/PnN2NP1/1P2QPB1/3R1RK1 w - -,g5f4
3kb3/7r/4pn2/1p2p2p/1P2P2R/4KB2/2P5/6N1 w - -,f3e2
3r1rk1/pb1nqp1p/1p3bp1/2p1p3/2BPP3/1QP2NB1/P4PPP/3RR1K1 b - -,f6g7
8/4kr1p/p1r2p1R/3p3P/3P1Pp1/R6K/6P1/8 w - -,h3g4
r4rk1/1pq2pbp/p2pbnp1/n1p3B1/P1P1P3/2NB4/1P1QNPPP/R4RK1 w - -,d2c2
4k3/7p/2R3P1/r5b1/3BPKP1/8/8/8 w - -,f4f3
3k3r/3n2Rp/2bP1p2/3p4/p7/5PB1/1r3P1P/R5K1 w - -,a1c1
8/8/8/8/6p1/3b1kP1/5bR1/7K b - -,d3f1
3n3r/1ppk1p1p/1p3p2/3rP3/1P6/2PP3P/P1B3P1/4RRK1 b - -,d5e5
r2qrbk1/1b3pp1/1n1p1n1p/p1pP4/Pp2PP2/1P4P1/3N1NBP/R1BQR1K1 b - -,b7a6
8/p1r4p/Pp2k3/1P2P2R/2KP4/8/7P/8 w - -,c4d3
1r6/3p2kp/2b2p2/4p3/1q2P3/2R3PP/1P1Q1PBK/8 w - -,b2b3
8/7p/5k2/3n1N1P/5P2/4PK2/8/8 b - -,f6f5
8/3r3p/2k2p1R/8/2P5/2K2P1P/6P1/8 b - -,d7f7
r2q1rk1/pp1n2pp/3b1n2/3p2N1/4p1b1/2P5/PPQNBPPP/R1B1R1K1 w - -,d2f1
2rr2k1/4bpp1/p1n1b2p/3p1p2/3P3P/2NNB1P1/PP3PK1/1RR5 w - -,c3a4
rnb1kb1r/pp2pppp/2p2n2/q7/2BP4/2N4P/PPP2PP1/R1BQK1NR b KQkq -,e7e6
4k1r1/1B1p1p2/p2bpp2/1R6/3q4/6PP/P1P1QP2/5RK1 b - -,a6b5
rnbq1rk1/1p4pp/p2p4/3Ppp2/2P2P1b/2N1B1P1/PP2B2P/R2QK2R b KQ -,h4f6
rn1qkb1r/pbp2ppp/1p3n2/3p2B1/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,f8e7
8/2rrk1p1/1p1bp2p/p3p2P/1P2B3/P2RP1P1/5PK1/3R4 w - -,b4a5
rn2k1nr/p1qb1pbp/1p1p2p1/1BpPp3/P1N1P3/2N5/1PP2PPP/R1BQK2R b KQkq -,a7a6
r2q3k/pp1bn1b1/3p1r2/1N1Pp1pp/4Pp2/5P2/PP2BBPP/2RQ1RK1 w - -,d1b3
r2qk2r/pb1nbppp/1pp1pn2/3p4/2PPP3/2N2N2/PPQ1BPPP/R1B2RK1 b kq -,d5e4
4r2r/3b4/3kppn1/pp1p3p/n1pP3P/2P2BP1/2PB1PN1/R3R1K1 w - -,g2f4
r1r3k1/p2qnpbp/6p1/1pP1p3/3p4/PQ1P2P1/1B2PPBP/R4RK1 b - -,a8b8
1r2r1k1/p1pb1pb1/1pn1q1pp/4p3/2P5/3P1NPP/P1QBPPB1/1R2R1K1 w - -,e2e3
1r4k1/6p1/5qNp/p3N3/P2PQP2/8/2n2PKP/8 b - -,b8c8
8/1pR2pk1/2n5/8/N1r3P1/4KP2/8/8 b - -,c4a4
4b3/p3k3/5p1p/2KB2p1/2P4P/6P1/P4P2/8 w - -,d5c6
1Q3bk1/3bq3/p2p2n1/1p1Pp3/1P2Pp2/5P1P/PN5B/2N2nK1 w - -,g1f1
2rq2k1/1Q4p1/p2p2r1/4p2p/1PP4n/P3NP2/6PP/1RR3K1 b - -,c8c7
3rr1k1/1pp2ppp/p1n5/1B1b4/3P1n2/5N2/PP1N1PPP/R1R2K2 w - -,b5c6
rn2kb1r/pp2pppp/2p2nb1/q3N3/3P2PP/2N5/PPP2P2/R1BQKB1R b KQkq -,b8d7
2b5/5r2/2pk1p1R/pp2p3/1P2P3/P2N1P2/2PK4/8 b - b3,a5b4
r2qkn1r/pp2b1p1/2p4p/3p4/3PpP2/2N1P2P/PP2QBP1/R3K2R w KQkq -,f4f5
8/1R4pp/5pk1/8/P7/5P2/6r1/4K3 w - -,a4a5
6nk/1p3p1p/p2N3b/P3pb2/8/4R3/2P1B2P/7K b - -,h6e3
8/1p5p/p1p3p1/2P2p2/1P3P1P/3qk1P1/1Q5K/8 w - -,b2a1
r1bq1rk1/ppp1bppp/3p1n2/n3p3/P3P3/3P1N2/BPP2PPP/RNBQR1K1 b - -,c7c5
8/5k2/8/5P2/4R1P1/p7/6r1/K7 b - -,f7f6
2b1krr1/1p2b1n1/p1p2npp/2Pp1p2/3PpP2/1PB1N1PB/1PN1P2P/R4R1K b - -,f6h5
r2q1k1r/p2bnpp1/4p2p/1p1pP3/2pP2QP/P1P2R2/2PKNPP1/R4B2 b - -,e7f5
r2q1rk1/pb3pp1/1p1p1nnp/2pPp3/2P1P3/P1PBBNPP/2Q2P2/R4RK1 b - -,b7c8
4R3/1Q1r1nkp/2p3p1/5p2/5P1P/6P1/3q2B1/7K w - -,b7c6
r2qk2r/pppn1ppp/3bpnb1/3p4/3P4/2PBPNB1/PPQ2PPP/RN2K2R b KQkq -,d7b6
1r4k1/3r1pb1/6p1/2p1p3/1p2R3/8/1PP2BPP/5R1K b - -,d7d2
