8/8/6p1/P7/P2K1k2/5r2/7p/R7 b - -,f3a3
3rr1k1/1bq2pp1/p4n1p/1p1PpP2/6P1/bNN2BQ1/1PP4P/3R1R1K w - -,g4g5
r2qr1k1/1p4bp/2p3p1/p2npbN1/P1Q1B3/1P2B1P1/5P1P/R4RK1 w - -,f2f3
8/1B6/3bk1n1/5pBp/7P/1P6/8/5K2 w - -,b7f3
r2qk2r/p2n1ppp/1ppbpn2/8/3P2bN/1N1Q2P1/PPP2PBP/R1B1K2R b KQkq -,a8c8
r4rk1/bpp1npp1/p2p3p/8/3NPBn1/2P4q/PPB2PN1/R2Q1RK1 b - -,e7g6
6k1/4b1p1/7p/pp2B3/5PP1/5K1P/P7/8 b - -,b5b4
7k/8/pp4b1/8/P2p4/7P/1P5P/6K1 w - -,g1f2
r4rk1/p3qppp/5n2/4p1B1/7Q/2Nb2P1/PP3P1P/R3R1K1 b - -,e7e6
2q5/pp3pkp/2pQ1np1/5P2/3P3P/3B4/PPPK4/8 w - -,d6e5
3n4/3kb1p1/p1p1bp1p/1p2p3/2P1P3/P2BB1P1/1P1N1P1P/5K2 w - -,b2b4
8/4kp1p/3p2p1/2n5/P7/7P/2B2KP1/8 b - -,d6d5
rnq2rk1/pp1bppbp/2p2np1/8/4P3/2P2NPP/PP1N1PBK/R1BQ1R2 b - -,c8c7
8/4k1pp/ppr1r3/3p1p2/P1nPp2P/1RP1P1P1/4KP2/1R2B3 w - -,e1d2
7k/5p1p/4ppr1/p3n3/b3P3/q5NP/3Q1PP1/1B2R1K1 b - -,a3b4
3r2k1/ppp4p/5pp1/4Pb2/2P2P2/2Pr4/PR1B2PP/4K2R w K -,h2h4
r2qk2r/pp1nppbp/3p2p1/2p5/2P1P3/1PNP1nPP/PB2NP2/R2Q1K1R b kq -,e8g8
r5k1/1pB2pp1/2n3rp/1Q1p4/4q3/PP2P2P/5PP1/2RR2K1 w - -,c7g3
8/pbr3k1/1pn1p1Np/2p5/2P2PP1/8/PP1r1R1P/1B2R1K1 b - -,d2f2
2r1r3/pp1q1kpp/3p1n2/8/P1PQ1P2/4p1P1/7P/2R2R1K w - -,c1c2
r1br4/1p6/p5k1/7p/3Bq1p1/1BP4Q/PP6/6RK w - -,g1g2
8/2p2p2/4pk2/5qp1/3P4/1Q5P/2r2PP1/5RK1 b - -,f5e4
8/4pqk1/3p2p1/3Pb3/1R2P2r/4Q2P/5PK1/7R b - -,f7f6
3r1rk1/2p3pp/3n2p1/p1p1R3/3P1p2/P4N1P/2P2PP1/1R4K1 w - -,e5c5
rnbqk2r/ppp1ppbp/6p1/6B1/2PPp3/4P3/PP1Q1PPP/R3KBNR b KQkq -,c7c5
1rb1rbk1/2q3np/3p1np1/2pP4/1p2PP1N/1P3B2/7P/RNBQR1K1 w - -,c1b2
8/8/4p3/3pP1kp/1R1P4/3BnP1n/6r1/7K w - -,f3f4
4rr1k/1pq3bn/3p3p/p1pP1P2/5P1B/PP1B1Q2/6P1/1RR3K1 w - -,c1e1
rr4k1/2qb1ppp/p3pb2/3n4/3R4/1N3P2/1PP1BBPP/R2Q2K1 w - -,d4c4
3r1rk1/p2nbpp1/2q1p2p/2P2b2/P3N3/B5P1/3Q1PBP/R3R1K1 b - -,d7c5
r3rbk1/1p4p1/2n2nQB/3q4/p2pp2P/P7/1P1N1PP1/R1N1R1K1 b - -,c6e7
5rk1/5pbp/pRn3p1/2qBn3/3pP3/5N1P/5PP1/3QR1K1 w - -,f3e5
3r4/1b2r1k1/4pppp/1p3P1n/2pP2P1/2N1P2P/3N1R2/2R3K1 b - g3,e6f5
8/5kp1/R7/6p1/6K1/5P2/6Pr/2r5 w - -,a6a7
1r3rk1/1b2qpp1/1pB1pn1p/p3N3/Q2P4/2R5/PP3PPP/2R3K1 b - -,b7c6
1r3rk1/pq1nppbp/1p4p1/3n4/3PN3/1Q2PN2/1B3PPP/R1R3K1 w - -,b3a4
3q2k1/3p2p1/1r1b1n1p/3Pp3/2B1P3/1P4P1/Q5NP/4R1K1 b - -,d6c5
r1r3k1/5p1p/2p2np1/p1Pp1b2/5B2/1PR3P1/4PPBP/R5K1 w - a6,f2f3
4r1k1/pp1q2bp/2n1p1pB/3p1r2/3P3P/2P2N2/P2QRPP1/4R1K1 w - -,h6g7
r4rk1/pnq2ppp/6b1/1pnPp3/2p1P1P1/P1P1BP2/B1Q3NP/R4R1K w - -,g2h4
4r2k/p5p1/1pR2n1p/6q1/3PPpb1/1B6/PP3RPP/1Q4K1 w - -,e4e5
8/8/PP2r3/8/3K4/2P5/5k2/8 w - -,b6b7
r1b1kb1r/ppp2pp1/2p4p/4Pn2/8/5N1P/PPP2PP1/RNBR2K1 w - -,b1c3
2nr1b1r/ppk4p/2n1bpp1/P3p3/4B2P/2P2N2/1P1N1PP1/R1B1R1K1 w - -,e4c2
r3k2r/1bq2ppp/p1nbpn2/1p6/1P6/P2BPN2/4QPPP/RNBR2K1 w kq -,c1b2
4r2k/1b5p/p2q1pp1/1p1p2b1/3P4/1Q2PBP1/PP3N1P/4R1K1 b - -,d6e6
r2q1rk1/1p2bpp1/p1nppnbp/2p5/1PP1P3/P1NPBN1P/3QBPP1/1R3RK1 b - b3,c5b4
3r4/5pk1/p3p3/2p5/2P2P2/1P3K2/P6P/5R2 b - -,f7f5
r1bqnrk1/1pp1bpp1/3p3p/p1nPp3/2P1P3/2N1BPN1/PP1Q2PP/R3KB1R w KQ -,f1e2
3r2k1/p4ppp/4b3/1r6/4P2P/1PP3P1/P1K1B3/2R3N1 b - -,b5a5
1r2k1n1/2q5/p3p1nP/1pPp4/7p/2N1B1bP/PPP3Q1/3R1R1K w - -,e3g5
6k1/2R3p1/4N2b/4P2P/4r3/6K1/7P/8 w - -,c7c5
2r1k3/8/R1b5/1pPp1p1r/6p1/1BB1P1P1/7P/6K1 b - -,h5h7
R7/1r3ppk/4p2p/2ppP3/N7/3nPP2/1B1n2PP/6K1 w - -,a4c5
r3nrk1/1q1nb1pp/ppbpp3/2p2pP1/P1P1PPN1/2NP3P/1P4B1/R1BQ1RK1 w - f6,g4e3
r2qr1k1/1bppbppp/p1n2n2/1p2p3/P3P3/1B1P1N2/1PP2PPP/RNBQR1K1 w - -,c1g5
8/4kp1p/1pK3p1/3B1p2/PP6/5P2/6PP/6b1 w - -,h2h3
rr4k1/3nppbp/b2p2p1/2pP4/1qn1P3/2N2NPP/PPQ2P2/1RBR1BK1 w - -,f3d2
8/1R5p/3b1p2/p2P4/6r1/3kB2b/3N1K1P/8 w - -,b7h7
5R2/2r2p1k/4pPp1/6Pp/8/1p2K1P1/1P3P2/8 w - -,f8b8
2rq1rk1/pb1n1ppp/2pb1n2/1p2p3/3PP3/2NB1N2/PP1B1PPP/2RQ1RK1 w - -,d4e5
3q1rk1/3r1ppp/pQ2p3/P1b1P3/7P/3nNBP1/5P2/R2R2K1 w - -,b6a6
2kr3r/1ppnqp2/1pnpb2p/6p1/4P1PP/1NN1QP2/PPP5/2KR1B1R w - -,f1b5
r1bqkb1r/p3pp1p/1npp1np1/1p6/3PP3/2NBBP2/PPPQ2PP/2KR2NR b kq -,b6c4
1r1q1rk1/p3ppbp/n2p2p1/2pNnP2/2P1P3/1P4PP/P5B1/1RBQ1RK1 b - -,a6b4
r3k2r/ppp3p1/1b5p/3q4/5N2/P4pPP/1PPB1P2/R3K2R b KQkq -,b6f2
2r1r1k1/pbq1ppb1/1p1p1np1/3N3p/2P1P3/1P2BP1P/P2QB1P1/2RR2K1 b - -,f6d5
8/8/8/4pp2/r4k2/1R3P2/6K1/8 b - -,a4a2
2kr3r/ppp2ppp/5n2/2bP1b2/2B5/P1N2P2/1P1N2PP/2KR3R b - -,a7a6
r3kb1r/pb3ppp/1qnppn2/1pp5/3P4/2P2NP1/PP1NPPBP/R1BQR1K1 w kq -,d2f1
r2qr1k1/2p2ppp/p1bp4/3N4/p3P2b/2R5/1PP2PPP/2BQ1RK1 b - -,c6d5
r2q1rk1/pbpnbpp1/1p3n1p/3p4/3P3B/2NBP3/PP2NPPP/2RQ1RK1 b - -,c7c5
3R4/2p3p1/2k1p1r1/2p1P3/8/5KB1/8/8 w - -,d8d1
3r3k/4R3/ppr4p/6p1/P2pR3/3P4/1PP3KP/8 w - -,e7e8
8/1p5r/p3p2P/P3PPN1/6P1/P2bBK2/1kp5/1rR5 b - -,h7h6
r3kr2/p3q1p1/2p1p2p/1p1bP2P/2p3R1/2P1Q3/P4PP1/3RKB2 w q -,d1d4
r2q1rk1/2p1bppp/p1np1n2/1p2p2b/3PP3/1BP1BN2/PP3PPP/RN1QR1K1 w - -,h2h3:b1d2
r1q2rk1/pp3p1p/2n3b1/2bNp3/2P5/1P5P/P2QNPB1/R4K1R w - -,b3b4
2r1r1k1/1pnqpp2/3p1bp1/p2P4/2PN1PP1/1P3Q2/P4B2/3RR1K1 b - -,b7b5
6k1/3b4/3P2p1/2p2p2/5P1B/pK6/6PP/8 b - -,g8f7
8/8/p7/8/3N2k1/PP6/5r2/K7 w - -,b3b4
6k1/1bq3r1/p2Rp3/1p2Pp1p/1PP2P2/5P2/P4Q1P/2R2K2 w - -,f2h4
5rk1/p4pp1/1p1r3p/5q1P/3p2R1/P5Q1/1P3PP1/K2R4 b - -,f5c2
8/2p5/3pb3/5kp1/1N6/2n1KPP1/2B5/8 b - -,f5f6
r3k2r/pbq2ppp/1pp1p1B1/4P3/1b6/2N5/PPP1QPPP/R1BR2K1 b kq -,h7g6
