8/2n5/2N5/1k4p1/6K1/1p6/1P6/8 w - -,c6d4
3b2k1/2B2pp1/6p1/2Pp4/2pP4/4NQP1/1q3P1P/6K1 b - -,d8c7
q2r2k1/3nbpp1/p6p/Np1P1P2/1P2Q1P1/P2R4/2r4P/6BK b - -,e7d6
8/3R4/8/2rp1K2/2k5/4r3/8/3R4 w - -,f5f4
6k1/2b2p2/p6p/P7/2r3p1/3NP1P1/2pK1P1P/R7 w - -,a1a2
rnbqk2r/ppp1ppbp/6pn/8/3PNP2/5N2/PPP3PP/R1BQKB1R b KQkq d3,e8g8
r1b1k2r/2qn1ppp/p2pp3/1p4P1/3RPP2/2N2Q2/PPP4P/2K2B1R b kq -,c8b7
2r2rk1/1b3ppp/p7/1p1pq3/1P4n1/P2BP3/3QNPPP/2R2RK1 w - -,e2g3
3rk1qr/p2n1p2/1p3bpB/2pPpN2/2P1P1Q1/3R4/P3KPP1/7R w - -,f5d6
2r2k2/5p1n/p2p1Pp1/Pp1Pp1P1/1P1bK3/6P1/R2BB3/8 b - -,f8e8
q4rk1/r1pnbppp/p3pn2/Bp6/3Pb3/5NP1/PP1NPPBP/R1QR2K1 b - -,e4d5
r2q1rk1/1b1nbppp/p2p4/n2Pp3/p1p1P3/N1P2N1P/1PB2PP1/R1BQR1K1 w - -,c2a4
4r2k/pp1R1pbp/1q4p1/8/4n3/1B3NPP/PPQ2P2/6K1 b - -,e4g3
r2qkb1r/1p3ppp/p1n1pn2/8/P2N4/3QB1N1/1PP2PPP/R2R2K1 b kq -,c6b4
8/7p/k7/P1KpN1p1/3P2P1/8/4b2P/8 b - -,a6a5
5k2/p6p/Np4pb/1P6/3PR3/4PK2/r5PP/8 b - -,h6g5
2rr2k1/1p3ppp/pq1p1b2/3Qp3/4P3/1P3N2/P1P2PPP/3RR1K1 w - -,c2c4
2q1kb1r/pp1b4/4p1p1/3p1pNp/2nP1P2/P3BN2/1P4PP/3QR1K1 b k -,f8e7
r6k/7p/p4pp1/1pPP4/2n4P/8/R4PP1/1R4K1 w - -,b1b5
8/2n2p2/2k1pP1r/3pP3/2pP4/1bP1N1R1/4r1B1/2R2K2 b - -,e2a2
r4rk1/2qnppbp/b1p3pB/p1p5/Np2P3/P2P1N1P/1PPQ1PP1/R4RK1 w - -,h6g7
2r2rk1/1bq2ppp/pp2p3/2n5/1Q2n2B/P1P1P3/4N1PP/1B1R1RK1 b - -,a6a5
8/ppk1p3/2n4p/8/2n2PB1/2P5/P1K4P/2B5 b - -,c7d6
r1bq1rk1/1p2ppbp/2npn1p1/p7/1PP1P3/P1N5/2NBBPPP/2RQ1RK1 b - -,a5b4
1n1qr1k1/2pb1pbp/rp1p1np1/p3p3/1PP5/P1NP2P1/2NBPPBP/1R1Q1RK1 w - -,d1c1
r3k2r/pp2bppp/2p1pn2/3q4/3Pn2N/3BP3/PPQ2PPP/1R2BRK1 w kq -,f2f3
qr3rk1/4pp1p/p1bp1npb/8/2N5/2P1P2P/QP4PB/R3RBK1 w - -,a2a6
r4b1k/4Np2/ppr1qN1p/5p2/2n5/6PQ/P4P1P/R2R2K1 w - -,e7c6
7k/1b1qp2p/4p1pb/pp2P3/5P2/P2r3P/1P3QPB/4RNK1 b - -,d7c6
8/p2b4/4pkNp/5p2/2P4P/P3RP2/7K/2r5 w - -,g6e5
8/7p/p3R1pk/3P4/1qp2p2/2Nb1B1P/P4RP1/2K5 b - -,b4c3
1r5k/3qB2r/b1p1pPp1/4P1Q1/2p5/1P1P2N1/8/5RK1 w - -,g5g6
r1b2knr/pp3ppp/1qnN4/4P3/3p4/5N2/PPP2KPP/R1BQ1R2 b - -,c8e6
r5k1/pp1bq1p1/4pn1p/4Nr2/2PQp2P/4P3/PP2NP2/2R1K1R1 b - -,d7e8
2b1k2r/4b1pp/4Q3/1q1PP1P1/5R1P/p3r3/6B1/K7 w - -,e6c8
r1b1kbnr/pp1p1p1p/2qP2p1/4p3/2NpP3/B4Q2/P4PPP/1R2KB1R b Kkq -,f7f6
8/R7/5kp1/5b1p/P1K1r3/2R3P1/8/8 w - -,c4c5
2r3k1/p4ppp/1q2p3/3pP3/1P3P2/1QP4P/6P1/R5K1 w - -,g1h1
8/4Q2p/5pp1/3qp1k1/1R4P1/4r3/6P1/6K1 w - -,b4b6
rn2k2r/pb2ppbp/3p1np1/q1pP4/PpP1P3/3B1N2/1PQB1PPP/RN2K2R w KQkq -,e1g1
2r2r1k/pp2Q1b1/7p/6p1/4P3/8/2q4P/3R2RK w - -,e7e6
r7/4k3/1p2b1p1/2p2p2/p1P2P1p/P6P/1P1RBKP1/8 b - -,a8b8
r1b2rk1/1pq1bppp/p1np4/4n3/5B2/NBP2N2/P3QPPP/R2R2K1 w - -,f3d4
1r2k2r/4npbp/6p1/1pNQ3P/1P6/6P1/3P1p2/1RB1K2R w Kk -,e1f2
7r/pp2rpk1/3p2p1/1Pp1b3/2P3P1/P4B2/2N3N1/3R2K1 b - -,h8h3
8/2r2p1k/p5pp/4p1Q1/4P1P1/8/5PP1/1R4K1 b - -,h6g5
5k2/2b5/3n4/3Pp2b/Pp2P1NB/1P3B1K/8/8 b - -,h5g4
r4k2/pp3pb1/2n1p3/4qp2/2B3bN/2P3P1/P1Q2P1P/R4RK1 w - -,a1b1
3k3r/pp2p2p/3p2p1/3Qp3/q5P1/2r5/2P1B2P/2KR3R w - -,e2d3
r4rk1/1pp1bp2/n1bq1n1p/3pN1p1/p1PP4/P2B3P/QP1BNPP1/3RR1K1 b - -,d5c4
r5k1/2r1bp1p/1n2p2Q/PB2qp2/8/2p1N1P1/4PP1P/R1R3K1 b - -,b6d5
8/2bk3p/p1r2pp1/1p6/1Pp1PP2/P3KNP1/3R3P/8 b - -,c6d6
8/4pp1k/3p2p1/3P3p/2PrP2P/q5P1/P1R1QP1K/8 b - -,d4d3
8/8/p1N1k3/6pp/P7/1Pn2KPP/8/8 b - a3,c3d5
1rq2rk1/1b1nppbp/3p1np1/Rpp5/3PPP2/2P1B1PP/1P1NN1B1/3Q1RK1 b - -,b7c6
5rk1/pp1R1p1p/4p1p1/2r1P2n/4B3/8/PPP3PP/5R1K b - -,c5e5
1n4r1/5q1k/pp5p/3p1pp1/P2Nr3/2PQ3P/1P3BR1/6RK w - -,d4f3
r2qkbnr/pp3ppp/2p1p3/2np4/2P3b1/5NP1/PPQPPPBP/RNB1K2R w KQkq -,d2d3
8/p7/2p2r2/2Pk4/4pr2/4K3/P2N1P1R/8 b - -,f6f5
3rqbk1/pb1r1ppp/1pn1p3/2p2nP1/2P2P2/3PPN2/PB1RQNBP/3R2K1 w - -,f2g4
r2q1k2/p4pp1/2p2nb1/3p4/6Pr/2N3Q1/PPP2PB1/R3R1K1 b - -,h4g4
r2qrbk1/1bpn1p1p/3p1np1/pp2p3/3PP3/1PP2NNP/P1B2PP1/R1BQR1K1 w - -,d4d5:a2a4
r4k1r/2B2pp1/p7/3P2Pp/N6P/5P1b/PPP5/2K1Rn2 b - -,f8g8
2rr1k2/pb3p2/1p1ppp1p/2n5/2PR4/P3PP1N/1PB3PP/2K4R b - -,e6e5
8/6pk/8/6p1/8/p5PP/q3RP1K/4R3 b - -,a2c4
4nbk1/5p1p/3p2p1/2p1PN2/r3P3/2P3RP/3B1PP1/6K1 b - -,d6e5
r1bq1rk1/pp1n1ppp/3b1n2/4p3/3Pp3/5NP1/PP1N1PBP/R1BQR1K1 w - -,d2e4
8/kp6/1bp1q3/p7/P1NP2p1/1PQ3P1/5PK1/8 b - -,e6e4
r1bqk2r/1p1p1pp1/p1n2n1p/2b1p3/2P1P3/2NB4/PPN2PPP/R1BQK2R w KQkq -,e1g1
r1b2rk1/3nq1b1/pp1p3p/2pP4/Pn2P1pN/R5B1/1P1QB1PP/3N1RK1 b - -,f8f1
4r2k/1ppnq1pp/1p1p1p2/1P6/r1PBPP2/P2Q3P/6P1/2R1R1K1 b - -,e7e6
r3k2r/1b3ppp/2nRp3/2n3P1/4PP2/2N1B2P/PPP5/2K4R b kq -,c5a4
r4rk1/ppp2p1p/6p1/4b3/2n1P3/3RB3/PP2NPPP/2KR4 w - -,e3d4
r5k1/5pp1/r3p1b1/2PpB3/p2P3P/R3PP2/1R5K/8 b - -,f7f6
2r5/5k2/p2r1p2/4pbpp/1N6/1P2RP1P/P5P1/5R1K w - -,g2g4
5rk1/2pq2p1/pp1p4/3P3p/2P2Pp1/1P2Q1P1/P6P/5RK1 w - -,f1e1
r4r1k/p1n2pp1/4p2p/q3P3/N1Npb3/P7/2Q1KPPP/R5R1 w - -,c4a5
r1b1k2r/ppp3pp/2n2p2/2P5/3PqPn1/PQ3NK1/1B5P/R4B1R b kq -,c6e7
r1b2rk1/ppp2ppp/2n2n2/3q4/3N4/2B1P3/PP3PPP/R2QKB1R w KQ -,d4c6
r4rk1/p3qp2/3p2pp/2p1n3/8/1P2P3/P2QBPPP/2R2RK1 w - -,f1d1
2r1k2r/pp3ppp/2Nbpn2/8/1q1P4/4BB2/1PQ2PPP/1R3RK1 b k -,b7c6
