8/4kp1p/p5p1/3Pp3/bP4P1/7P/4BPK1/8 w - -,e2a6
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2BPP3/2N5/PPPQ1PPP/R3K1NR w KQ -,g5h6
2r2r2/1p2kp2/1q1p1b2/pQ1PpPpp/P7/1N6/1PP3PP/1K1R1R2 b - -,b6b5
r1bq1rk1/pp2nppp/1np5/3Pp3/1b2P3/2NBB3/PP2NPPP/R2Q1RK1 w - -,d1b3
3rb1k1/1pq2pbp/p1n1p1p1/8/4PP2/1NN1B3/PPP1Q1PP/5R1K w - -,f1d1
r3k2r/pp1qbppp/2n1p1b1/2p5/3P2P1/2P1B2P/P1P1NPB1/1R1QK2R w Kkq -,d4c5
8/4rkp1/3Rp3/7p/2R2P2/2P2KP1/7r/8 w - h6,c4c5
2r4r/1pq2pk1/p3pnp1/4R3/5PpP/2N3Q1/PPP3P1/1K5R w - -,g3f2
6k1/5p2/4pb1p/1pPb2p1/1P1Pp3/2N3P1/3R1P1P/r4BK1 b - -,d5c6
1nrqr1k1/1b2ppbp/pp1p2p1/8/2P1PP2/2N1BB2/PP1Q2PP/2R2RK1 w - -,c3a4
r1bqr1k1/pppp1ppp/2n2n2/8/1b6/P1N2PQ1/1PPB2PP/2KR1BNR b - -,b4a5
1r5r/1b3k2/4pn2/p3RP2/Pp1P4/5B2/1PPB2P1/5RK1 b - -,b7f3
8/7p/1Bb5/8/4k2p/6bP/6P1/6K1 b - -,e4d3
8/8/8/4pk2/R7/5K2/8/4r3 w - -,a4b4
r4rk1/ppqbbppp/3p1n2/2nPp3/4P3/2N1B2P/PPB1NPP1/R2Q1RK1 b - -,b7b5
r1b1kb1r/p1qpnppp/2p1p3/2p5/4P3/3P1N2/PPP1QPPP/RNB1K2R w KQkq -,e4e5
8/7k/5bp1/5p2/1p1r3p/1K6/5QB1/8 b - -,h4h3
6k1/4q1p1/2p2p2/1pP5/2b1PP2/2Q2BP1/r7/3R2K1 b - -,e7c5
2rq1rk1/3nbppp/b1n1p3/2ppP1N1/1p3BNP/P2P2P1/P1P2PB1/R2QR1K1 b - -,b4a3
r1bq1rk1/pppn1ppp/4pn2/8/1bpP4/2N2NP1/PPQ1PPBP/R1B2RK1 b - -,c7c6
3q4/pQ4p1/1p1r2p1/2p5/2kp4/2n5/2PKBP2/1R5R b - -,c3e2
4r3/5nk1/p2p1pp1/3R4/1p2P3/1P4P1/P3NPK1/8 w - -,d5d4
8/4k3/3p1bn1/2pP4/1PP1K3/7B/8/4B3 b - -,c5b4
8/2r2p1k/p1B1p1n1/3P1p2/2P5/1Q6/P4q1P/6RK w - -,b3h3
4rrk1/pp1b2pp/2nq1n2/2p2p2/2Pp4/1P1P1NPN/P2Q1PBP/R3R1K1 w - -,h3f4
8/1p6/p1p2np1/2P2k2/P1P2n1P/1K6/5B2/5B2 w - -,b3b4
3Q4/6pk/7q/3N3p/3KP1b1/8/8/8 w - -,d8h4
2r5/2br1k2/p3ppp1/1p5p/3P1P2/PbP3P1/3BRKNP/4R3 w - -,g2e3
4r1k1/p1qn2pp/1p6/2p1Pp2/5P2/2P3QP/P2N2PK/4R3 w - f6,g3d3
8/1N3pk1/4p3/p7/6n1/1P6/P5K1/8 b - -,g7f6
4r3/1p1r1pk1/6p1/PRP1P2p/3pNPnP/6P1/4R3/6K1 b - -,d4d3
3r2k1/1p3p1p/2p3p1/4p3/1Pn1Pq2/2P5/1Q3PPP/2R2NK1 w - -,b2c2
r1bq1r1k/pp3pbp/2np2p1/2pNp3/2B1P1P1/P1PP1N1P/1P3P2/R2QK2R b KQ g3,f7f5
8/7r/1p6/1k4pP/2RKP3/1P6/1P2P3/8 w - -,d4e5
8/p1r2p2/P4k1p/1Rb3p1/2B2pP1/5P1P/5PK1/8 w - -,c4d5
r3k2r/pp3ppp/2pp2Q1/4n3/1PP3bP/P3P3/3B1PP1/2R1KB1R b Kkq -,e5g6
3r1rk1/2q1bppp/5P2/1p1pp3/pPb1P3/B1P2RP1/3Q2BP/4R1K1 b - -,c7b6
r4rk1/1ppq1pp1/1p1p2np/nP1Pp1B1/4P3/8/P1PNQPPP/R4RK1 w - -,g5e3
6k1/R4pb1/4p2p/1p6/3Nn1p1/4B3/P4PPK/4r3 b - -,g4g3
6N1/p4p2/4n2p/2p3kP/8/P1R2pP1/1P1r4/5K2 w - -,c3f3
r7/4qpkp/1p6/2p2Q2/P1BbP2p/1P3P2/6P1/3R3K w - -,g2g4
4r1k1/5ppp/8/1N6/p4P2/2P3P1/1P5P/1K6 w - -,b5d4
2n3r1/1p3QbR/2pk2P1/2q1p3/2P1Pp2/pP6/P2N1P2/2K5 w - -,f7g8
1rbq1rk1/3nbppp/pppp1n2/4p3/P2PP3/2N1BN1P/BPP2PP1/R2QR1K1 b - -,b6b5
3r4/pp1q3k/3r2pp/5p2/8/2Q5/PP3PBK/3R2R1 w - -,g2f3
4r1k1/5pp1/p5P1/1p1RP3/2p1Q3/6PK/P4q1P/8 w - -,d5d7
r1bqk2r/1p1nnpb1/p2p2p1/2pPp1Np/2P1P2P/2N5/PP2BPP1/R1BQK2R w KQkq -,c1e3
2b5/2R5/5kp1/5n1p/5P2/5K2/8/8 b - -,c8e6
r1bq1rk1/1pp1ppbn/1n4pp/3pP3/p2P1P1B/2NB4/PPPQ2PP/1K1R2NR b - -,c7c6
b7/4ppk1/1R4p1/4P2p/5P2/6P1/2r1BK1P/8 b - -,a8d5
2r5/p4P2/3B4/2P5/6k1/2K5/P7/4r3 b - -,e1f1
1r3rk1/1p1np2p/p4pp1/P1pPp3/2N1P3/1R3P2/1PP3PP/2R3K1 w - -,c1d1
2rr1bk1/1bqn1pp1/1p2pn1p/p1p5/2P1P3/PP3NP1/1BQ2PBP/3RRNK1 b - -,d7b8
r1bqr1k1/1p3pbp/5np1/p7/3pP3/P5P1/1P2NPBP/1RBQ1RK1 w - -,c1g5
3rk3/p2nq1pp/3p4/1Q6/8/B7/P5PP/5R1K w - -,b5h5
3rrbk1/pq3p1p/2p2np1/4n3/1P1N4/P3Pp2/1BQ1B1PP/1R2R1K1 w - -,d4f3
5rk1/2p1Rqbp/p2p4/1p1P4/1Pnp1p2/1Q4PP/P4PB1/4R1K1 b - -,f7f6
5r2/1p4p1/2kNp2p/2PpP2P/1P4P1/5n2/2K5/R7 b - -,f3e5
r1b3k1/bp3ppp/p1n1pn2/8/2N5/1N2P3/PP2BPPP/R1Br2K1 w - -,e2d1
r4rk1/p6p/2p3p1/8/1R2p1b1/4B1P1/P4PP1/2R3K1 b - -,g4e6
1r1q1rk1/p2bppbp/3p1np1/1p6/3NP1P1/1PN1BP2/PP1Q3P/1K1R3R b - -,b5b4
rnbq1rk1/p4ppp/1pp5/4P3/8/2nB3P/PP3PP1/R1BQ1RK1 w - -,b2c3
3qr1k1/p5n1/1p1p1bpp/1PpPpp2/P4P2/1Q1PP1P1/1B5P/R4RK1 b - -,g7h5
8/2k2p1p/p5p1/2p1r3/P4P2/3KP2P/1R4P1/8 b - f3,e5e8
3n1Q2/1p1k1pp1/p3p2p/2P1q3/1P2N3/P4PP1/2K5/8 w - -,e4d6
8/5p1k/5Qp1/3q3p/5P1K/7P/6P1/8 w - -,g2g3
5rk1/1b2bppp/1p2p3/1P6/4pB2/r3P3/2N2PPP/1R3RK1 b - -,a3a4
4r1k1/4q1p1/2b1ppQ1/8/p5N1/5PP1/PP1RP1K1/8 w - -,d2c2
3n4/5k2/p2p1np1/P5R1/1p6/1P2B3/2PK4/8 w - -,g5g1
8/p4pk1/4p1p1/4P3/P4P1Q/1B4P1/KPP5/3r3q w - -,h4f6
2r3k1/1q3ppp/3b2n1/1p6/4B3/6B1/PP1Q2PP/3R3K b - -,b7e4
8/7p/5kp1/ppR5/8/n7/5PPP/5K2 b - -,f6e6
8/pp3bkp/3r4/3Pr1Pp/4B3/1P3P2/PK5R/7R w - -,h2h5
2rr1nk1/1pq1bpp1/p3b2p/P2np3/8/2NNBP2/1PPQB1PP/R2R2K1 w - -,c3d5
1r3bk1/5p2/2b3p1/7p/1rp1Pp2/5P1P/1P2RNP1/3R1NK1 w - -,d1c1
6rk/1p3p2/p1r1P2p/5PqP/5N2/3QpP2/PP3K2/7R w - -,f2e3
5q2/1k5Q/1pbP1p2/4p1p1/7p/4B2P/1P3PP1/6K1 b - -,b7a6
8/1p3rk1/p2R4/5B2/5PpP/8/n5K1/8 w - -,d6g6
5rk1/pb3pPp/1pn1p3/8/4P3/1P4P1/P4PB1/R1B2rK1 w - -,g2f1
r4rk1/1p3ppp/1n1p4/3Pp3/p1P1b3/R2P2P1/1P3PBP/R5K1 w - -,g2e4
5rk1/pp1r1pp1/7q/2PP4/2P2bp1/P1BQ4/4R2P/4R1K1 w - -,d3f5
6rk/1p4qp/8/3Q4/p7/7R/6PK/8 b - -,b7b5
1r3rk1/p2nq3/3pp2p/2pb2pn/2NP1P2/Q2B1P1P/PP3BP1/1KR4R b - -,h5f4
r2q1rk1/pbp1bppp/1p2pB2/8/3P3P/3B1N2/PPP1QPP1/R3K2R b KQ -,g7f6
