5R2/3PK1r1/8/7k/6p1/8/8/8 w - -,e7f6
r5k1/1ppb1pb1/p1n3pp/3np3/2B1P3/4BN1P/PPP2PP1/2KR4 w - -,c4d5
4k3/1R6/1P2p3/5p2/3b4/7K/1r6/5B2 b - -,b2b3
r4rk1/pp2qppp/2p1bn2/4b3/2Q1P3/2N3P1/PP1B1PBP/3R1RK1 w - -,c4e2
r1b1r1k1/1p1nqppp/2p5/p2p4/3Pn3/P1NBP3/1P1N1PPP/2RQ1RK1 b - -,f7f5
2b2rk1/4qnbp/3p2p1/2pPp3/1pP1N3/1P1PB3/2B2PP1/Q3R1K1 w - -,c2d1
r2q1rk1/3nbppp/p3pn2/1Ppb2B1/8/3P1NP1/1PQ1PPBP/RNR3K1 b - -,a6b5
r2qr1k1/pb1nppbp/1pp2np1/3p4/3P4/2PBPN1P/PP1N1PPB/R2Q1RK1 b - -,c6c5
6r1/p3k3/R7/3p2P1/3P1P2/2P2K2/8/3n4 w - -,a6a7
1kb1r3/2pq1p2/1p3Rp1/p2Pp3/P1P3P1/1P1Q2N1/K4P2/8 b - -,d7g4
rn1qkb1r/pbpppppp/1p3n2/8/5P2/5NP1/PPPPP1BP/RNBQK2R b KQkq -,e7e6
8/2R5/pp3k1p/2p5/6r1/PP6/2P5/2K5 b - -,g4g6
1rbq1rk1/3nppbp/p1np2p1/1Pp5/3PP3/2PBBN1P/1PN2PP1/R2Q1RK1 b - -,a6b5
3q1r1k/rp2nbpp/2n2p2/bQ2p3/P1NpP3/3P1NPB/3B1P1P/R1R3K1 b - -,a5c3
1n1q1rk1/1r2bppp/p2pb3/4p3/Pp2P3/1N2B1P1/1PPQ1PBP/R4RK1 w - -,f2f4:a4a5
8/2r2p2/1p6/1B1P1kp1/P4b2/8/4R1K1/8 w - -,b5c6
3Rrk2/p6R/2N3p1/5nP1/2b2b1P/8/PPP5/1K6 w - -,h7h8
6k1/5pp1/1p1qp1np/p1p5/2P1Q3/2B5/P5B1/6K1 b - -,d6d1
3rr1k1/pp1q3p/2p2p2/5b2/3pR3/N7/PPP1QPPP/3R2K1 w - -,d1d4
r4rn1/2n1qpkp/p2p2p1/1ppPp1PP/2P1P3/2N2PNR/PP1Q4/R3K3 b Q -,b5c4
2r5/4nkpp/1p2bp2/p2p4/P2PP3/B1rR1PbP/1N6/1R3BK1 b - -,c3c2
5nQ1/4kpp1/4p2p/2r1q2P/6P1/4N3/5PK1/1R6 w - -,b1e1
r1k2Q1r/2qnB2p/4Q1p1/1b6/1p6/8/PPP3PP/2KR3R b - -,h8f8
8/2r5/p4pp1/1p2k2p/1Rr1P3/1KP1R1PP/P1P5/8 w - -,a2a4
8/5R1p/p4P1k/1p3rp1/1P6/P6P/4r1PK/6R1 w - -,f7e7
1rbq1rk1/1p2ppbp/p2p2p1/2nN4/P1PBP3/1P4PP/5PB1/1R1Q1RK1 b - -,g7d4
8/1N3ppk/p2R3p/8/P7/1n3P1P/4r1P1/6K1 b - -,a6a5
8/2k1p3/p2p2p1/P2P1p1p/2PBnP2/7P/2K3P1/8 b - -,c7d7
rnbqk2r/1pp1bppp/1n1p4/p7/P2P4/3B1N2/1PP2PPP/RNBQK2R w KQkq -,e1g1
r1b1qrk1/1pp2pb1/p1np1npp/4p3/B3P2B/2PP1N2/PP1N1PPP/R2Q1RK1 w - -,f1e1
8/p2r3p/8/7K/R5P1/6k1/8/8 b - -,g3f3
6k1/p2q1ppp/2p3n1/3p3Q/1P1Br3/2P3P1/P4P1P/R5K1 w - -,a2a4
4k3/R4pp1/8/7p/1P5P/4PKP1/pr3P2/8 b - -,e8d8
r2qkr2/2p1pp2/p2p1np1/6n1/1p1P3Q/8/PPP1NPPP/R3K2R w KQq -,h4g5
r4rk1/ppp1q3/3p3b/3Ppb1p/2P1N1pP/2NQ2P1/PP3RP1/R5K1 b - -,f5h7
4r1k1/p4p2/1p1r2p1/6q1/1P1pPP1p/P2Q2PP/2R3K1/4R3 b - f3,g5g3
1n2rr1k/p6p/1pbq2pP/2p1p1B1/2Pn4/3P2PB/P2Q1P1N/3RR1K1 w - -,e1e3
3q1r2/3n1pk1/p1rpb1pb/1p1Np2p/2N1P3/1B5P/PPP1QPP1/3R1RK1 w - b6,c4e3
2rr1b2/1b3ppk/7p/p2npN2/Pp4P1/1B2B1KP/1PP2P2/3R1R2 b - -,g7g6
8/p3k2p/1p2p1p1/8/2PK4/6P1/PP1R3P/5r2 b - -,e7d6
8/2kP4/8/2p2B2/4K3/7P/8/3r4 w - -,f5g4
6k1/Qnq1bp1p/1n1p2p1/3Pp3/1Bp1P3/2P2N1P/3N1PP1/6K1 b - -,e7d8
8/5p2/5p2/p4k1p/1p1K4/6P1/PP5P/8 b - -,f5g4
8/2pn4/p3p1k1/P3p1P1/2R1Pn2/2P1KP2/5RP1/4r3 w - -,e3d2
4rr2/4bpkp/6p1/4Pq2/1p2R3/1Q3B2/PP4PP/4R2K w - -,f3g4
8/pk6/1p1K1B1P/3P1bP1/B1p1q3/2P5/8/8 b - -,e4f4
r2qk2r/1p1b2b1/1np1p1pp/p7/P2PPB2/2N2B2/1P3PPP/R1Q1R1K1 b kq -,g7d4
3r2k1/Q4bp1/P1q1np1p/Rp2p3/1p2P3/2P2P2/4BBPP/6K1 w - -,a7b7
8/pp3kp1/2p1p2p/7b/3P3P/2PB2K1/P6P/8 w - -,g3f4
8/R7/7k/1P5p/P6n/1r6/5K2/8 w - -,a7b7
r3r1k1/1pq2ppp/2pn1n1b/p3pP2/P3P2P/4NBP1/1PP3Q1/R1B2R1K b - -,c7b6
2kr3r/ppp2ppp/6b1/q7/2Q3P1/4P2P/PP1bBP2/R1B1K2R w KQ -,e1f1
r1b1kb1r/pp1ppppp/2n2n2/4q3/2PN4/2N1B3/PP2BPPP/R2QK2R w KQkq -,e1g1
2kr1b1r/1ppbnppp/p1p5/8/3NP3/4B2P/PPP2PP1/RN2K2R w KQ -,b1d2
1k3b1r/1ppQ1ppp/pq6/n2np3/3P2B1/2P1B3/PP3PPP/R4RK1 b - -,f8d6
2r1r1k1/p2b1ppp/8/Np1p2B1/8/2P1P3/P5PP/2R2BK1 w - -,a5b3
8/1p1r2bk/3p2bp/2R5/2P2q2/5N1P/6B1/3Q3K b - -,d6c5
2rq1rk1/1p2ppbp/p2p1np1/6B1/Pnb1PP2/1NN2B2/1PP3PP/R2QR2K b - -,e7e5
1r3rk1/pBp2qb1/3pb2p/5p2/1PPp4/3P1QP1/P6P/R1B2RK1 w - -,b4b5
4r3/2q2pk1/p1r2npp/2p1p3/P1B5/1P2Q2P/2PR1PP1/3R2K1 w - -,e3e2
r2q2k1/1p3pp1/pb5p/P2n4/1P1pr3/3N2P1/3BPP1P/1R1Q1RK1 b - -,b6a7
rnbq1rk1/p1p2ppp/1p1bp3/3p4/2PP4/P3P1B1/1P1N1PPP/R2QKB1R w KQ -,b2b4
2kr1b1r/1pp2ppp/p1q1p1b1/8/2QP1B2/2P2P2/PP2N1PP/R3K2R w KQ -,c4c6
6k1/3n1p2/4p1p1/1NrpP3/Pq4P1/1P3Q2/5PK1/4R3 b - -,b4e1
2r2rnk/3bqpb1/6pp/P1p4n/1p1pP3/1Q1P1NP1/6BP/RRBN2K1 b - -,d7e6
8/7p/1n6/8/1Pp5/P4kP1/3K1P1P/3N4 b - -,f3e4
8/4p3/3p1k1p/3P1p2/8/2r2NKP/5P2/8 w - -,g3f4
8/pr1r1pk1/6p1/2Rp3p/3R3P/3B2P1/5PK1/8 b - -,g7f6
r2q1rk1/pp2pp1p/4b1p1/2pnP3/8/2P1P1P1/PB3PBP/R2Q1RK1 b - -,d8b6
8/4q2k/pp6/5p2/1PP4p/5br1/P5P1/4RBK1 w - -,e1e7
2k5/R4p2/4p3/1P2P1pp/P7/3KP1P1/7r/8 b - a3,h2a2
8/1b6/8/1N2k3/2K5/8/8/4b3 w - -,c4c5
6kb/3q1p1p/5Pp1/8/4P3/1p4QP/1PrB2K1/5R2 b - -,d7d2
r1bq1rk1/ppp3bp/n2p2n1/3Pp1p1/1P2Pp2/2N2P2/P3BBPP/2RQNRK1 w - -,c3b5
8/4kp2/1q1p1b1p/3QpP2/pp2n1r1/8/PPPR3P/1K2R3 w - -,d2e2
2r3k1/2bq4/1pp1prpp/p7/3PB3/2Q5/PP3PPP/3R1RK1 w - -,g2g3
4k2r/2q1pp2/b2p2p1/p1pPn2p/1rP1P3/QP4PP/1p1N1PB1/1R1R2K1 w k -,a3b2
8/1p5K/p3r3/k2pPp1p/Pb1P4/4B3/2r2PP1/2R4R b - -,c2c1
2kb4/pp5R/3r4/4n3/PP3N2/1KP5/8/8 b - -,e5d3
r6k/p3q1b1/1p5r/3PpB2/4PpQ1/8/PP3NPP/5RK1 w - -,f1c1
r3k2r/p4p1n/2b1p3/3pPnNP/q1pP4/N4Q2/1PP1BP2/2KR3R w kq -,h1g1
r3kb1r/1pp1ppp1/p6p/4Bb2/2B5/2P4P/PPP2PP1/R2q1RK1 w kq -,a1d1
