kb5R/pp3b1p/1P6/P2K4/5p2/5P2/8/8 w - -,d5e4
2kr1r2/ppn1b3/2n1bp2/1BP1p1pp/1PN5/P1P2NPP/3B1P2/3RK2R w - -,b5c6
r1b2r2/1NB1ppbk/1n4p1/1q5p/7P/1p3BP1/P2QPP2/2R2RK1 w - -,a2b3
8/1p1kn3/p5p1/3pRp1p/3P1B1P/1Pr3P1/P4PK1/8 w - -,f4e3
r6r/2q1bpk1/2n1p3/p1PpPp2/5P2/5QpP/P3NB1K/1R3R2 w - -,f3g3
r1b2rk1/p3qpb1/2p1n3/1p2pPNp/7P/2P3P1/PPB1QP2/2KR3R b - -,e6g5
5r1k/1p4qn/3NQ1p1/1B1Pp2p/1P2Pb1P/8/5BP1/2r2RK1 w - -,f1c1
r4qr1/1ppb1p1k/1n1p1n1p/pP1Pp1p1/P3P3/2P1NBPP/2Q2P1N/R3R1K1 w - -,f3g4
8/3r1p1k/7p/pb1pPR1B/3P4/8/6P1/6K1 b - -,h7g7
r1r3k1/p3npp1/4pb1p/3qB3/2pPR3/2P1QN1P/P4PP1/4R1K1 b - -,f6e5
1b1r4/1p3ppk/1p1q1n2/1Q1pp2p/P7/3PN1PP/1P2PPB1/2R3K1 w - -,c1c2
8/5k1p/P2p1p2/1P6/7P/7P/2r3K1/5B2 w - -,g2g1
r1b1r1k1/1n4pp/pBQp1q2/1p1Pp3/5p1P/8/PPP1BPP1/2KR3R b - -,f6e7
8/8/3k2b1/p6p/8/4P3/2p1K1PP/2R5 b - -,a5a4
8/8/3k4/3P4/2P1pK1P/P7/5PP1/1b6 b - -,b1d3
r6r/4kp2/p2p1p1b/4pP1N/1p2b2P/3Bq2R/PPP3P1/1K1R1Q2 b - -,e4d3
4rk2/1p1b1pp1/2pq1n1p/p3p3/P3P2N/1P1B2QP/2P3PK/5R2 b - -,d6d4
4rrk1/Qp2qppp/2p5/3pp3/5n1P/2PB1P2/PPP2P2/R5RK w - -,g1g4
6k1/2R2p1p/1pp3p1/2b5/2b1P3/2Nr1P2/P3N1PP/4K3 b - -,c5b4
rnbq1rk1/p4pbp/2pp1np1/3Pp3/2p1P3/P1NBBP2/1P4PP/R2QK1NR w KQ -,d3c4
r2r2k1/1b2bppp/p2ppn2/4P3/1p3P2/1PN2P1P/PP2NB2/3R1RK1 b - -,d6e5
6n1/p1q1r1k1/3R1p2/6p1/1P2P1P1/5P2/P2Q1K2/8 b - -,g7h8
3r1rk1/1p4p1/pPb1np1p/R1p1p3/2N1n3/2PN4/1P3PPP/4RBK1 w - -,c4e5
r2qn1k1/pppn2bp/3p2r1/2PPp1p1/1P2Pp2/2N2P2/P3BBPP/R2Q1RK1 w - -,c5c6
1r6/2r2pk1/3pp2p/p1q1b3/1pn1BQPP/8/PPP1N3/1KRR4 w - -,f4f3
2r3k1/pq2bp1p/4p1p1/Q7/3P4/P4N1P/1P3PP1/5RK1 b - -,b7b2
3r3r/1k6/p4b2/8/2n4P/1K2B1P1/Pp3P2/3R3R b - -,d8d1
8/pp1nkppp/2b1p3/8/3PP3/3BKP2/P5PP/2B5 b - -,g7g6
5rk1/5pp1/2ppBqnp/1p2p3/3PPn2/2P1BN1P/1P3PPK/3QR3 b - -,f6e6
5rk1/pbp2rpp/1p1pp3/7q/PPPPp1n1/4P1PP/1BQR1PB1/5RK1 b - -,g4f6
R7/8/1pn5/3k4/6B1/1P2bP2/P1K3P1/8 w - -,a8c8
3rr1k1/pb2q1pp/2p1ppn1/b1p5/N1PpPP2/1P1PB1P1/P3QN1P/R4RK1 w - -,e3d2
1rb1r1k1/p2nq2p/3p2p1/3Ppp2/1p6/3B1PNP/PPPQ2P1/3R1RK1 w - -,f1e1
1rb1kb1r/2p1np2/3p1qnp/1p1Pp1p1/4P3/2P1BN2/1PB2PPP/RN1Q1RK1 w k -,c3c4
r3qbk1/3n3p/5pp1/8/Pp1Q4/6NP/1B3PP1/R5K1 b - -,e8e6
1n1q1rk1/p1n2ppp/2Pb2b1/1Q2p3/2B5/2N1PP2/PP1P2PP/R1B1K2R w KQ -,b5a4
r7/pp1nk3/2p1b1pp/5P2/8/2B2P1B/P2RP2P/6K1 b - -,g6f5
8/6k1/5p2/5pp1/7P/6P1/8/4K3 b - -,g7f8
8/6pp/6b1/1k6/2n1pP2/p1B5/N4K1P/8 w - -,c3g7
r1bqkb1r/pp1n1ppp/2p2n2/4p3/3PP3/2P2N2/PP1N2PP/R1BQKB1R b KQkq -,d8c7
3r2k1/1bR2ppp/1p2r1n1/7R/P2p4/1P1N1P2/5KPP/5B2 b - -,b7a6
r3k2r/1ppqn1b1/p2p1npp/3Ppp2/2P1P3/2N2P2/PP4PP/R1BQNRK1 b kq -,f5f4:e8g8:c7c5
r5k1/ppR3bp/2b3p1/2Bp4/8/5PP1/PP5P/1B4K1 b - -,a8e8
4r2k/6p1/p1pQ2bp/4p3/4p2P/4q3/1P2B1PK/2R5 b - -,e3f4
5rk1/p2p2q1/bprNpp1p/4n1p1/2P5/P3P1P1/1P1RBPP1/3Q1RK1 b - -,e5c4
8/8/1p1p4/8/1k3P2/p3RK2/7P/8 w - -,f4f5
r1b2rk1/2q1bppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/R1BQRNK1 w - -,c2b3:a2a4
2q1k1r1/3bb2p/3ppBp1/1PpQ2N1/8/8/1P3PPP/4R1K1 w - -,g5e6
r4rbk/1p2n1b1/p2p1n2/P2P1ppq/1PB1pP1p/1QN1P3/1B4PP/R2R1NK1 w - -,c3e2
r1bqk1nr/1p3pb1/2np2p1/p1p1p2p/2P5/P1NPP1P1/1P3PBP/1RBQK1NR w Kkq h6,h2h4
3r4/p3kp2/6pp/3Bp1b1/4P3/5P1P/PP3P2/3R2K1 b - -,d8c8
r3k2r/pnq5/1p1pp1pp/2p2p2/1PP5/P1P1QNP1/4PP1P/R2R2K1 b kq -,e8f7
r7/3n1pkp/bqpNp1p1/p2nP3/2pP4/PpP3P1/3Q1PBP/R3R1K1 w - -,e1e4
r2qkb1r/3b1p1p/p1p5/2pppP2/4N3/4P3/PPP1N1PP/R2Q1RK1 w kq -,e4f2
3r1k2/1R2np1p/2p5/1p3p2/8/1P2P1P1/P4P1P/5BK1 b - -,d8a8
2rrb3/pp2kp1p/4p1p1/1P6/2Pb4/2N2B2/P4PPP/2R2RK1 w - -,c3e2
r4rk1/1pq1bppp/p2pbn2/8/4PB2/2N2B2/PPPQ2PP/R4R1K w - -,a1d1
7b/3b1k2/1q1p2p1/3P1pP1/2P5/1P1R1Q2/3K2N1/r2B4 b - -,a1a2
4r1k1/p1pq1rbp/3p1p1n/2pN2p1/2P5/1P1QP1P1/P4P1P/2BR1RK1 w - -,e3e4
7R/7p/p1r1k3/1pP1ppp1/1P4P1/2K5/5P1P/8 w - -,h8h7
2rq1r2/6kp/p4npb/1p1p4/1N2p2Q/1NP3P1/PP3PBP/5RK1 w - -,b3d4
r1r2k2/5ppp/2pRb3/ppn1p2P/4P1P1/P1N2P2/1PP1B3/2KR4 b - -,b5b4
rn2kb1r/ppp2ppp/2b1pn2/3q4/3P4/5NP1/PPQ1PPBP/RNB1K2R b KQkq -,f8b4
8/5p2/4p3/4Pkpp/2B2P2/4K1P1/2b5/8 w - -,c4e2
4rrk1/pp4p1/7p/4p3/1P1p4/P3PPP1/3R2KP/4R3 b - -,b7b5
r3R2k/2p3p1/p5np/1pbq2NQ/3p1BP1/2P5/PP3PP1/RN4K1 b - -,a8e8
8/5pb1/2k3pp/1p6/1BPP4/3K4/5PPP/8 b - -,b5c4
r2r2k1/pp1b1ppp/2p1pb1q/2P5/1P1PB3/6P1/PBQ2P1P/R4RK1 w - -,a2a4
r4rk1/pp2qpp1/2p1p1p1/3n2b1/3P2P1/1BP2R1P/P1P1Q2B/3R2K1 w - -,c3c4
5rk1/pp3pp1/8/3p1N2/Q3p2p/4K1NP/PP4q1/2R5 b - -,h4g3
6k1/8/6P1/p7/3B1n2/8/p2K4/8 w - -,d2c2
8/5p2/4p3/4P1pk/4R3/3r1PK1/8/8 b - -,h5g6
r6r/1p1qp2k/3p1bp1/p2Pn1P1/2P5/1P2B2B/P1R5/3Q1RK1 b - -,d7h3
br4r1/5k1p/R7/1P4n1/2PN3n/2B2P2/6BP/2R4K w - -,d4c6
4Q3/5r2/5rk1/4P1p1/3P4/3K4/5P2/8 b - -,f6f3
r7/r3bknp/PR2p1p1/4Pp2/3p1P2/3N2PP/R6K/4N3 w - -,e1c2
6N1/8/3n3p/2k4P/4pp2/3K1P2/8/8 w - -,f3e4
r1bq1rnk/pp6/2np3p/2p1p2P/4PP2/3P2P1/PPPQN1B1/R3K2R b KQ f3,c8g4
r4r1k/3Bn3/ppp1P1p1/3b1p2/P5P1/4R2P/1P1N4/5RK1 b - -,f5g4
q3r1k1/5pb1/r5pp/2B5/4b3/P3RN2/1P1Q1PP1/3R2K1 b - -,e8c8
2r2k2/6pp/1p1p1pb1/8/Pp1P1n2/2B1NP1P/3K2P1/R7 w - -,c3b4
r3r1k1/2p2ppp/p1N1p3/3q4/P1QP4/6P1/1P2PP1P/2R3K1 w - -,c4d5
2rqrnk1/pb2bpp1/1p1ppn1p/8/2PP3B/3Q1N2/PP1N1PPP/1BR1R1K1 b - -,c8c7
r1q1r1k1/pppb2bp/2np2p1/5n2/3NNP2/4B1P1/PPPQ1RBP/4R1K1 w - -,d4f5
8/5Qbk/3p2p1/3Bp2p/2P4N/3b2P1/1q3P1K/8 w - -,h2h3
