8/4r1kp/2R1P1p1/1N6/4n3/7P/6P1/6K1 b - -,e7b7
r2q1rk1/1b1nbppp/2n1p3/pBppP3/1p1P1P2/4BN2/PPPQ1NPP/R4RK1 w - -,c2c3
r2q1rk1/2p1n3/3bp2Q/1p2p1N1/1P1pP3/P2P4/2R2PPP/R5K1 b - -,f8f7
6k1/ppq5/6p1/5p2/6b1/2b2QP1/P2B1P1P/6K1 w - -,f3c3
5rk1/ppr1p1b1/6p1/3n1b1p/2BpNP2/1P4PP/P1PB3R/2K1R3 b - -,e7e6
7r/2r1k3/1Rp2p2/4p3/PpP5/2K2P2/3R4/8 w - -,c3b4
rq3rk1/1p2b3/pN2pn1p/4p1p1/4P3/8/PPP2BPP/R2Q1R1K w - -,b6a8
r4r1k/1ppq2b1/p2p2Q1/4p1n1/6b1/1BPP2B1/PP3Pp1/R3R1K1 w - -,g6g5
1r1q1r2/1p1n2k1/p2b1pp1/2pPp2p/2P3BP/2Q3B1/PP3PP1/4RRK1 w - -,g4e6
2r2rk1/4bp2/pq1p1npp/1p1P4/5R2/1N1Q4/PPP1B1PP/1K1R4 b - -,f6d7
r1bq1rk1/pp3pbp/3Pp1p1/n1p5/4PB2/2P2N2/P3BPPP/R2Q1RK1 b - -,b7b6
8/p3kp1p/B4n1Q/2q2p2/4p2P/1P6/P4RP1/6K1 b - -,c5f2
2b5/p5kp/1p6/6p1/1P1N4/6KP/P5P1/8 w - -,h3h4
r1bqk2r/pp2n1b1/3pp1p1/2p2p2/3nPP1P/2NP4/PPPQNBBP/R4RK1 b kq -,g7f6
6k1/8/3p1bp1/2pPp3/2P1n3/8/6KR/8 w - -,g2f3
r3k2r/4bppp/8/1qpp4/P7/3nP3/1P1BNPPP/RQ3K1R b kq -,a8a4
rr3nk1/1p1q1ppp/p2p4/n1p1pPPP/P1P1P3/2PP4/4QBB1/1R2K2R b K -,d7a4
r1bqr1k1/ppp2pp1/5n2/3P4/3P1p2/1Q1Pp1P1/P3P1BP/R1B2RK1 w - -,f1f4
2r3k1/5pp1/4b2p/1R6/1P6/7P/5PP1/5BK1 b - -,c8c1
1r2r1k1/1pp2pp1/pb1p1n1p/3Pn3/4P3/1PB2NNP/1P2RPP1/3R2K1 w - -,f3d4
r1nq3r/2p1nkb1/ppPp2pp/3Pp1P1/2Q1Pp1P/2N2P1R/PP3B2/R3K1N1 w Q -,c4f1
r4rk1/pb1q2bp/1pp1ppp1/2Pn4/3PQB2/5N2/PP2BPPP/2RR2K1 w - -,f4d6
r1bq1rk1/pp3pBp/2npp1p1/7n/2P1P3/PQ1P1N2/3NBPPP/R4RK1 b - -,h5g7
3b2k1/p4p1p/1r2n1pB/1p1QP3/4B3/2R3Pq/PP3P1P/6K1 w - -,h6e3
8/8/4B2b/p1k5/P1p5/8/2K5/8 w - -,e6d7
r3k2r/1b1nbpp1/p2ppn1p/1p6/2qNPPPB/P1N5/1PP1Q1BP/2KR3R w kq -,h1e1
8/7p/4p1p1/3b4/p4P2/Bk2K2P/8/8 w - -,a3e7
6r1/4b2p/p1k1ppp1/2p5/2P3P1/1PB4P/P3KP2/3R4 b - -,f6f5
2rq1rk1/p2p2pp/np2pb2/2p2p2/2PP4/1PB1P1P1/P2N1PKP/R2QR3 w - -,d2f3
1b1r4/p7/1p2k3/4p3/2R2p1P/5K2/PP3B2/8 b - -,e6f5
1r3bk1/3R1p1p/p1n3p1/1p4B1/8/5N2/P3BPPP/6K1 w - b6,g5f6
8/8/4r1p1/1R1k2K1/2p3P1/P7/1P6/8 b - -,d5c6
8/8/5kp1/2b2p2/2P4P/3R1BK1/1r6/8 b - -,b2c2
5rk1/p3n2p/5bp1/4pp1b/q1r3P1/1Q2BP2/P4NBP/R3R1K1 b - -,f5g4
r5k1/pb2n1b1/1pn1prp1/2pqN2p/3p1P2/2PP1N2/PPQBB1PP/4RRK1 w - -,c3c4
r2q1rk1/1p4bn/p2p2p1/2pPnb1p/P7/2N1BP1P/1P1QBNP1/R4RK1 b - -,h5h4
2r1k2r/p2n1ppp/1p2p3/Q2b4/3P4/5NP1/P3PPBP/R4RK1 b k -,b6a5
rn1q1rk1/pp1bppbp/1n4p1/1B6/3P4/1QN1BN2/PP3PPP/R3K2R w KQ -,e1g1
r2qkbnr/1p3ppp/p1n1p3/2ppPb2/8/P1NP1N2/1PP2PPP/R1BQKB1R w KQkq -,h2h3
r2qk2r/pb3ppp/2n1pb2/3p4/PP2n3/RP3NPQ/4PPBP/1NB2RK1 b kq -,c6b4
8/8/4p2p/1R3p2/3kp3/P6P/r4PP1/4K3 w - -,b5b4
r2q1rk1/pp1bppbp/2np2p1/8/3NP3/2N1BP2/PPPQ2PP/3R1RK1 b - -,a8c8
r1r3k1/1q2b1pp/p3p3/3pP2P/1p3P2/3QB3/1PP5/1K1R2R1 b - -,c8f8
r1q3k1/3b1p2/5Pp1/3p3r/1P1N3P/2P3Q1/7R/R6K w - -,a1e1
r4rk1/1p2ppbp/p2p1np1/1q1PB3/8/1N4P1/PPQ1PPBP/2R2RK1 b - -,d6e5
6k1/p4pp1/2p2n2/7p/2p2Q2/5P2/PqP3K1/7R w - -,f4c4
8/6k1/P4n2/r1pp1bp1/4p3/2N3P1/1KP1BP2/7R w - -,h1a1
r5r1/pp1b1k2/3p1np1/3p3p/5Q2/3B1P2/PPP3P1/2K4R w - h6,g2g4
3q4/1p4k1/2p2np1/p5Qp/4PP1P/1P2P1N1/P4P2/6K1 w - -,g3h5
r2qnrk1/1p1b1pbp/3p2p1/p1nPp1PP/4P3/2N1BB2/PP3P2/R2QK1NR w KQ -,g1e2
8/6N1/6k1/3p2p1/2bP4/b1P3KP/8/8 w - -,g7e6
r3k2r/pbpp1p1p/np3qpb/5p1P/2PP4/P1N1P3/1P2NPP1/R2QKB1R b KQkq -,e8c8
3q4/1p1P4/p1p2k2/P3p3/1PN1p2q/4Pn2/2K2PQ1/8 b - -,d8d7
4r1k1/p4qbp/3R2p1/1p1P4/1Pp5/6P1/P1N1QP2/6K1 w - -,d6e6
2b3k1/3n1p1p/4p1p1/8/4P3/3B1P2/6PP/4NK2 w - -,d3b5
r1b2r2/2pq1ppk/3p1n1p/Pp1Pp3/4Pn2/1B2R2P/1P1N1PPK/R4QN1 b - -,g7g5
n7/P6R/4kp2/2Pp1p1p/7P/2PK4/6P1/8 w - -,h7h8
2rq1r1k/1p2p1bp/3p2p1/nP3B2/PQ3N2/4B1PP/5P2/1R3RK1 b - -,g7c3
4r1k1/1ppr4/2bp1qp1/p7/PnP1PP2/1PN2B2/3Q4/1K1R3R w - -,d1g1
r1b5/p7/3pk1p1/1Pn5/3BpPP1/4R3/P6P/2R3K1 b - -,c5d3
6k1/pp3pp1/3b3p/2N1p2P/1P6/5P2/P1P3P1/1K6 w - -,c5b7
r3qr1k/1Q4p1/2pb1nnp/pP1p1pB1/3P1P1P/P1N1P3/3KBP2/R6R b - -,c6c5
3b4/5k2/8/4BP2/6K1/8/7P/8 b - -,d8b6
r2qr3/p4ppk/1p1p1nnp/2pPpP2/2P1P2P/2PB1QB1/P4P2/R3K2R b KQ -,g6f4
r2r1bk1/1p3qp1/2p1bp1p/p7/Q1BB4/P3P2P/1P3PP1/2R1R2K b - -,e6c4
2r2b2/1p3p2/p3k2p/4pN2/4P1Pn/8/PP3P2/1K1R4 w - -,f5h4
5rk1/1p5p/2p1pnp1/3p1p2/1qPP4/rPR1QPP1/4P1BP/3R2K1 b - -,f8e8
8/3K4/1p1p1k1p/p1bB1P1P/2P3P1/1P6/P7/8 w - -,d5e6
8/8/Q2bq3/3p1b1k/3P1Pp1/8/PP1B4/6K1 w - -,a6a8
4n3/6p1/3kNpP1/1p2pP2/1P2P3/6K1/8/8 w - -,g3f2
5rk1/pB4pp/5n2/8/2b2N2/6P1/P4K1P/4R3 b - -,f8b8
r1bqr1k1/5pbp/p1p3p1/3pn3/NQ3B2/8/PPP1BPPP/R3R1K1 b - -,c8f5
r1bqkb1r/pppn1ppp/3p1n2/4p1B1/3P4/5N2/PPPNPPPP/R2QKB1R w KQkq e6,d4e5
8/p7/1b2r1k1/1Pp1p1p1/2P1Pp1p/3P1P1P/R2K4/6R1 w - -,d2c3
r1r3k1/3b2pp/2n1p1q1/ppPn4/3N1p2/4PN2/PP3PPP/2RQKB1R w K -,e3e4
4k3/5p2/pr5p/R6p/7K/P7/6P1/8 b - -,e8f8
2b2rk1/1ppnqppp/3p1n2/8/1bP5/1PN2NP1/2Q1PPBP/B4RK1 b - -,c7c6
1r1rn3/p1N1pkb1/4b1pp/1pp1Pp2/2P2P1N/P3BB1P/1P1R2P1/4R1K1 b - -,e8c7
2R5/8/1r3k2/7p/4PK2/5P2/8/8 w - -,e4e5
r2qk2r/p4p1p/2p1Pp2/np6/1Qp1P3/P7/5PPP/2KR1B1R b kq -,a5b3
rnbq1rk1/pp3ppp/4pb2/2p5/2PP4/3B1N2/PP3PPP/R1BQK2R w KQ c6,d4c5
