8/PR4p1/6k1/r1p5/8/1P5P/6K1/8 w - -,g2f3
4k3/1R6/4p1p1/1p1r3p/4KP2/nPB5/2P4P/8 w - -,b7g7
5q1k/6p1/4P2p/p2PQ3/8/2R2P1b/7P/7K b - -,a5a4
2r5/8/1K6/4k3/4b3/4R3/8/8 b - -,e5d4
r1bn1rk1/ppq1bpp1/7p/2p1P3/2B1Qp2/2P2N1P/PP1N1PP1/R3R1K1 b - -,d8e6
3r3k/1p1q2pp/1Qp2p2/1n2p3/r3P3/1R1P2P1/5P1P/2RB2K1 w - -,b3b5
r1bq1rk1/1pp1b3/6pp/2BPpn2/P3N3/6P1/4BP1P/R2Q1RK1 w - -,e2f3
r4rk1/5ppp/p1b2q2/1p1P4/P1n5/5B2/5PPP/1RQ2RK1 w - -,d5c6
6k1/2q3pp/2P1np2/p3r3/B7/6P1/P4P1P/2RQ2K1 b - -,g8f8
8/1pk5/8/pK6/8/1P6/1P6/8 w - -,b5a5
2r1n1k1/3q4/RRp1ppp1/Q7/2PB1PP1/6K1/8/8 b - -,d7d4
r1b1kb1r/1pq2ppp/p1n1p3/2n1P3/2B1QB2/5N2/PP3PPP/RN3RK1 w kq -,e4e3
3r1rk1/pp2q1b1/n1pNb1pp/2p1Pp2/5P2/PP4P1/1BQRP1BP/3R3K w - -,e2e4
5rk1/4p2p/pnq1p1p1/1p4NP/4bBQ1/1Pb5/P4PP1/4R1K1 w - -,e1e4
2q2rk1/2nnppbp/pr1p2p1/2pP4/2P1PP2/2N3P1/RPQ1BB1P/5RK1 b - -,b6b4
6k1/2B3p1/8/p7/Pb6/1N1n3P/6P1/2q3K1 w - -,b3c1
8/7k/6p1/1qP5/p2Q2PP/K7/1P6/8 w - -,d4c3
rnbr4/pp2kpp1/4p2p/4P3/5P2/8/PP1N2PP/R3KB1R w KQ -,a1c1
r1bq2k1/p1p2pp1/1p1n4/3P2r1/2P1p1pP/P5Q1/1P2BP2/R3NRK1 b - -,d6f5
5bk1/1N3p2/p3pp1p/1r6/2p5/5P2/PPP3PP/3R1K2 w - -,b7d8
4r1k1/2p2p1p/p2p2p1/1qnP4/R7/1P2B2P/2P2PP1/3Q2K1 w - -,a4c4
5rk1/p3npp1/1p2p1n1/3pP1Bp/P2P1P1P/6N1/2r3P1/R4RK1 w - -,g5e7
5r2/1bp1rpk1/1p1p2pp/pB1Pp2n/P3P3/2P2NP1/1P3P1P/R4RK1 w - -,f3d2
8/1p6/p4k1p/P1P2Pp1/4K3/5P1P/8/8 b - -,h6h5
8/p1prk1pp/r7/5R2/4P2P/P7/5PP1/4R1K1 w - -,e1e3
r4rk1/3b1pb1/p2p2n1/1p1Pp1Bp/4P2P/2N2q2/PP1QB3/2K3RR b - -,f3f2
8/p1p3pp/3kbp2/PP6/2rpRP1P/6P1/2PK4/3B4 b - -,c4a4
7k/p7/2NpR1pp/1P3p2/8/2n4P/5KP1/r7 w - -,e6g6
8/5P2/1p2B2P/2p1b1P1/1kP5/p7/2K5/8 b - -,a3a2
1r5k/4r2p/1p3q2/1R2p3/4B2P/4Q1P1/5PK1/8 b - h3,e7f7
5bk1/1Q3p2/4p2p/1p4p1/3Pp3/4P1PP/q4PK1/8 w - -,b7b5
8/1pb1kp1p/p2np3/4Np2/3P4/4P3/5PPP/2N2K2 w - -,f1e2
2r4r/8/2P2k2/1p1p3P/1P3P2/2PB1KR1/8/8 b - -,h8h5
4r3/5kb1/p1r3pp/5p2/1B6/RP4P1/1P2RK1P/8 b - -,e8e2
r1q1k2r/pp2ppbp/2npbnp1/8/2P1P3/1NN1B3/PP2BPPP/2RQK2R b Kkq -,c6e5
4b3/p1r5/5k2/3pN1pr/1ppPP1R1/5PRP/PP3K2/8 w - -,f3f4
r1bqk2r/pp3ppp/2n1pn2/4P1B1/Qbpp4/2N2N2/PP3PPP/R3KB1R w KQkq -,e1c1
2r4k/8/8/2Bn2p1/PP3p2/5Nb1/8/R4K2 w - g6,f3g5
r4rk1/1pqb1nbp/3pp1p1/p7/P1P2N2/BP4P1/5PBP/1R1Q1RK1 b - c3,g7h6
8/8/8/p1p3q1/P1kp1R2/4Q3/1P4K1/8 w - -,g2f2
2q2r1k/3b4/p1pb2P1/3p3P/3P1Pp1/4QK2/PP1B4/7R w - -,f3g2
1rr2k2/5pNp/2R2n2/p2p4/Pp3P2/1P3K2/2P4P/5R2 w - -,c6f6
4q1k1/5pp1/p3rn1p/2pp4/8/1P3B2/P1PQ1PPP/R5K1 w - -,h2h3
r4rk1/pp1q1ppp/2n2b2/2p2b2/2Pp4/3P2P1/PP1N1PBP/R2QNRK1 w - -,d1b3
r2qk2r/pp1n1pp1/2pbpnp1/8/2pP2P1/P1N1PQ1P/1P3P2/R1B1KB1R w KQkq -,f1c4
2r3k1/pp1bbppp/n3qn2/4N3/1P1PpB2/PQ4P1/4PPBP/5RK1 w - -,b3b1
2r3k1/1qnb1pbp/r2pp1p1/p7/3NP3/PPNQBP2/6PP/1RR4K w - -,c3a4
qrbb1rk1/p2p1pp1/3P3p/2p1P3/1nN5/5N2/P3BPPP/1R1Q1RK1 w - -,a2a3
1r1r2k1/2q2pb1/2p4p/p4Pp1/3PB3/P1Q4P/1P6/1K1RR3 b - -,c7b6
r2q1rk1/1b1nbppp/ppnpp3/8/2P1P3/NQN1B3/PP2BPPP/R2R2K1 b - -,d8c7:d7c5
7r/p1pR1ppk/1p2nq1p/4N3/2P4P/2P3P1/P3PPB1/5RK1 w - -,g2e4
2rqkb1r/ppnn1p2/4p1pp/3pP3/P2P1P2/1PNQ4/2N3PP/R1B2RK1 b k -,c7a6
rn1q1rk1/pp3pbp/1n2b1p1/8/3B4/1QN2N1P/PP3PP1/2KR1B1R w - -,d4g7
r5k1/p4p1p/1p4pb/2pRp1q1/2P1P3/6PP/PP2BP2/3Q2K1 b - -,g5c1
5R2/3q2rk/6rp/p1pPp3/PpPbQ2B/1P6/7K/5R2 b - -,d7g4
6k1/5p2/4p1bp/P6r/2N5/8/PK1R1P2/8 b - -,h5b5
3r2k1/bp3pp1/p6p/2N5/1P1n1q2/P1R2P1P/5P2/3Q1RK1 w - -,g1g2
8/2N3Rp/1Pbk4/P2p4/2pK1r2/8/6PP/8 w - -,d4c3
8/2kn4/Q4p2/2qPp3/2P1P1p1/4P3/6PK/8 b - -,d7b6
rnbqk2r/pp2ppbp/2p2np1/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq d6,e2e3
2kr4/pp5p/4P1p1/2p2p2/8/1QP3q1/P4R2/1R5K b - -,g3h3
8/1bnkb3/1p2p2p/p2pPpp1/3B4/PP2PPP1/2NK3P/5B2 b - -,d7c6
r1b2rk1/ppqn1pbp/4p1p1/2ppP3/2nP1B2/2PB1N2/1P3PPP/R2QRNK1 w - -,a1a2
r1b5/1p3pkp/p4np1/2p1p3/P2rP3/2NB4/1PP2PPP/R3K2R w KQ c6,f2f3
5n1k/6p1/1p4P1/1P3P2/3Q4/2K3P1/2B5/4q3 w - -,c3b2
3r4/5k2/1qn1p1p1/4p1Pp/1pp1P3/2P1NP2/QP3KP1/4R3 b - -,d8d2
r4r1k/pp1qb1p1/2n2n1p/1N2p3/3pPB2/1Q4PP/PP3PB1/3R1RK1 w - -,f4c1
3r1r1k/2p4p/1pn2q2/p1p1p1pb/P3Pn2/2P1QNPP/1P1N1P1K/R3RB2 w - -,f3g1
3qrrk1/2pb1p1p/1p1p4/p3n2P/P2BpR2/4R1P1/2P1B3/5K1Q w - -,f4e4
6k1/1b4pp/3r4/p2pN3/3QpP2/1P2P1P1/P1q4P/3R2K1 w - -,d4d2
2k1b1r1/1pq1b2p/p3pr1B/2p1n3/4BPp1/2P3PQ/PPN4P/1R2R1K1 w - -,h3h4
1r3rk1/ppq1p1bp/3pPnp1/2p2p2/2P5/2P3P1/P1Q1PPBP/1RB1R1K1 w - -,c1g5
8/6kp/1Q1pq1p1/pP6/P1r2P2/6P1/7P/3R2K1 b - -,e6e2
8/8/8/8/nk1K2R1/8/8/8 b - -,b4b5
rnb1kb1r/3ppppp/p4n2/qppP4/P1P5/5N2/1P2PPPP/RNBQKB1R w KQkq -,c1d2
5rk1/pQ3pbp/6p1/q5B1/2P5/1P4P1/P4P1P/3R2K1 w - -,g5e7
r3r1k1/pq5p/1p1pn3/4b1p1/1PP1pp2/4P2P/P1Q1BPPB/3R1RK1 w - -,e2g4
7r/8/p1prk3/1pR1p3/1P2Pppp/R7/P1P1K1PP/8 b - -,f4f3
5rk1/pp2Qp1p/1q2p1p1/3p4/7P/1P1P2P1/P3nPBK/2R5 b - -,e2c1
r1b2rk1/p1q1bppp/1n2p3/1P1n4/2pP4/4NNP1/1PQ1PPBP/R1BR2K1 w - -,f3e5
2br1r1k/pp3q1p/2pPn1p1/6P1/P3NP2/7P/1P1Q2B1/3RR1K1 w - -,d2c3
2rq1nk1/ppb2ppp/5rb1/1B6/3Pp3/BN2P2P/P2Q1PP1/1RR3K1 b - -,a7a6
2b1r1k1/7p/2pb1pp1/1p1pp3/1PnP4/PK1BP1B1/2N2PPP/3R4 w - -,f2f3
rnb1k2r/ppp2ppp/4p1q1/8/4Q3/P1P5/1P3PPP/R1B1KB1R w KQkq -,e4f3
r1b1k2r/pppnqpbp/5np1/4p3/4P3/2P2NB1/PP1N1PPP/R2QKB1R w KQkq -,h2h3
1rq1k2r/2p1npb1/p2pb1pp/2p5/2P1P3/1PNBB3/P2Q1PPP/2R2RK1 b k -,e7c6
b7/2p2r1k/5bpp/p7/P5P1/1R1NB2P/2P2P2/6K1 b - -,a8c6
r1bq1rk1/1p2ppbp/1np3p1/p7/P1NP4/1P4P1/1B2PPBP/2RQ1RK1 b - a3,c8e6
rn3rk1/pb2bppp/1q2pn2/2pp4/Q1P2B2/2N2NP1/PP2PPBP/R2R2K1 w - d6,c4d5
