8/2k4p/3R1r1P/2P5/PK6/8/8/8 b - -,f6f4
8/5pk1/b3p1p1/1qb1P2p/7P/1pB2PP1/1P2N3/3QK3 w - -,d1d2
1r4kn/3R1pp1/7p/ppRB4/8/7P/PP3PPK/4r3 w - -,d7b7
1bkr3r/1p5p/1Pp5/R2p1p1q/3P2p1/2NQ4/2P2PPP/R6K w - -,g2g3
rr4k1/p1R2p2/5p1p/3p4/3Pp1b1/6PP/PP3PB1/4R1K1 b - -,g4e6
r2r2k1/1p2qpb1/2p1b2p/p1n1p1p1/2PnP3/4B1NP/PP3PP1/1BQRRNK1 b - -,e7d6
2r4k/5p2/1p3npR/p2p1r2/P7/1P1P4/2P3PP/2R3NK b - -,h8g7
r1b1kbnr/ppqp1ppp/2n5/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq e6,f1e1
8/1r1nbpk1/2p4p/R1P1pPp1/4P1P1/2pB3P/2P1KB2/8 w - -,f2e3
2r1rbk1/3n1ppb/1p1qp2p/p2p4/1P6/P1BP2P1/1Q2PPBP/1NR1R1K1 b - -,a5b4
1rbqr1k1/5ppp/2p2n2/3p3N/p7/1P1B1Q1P/P1P2PP1/3R1RK1 b - -,f6h5
rnbq1rk1/pp4pp/2p1pn2/3p1p2/2PP1P2/5N2/PP2PPBP/RN1Q1RK1 w - -,e2e3:b1d2
r4rk1/1p4pp/pqR1p3/4P3/5PQ1/PP6/1B5P/6RK b - -,b6c6
4k3/1pR2p2/4p3/1r1p4/3P1P2/5N2/6K1/8 w - -,f3g5
2kr1bnr/ppp2ppp/2n5/3q4/3N4/2P4P/PP2QPP1/RNB2RK1 b - -,c6d4
rnbq1rk1/ppp1p1b1/3p1npp/5pB1/2PP4/2N1PN2/PP2BPPP/R2QK2R w KQ -,g5h4
7r/2q1kpb1/p2ppp2/2p2P1p/2r1P3/5Q2/P1P1N1PP/3R1R1K w - -,f5e6
r1b1rqk1/ppN2pp1/3b3p/1Q6/P4P2/8/1P3PBP/2R2RK1 b - -,d6c7
2r1r1k1/ppp2ppp/2nb4/3q1b2/3P1B2/P1P2N2/5PPP/R2QRBK1 w - -,e1e8
r4r1k/ppnbq1b1/2p2n2/2Pp1p2/PP1PpP1p/4B1PP/2Q1N1B1/RR3NK1 w - -,e2c3
4br1k/ppqnr1b1/3p3p/P1pP1p2/2P1pB2/6PP/1P2BP1N/R2QR1K1 w - -,d1d2
8/pp3pk1/3R1Np1/2n1r2p/8/2P5/P1P5/2K3R1 b - -,h5h4
rnb2rk1/pp4bp/2p2n2/1P1p1ppq/P1PPp3/2N1PPP1/4N1BP/1RBQ1RK1 w - -,c4d5
r4rk1/pp4pp/3qp1b1/3p4/2pPP3/2P2B2/PPQ3PP/R4RK1 w - -,c2e2
2b3k1/4q1b1/3pp3/2pP1R2/2P5/1P4QP/6P1/R5K1 b - -,e6f5
6k1/5p1p/6p1/p7/1p1R4/1P1R2P1/1PP2PKP/4q3 b - -,g8g7
8/prQqn1bk/1p1pr1pp/1P2pp2/8/B2PN1P1/P3PPKP/2R2R2 w - -,c7d7
5k2/pB3p2/Kp4p1/4b1P1/P3N3/2P2r2/8/8 b - -,e5c3
1q2r1k1/1b3pp1/pp1P2p1/8/1PPR4/P3rP1P/1NQ5/2R3K1 w - -,c1f1
6R1/1p4p1/2p1k3/1p2Pp2/6p1/P1N5/1P1r1P2/5K2 w - -,b2b4
r1bqk1nr/pp2ppbp/2np2p1/2pP4/2P1P3/5N1P/PP3PP1/RNBQKB1R b KQkq -,c6d4
5r2/R3ppkp/5bp1/2pP4/2n1PP2/1r4P1/1P4KP/3N1R2 w - -,e4e5
5rk1/5pp1/p2q3p/1p6/1P6/6P1/P4P1P/3R2K1 w - -,d1d6
N1b3k1/1p4bp/3p2p1/p2Pp3/2P3P1/6qP/PPQ2r2/R2KN2R b - -,f2c2
8/P7/6p1/5p2/4p2p/4Pk2/RPr5/4K3 b - -,h4h3
q1rr2k1/1b1n1pbp/pp1ppnp1/8/P2PP3/1P3NN1/1B3PPP/RB1QR1K1 w - -,h2h4
6k1/5pp1/2b4p/8/p1B4P/P1K1P3/5rP1/6R1 w - -,g1f1
6k1/1N1n4/p1p2p2/2B2bpp/8/1PK3P1/P4P1P/8 w - h6,c5d4
rn1q1rk1/ppp1bppp/4pn2/3p4/4b2N/1P3PP1/PBPPP1BP/RN1Q1RK1 b - -,e4g6
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/P1B1P3/2N2N1P/1P3PP1/R1BQ1RK1 w - -,f1e1
8/pp5k/3R3p/5bp1/8/3pK3/PPrR4/8 b - -,g5g4
r4r1k/1pqn1ppp/p1p5/4b3/1P1p4/1Q1P1BPP/P2BPP2/R4RK1 w - -,g1g2
r2q1nk1/2p2ppp/2p2b2/p1PpB3/3P4/1PNQ3P/P4PP1/4R1K1 b - -,f8e6
r1b1kb1r/2qn1ppp/pn1pp3/1p4P1/3NP2P/2N1BP2/PPPQ4/2KR1B1R b kq -,b5b4
rn3rk1/pp2ppbp/1qp1bnp1/8/2QP4/2N2NP1/PP2PPBP/R1B2RK1 w - -,c4a4:c4d3
2kr1b1r/1pp3p1/p3p2p/3n4/4N3/4BPP1/PP3P1P/R4RK1 b - -,b7b6
2b2kr1/4qrbQ/p2p2RB/1p2pPP1/3p4/1P1P4/1PP4P/5R1K b - -,f7f5
4BB2/8/5p1P/3n2k1/b1p5/4K3/8/8 w - -,e3d4
5k2/5p2/2q2p2/p7/2P2R2/5QPK/1P1r4/8 b - -,c6e6
r2q2k1/p5pp/1p2b3/2PpQ3/4r3/8/PPP3PP/2KR1B1R w - -,e5c3
8/8/3kbp2/p7/3KP3/1P5p/P7/5N2 b - -,e6g8
8/1kr4p/1p6/3p4/P2N1n2/KP1n1PN1/3R2P1/2r4R w - -,d2d1
4BB2/8/5p1P/3P2k1/bnp5/4K3/8/8 b - -,b4d5
8/8/6p1/4Kpk1/7r/8/8/6R1 b - -,h4g4
3r1rk1/pb2bppp/1pq1p3/2p1P3/2B2P2/PP2P3/1B2Q1PP/R4RK1 w - -,a1d1
3R4/8/8/4r1p1/p4kP1/8/3K4/8 b - -,e5a5
r3k2r/ppp1nppp/2n4q/1B2P3/3N4/6Pb/PP1N1P1P/R2Q1RK1 w kq -,f1e1
4r1k1/1p3p1p/p1n3pB/1n4N1/2b5/3R1P2/PKP3PP/5B2 w - -,d3d7
2r2rk1/p2qb1pp/1p3p2/3p4/3B4/P5Q1/1PP2PPP/R3R1K1 w - -,g3b3
r1q1k2r/pb2pp2/1pnp2p1/2p2n1p/2P5/1P2PNPP/Pb1PNPB1/1R1Q1RK1 w kq -,b1b2
1r3rk1/1ppb1qb1/p2ppnpp/5n2/P1PP1B1P/2NQ1NP1/1P2RPB1/4R1K1 b - a3,b7b6
8/Q7/2q2p1k/P6p/7P/6P1/5K2/8 b - -,c6c2
6k1/5p2/1p5p/p3Pb2/6pB/1P3PP1/P3rK2/8 w - -,f2e2
8/3b1pk1/6p1/1ppPp1q1/2p1P2p/2P4P/1P2QPPb/rB1R3K w - -,h1h2
r1bq3k/4b1np/p2p2p1/2pPp3/4Nr2/R6P/1PPQBPPN/5RK1 w - -,f2f3
1rb1rbk1/1pqn1ppp/2pp1n2/p3p3/P2PP3/BPN2NPP/2PQ1PB1/R3R1K1 b - -,e5d4
3R4/8/2k4p/1p4p1/p1b3P1/P4K1P/2PN4/4r3 b - -,c4d5
8/6k1/7n/2N2p2/1P3Rbp/P7/1KPR2P1/4r3 w - -,a3a4
2r3k1/5pbp/3r2p1/1p2p3/p5P1/P1Pp2BP/1P1R1PK1/4R3 w - -,e1e3
5r2/2R3kp/3pBqb1/P2Pp3/8/6P1/3Q1P2/6K1 b - -,g7h8
r6r/4kp2/2npbp2/4p2p/ppP1PP2/3BN1P1/PP5P/R3K2R b KQ f3,h8h6
r3r1k1/p4ppp/1np1pn2/2B5/3R4/1NP3P1/P3PP1P/R5K1 w - -,b3a5
2r1k1r1/1b1nbp1p/pp1ppp2/2q5/2P1B3/PP2P3/1B1NQPPP/R4RK1 b - -,b7e4
4r2k/1p1r1p2/pR1p2p1/P1pP3p/5B2/2P2B2/2P2P1K/8 b - -,e8d8
r2q2k1/ppp2p2/6pp/3P1b2/3br1P1/1Q5P/PPP5/RNB2R1K b - -,e4g4
4n1k1/5p1p/5n1p/2b1Q3/1p6/2r4P/2K5/8 w - -,c2b2
rn2k2r/pp1bbppp/1np1p3/8/3PP3/2N1BN2/PP2BPPP/2R1K2R b Kkq -,e8g8
r3k2r/1ppqb1p1/p1n1p3/6Pp/3PB3/P5B1/1PP2P2/R2Q1RK1 w kq -,e4g6
8/7p/4p1p1/8/p1k2P2/BbN1Kn1P/8/8 b - -,c4c3
rn3rk1/3qbpp1/2p1pnp1/3p4/1p1P1BP1/1Q2PP2/PP2N2P/2R1KB1R b K -,d7a7
r3nrk1/pp1b2pp/2pp2n1/7q/2P2P2/PP4PP/1b1Q1NB1/R3NRK1 w - -,d2b2
8/2p3pk/3p4/2p3p1/2P5/1Pq3PP/P3QK2/8 w - -,e2h5
6k1/5p1p/p3b1p1/1p2P3/5P2/4Q3/PP4PP/3r2K1 w - -,g1f2
r7/8/5ppp/2p1k3/P4RPP/3KP3/5P2/8 b - -,f6f5
8/5p2/2k5/5R2/r2P2P1/3K4/8/8 b - -,a4a7
r4rk1/1pqbnpbp/p5p1/5P2/4B3/PNP5/2PBQ2P/3R1R1K b - -,g6f5
