8/7p/4ppk1/5p2/3q3P/5RP1/5RBK/8 w - -,f2f1
rn2k2r/1bq1bppp/p2pp3/2n3P1/1p1NPP1P/4B1N1/PPP3B1/R2QK2R w KQkq -,h4h5
r2qrbk1/1b1n1p1p/p2pp1p1/6P1/1p1BP2P/6Q1/PPP1NPB1/2KR2R1 b - -,a8c8
8/2bk4/8/1p3p2/8/P1B3P1/1P3P2/6K1 b - -,d7e6
2k3rr/1bp2p2/1p1p4/p1n1pNq1/2P1Pp2/P1PP2P1/5PBP/R2Q1RK1 b - -,c8b8
r1bqr1k1/pppnppbp/3p2p1/7n/3PPB1P/2N2N2/PPPQ1PP1/2KR1B1R w - -,f4e3
2rn1rk1/1p1q2pp/p2bpp2/3n4/3PR1P1/1Q3N1P/PP1B1PB1/4R1K1 w - -,e4e6
4R3/1r6/8/8/3k4/1K1n4/8/8 w - -,b3c2
7k/4q3/7P/3Q2P1/8/8/4P1K1/8 w - -,d5d4
B1b5/8/p2k3p/1p3p2/1P1K3P/P7/5P2/8 b - -,c8d7
r1bqk2r/ppp1nppp/2nb4/3p4/3P4/3B1N2/PPP2PPP/RNBQR1K1 b kq -,e8g8:c8g4
r1b1k2r/1pBnbppp/2n1p3/1p1p4/2pP4/P1P1PN2/1PN1BPPP/R4RK1 w k -,f1e1
1rb1kb1r/2qn1pp1/p3p3/1p1pP3/3B1P1P/P2B2N1/1PPQ4/R3K2R b KQ -,d7c5
r1bqkr2/p3n1b1/2np1p2/1p2pPp1/1P2P1P1/1Q1PN3/P3NKB1/R1B2R2 w - -,f1h1
r1bq1rk1/ppp1ppb1/3p3p/2nP1P1n/2PNP1p1/2N5/PPQ2BPP/R3KB1R b KQ -,e7e6
2brqr1k/p5pp/2p1pb2/BpPn1p2/3P3P/P2B1NP1/1P2QP2/R3R1K1 b - -,d8d7
4rnk1/p1p2ppp/1p6/3R4/2n5/1NP4P/PP3PP1/2B3K1 w - -,d5d4
r5k1/ppq1rppn/3p2np/2pPp3/4P2P/P1NPP1PB/1PR4K/3Q1R2 w - -,c2f2
8/5p1p/4pk2/2p3p1/1n6/1P1N3P/5PP1/4K3 w - -,d3c5
3rr1k1/1p4bp/p5p1/P1Bqnn2/4N3/R4P2/5QPP/1R3B1K w - -,a3b3
2r4Q/qp1kb3/2n1p1p1/p1ppPp2/3P4/P1PBB2P/1P3P2/R6K w - -,h8g7
r2qk2r/1b2npp1/pb1p1n1p/1pp1p3/4P2N/1BPP2NP/PP3PP1/R1BQR1K1 b kq -,d8d7
2br1b2/p3qrkp/2p1np2/2p1p1p1/N1P1P3/BP1PQ3/P4RPP/4NR1K b - -,h7h6
1n2nrk1/3q4/p1p4p/1p1p1pp1/3P4/3BP3/PPQ2PPP/4RRK1 b - -,e8d6
3rn3/1p3pkp/3P2p1/4p3/1R2P3/rN1R2P1/5PKP/8 w - -,d3d5
rn3rk1/1b3pbp/pq1p1np1/1p1P4/P1p1PB2/2NB1N1P/1P3PP1/2RQ1RK1 w - -,d3b1
4rbk1/2qn1rnp/1p1p2p1/pPpPppB1/P1N1P2P/3Q1RPB/1P3P2/4R1K1 b - -,f5e4
rn1q1rk1/p2pb1pp/1p2pn2/2p2p2/2PP4/P1NBPP2/1PQ2P1P/R1B1K2R w KQ c6,d4d5
2r1rbk1/2n2ppp/1nq5/3pPP2/1p1P2Q1/2p3N1/1P1N2PP/R1BR2K1 w - -,d2f3
8/1N3pp1/7p/1kP5/4P1P1/3K3P/8/b7 w - -,b7d6
rnb2rk1/ppq3bp/2p2np1/4pp2/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,a2a3:e2e4
8/1R3pkp/1N1bp3/8/8/p5P1/2r2PKP/5B2 w - -,b6c4
4r1k1/pq3p2/6pp/1p2n3/4Q2P/4nNP1/PP3PK1/3R4 w - -,e4e3
6k1/5p2/4n3/1p1R1N2/1p2P2p/7P/2P2PPK/r7 b - -,a1c1
8/7k/3p3r/3Pb3/4K1R1/8/8/8 w - -,e4f5
8/Nb6/1rp1k3/5p2/3K1P2/R5P1/8/8 w - -,d4c5
r2q1rk1/pb1n1pp1/2pb1n1p/1p6/3NP2B/3B1N2/PP3PPP/R2Q1RK1 b - -,d7e5
4n3/6kp/2Q1P1p1/1p5r/3B1Pq1/8/8/4RK2 b - -,g7h6
q4rk1/4bppp/2np1n2/1pp1p3/4P1b1/2PP1N1P/1PBN1PP1/2BQR1K1 b - -,g4d7
8/8/3B2p1/5p1p/6kP/6P1/7K/4r3 w - -,h2g2
2rr4/p1b3p1/Np1nkpp1/3R4/P2P1BP1/1P5P/5P2/2R3K1 w - -,a6c7
3r2k1/pb2p1bp/1pn5/1N3p1n/N1P5/B4PP1/PP1rBK1P/R2R4 b - -,c6e5
r1b2rk1/1pq1bppp/p1nppn2/8/P3PP2/1NN5/1PP1B1PP/R1BQ1R1K b - -,b7b6
2rr4/1p3pkp/2b1pqp1/p7/P1P2P2/1P2Q3/2BR2PP/3R2K1 b - -,d8d2
rnbqk2r/pppp2pp/4pb2/8/2PPp3/2N5/PP3PPP/R2QKBNR w KQkq -,c3e4
8/N2p1kpp/4pp2/8/3B4/2n2KP1/4rP1P/8 b - -,e2c2
2k5/Bp5p/5p2/4p3/2P3p1/Pr4P1/1P1r1P1P/4R1K1 b - -,b7b6
3r2k1/2r2pp1/2p1b2p/pq1p4/3P4/P1QN4/1P3PPP/2R1R1K1 w - a6,d3c5
r2r2k1/pp3pq1/2p3p1/2nP3p/4PR2/5QP1/P3N2P/2R4K b - -,c5d7
r1b2rk1/pp2bppp/4p3/2q1N3/5P2/8/PPQ1BPPP/2R2RK1 b - -,c5c2
r1bqkbnr/ppp2ppp/2np4/4p3/2P5/1P6/PB1PPPPP/RN1QKBNR w KQkq -,g2g3:b1c3
1r6/8/8/3k3R/3P4/3K4/1P6/8 b - -,d5d6
r6r/1p2kp2/1pbppp2/7p/P2NPb2/1P6/2P1NPPP/3R1RK1 b - -,f4e5
6k1/R7/6p1/3Kp2p/5p1P/4B1P1/4rP2/8 w - -,g3f4
3rkb1r/p1p3pp/8/2Pn1p2/N2B1P1n/6N1/PP4PP/3R1RK1 b k -,c7c6
6k1/1p3p1p/6p1/p4b1n/1bP5/4p1P1/4P2P/R2K1B1R b - -,h5f6
r2q1rk1/8/1p1p1bp1/pNnPpp1n/2P4p/1P2BP2/P1BQ2PP/2R1R1K1 b - -,f6e7
3r1rk1/1bq3pp/1pn2b2/p1p1p3/P1P1Pp1n/2BP1N1P/1Q2BPP1/RN1R2K1 b - -,b7c8
2k4r/p5pp/1nB1pp2/8/8/2P4P/PP4P1/2KR4 w - -,d1d6
r7/pp4kp/4q3/2p3p1/2PpP3/3P3b/PPN1QR1P/6K1 b - -,e6g4
r1bqkb1r/3n1ppp/p1n1p3/1pppP3/3P1P2/2N1BNP1/PPP4P/R2QKB1R w KQkq b6,f1h3
r1b2rk1/pp2p1bp/2nq2p1/3p4/3P1n2/2N1BN1P/PP1QBPP1/R3K2R w KQ -,e3f4
2q2rk1/1p3p1b/p3p2p/P1bp2p1/1P1P4/2P2N1P/5PPB/R3RBK1 w - -,b4c5
8/8/K5p1/2p2p1p/4pP1P/5k2/3Q1P2/8 b - -,c5c4
r2q1r2/5pkp/pP1pnNp1/3Pn3/B5P1/8/PP2QR1P/5R1K b - -,e6c5
1R6/1P6/6p1/5pkp/8/6P1/1r6/6K1 w - -,g1f1
1rbq1rk1/3nppbp/p2p2p1/P1pP4/N1N1P3/1n6/1P1BBPPP/1R1Q1RK1 b - -,b3d2
q1r3k1/3nbppp/5P2/3np1P1/rp2P3/1N2B3/1P4QP/1K1R3R w - -,d1d5
r5k1/3Q1ppp/p1p2qb1/1p6/6P1/3P3P/PPPB1bK1/R3R3 b - -,f2e1
1k2q3/p7/1pbNp1n1/8/2PbPP2/2N3Q1/PP6/K5R1 b - -,e8f8
1k6/8/1P6/5r2/2P5/4K1p1/5p2/R4B1b w - -,c4c5
2r1r1k1/5pp1/p1q4p/b1pRP3/5PP1/1PR3N1/P5QP/7K w - -,c3c4
5r2/2p1ppkp/r1p3p1/p3Q3/3P4/4Pq2/PP3P1P/R1R3K1 b - -,f3f6
1B6/5p2/7p/3p2kP/8/8/6K1/8 b - -,g5h5
4rrk1/1p2b1pp/p1p3b1/2Pp1p1n/1P1P4/2R1PPN1/1P1B3P/3B1RK1 b - -,f5f4
8/R4p2/p2r2pk/1p4P1/2b1B2P/P3K3/1P6/8 b - -,h6g7
5k2/3Rpp1p/6p1/8/4P3/7P/1r2KPP1/8 w - -,e2e3
6k1/p2r1p2/1p1r2pp/4b3/1P6/P2R2P1/5PKP/3R1B2 w - -,d3d6
r2rqk2/2R3pp/p4p2/1p2pN2/nP2P2P/1Q4P1/P1R2PK1/8 b - -,d8d7
2kr3r/pp2bpp1/2p1bn1p/q2p4/3P4/2NBPPP1/PPQ3P1/1KNR3R b - -,c8b8
