8/3N3p/6b1/p1p3P1/8/2P2kP1/1P1K4/8 b - -,f3g3
1r1k4/1p3p1p/p1bp4/3N1p2/3b4/2P3P1/PP3PBP/1K2R3 b - -,d4a7
2r5/5R2/P7/2PK4/4p3/6k1/5p2/8 w - -,d5e4
r2b1rk1/1p1b2q1/p1n5/3Np2p/2N1Q1pP/P5P1/1P3KP1/2R2B1R w - -,f2g1
8/8/P2R1K1k/7P/8/8/r7/8 b - -,h6h5
r3r1k1/p4pp1/1pb5/6qp/3Pp3/PQ2P1P1/5PBP/1RR3K1 b - -,c6d5
6k1/q6p/4P3/5P1p/4Q3/6P1/p5K1/8 w - -,e6e7
5rk1/p5bp/3p2p1/1p1Pp3/1Pp1PN2/P3BKP1/7q/1R3Q2 w - -,f1h1
8/5ppk/5n2/5P1p/1p1R3P/6N1/1P1K2P1/6r1 w - -,d4b4
8/8/8/7P/5kB1/3pb1n1/8/3K4 w - -,h5h6
r2r2k1/2pq1p1p/1n2p1pQ/p2nP3/p2P4/3BN1P1/1P3P1P/R1R3K1 b - -,d5e3
r4rk1/3n1ppp/2p2n2/1p2qP2/1p6/P1P2Q2/1N2B1PP/3R1RK1 w - -,a3b4
r1br2k1/1p3ppp/1q2pn2/2b1n3/p2NP3/P1B3P1/1PN1QPBP/2R2RK1 b - -,c8d7
2k1br1r/1p4b1/1q2p1Pp/3pP2R/1ppP2Q1/P1N1P1P1/2B5/R3K3 w Q -,c3d5
6k1/1p4p1/8/2b1Bp2/4b3/R2p4/7K/4R3 b - -,c5a3
2nq1rk1/r1pb3p/pn1p2p1/1p1PP3/3N1p2/1B3Q2/P2N1PPP/2R1R1K1 b - -,d6e5
r2r2k1/pb1q1pp1/1p5p/3np3/QB2N3/1P2P1P1/P4PBP/R1R3K1 b - -,d7a4
6r1/R3kp1p/3p1p1b/4p3/1P3n2/1QP2PP1/4q2P/5RK1 b - -,e7e8
8/8/5p2/4bkp1/3p3p/3n1P2/R3K1P1/8 b - -,d3b4
r5k1/3RBnpp/b1r1p3/6P1/p3P3/7B/2P2R1P/7K b - -,a6c4
2b3k1/6p1/7p/1P6/5p2/2B4P/5PP1/6K1 b - -,f4f3
2r1r1k1/1b1n1q1p/p3p1pP/4bp2/1BPp1N1Q/3B1P2/PP4P1/1KR1R3 w - -,c4c5
r2qk2r/pbpn2pp/1p1pp3/5p2/2PPn3/2PBPN2/P1Q2PPP/R1B2RK1 w kq f6,c1b2
4r1k1/3rppbp/p1N3p1/3nP3/q7/6PP/1R3PB1/2Q1R1K1 w - -,g2d5
r2r4/4k1pp/2n1pp2/ppb5/8/P1B2NP1/1P2PPKP/R2R4 w - -,d1d8
4rr2/P5bk/4Q2p/2qn2N1/1p1p4/3R4/1P4PP/R1B3K1 b - -,h7h8
2r5/3k1p1p/p3p3/3p2B1/2q2P2/3b4/PQ4PP/K2R3R w - -,d1c1
rn1qk2r/ppp1ppbp/1n4p1/8/2bP1B2/Q1N2N2/PP2PPPP/R3KB1R w KQkq -,e2e4
r1bqk2r/pp2bppp/2n1pn2/2Pp4/2P5/5NP1/PP2PPBP/RNBQ1RK1 b kq -,e7c5
8/3rbpk1/6p1/7p/5N1P/6P1/R5K1/8 b - -,d7b7
rn1qkb1r/p4pp1/bp2pn1p/3p4/Q1PP4/3B1N2/PP1B1PPP/RN2K2R b KQkq -,d8d7
8/1p2k3/p1p2n2/5rp1/P7/6P1/1PPR1PB1/5K2 w - -,d2d4
8/6k1/4r2p/P1q5/2P1pQ1P/4R3/7K/8 w - -,e3g3
8/4k3/4p3/6p1/1p1q3p/1P5P/P3Q1P1/6K1 w - -,g1h1
q7/5pkp/1rpb1np1/3p4/3P4/r1N1PN1P/2R2PP1/2RQ2K1 w - -,c3b1
N4r2/1p3k2/p2P1n2/P1R4P/2P1p3/4B2q/1P1Q1P2/3K4 b - -,f8a8
q5k1/6bp/3prnp1/2p1npB1/1pP5/1P1B2NP/r4PP1/1Q2RR1K w - -,d3f5
6k1/1bB2p2/1N4pp/p1p5/2B1PK2/r5PP/8/8 w - -,h3h4
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,c7c5
4r1k1/3N1pp1/6bp/8/R1P5/2b1B2P/2r2PP1/5RK1 b - -,g6e4
6k1/4p3/3p1pp1/3P3p/1B2P3/P4PbP/r5P1/2R3K1 w - -,g1f1
r1bq1r2/1p2npbk/2npp2p/p1p3pP/2P1N3/P2P1NP1/1P1BPPB1/1RQ1K2R b K -,f7f5
1qr2rk1/1b1nbppp/1p1ppn2/pN6/P1P1P3/2N1BP2/1P1QB1PP/R1R3K1 w - -,c1d1
r1b1r1k1/6bn/p2p1qp1/2pP1P1n/P1B4p/2N1BP1P/3QN1P1/1R3RK1 b - -,c8f5
1r1r2k1/q3p1bp/b1pn2p1/p1P2p2/2p5/1PBQPPP1/P2N2BP/R3R1K1 w - -,d3c2
2rqkbnr/1b1n1p1p/pp1pp1p1/8/2PNP3/2N5/PP2BPPP/R1BQK2R b KQk -,f8g7
8/4k1p1/1p4P1/2p2P1p/Pp1pPK2/1P6/1NP1b3/8 w - -,f4g5
r6k/1p3p1p/8/2P5/1P1b1p1q/3p3Q/6P1/1R3RK1 w - -,g1h1
r2q1rk1/p3ppbp/1nppbnp1/1p6/3PP1P1/4BPN1/PPPQ3P/2KR1BNR w - -,c1b1
r1b1r1k1/1p3p1p/2pb2p1/3p2q1/NP1P4/3Nn2P/3Q1PP1/RR3B1K b - -,c8f5
4r1k1/1b3ppp/p3nq2/3p4/P3p3/1BN4P/1PPQ1PP1/3R2K1 w - -,c3d5
5r1k/1pqnbrp1/p2p3p/P1pPpP2/4N1QP/5RP1/1PPB1P2/5RK1 b - -,d7f6
r3r2k/p1p3pp/1p3p2/2nP4/6b1/5NP1/PPP1BK1P/3RR3 w - -,f2g2
2r2nk1/4bppp/qpr1p3/p2pP3/P2P2P1/1P3NP1/3B1PK1/R3Q2R w - -,e1e3
2R5/6p1/8/3Pp2k/P3P1p1/5P1P/2p3K1/2r5 w - -,h3g4
2b5/p4k2/1p6/1P1B1ppp/PN6/6P1/5P2/5K2 b - -,f7f6
r1q1r1k1/pp1nppb1/2b3pp/4p3/4P3/1BN1B2P/PPP1QPP1/3RR1K1 w - -,d1d2
8/p5bk/8/8/1p1q4/8/PPP1Q1P1/1K1N4 b - -,d4f4
r1bq1rk1/ppp1n1pp/3p1n2/3PppB1/2P1P3/P1PB4/5PPP/R2QK1NR w KQ -,f2f3
r2qkb1r/pbp3pp/1p2p3/4p3/1PP1p3/1Q4P1/PB2PP1P/RN3RK1 b kq -,c7c5
4r3/PBK4k/8/8/8/6p1/8/8 w - -,b7e4
6k1/7p/1p2p1p1/2p1Pq2/1nP1N3/2Q3PP/r4P2/5RK1 w - -,e4d6
2krb1r1/pp3p2/2n1p3/2q1PnN1/3p3Q/PRpB2B1/2P2PPP/5RK1 w - -,g5e4
8/p4p1k/1pp1q1p1/7p/1P1Q4/P5P1/2P2P2/6K1 w - -,c2c4
r1b2r1k/p5P1/Pp4B1/1P1ppP1p/2p5/3P3P/2P3K1/R1B2R2 b - -,h8g7
1r4k1/2qbpp1p/3n2p1/2pPp3/1rP1P3/3QNB2/4RPPP/R5K1 b - -,c7b6
6k1/pbq2pbp/1p2p1p1/2p1P3/2B2P2/1P2P3/PB1Q2PP/6K1 w - -,b2c3
r4rk1/1pqnbpp1/p1p1p2p/Pn2P3/3P4/3Q1N2/1P1N1PPP/R1BR2K1 w - -,d2c4
2r2kn1/p1q1bp2/2r5/2ppP1pp/8/1N1p3P/PP1BQPP1/2R1R1K1 w - -,e2h5
r4rk1/2pqbppp/p1n1b3/3pP3/2B5/2P2N2/P3QPPP/R1BR2K1 b - -,f7f6
3n1rk1/pp1r2p1/1b2q2p/4Pp2/1PQp1B1P/P4N2/5PP1/2R1R1K1 w - -,f3d2
r3k2r/1p1bnppp/1p2p3/4P3/8/2NB1P2/P2P1P1P/R3K2R b KQkq -,d7c6
r3r1k1/1p1nqppb/2p2n1p/p1b1p1P1/P1Pp4/1P1P1N1P/1B2PPB1/RNQ1R1K1 b - -,h6g5
3Q4/8/4p3/1pk2p2/2q1p2P/4P1P1/5PK1/8 w - -,h4h5
4k2r/1p4p1/p1rb2q1/P2RppB1/8/1Q4P1/1PP2P2/3R2K1 b k -,g6g5
r1bqk2r/1p2bppp/p2p4/3P4/3p4/N7/PPP2PPP/R2QKB1R w KQkq -,d1d4
1r1b1rk1/1q5p/2bp2p1/1p1Npp2/1P2P3/2PQ1B2/5PPP/R2R2K1 b - -,b8a8
3rn3/4q2k/3Nr2p/pP2P1p1/4Q3/2P3P1/1P2RK2/4R3 b - -,h7h8
r6k/4p2p/2p3Q1/p1r1q3/1pBb4/1P5R/3P2PP/1R5K b - -,e5g7
4q1k1/3r2p1/4p2p/5p1P/3P4/3NPQP1/5PK1/8 b - -,d7d5
rnb1k2r/ppp2ppp/3q1B2/3p4/1b1P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d6f6
r4rk1/pp1qppbp/2np1np1/8/2P1P3/2N1N3/PP3PPP/R1BQ1RK1 b - -,a8c8
7k/p5qp/b7/8/3Q1p2/1P3BP1/P3PP2/6K1 w - -,d4d8
