8/4kp2/1b4p1/4Pr1p/2R4P/6B1/6K1/8 w - -,g3f4
2r2rk1/1bqnbppp/p2ppn2/1p6/4PP2/PNNBB3/1PP3PP/R2Q1R1K w - -,d1f3
q1rr2k1/1b1nbpp1/p3pn1p/1pp5/3P4/1P2PN1P/P2N1PP1/BQRR1BK1 b - -,f6e4
2kr1b1r/pp1n1pp1/2p1pn2/q6p/3P1B2/1BN2Q1P/PPP2PP1/2KRR3 w - h6,f4h2
r4rk1/pb1nppbp/1q3np1/1pp5/8/1P1P1NP1/PBQNPPBP/R4RK1 w - -,a1c1
2rr2k1/1bqn1ppp/pp1ppn2/8/1PPNP3/6P1/P2NQPBP/2RR2K1 w - -,d2b3
b1r4k/4bqp1/p7/1p2pP1N/3p2Q1/P2P1P2/1Pr1N1PP/1R1R3K b - -,c2e2
8/p3Qp1k/2q3pp/3pP3/2nP1PP1/7P/8/2R3K1 b - -,h7g8
3rr1k1/p5b1/3q1nR1/2p2B2/3p4/1P6/P1P3PP/2B2Q1K b - -,d6e5
3N4/p2b1pkp/6p1/2bB4/6P1/4P2P/4KP2/8 b - -,d7e8
1rb2rk1/p2n1ppp/8/1pbPp3/3p1P2/1P2P1P1/PBN3BP/R2R3K b - -,d4e3
7k/1p3bp1/2p1p2p/p1P1P2P/P4P2/6P1/7K/3B4 b - -,h8g8
2r2rk1/ppq2pp1/2n1p1np/2PpP3/P2B3P/Q1P2N2/2P2PP1/1R3RK1 b - -,c6e5
8/3k4/5rp1/2K3Rp/2P4P/6P1/8/8 b - -,d7c7
6k1/1b5p/6p1/3npp2/1r2NnPP/Q4P2/1Pr2B1K/4R3 w - -,g4f5
3R4/8/4k3/p3p3/P1P4r/1PK5/8/8 b - -,h4h3
r1b2rk1/ppB3p1/5qnp/2pB1p1Q/2Pp4/3P2P1/PP2RP1P/R5K1 b - -,g8h7
7r/k1b5/1p1p1p2/nP1Pp1p1/P3P1P1/2K2PB1/6B1/1R6 b - -,a5b7
2rqkb1r/1p1bpppp/p1np1n2/6B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 w k -,d4b3:g1h1
r4rk1/pbqnbppp/1p1p1n2/2pPp3/1P2P3/P1PBBN1P/3NQPP1/R4RK1 b - -,h7h6
r1bq1rk1/b1p2ppp/p2p1nn1/1p2p3/3PP3/1BP2NNP/PP3PP1/R1BQ1RK1 b - -,c7c5
rnbqkb1r/pp3ppp/2p1pn2/8/P1pP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq -,c6c5
8/8/6R1/pp6/1k6/8/Pb2K1PP/8 w - -,g6g3
6k1/1b3p1p/5p2/1p3P2/3p1BPK/1P5P/1P6/2N3r1 b - -,g1g2
r2r2k1/1b2bppp/n1q1pn2/1p6/1P6/1QP2N2/P2N1PPP/R1B1RBK1 b - -,c6b6
5k2/pbp2pp1/1p5p/2p1P3/3rNPPn/6NP/PPP2K2/4R3 b - -,g7g6
8/3rkp1p/R3p3/1P5r/1bB5/1P3N1P/4KPP1/8 w - -,h3h4
8/8/8/4NkPb/5P2/6K1/8/8 b - -,h5e8
2r1r1k1/pp3pp1/1qn3p1/3p4/B2b4/5P2/PP1Q1BPP/3R1RK1 b - -,d4f2
6k1/1b2R2p/p7/3pNp2/3P1P2/4n1PB/7r/4K3 w - -,e7b7
5Q2/1p1rq1pk/p6p/2n4P/8/PP6/1B4P1/6K1 w - -,f8f5
rnbqkbnr/pp1ppp1p/6p1/2p5/4PP2/5N2/PPPP2PP/RNBQKB1R b KQkq -,f8g7
2Rr4/5pk1/Q3pnp1/3q3p/3P3P/6P1/5P2/2R3K1 w - -,c8d8
r3r1k1/1pp2pp1/pbn2q1p/4p3/4P1b1/1BPN1N2/PP2QPPP/R3R1K1 b - -,a8d8
r7/r1q1p1kp/P2p1pp1/2nP4/3Q4/R2B1PK1/6PP/R7 w - -,d3b5
2r2rbk/6pp/p1nqpn2/1p1pN3/3P1Q2/P5N1/1P3PPP/1BR1R1K1 b - -,c6e7
rn2k1nr/pbpp2pp/1p3q2/3P1p2/2P5/3B4/PP1Q1PPP/RN2K1NR w KQkq -,b1c3
5r1k/3n2rp/2pqR1pQ/p7/3P4/2P5/BP4P1/2K4R b - -,d6g3
r1r2nk1/1q2p1bp/3p2pn/2pP1pN1/4PP2/2NQ3P/PP3BP1/1R2R1K1 b - -,c8e8
r1R4k/P3q3/6Qp/8/3P4/R3b2P/1r4P1/7K b - -,a8c8
r4rk1/pp2ppbp/2np2p1/8/2P1PP2/qP1BB2P/P2Q1RP1/2R3K1 w - -,c4c5
3r1rk1/2p4p/1pBb2p1/3P1p2/1P6/2P2p1R/6PP/5RK1 w - -,h3f3
3n2r1/ppbk1p2/3pr3/2pN3p/2B2P2/2P3P1/PP3K1P/R3R3 w - -,e1e6
8/5pk1/4p3/1R5p/P7/4rPPK/7P/8 w - -,f3f4
8/p5r1/5R2/2p1Ppkp/8/2P1RbPn/P4P1P/5K2 b - -,f3d5
7k/1bp2prp/1p1p1p2/2p2P2/2P1P2R/3B3P/q1P3P1/4Q2K w - -,e1c3
5R2/8/8/3pk1p1/2b1p1B1/4P1P1/6K1/4r3 w - -,f8e8
2r1kb1r/1b1n1ppp/p2ppn2/q3P1B1/1p1N4/1BN5/PPPQ1PPP/2KRR3 w k -,e5f6
r1b2rk1/ppp1qppp/1n6/4p3/3QP3/1BN5/PPP2PPP/R3R1K1 w - -,d4e3
2b1kb1r/2qn1pp1/p2ppn1p/8/1r2P3/1NN1BPQ1/1PP3PP/2KR1B1R b k -,g7g6
8/8/6pk/6R1/3KBP1p/7P/6P1/4r3 w - -,g5g6
2rr3k/ppp2ppp/1b1Pq1n1/4p3/P3N3/BP3Q1P/2P2PP1/3RR1K1 w - -,e4g5
rn1q1rk1/1p2bppp/p2pbn2/8/4PB2/1NN5/PPP1B1PP/R3QRK1 b - -,b8c6
r3r1k1/pp3ppp/2p5/1P6/Pq1Pp3/4P1P1/4BP1P/1R3K2 w - -,b1b4
6nk/1p1r1p1p/3p2p1/PNnP2P1/P1P2R1P/2Q5/2B2RK1/q3r3 b - -,a1c3
2R5/p4pk1/2Bb2p1/4q1np/N7/4P3/P2P1PPP/3R2K1 b - -,e5h2
2kr3r/pbqpbp2/1pn1p2p/1B3p2/8/4PNN1/PPP2PPP/R2Q1RK1 w - -,d1e2
rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P5/PPB2NP1/2Q1PPBP/R3K2R b KQ -,b8d7
5rk1/1prbqppp/pn2p3/3nP3/3NN3/1B6/PP2QPPP/3RR1K1 b - -,h7h6
3r2k1/1ppr1pp1/pbn2q1p/4p2b/P3P3/2PP1N1P/1B2BPP1/1R1R1QK1 w - -,b2a3
8/8/6k1/8/3b4/5R1P/5p2/5K2 b - -,g6g5
4R3/8/8/3kp3/3n4/3P4/r7/3K4 b - -,d4f3
8/1p5p/p1pk2p1/3p1r2/RP5P/2P2P2/P4K2/8 w - -,a4a3
2r2k2/4b1p1/p1q2pP1/8/1p3P2/2B5/PPP1Q3/1K1R4 w - -,d1e1
r2qkbnr/ppp3pp/2n5/3pp3/8/4PBB1/PPP2PPP/RN1QK2R b KQkq -,e5e4
r2q1r1k/pp2bp2/2p1pnB1/3nN3/3P2b1/2P5/PPQ2P1P/R1B1K2R w KQ -,g6f7
8/6pp/7r/3R2k1/8/6p1/6K1/8 b - -,g5f4
2k4r/pp2r2p/4pp2/1P1q4/P1pP3P/5NR1/5P2/R2QK3 b Q -,h8d8
r1b1kb1r/p1qnnp1p/3p2p1/2pPp3/Q1N1P3/2P2N2/P3BPPP/R1B2RK1 b kq -,f8g7
r2qkb1r/pp1npppp/2p5/3n1b2/2BP4/5N2/PPPN1PPP/R1BQ1RK1 b kq -,e7e6
1r1q1rk1/1ppbppbp/p1np1np1/8/2PPP3/4BP2/PP1QN1PP/2RNKB1R b K -,b7b5:e7e6:f8e8:e7e5:f6e8
r1bqkb1r/pp2pp1p/2n3p1/3n4/2BP4/2N2N2/PP3PPP/R1BQK2R b KQkq -,d5b6:d5c3
r4rk1/1bppb1pp/1pq1p3/8/1PB5/2P2P2/P3Q1PP/R1BR2K1 w - -,d1d7
8/5pk1/R4p2/3R4/4P3/1P6/pr5r/5K2 w - -,f1g1
r2q1rk1/1p1nppbp/p2p2p1/n1pP2N1/2P1P3/2N5/PP1BQPPP/1R3RK1 b - -,d8c7
2nr2k1/1pqr1pb1/2p1p1p1/p3P2p/2PPB2P/5QP1/P4P2/1RBR2K1 w - -,c1e3
5rk1/pBp2pb1/1p4p1/1q4N1/2r2n1P/4B3/P1Q2P2/R3K1R1 w - -,a1b1
r2qk2r/1pp1n1pp/p1n1bp2/3p4/1b1P4/2NBB3/PPP1NPPP/R2Q1RK1 w kq -,e2f4
r4rk1/pq1b1p1p/2pP2pn/2Q1R3/2B2P2/2N5/PPP3PP/2K4R b - -,f8b8
5b1k/3n1p1p/3p1P2/1p3qPP/3p1P2/Pp1P1Q2/1P2RK2/2r5 b - -,c1c2
r1bqrnk1/1p3ppp/2pb1n2/p2p2B1/1P1P4/P1N1PN2/4BPPP/1R1Q1RK1 b - b3,a5b4
r3kb1r/ppq1ppp1/2p2n2/3n1b1p/8/1BNP1N1P/PPPBQPP1/R4RK1 w kq -,c3d5
rn2kbnr/p3pppp/2p1q3/1p6/2pP4/2N1P3/PP3PPP/R1BQKB1R w KQkq -,a2a4
r4rk1/3qb1np/p3p1p1/5p2/1ppP1PP1/6NQ/PPBB3P/R4RK1 b - -,d7d4
r3k2r/2qbbppp/p1npp3/1p4Pn/4PP2/1NN1B3/PPPQ3P/2KR1B1R b kq -,b5b4
8/1p2N2R/3k4/p2P4/P7/8/2K5/1r6 b - -,b1b4
