8/5kb1/1p5p/5PP1/P7/4B3/2K5/8 w - -,g5h6
1rbq1rk1/p4pbp/1p2p1p1/3pP3/3n1P2/2N5/PPP2QPP/R1B2RK1 w - -,f2d4
rn3k1r/p1q1nppp/1p2p3/2ppP3/3P2Q1/P1PP1N2/3B1PPP/R4RK1 b - -,b8c6
8/4b3/p1k1N3/P7/1PKR2P1/6r1/8/8 w - -,d4f4
r1rb2k1/pp2nppp/4p3/1q1pP3/3P3P/P2R1N2/1P1B1PP1/3QR1K1 w - -,d3b3
3r4/1pk2ppb/4pn1p/1B5P/1PP3P1/4KP2/4N3/R7 w - -,a1a3
r2r2k1/1b2qpp1/p1pb1n1p/1p6/3NP3/P2BB2P/1PQ2PP1/R2R2K1 b - -,g7g6
1r1qr1k1/R5p1/3p3p/1b1Ppp2/1PN4b/1Q2BPP1/7P/4R1K1 b - -,f5f4
2b5/2N1qn1k/p2n1pp1/1pQPp2p/1P2P2P/6N1/P5PK/3B4 b - -,h7g7
6k1/1p6/p2N4/2P1BK2/6r1/8/7P/8 b - -,g4b4
4r3/1p1k3p/p2p1p2/4n1p1/PP1KPpPP/3B4/8/2R2R2 w - g6,h4g5
8/R5p1/5pk1/PP2r2p/7P/3p4/5KP1/8 w - -,b5b6
q1r3k1/1b2bppp/p3pn2/1p6/1P6/P1N1P3/Qn2BPPP/2R1N1K1 w - -,a2b2
2brr1k1/pp3pbp/n4qp1/1QpP4/N3n3/1P2BN2/P3BPPP/3R1RK1 w - -,e2d3
6k1/1p1b2r1/1q2prpp/p1p1Nn2/P2p1P2/2PP2P1/1PQ1R1BP/4R2K w - -,e5c4
r4k1r/pp3p2/2pbpnp1/q7/1n1P1P2/2NQ1BP1/PP3B1P/1K1R3R w - -,d3e2
8/p2r2p1/1p2p3/4k1P1/2Pb4/3R3B/P4P2/6K1 w - -,g1f1
r6r/1p2k1bp/p2ppnp1/8/3qPQ2/1BN5/PPP3PP/R3K2R w KQ -,a1d1
2R5/4k3/1bP5/p7/6r1/5N2/P1K3p1/8 b - -,e7d6
8/1R3p2/3pk1p1/2p1n3/4PKPP/8/8/8 b - -,e5d3
2r5/5k1p/pp1PNbp1/5p2/P7/R6P/5P2/5K2 w - -,e6c7
3q1rk1/p2bppb1/3p1np1/1pr1n1Bp/3NP1PP/2NB1P2/PPPQ4/1K1R3R b - g3,h5g4
2r1r1k1/1pqbbppp/p2ppnn1/8/2PN1P2/1PN1P1P1/PB1Q2BP/2R2R1K w - -,g2f3
3r2k1/5pp1/4p2p/p7/1bRP1N2/7P/q4PP1/2Q3K1 w - -,c4c8
3r2k1/3bbppp/nq1p4/N2Pp3/pP2Pn2/B4N1P/3Q1PP1/4RBK1 b - -,a6c7
2k5/1p5p/p7/5R2/P1K2P2/6P1/2r5/8 w - -,c4b3
8/pp3kbp/2p3pN/4r1P1/7P/8/PPP5/2K4R b - -,g7h6
5r2/p1p5/1p4k1/3p1nP1/8/1P5P/P1P2R1K/R1B1r3 w - -,c1b2
1rbq1rk1/p2nb1pp/2n1pp2/1pppP3/7P/3P1NP1/PPP2PB1/R1BQRNK1 w - -,e5f6
r3b1k1/p1r1qpbp/R2n2p1/1pNPp3/1P2P3/6P1/1B3P1P/Q3RBK1 b - -,g6g5
3r1k2/1pr1qpp1/1n3b1p/p3p3/P3B1P1/1P2PQN1/5P1P/3R1RK1 b - -,d8d1
1rbq1rk1/5nbp/pp1p4/n1pPpp2/P1P5/1PNBBP2/3Q2PP/1RN2RK1 w - -,c1e2
3n4/8/1P6/6pk/6q1/8/2PB1Q2/2K5 w - -,f2h2
6kb/1b6/p2r4/1ppp3Q/8/2N5/PP4PP/7K w - -,h5e8
4Q3/1p3pbk/3P2pp/3pn3/8/B1N2N1P/1Pq2PP1/6K1 w - -,f3h2
8/3Rbkn1/4p1p1/4qr2/1p5Q/1P6/P1P5/1KR5 b - -,e5d6
r1bq1rk1/ppp1npbp/3p2p1/3Np3/2PnP3/1P3N2/PB1PBPPP/R2QK2R w KQ -,f3d4
8/2p1kp2/3p2p1/1p5p/1Pr1PP1P/3K4/2P3P1/R7 w - -,c2c3
3r3k/6p1/5p1p/p3p3/2Kn1P2/1P2N1P1/3R3P/8 w - -,f4e5
8/4k3/8/3K1b2/1NP5/1P6/1P6/8 w - -,b4c6
7k/4q1np/p2p4/2PB1p2/P2P4/4pQ1P/1r2N2K/8 b - -,d6c5
6k1/2b2p2/1p2p3/6P1/1P2B2p/P3Q1PP/1q2N1NK/8 b - -,h4g3
3rq1k1/p2r2p1/2p1np1N/1pb1p3/4P3/1P5Q/P1P2P2/R1B3RK b - -,g8f8
r3r1k1/1p3ppp/8/q7/8/3B1PQ1/PPP3PP/1K5R w - -,a2a3
8/1p4p1/p1p1k3/3pPnp1/2PP4/1P5r/P4K2/2BR4 b - -,g5g4
2bqrbk1/1pn2pp1/r4n1p/p1pp4/3P1PP1/PPNQP2P/4N1B1/R1B2RK1 w - -,d4c5
1B4k1/8/5pp1/8/3P4/4P1K1/4R3/3r2b1 w - -,g3f3
1k6/8/6KP/8/8/r7/p7/R7 w - -,g6h5
6k1/4R2p/5p1B/6p1/1rr1n1P1/7P/6P1/4R1K1 w - -,e7g7
1rbqk2r/3pbp2/p3p1p1/3pP2p/5Q1P/4B3/PPP2PP1/2KR1B1R b k -,c8b7
r1bqkb1r/ppp2ppp/1nnp4/8/2PP4/2N4P/PP3PP1/R1BQKBNR b KQkq -,f8e7:c8f5
8/2kp4/8/8/5PNR/4P1K1/5P2/1q6 w - -,h4h2
6k1/5pp1/5n1p/8/p2Q1P2/P4N1P/1P4PK/1q6 b - -,g8h7
8/6p1/n4p1p/ppk1pP2/4P3/PP1K3P/2N3P1/8 b - -,b5b4
1n2r1k1/1P3ppp/p1q5/3p4/8/5PPB/PQ5P/2R3K1 b - -,c6h6
1q4k1/2r2pp1/3Qpb1p/8/2NpB2P/P2P2P1/1P3PK1/8 b - -,f6e7
k1r5/pb6/1p1n1P1Q/2p3P1/q2p1N1P/2R5/PPP1B3/1K1R4 b - -,d4c3
2kr3r/pp2npp1/2Q1pnp1/2b5/8/1BP3NP/PP1B1PP1/2KR1R2 b - -,e7c6
3r2k1/p2r1p1p/2b1q1p1/1p1pP3/2nRnPP1/1BN4P/PP3QN1/3R2K1 w - -,c3e4
2rr2k1/1p2ppbp/3p1qp1/3P4/4R2P/2NQ2P1/PPP2P2/3R2K1 b - -,e7e5
r1b3k1/1p1n2pp/2p2p2/8/1p1R1B2/8/1PP3PP/qNK1R3 b - -,c6c5
4k3/p4p2/bpp1p3/2q1P3/2P1B3/1P4P1/P3QP2/6K1 w - -,e2h5
r2q1rk1/pppBnppp/1b1p1n2/4p3/NP2P3/2PP1N1P/P4PP1/R1BQR1K1 b - -,d8d7
8/8/1pk1rp2/5Rp1/2K3P1/7P/8/8 w - -,f5f3
r3k2r/3b1pp1/2pp3p/pp2Q3/4P3/1B6/PPP2PPP/R4RK1 b kq -,d6e5
1r1q2k1/3bbp2/rp4n1/2pPpN2/2P1P2p/1RN5/1QB2PP1/1R4K1 b - -,e7g5
rq1r2k1/1pp1ppbp/2n2np1/p2b4/P2P4/NP3NP1/1B2PPBP/R2Q1RK1 w - -,e2e3
8/p3p1k1/3q2rp/PPp1p1p1/3r1p2/2QP1P2/2PKRP2/7R b - -,c5c4
1r3rk1/pp3ppp/2pN2n1/8/8/2R5/PPP2PPP/R5K1 w - -,a1e1
r3kb1r/1b1q2pp/p2pp3/2n2p2/1p1NPP2/5Q2/PPP3PP/R1BNR1K1 w kq f6,d1f2
r4bk1/1b3p1p/6p1/3Rp3/2P1q3/4B2P/B2Q1PP1/5RK1 w - -,a2b1
r3nrk1/pp1n2pp/1q6/2bPpp2/6P1/2N1P1Rb/PP1NBP1P/R1BQK3 b Q -,f5g4
r3r1k1/pp1b1p2/3p1q1b/2nP4/4PP2/2N2Np1/PPBQ2P1/R3R1K1 w - -,c3e2
8/4k3/5p1n/1N3P2/5K2/6P1/8/8 w - -,b5c3
r2qkbnr/pbp2ppp/1p1p4/4p3/2PnPP2/2NP1N2/PP4PP/R1BQKB1R w KQkq -,f1e2
rr4k1/1pq1bppp/2Pn4/2p1p3/p1P1P3/P1N2BPP/1PQ2P2/2R2RK1 b - -,c7c6
8/p5pp/1k3p2/8/KPr4P/P2N2P1/3n1P2/7B b - -,d2e4
3r3k/5Bb1/p2P3p/P1B3p1/4p3/6nP/1P4P1/R5K1 w - -,a1d1
2rqrnk1/pp2bppp/2p1b3/8/3PP1nB/2NB4/PPQ1N1PP/2KR3R w - -,h4e7
r1b2rk1/ppq1ppbp/2N3p1/2pp4/3Pn3/1P2P1P1/PBP2PBP/RN1Q1RK1 b - -,b7c6
3r2k1/pp1q2p1/7p/2rP1b2/4pP2/7P/PP1Q1RBK/3R4 w - -,d5d6
6k1/2nN1pb1/1p2p2p/p7/P2P2QP/3RP1P1/6PK/2q5 b - -,c1c6
r2q1rk1/ppp2pbp/3p2p1/2nPp2n/4P3/1P1B1Q1P/PBPN1PP1/R3K2R w KQ -,e1g1
