r7/P2k1p2/3p2pp/3K1p2/7P/R4PP1/8/8 b - -,d7c7
8/pp2p1k1/3r1bp1/2Pq1r1p/7P/P2RQNP1/1PP5/1K2R3 b - -,d5c5
3r2k1/2Q2p1p/p1nrqb1P/6p1/3PB3/P1B1PP2/1P3P2/R3K2R b KQ -,d8c8
2r5/1b1r2k1/p4n2/2P5/1PQ5/5P2/P2p2PP/3R2K1 w - -,c4c3
1b2rnk1/p4pp1/1p3q1p/BP1Bp3/4P3/P3QN1P/5PP1/2R3K1 b - -,b6a5
4r3/5pk1/1qn1b1p1/1p4Q1/1P2N3/P2p4/6PP/2R1K2R w K -,g5f6
8/6k1/1R4pp/4pp2/8/5PKP/r5P1/8 b - -,f5f4
3rr1k1/p1qbbp1p/2n2P2/1pp5/3pPP1B/P6P/1PP3B1/R2Q1RK1 b - -,e7f8
8/6k1/4R3/6p1/6P1/1r3P2/5K2/8 b - -,g7f7
r2q1rk1/2pn1ppp/p2p4/3P4/R7/4R3/1PP2PPP/2BQ2K1 w - -,e3g3
3B4/k4p2/1PK1p3/3n3p/8/8/7P/8 b - -,a7b8
8/6p1/3n1p1p/4pP1P/1kp1P1P1/1p6/8/2K1R3 b - -,c4c3
b2q4/6k1/p5p1/2p2pP1/2P5/2N1Q3/P4PP1/6K1 w - -,c3e2
4r1k1/pp3rb1/2pB2pp/5b1q/1PP5/PQ5P/5PB1/3RR1K1 b - -,e8e2
2r5/5pkp/p1P2np1/8/r2Np3/6PP/5PK1/2RR4 b - -,f6e8
6k1/5pp1/5B1p/p2N4/4P3/1P4P1/P1r2K1P/5b2 w - -,f2f1
1r4k1/4pp1p/1P1p2p1/q2b3P/1R6/5P2/1Q4P1/6K1 b - -,a5c5
r2q1r2/1b2bpk1/ppp4p/3p1Bp1/3PP3/2N3P1/PPQ3PP/3R1RK1 w - -,c2f2
8/pr2kppp/4p3/1P1n4/P7/5B2/1P3PPP/2R3K1 w - -,f3d5
4rk2/p1b3p1/1p4np/2p5/2P1bp2/2B4P/PP1NBPP1/R5K1 b - -,e4f5
8/6pp/2p1kp2/Np6/P3P3/2K2nPP/8/8 w - b6,a4b5
3r4/1p1nk3/r1p5/p2b1pp1/N2P4/P3PP2/1PRN4/2R3K1 b - -,g5g4
1krb4/7P/3pQ3/2qNp3/1p2P3/pP2P3/P1P4R/1KNr4 b - -,d8h4
8/4n3/6p1/p5P1/3NK2p/1Pk5/8/8 w - -,e4e5
5B2/1b3p2/5Pk1/1p1N2p1/4K1Pp/1P3PbP/8/8 w - -,f8a3
R7/6pk/4P2p/2B2rnP/8/p7/4K3/8 w - -,e6e7
2q5/1r3pk1/pp1p1Nr1/2p1n1Q1/P1P5/3P3P/1P4P1/R4RK1 w - -,f6h5
1b2R3/5rqk/7p/2PN1b2/8/6P1/P3QPP1/6K1 b - -,b8a7
8/pp4p1/2n2R2/3pk3/3p2bP/P3p2N/1PP3P1/5RK1 b - -,g7f6
1k3r2/p5p1/b7/2pNb1Pp/4B2P/5P2/3K4/1R6 b - -,b8c8
2kr3r/1b2bppp/2p1p3/p3qP2/2PpB3/8/PP1B2PP/R3QR1K w - -,e4c6
8/5k1p/2pR1rp1/3b1p2/2p5/4P3/PP3P1P/2K3R1 w - -,d6f6
6k1/p3pp1p/6p1/3pP3/2b5/8/Pr3PPP/R3N1K1 w - -,a2a3
3r1rk1/1pq1ppbp/p3n1p1/n1p5/P3P3/N1P1BP2/1PQN2PP/R3R1K1 w - -,a3c4
r2qk2r/pppbppbp/2np2p1/8/2PPP3/2P2NP1/P1Q2PBP/R1B1K2R b KQkq -,c6a5
r3kb1r/pp1npppp/2p2n2/q4bB1/3PpQ2/2N2P2/PPP3PP/2KR1BNR b kq -,e4f3
5b1r/1R4p1/p2p1nkp/3P4/2p5/B1P3P1/P1P4P/5RK1 w - -,b7b8
6k1/5p1p/6p1/b3p2P/4P3/2PRR3/rr2BPP1/4K3 w - -,h5h6
4R3/8/5k2/5p2/4p3/4r3/6B1/6K1 b - -,f6g5
8/5pk1/3qp1p1/5r2/3P1P2/4Q3/7P/5RK1 b - -,d6d5
3r2k1/1b3p1p/p1p2p2/1p6/4PP2/1BP5/P2r2PP/3R1R1K w - -,h1g1
r1bqk2r/1p2ppbp/p1np1np1/8/P2NP3/2N5/1PP1BPPP/R1BQ1RK1 w kq -,c1e3
8/5q1p/2p5/6pk/4R3/6B1/4R2K/8 b - -,f7f3
r1bqr3/p3bkpp/2p5/n7/5p1P/3B1Q2/PPPP1P2/RNB1K2R w KQ -,d3e4
r1bq1rk1/1ppnn2p/3p2pb/P2Ppp2/1BP1P3/2NB1N2/5PPP/R2Q1RK1 b - -,f8f7
6b1/pp5p/3p3k/2p1p3/8/6P1/1P3R2/6K1 w - -,f2f6
6k1/2rb2b1/8/2N2rp1/2Kp4/1N6/PP1R3P/6R1 w - -,h2h4
1Q6/8/R2p1rk1/1p1Pp1p1/1Pp4p/2P2P1P/5BPK/1q6 b - -,b1c2
r2q1rk1/1pp2pp1/pnb1pb1p/8/3PP3/2NQ1NP1/PP3PBP/R3R1K1 b - e3,b6a4
rnbqk2r/1p2bppp/p2ppn2/8/4PP2/1N1BB3/PPPN2PP/R2QK2R b KQkq -,b8d7:e8g8:d8c7
r2qr1k1/1p3pbn/n1p3pp/p3p3/2P1P3/PP3NPP/1BQ2PB1/1R3RK1 b - -,h7g5
rnbq1rk1/p2p1ppp/1p1bpn2/1N6/2P5/2N5/PP2PPPP/R2QKB1R w KQ -,b5d6
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2PB1N2/PP3PPP/RNBQ1RK1 b - -,b8c6:c7c5:b8d7:a7a6:h7h6
6k1/2p4p/1pP1b1p1/2p1B1P1/p3pP2/P3P3/6P1/6K1 b - -,b6b5
r1bq1rk1/pp2ppbp/n1n3p1/1B1pP3/8/P1N2N2/1PP1QPPP/R1B2RK1 b - -,a6c7
r4rk1/1b1nqppp/p1n1p3/1p1pP3/1b3PP1/1NN1B2R/PPPQ3P/2KR1B2 b - -,f8c8
r2qr2k/pp1nnpbp/2b3p1/2pNp3/P3PP2/1P1PN1P1/1B2Q1BP/R4R1K b - f3,c6d5
r2q1rk1/pp3pbp/2np2p1/2pBp3/2P5/6P1/PP1PPP1P/R1BQ1RK1 b - -,d8c7
r7/pp1bb1k1/2p1p1qr/1PPp1p2/Q2P1Pp1/2N1P1P1/PR5R/5BK1 w - -,h2h6
r4rk1/p3qppp/b1n1pn2/2p5/N1Pp4/PP2PB2/1BQ2PPP/R3K2R b KQ -,a6b7
r4rk1/pb5p/1p4p1/2qPp1Q1/4P1NP/6P1/P4RBK/R7 b - -,f8f2
r2q1rk1/pp2bppp/4b3/3p4/3Q4/P5P1/1P2PPBP/R1B2RK1 w - -,c1f4
1q4k1/5r1p/3pN1p1/1b2p3/1P1b4/2p3P1/P2QPP1P/2R2RK1 w - -,c1c3
rn1qk2r/pbpp1pp1/1p2pn1p/8/1bPP4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,e1g1
4k3/2Rb1p2/4p1pp/4P3/3p4/1P2Q2P/1q3PPK/8 w - -,e3h6
5R2/8/3P2k1/P1p1p1p1/7r/2P5/8/7K w - -,h1g2
1rb1r3/6kn/p2p2p1/2pP1n2/1q2NP1p/2N4P/RP2BQPK/5R2 w - -,a2a4
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq c6,f1g2:d4d5:b1c3
8/8/6p1/2B2p1p/7P/4rkPK/8/8 w - -,c5d6
r2q1rk1/pp2bppp/2npbn2/2pNp3/P3P3/2PP1N2/BP3PPP/R1BQR1K1 b - -,f8e8
1kr5/1q3b2/8/1prp1p1p/7Q/2P1P1P1/1P1K1P2/RR3B2 b - -,c5c4
rn1r2k1/pb3p2/3bpq1p/4N3/P1Q4p/2N5/1P2BPPP/R4RK1 w - -,e5g4
8/8/5k2/R7/1K2N3/1B3p2/8/2r5 b - -,f6g6
r4rk1/1p2bppb/p3pn2/2p1N2p/2BPP3/1PP2PB1/6PP/R2R2K1 w - -,a1c1
3r1qk1/pB3p1p/P2rp1p1/2p5/2Pb1P2/6PP/1PQ1R2K/1R6 w - -,h3h4
1r6/5p2/8/6PB/2ppp3/3k2K1/6P1/4R3 w - -,h5f7
r3kb1r/pppnpppp/4qnb1/8/2NP1BP1/2N4P/PPP1BP2/R2QK2R b KQkq -,f6d5
1b1q1nk1/p3rpp1/2R4p/pP1Bp3/4P3/P3Q2P/5PPN/6K1 w - -,h2g4
r1b1r1k1/1p2qppp/2pp4/p1n5/2PN4/6P1/PPQ1PPBP/3R1RK1 w - a6,f1e1
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PPP3/1PN2NP1/P4PBP/R1BQ1RK1 b - e3,e5d4
3nrrk1/pppq2bp/3pb1p1/1P1NppBn/2P1P3/3P2P1/P2QNPBP/2R2RK1 b - -,c7c6
r4rk1/1b1nqppp/2pb1n2/pp2p3/2PpP3/PP1P2PP/1BQNNPB1/R4RK1 b - -,b5b4
r4rk1/ppp1qn1p/1n1p2p1/8/P1PP1RP1/6B1/1PQ1B2P/5RK1 w - -,f4f6
8/6p1/4K3/6k1/pP1B4/7P/8/2b5 w - -,b4b5
3r2k1/4r3/p2N1npp/2p2p2/2P1pP1P/1P2P1P1/P2RK3/3R4 w - -,d6e4
r1bqkbnr/1p2pp1p/p1np2p1/2p5/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq -,d2d3
8/5Q2/5p1k/r7/5KP1/8/8/8 b - -,a5a6
r1q1r1k1/pppb1pb1/3pnnpp/8/2PNPP2/2N3PP/PP4BK/1RBQR3 w - -,c1e3
r1b2rk1/pp2qppp/2n2n2/2bp4/8/1PNBPN1P/P4PP1/R1BQ1RK1 b - -,c8e6:f8d8
r2q1rk1/pb2bppp/1p2pn2/3nN1B1/3P3Q/3B1N2/PP4PP/R4RK1 b - -,a8c8
