k5r1/2p5/p2p3B/3P4/2P5/2R2KN1/8/r7 w - -,h6c1
3rr1k1/1pp2pp1/1p2qn2/6Qp/2bPpP2/P1P4P/1PBB2P1/R3R1K1 w - -,f4f5
r2q1rk1/pp3p2/2n1bp1p/2bpp3/8/2NP2P1/PP1NPPBP/R2Q1RK1 w - -,d2b3
2r3k1/4b2p/4Pp2/3p1B2/1p6/1P6/2PK2P1/4R3 b - -,g8g7
8/1p3Rk1/p1p3p1/2P5/1P2Pp2/P7/6P1/5bK1 b - -,g7f7
r1b1q3/ppp3kp/n4rp1/5pN1/1PPQ4/P4NP1/4PKBP/R7 b - -,c7c5
2r5/pp2n1pp/1b1nkp2/4p3/8/1NP3P1/PP1NKP1P/3RB3 w - -,f2f3
2r2rk1/pp1qppbp/3p2p1/2n5/2P5/4P1PP/PPQB1PB1/1R3RK1 b - -,b7b5
8/2K5/4k3/4p2p/4P2P/5N2/5b2/8 w - -,c7c6
r6r/1N1b1pk1/p4np1/P2Pp2n/4P2p/2N3P1/1P2BP1P/R3K2R w KQ -,b7c5
4k3/4r3/4BK1p/1p6/2p2P2/1p6/7P/1R6 w - -,f4f5
1R6/2r1kpp1/p1P1p3/3n4/r3pP1P/7P/2R1PKB1/8 b - -,d5f4
5r1k/p4pp1/2n5/2p2r1p/P2b1B2/3P3P/2P3PN/1R3R1K b - -,c6b4
8/1p1r1pkp/pR1p2p1/2nP4/P1Br4/1P6/2P3PP/R5K1 w - -,c2c3
6k1/1R3p1p/6p1/p7/5r2/1B5P/6P1/6K1 w - -,b7a7
r4rk1/ppq1ppbp/1n4p1/4Pb2/3P3Q/1B3N2/PP3PPP/R1B2RK1 b - -,e7e6
r1bqk1nr/pp3pbp/2npp1p1/2p5/4PP2/2NP1NP1/PPP4P/R1BQKB1R w KQkq -,f1g2
8/2q1r2k/2P3p1/2Q1Np1p/p2P3P/4P3/K5P1/8 b - -,e7e6
rr4k1/3n1ppp/p2n4/2pPpPN1/P3P3/3B2P1/4K2P/1R5R b - -,c5c4
1r5r/p2kbpp1/2p1p3/2PpP1Pp/3P1P2/B2b3P/P5B1/RR4K1 w - -,b1b2
r5k1/1b3ppp/1p1B4/1r2P1b1/2Np1P2/6P1/Pp5P/1R1R2K1 b - f3,g5d8
3rn3/2pr1p1k/1pR1p1pP/pP2P1P1/P1RB1K2/4P3/8/8 b - -,d8b8
3qr3/1b3kp1/p3p2p/1p1pP3/5r1P/4QP1B/PPP5/1K5R w - -,e3f4
5r1k/1p5p/1nb1n1pq/3pPpb1/3P1P2/1P1BB1N1/3Q2RP/7K w - -,f4g5
2rqkb1r/5ppp/pn1pb3/1p2p1Pn/4P3/1NN1BP2/PPPQ3P/2KR1B1R w k -,b3a5
1r4k1/p3ppbp/3p2p1/2p5/2PP4/Pq4P1/2Q2P1P/B4RK1 w - -,c2b3
1rr3k1/p2n1ppp/3bp1n1/1p1p4/1P1P4/2PB1P2/P2BN1PP/R3R1K1 b - -,c8c7
4rrk1/pb1q2bp/1p1p2p1/2pPpp2/1P3P2/P2P2P1/1B1QP1BP/1R3RK1 w - -,e2e4
7k/pR5p/r5p1/8/3p1r2/P2R1P2/1P3P1P/6K1 b - -,a6b6
6k1/8/BB2b1pp/P4p2/2r5/2b3P1/3p3P/5RK1 w - -,f1b1
2b2r2/1p2qpkp/3p1np1/p7/3Q4/1PN3P1/P3PPBP/3R2K1 b - -,e7e5
1r3rk1/3Rbppp/p7/2p1P3/N1p5/P3B2P/1Pb2PP1/R5K1 b - -,c2a4
3qr1k1/2rn1pbp/1p2pnp1/pN1p4/2P1P3/4BP2/P2QB1PP/1RR3K1 b - -,c7c6
8/8/8/3b2p1/3pk3/6P1/5K2/3B4 w - -,d1f3
1r6/Q2bp3/p2q1rpk/2pP1p2/2R5/3B3P/P4PP1/3R2K1 b - -,b8c8
1r2r3/p1n2pk1/1p1p1n2/2pP1Bq1/P3P2p/1R2R3/1P2NPPK/3Q4 b - -,c7d5
3r1rk1/p1p3pp/bp2p2q/4Pp2/2P1pPn1/1P2P1P1/PBQ4P/R2R1NK1 b - -,d8d3
8/p2b4/1p1k1p2/3p2p1/1P1P2P1/P3KP2/4B3/8 b - -,d7e8
5k2/p7/2BPP3/6pp/4K2b/8/P7/8 b - -,g5g4
b3r3/1qR1rpbk/p5p1/P3n2p/3N4/1NQ4P/5PP1/2R2BK1 b - -,e7c7
rnbqkbnr/ppp1pppp/8/8/2B5/2N5/PPPP1PPP/R1BQK1NR b KQkq -,g8f6
K1Q5/P7/1Q6/8/8/k5q1/8/8 b - -,g3g2
8/5p2/6k1/r7/6KP/4R1P1/8/8 w - -,e3e8
r1bqr1k1/p4pb1/2pp1npp/4p3/2P1P3/P1N1BN1P/1P2QPP1/R2R2K1 b - -,g8h7
8/Br2k3/p1rp1p2/R3pP2/2b1P3/1Bn5/1KP4R/8 b - -,e7f8
r1bq1rk1/p2n1pbp/4p1p1/3pP3/Np1P4/1B6/PP2NPPP/2RQK2R w K -,e1g1
8/p2kn3/1p1pp3/5p2/2PP1P2/B2KP1rr/P1R2R2/8 w - -,c2e2
2q5/k3n1b1/7p/4p1p1/1R2Q1P1/P4PP1/KP6/8 w - -,b4a4
4b3/b3k2p/4P1p1/pp1K4/4PN2/P4NP1/1P5P/8 w - -,f3d4
4r3/2b2pkp/p1N3p1/P7/1PR1p3/4P3/4K1PP/8 w - -,c6d4
8/5pk1/p1b1p1p1/2P5/1P4KP/pB6/5PP1/8 b - -,g7f6
1r6/3P1k2/p5p1/6B1/4pp2/2p5/6PK/3B4 b - -,e4e3
r1b2rk1/1p2bp1p/p3p1p1/q3n1P1/3NB3/2P1B3/PPQ2P1P/R3K1R1 w Q -,c2e2
r1bq1r2/pp3pk1/2p1n1pp/2p5/4P3/2NP1N2/PPPQ1RPP/5RK1 w - -,c3e2
3r2k1/p2rb1pp/1p2pp2/1N1n1n2/1PNP4/P3B3/5PPP/2RR1K2 b - -,a7a6
rn1qk2r/1p1bbpRn/p2pp3/8/3NP3/2N1B3/PPPQ1P2/2KR1B2 b kq -,b8c6
2brr1k1/6qp/1ppp2p1/p1n2p2/P1PQPP2/1PN5/2BR2PP/3R3K b - -,f5e4
3r2k1/1p2r1qp/p1npp1p1/5p2/2P1PP2/1PNQ2P1/P5KP/2RR4 w - -,d3e3
r1bq1rk1/pp3pbp/2pp2p1/2n3B1/2PNP3/2N5/PP1QB1PP/R4RK1 b - -,g7d4
r3k2r/pbq1bpp1/1pp1p2p/2Pn4/3P4/3B1N2/PPQB1PPP/R4RK1 w kq -,b2b4
r1b1k2r/ppq1bppp/2p2n2/2n1p3/8/1PN1P1P1/PBPPQ1BP/R3K1NR w KQkq -,e3e4
8/7k/7p/1P4q1/4p1Q1/P5K1/5P2/8 b - -,g5b5
4r3/3n4/1p1Ppkp1/pP3p1p/PPN5/6P1/5K1P/3R4 b - -,a5b4
r1bq1rk1/1p3pb1/2np1npp/4p3/2P5/2NP2P1/4PPBP/1RBQNRK1 b - -,f6d7
rnbqkb1r/pp1p1pp1/4pB1p/2p5/3P4/2P2N2/PP2PPPP/RN1QKB1R b KQkq -,d8f6
8/8/7R/p2r1k1P/P1K5/8/8/8 b - -,d5e5
rr2b1k1/1p2q1pp/n1p1pb2/p1PpNp2/3P1P2/PP1N1BP1/2Q1P2P/R4RK1 b - -,a6c7
r1q1r1k1/pp1nppbp/2p2np1/P7/3PP3/4BNPP/1PQ2PK1/RN3R2 w - -,b1d2
rnbqkbnr/pp2pppp/3p4/8/1P1QP3/8/P1P2PPP/RNB1KBNR b KQkq -,b8c6
1rb4r/ppNnpk1p/2p2q1n/8/2Pp4/3P4/PP2Q1PP/RN2KB1R w KQ -,b1d2
r3kb1r/1ppq1p2/p2p1nnp/3Pp1p1/4P3/3Q1NN1/PPP2PPP/R1B2RK1 b kq -,d7g4
8/p1k4p/4p3/5p2/1pK2P2/8/P5PP/8 w - -,c4b4
6k1/6n1/3qprp1/3pR1N1/2pP3P/2P3P1/6K1/4Q3 b - -,d6b6
rnb2rk1/pp4bp/5n2/1P1p1p1q/P2PpPp1/2N1P1P1/4N1BP/1RBQ1RK1 w - -,c1a3
3r2k1/1b4p1/p1q2p1p/4p1n1/2P5/3R4/PPQ2PPP/4BBK1 b - -,d8d3
8/8/5k2/r6p/p5pP/R5K1/8/8 w - -,g3f4
4RR2/3r2pk/1p5p/p1n4P/2bp4/6P1/PP1B4/6K1 b - -,g7g5
6k1/4bpp1/p1n1q2p/1p6/2nrNB2/P1N5/1PP1Q1PP/1R5K w - -,b2b3
r2qrbk1/5p1p/b1Pp1np1/ppn1p3/2P1P3/1P2BNNP/P1B2PP1/R2QR1K1 b - -,d8c7
r1bqr1k1/pp3pbp/n2p1np1/2pP4/4PP2/2NB1N2/PP4PP/R1BQ1RK1 w - -,f1e1
r4rk1/1b3ppp/4p3/n1p1P3/p7/P4N2/BP3PPP/R2R2K1 w - -,a1c1
r2q1r1k/ppp1npp1/3p3p/3Pp3/4P1b1/1BP2N1P/PP3PP1/2RQR1K1 b - -,g4h5
r2q1r2/pb6/1pn1pPkp/3p4/3P4/PN1Q4/1P5P/2R2RK1 b - -,g6f7
r1b1k2r/pp1n1ppp/1qn1p3/3pP3/1b1P4/3B1N2/PP2NPPP/R1BQK2R w KQkq -,c1d2
r2q1rk1/1p1bbppp/p1pp1n2/2n5/2PQP2N/1PN3P1/PB3PBP/R3R1K1 b - -,f6g4
7k/2R4p/5p2/4p3/3b4/3PP1P1/Br3P1P/6K1 b - -,d4e3
