8/4B3/pK6/1p3k2/1P5p/2P5/1P6/5b2 w - -,e7h4
r3r1k1/1p1nbppp/p1p1pn2/2Pp4/1P1P1Bb1/2N2NP1/1P2PPBP/R3R1K1 b - -,g4f3
5nk1/p1q1ppbp/1p4p1/1Pp1P3/P1N2P2/1Q2PP2/1B5P/3r2K1 w - -,b3d1
1nr1k2r/1p3ppp/p2b4/P2pp3/1P1P4/2PB3P/3B1PP1/R3K2R w KQk -,d4e5
r7/3Pk2p/1b2ppp1/pp6/3R2P1/1P5P/1P2BP2/6K1 w - -,d4d2
r1b1k2r/p3b2p/2p1pp2/3q2p1/3P4/2Q2NB1/PP3PPP/R4RK1 w kq -,f1e1
2r1k1r1/2qbbp2/p2ppn1p/1p2n1pP/3NP1P1/PBN2P2/1PP1Q2B/2KR2R1 w - -,d1d2
r4rk1/pp3pp1/2pbp1b1/q7/3Pn1P1/3NP3/PP2QPB1/R1BR2K1 w - -,f2f3
8/ppQ2nk1/2p3pp/8/3qP3/3B3P/P1P1K1P1/8 b - -,c6c5
r2q1rk1/3bpnbp/1p1p1pp1/pNpP4/PnP1P2P/2B3P1/1P3P1N/R2QRBK1 b - -,f8e8
2R2bk1/5pp1/4p2p/3pP3/3P4/4B1PP/r4P2/5K2 w - -,f1e1
8/1b3k2/p3n3/Pp1pPppp/1P2pP2/2B1P1PP/3N1K2/8 w - -,d2b3
8/8/8/3B1pp1/6pk/4K3/5P2/8 w - g6,f2f4
4k3/7p/3R4/6BP/1r3K2/5P2/8/1b6 w - -,f4g3
r1b1r1k1/ppqn1pbp/2ppn1p1/8/1PP1P3/2N1B1PP/P1NQ1PB1/R3R1K1 w - -,f2f4
r3q1k1/1b1n1ppp/p2bpn2/8/N2N4/1P1BP2P/3BQPP1/2R3K1 b - -,d7e5
R4bk1/5ppp/pr2p3/2N5/8/4P3/P5PP/6K1 b - -,b6d6
1rbqr1k1/1p3pbp/p2p1np1/2pP4/P3PP2/2N2Q2/1P1N2PP/R1B2RK1 w - -,a4a5
8/7p/2R2pk1/6p1/6P1/1r3K2/8/8 w - -,f3g2
7k/p4p1p/1p6/2pN2P1/P3K3/1n6/8/8 b - -,h8g7
r3rbk1/p1n2ppp/1p6/3nPP2/1P6/P5P1/1B5P/3R1QK1 w - -,f1f3
r1b1k1nr/ppq3pp/2n1pp2/3pP3/2pP2Q1/P1P2N2/2P1BPPP/R1B1K2R w KQkq -,g4g3
1r2qrk1/pp3ppp/b3p3/4P1bn/3N4/1QN3P1/PP3PBP/2RR2K1 w - -,c1c2
r1bq1rk1/1p1nbppp/2p1pn2/p2p4/2PP4/1P3NP1/P1QNPPBP/R1B2RK1 b - -,a5a4
8/1B2npkp/1p2p1p1/p1r1P3/6P1/P6P/1P2RK2/8 b - -,g6g5
r1b3k1/pp1p1p1p/2n1p1p1/2q1P3/1b6/2n3Q1/PPP1NPPP/2KR1B1R w - -,e2c3
4n3/2rb2kp/1R1p2p1/4pp2/1NB5/1P3PP1/4PK1P/8 b - -,g6g5
r1b2rk1/ppq1p1n1/2p4Q/3pp3/3P1P2/2P3PP/PP1N1P1K/R4R2 w - -,f4e5
r1bq1rk1/1p3ppp/n3pn2/2P5/2p5/Q4NP1/P3PPBP/RN3RK1 w - -,b1d2
8/8/K1N5/1Bbk4/P7/2r5/8/8 w - -,c6b8
rn1qbrk1/pp2b1pp/1np1pp2/8/2pPPB2/P1N2NP1/1P3PBP/R2Q1RK1 w - -,d1e2
r3r1k1/1pB2pp1/pPp1qnbp/3p4/3R2P1/1Q2PP1P/PP2BK2/2R5 w - -,d4d2
r2r2k1/4bpp1/2bppn1p/p7/1q2PP2/1BN5/1PP1QBPP/3RR1K1 w - -,g1h1
1r2r1k1/pbn4p/3p2p1/2pPqpQ1/1P2P3/P1p2BP1/2N4P/4RRK1 b - -,f5e4
5rk1/2rb1p1n/pq2p1pp/1p1pP3/3N1PP1/3BPQ1P/PP6/2R2RK1 w - -,c1c7
8/3n1pkp/4p1p1/8/8/5BPP/1r3P2/4R1K1 b - -,d7c5
r1b2rk1/p1q1npbp/4p1p1/1pppP3/3N4/3P2P1/PPP1QPBP/R1B1RNK1 b - -,c5d4
r1k2b1r/2pbnpp1/1pp4p/4P3/p1P1N1P1/1P3N1P/PB3P2/R4RK1 w - -,e4g3
4b3/p4kp1/2P1pnq1/3p1p2/2PP1P2/1P2PBP1/1B2K3/7Q b - -,e8c6
r1b4r/pp2kpp1/2p1pn1p/q3P3/7Q/3B4/PPP2PPP/R1B1K2R w KQ -,c1d2
rn1qk2r/p2pbppp/bpp1pn2/8/2PP4/5NP1/PPQBPPBP/RN2K2R w KQkq -,e1g1
r1b2rk1/pp3ppp/2n1pn2/q7/3P4/P1P2N2/3BBPPP/R2QK2R b KQ -,f6e4
3R4/pp3pk1/2p3p1/3q3p/3P1Qpb/1PP5/P4PP1/4R1K1 b - -,d5d8
2kr3r/pbp1qpbp/np1p1np1/1N1Pp3/1PP1P1PP/4BP2/P2QN3/R3KB1R b KQ -,c8b8
r1b2rk1/1p1n1pbp/p2p2p1/n2P4/Pqp1PP2/2NQB1N1/RP2B1PP/4K2R w K -,d3c2
8/4b2r/4kp2/2p2R2/2p1P2p/2P5/1PK2P2/7R w - -,h1h3
8/3n4/pp1Pkp2/1b5P/1P2NB2/4KP2/8/8 b - -,a6a5
8/8/p2b4/4kpp1/P1P3p1/1N2P3/5KP1/8 w - -,f2e2
r1bk1b1r/1p3pp1/p4n1p/4pN2/4P3/2N5/PPP3PP/R3KB1R w KQ -,e1c1
rn1qk2r/pbppb1pp/1p2p3/5p2/2PP4/P1P2NP1/4PPBP/R1BQ1RK1 b kq -,e8g8
rn2r1k1/pb1qppbp/1p4p1/3p2B1/3P4/2N3P1/PP1QPPBP/2R1R1K1 w - -,h2h4
6k1/p7/1p2p1pb/3nP1P1/4N3/P4BBK/1r6/8 b - -,h6f8
8/6k1/4q3/3b2pp/1Q6/6P1/5P2/6K1 w - -,b4a5
r1bqr1k1/p4ppp/1pn2n2/2pp4/3P4/P1PBPN2/1B3PPP/R2Q1RK1 w - -,d4c5
8/3r4/pB2kp2/Pp2p3/1P2n1Pp/1p2K2P/1R2B1b1/8 b - -,e4g5
2n1rrk1/2q2p2/p2p1Qpp/1p1P4/4N3/1P2R3/1P3PPP/3R2K1 b - -,e8e5
3r2k1/5p2/P3b1p1/8/1P2Pp2/2QB1P1p/2P3q1/2K2R2 w - -,c3d2
2r3k1/5pbp/p3pqp1/1p1p4/3NnP2/2P1Q1P1/PP5P/1KR1R3 w - b6,a2a3
r2k4/p6p/R7/3P1p2/PP4p1/3KB1P1/5P1P/4r3 b - -,e1b1
r3r1k1/pppnqpbp/2bp2p1/8/3BPP2/2N2B1P/PPP2QP1/3RR1K1 w - -,b2b4
r1b2rk1/pp2bppp/4pN2/7q/8/3B2P1/PPQ1PP1P/R1B2RK1 b - -,e7f6
4r1k1/5p1p/B5p1/2pb4/P3pqP1/2b4P/2P1Q1P1/3R1NK1 b - -,c3d4
r1b2rk1/5p2/p1p3p1/1p1nb2p/8/P4PN1/1PPB2PP/2KR1B1R w - -,c2c4
8/5p2/4p1p1/1p2P3/pP1p1P1k/P3qQ2/3K4/8 w - -,f3e3
5rk1/5pbp/2npbp2/qB1Np3/4P3/2P1N3/1P3PPP/Q3K2R w K -,a1a5
2R3k1/7p/6p1/4Kp1n/P7/4N3/2P4r/8 b - -,g8g7
rnbqk2r/ppp1b1pp/4pn2/3p1p2/3P4/5NP1/PPP1PPBP/RNBQ1RK1 w kq -,b2b3:c2c4
6k1/5p2/7B/1p6/4P3/P5PP/1Kb2r2/8 b - -,c2e4
1rbqkbnr/p1pn1ppp/4p3/1p6/3P4/1P3NP1/4PPBP/RNBQ1RK1 b k -,a7a6
r2qk2r/3nbppp/p3pn2/1p4N1/8/2N3P1/PPQ1PPKP/R1BR4 w kq -,c3e4
8/8/2R2bk1/2R5/2pr3r/5P2/1P4K1/8 w - -,g2g3
r3k2r/ppq1bppp/2n1pn2/2pp3b/4P3/1BPP1N1P/PP1NQPP1/R1B2RK1 w kq -,f1e1
5nk1/pr1p2p1/3Pp2p/2p1Pp2/7P/5QP1/Rq3P2/R5K1 b - -,b2b6
1r1q1rk1/1Q1bpp2/3p2p1/pp1P3p/7P/1P4P1/P1R1PPB1/R5K1 w - -,b7a7
r2q1rk1/ppp1p1bp/6p1/3P1b2/2P5/2N3P1/PP3PB1/R2Q1RK1 w - -,d1d2
2rqr1k1/1b1n1ppp/p1pbpn2/1p6/3P4/1PNBPN2/PBQ2PPP/2R2RK1 w - -,c2e2
2rqr1k1/pp1nppbp/2b3p1/8/8/1PN1P1P1/PB3PBP/2RQ1RK1 w - -,d1e2
3r1k2/4Rpp1/1p4b1/7p/7P/1B4P1/P4P2/6K1 w - -,e7b7
rqr3k1/1p1bppbp/2np1np1/1N6/p3P1P1/1BN1BP2/PPPQ3P/2KR3R w - -,c3a4
2rr2k1/pq3pbp/1p2pnp1/2n5/2NN4/PP2P1P1/1B3P1P/1QR2RK1 w - -,b3b4
r1q1n1rk/1p1b2bp/p2p1n1B/2pPp3/2P1N2N/7P/PP1Q1PB1/R3K1R1 w Q -,e1c1
r1b1kb1r/p1q2pp1/1pn1p1p1/3pP3/5B2/2P2N2/PP1N1PPP/R2Q1RK1 w kq -,f1e1
5rk1/6p1/8/6r1/R6p/2PPPp2/1P3N1P/6K1 w - -,g1f1
8/1pr1kp2/2pR1P2/p1P1P1K1/P7/8/7r/1R6 b - -,e7e8
2r1r1k1/p1nR1p2/2P1pbp1/q1P4p/2Q1BP2/6P1/P4B1P/1R4K1 w - -,e4g6
