3Q4/p4k2/1pp3r1/8/3R4/P6P/1q4PK/8 w - -,d4d7
r1bq1rk1/pp2n2p/3p1npb/3pppN1/1PP1P2P/2N1BP2/P3B1P1/R2QR1K1 w - -,c4d5
8/1p4p1/p2R3p/4n1k1/4rp2/P5PP/1P1B1K2/8 b - -,e5c4
8/6k1/Pq3p2/7p/4p1p1/6P1/4QP1P/6K1 w - -,e2a2
1r4k1/n1Q2pp1/4p2p/r1p5/pqP1N3/6P1/PP1R1P1P/2R3K1 b - -,b8c8
3r4/p2k2bp/1p5p/5p2/1PPp4/PN1K2P1/7P/4R3 b - -,d8f8
2r1k2r/2qbbpp1/p2p1n2/1p2pPNp/2n1P3/1PNB4/P1P1Q1PP/2BR1R1K b k -,c4b6
3rr1k1/pb1nqppp/1ppbpn2/3p4/2PP4/1PN1PN2/PBQ1BPPP/3RR1K1 w - -,e3e4:h2h3:e2f1
8/8/N1bk2p1/8/1p1p3p/P2P3P/2P2KP1/8 w - -,a6b4
r2q1rk1/pp1nbpp1/3p3p/3Pp3/5PP1/3QB2P/PPP3B1/R4RK1 b - f3,e7f6
1r4k1/5p2/4p1pp/p2rP1P1/Q2P3P/5N2/5P2/6K1 b - -,h6h5
4r3/1p3b2/2p2kpp/2Pp1p2/p2N3P/1P1N1BP1/P4K2/8 w - -,b3a4
3k4/3n1p2/2K4p/4P1p1/5P1P/P1p5/8/1R6 w - -,f4g5
rnq1k2r/pp2npp1/2p1p3/3pPbPp/2PP3P/1QP1BP2/P7/R3KBNR w KQkq -,a2a4
r2qkb1r/1p1npppp/2p5/p4b2/P2PP3/2N2P2/1P4PP/R1BQKB1R b KQkq e3,f5g6
8/8/p4rk1/8/7P/8/4Kp2/5R2 b - -,a6a5
r4rnk/pp1q4/2p1bp2/3p2QP/3N4/P7/1PP1BP2/2KR2R1 w - -,g5g6
6rk/8/5Rb1/p2pP3/P2P2pp/1P6/4KP1P/8 b - -,h8g7
r3r1k1/3bbppp/pq1p1n2/2nP4/1ppNPB2/2P2QNP/PPB3P1/R3R2K w - -,e4e5
2rqr1k1/1b3pbp/ppn3p1/2ppn3/3P4/P1P1P1BP/1P1N1PP1/2RQRBK1 w - -,d4e5
2R5/8/p7/4p3/r1P2k2/8/6P1/6K1 b - -,e5e4
r1bq1rk1/pp2nppp/4pn2/2ppN3/2PP4/P1PBP3/2Q2PPP/R1B1K2R b KQ -,d5c4
3rrqk1/1ppb1pbp/3p2p1/1Pn5/2QBPP2/2N3PP/2P3B1/3RR1K1 w - -,d4g7
4q1k1/r4p1p/p2b1pb1/1p1p1B2/3P3N/1R3Q1P/P1P2PP1/6K1 w - -,g2g3
1q2r1k1/1b1n1ppp/ppr2n2/3p4/1Q1P4/1P2PN1P/P1R1NPP1/2R3K1 b - -,c6c2
6k1/p4pp1/6bp/2q1P3/3B4/P6P/1P1Q2PK/8 b - -,c5d5
r2qr1k1/3n1p1p/p4bp1/3P4/1p6/1N3Q1P/PPP3P1/1K2RB1R w - -,f1d3
2r5/3pk1p1/R3p3/2P3P1/4KP2/2P5/8/8 w - -,c5c6
r1qr3k/pp4bp/2n1B1p1/4pp2/3P4/B1P3QP/P3NPP1/1R1R2K1 b - -,c8e6
6k1/p3bpp1/4p2p/8/1pqP4/1N2P1P1/PP3PP1/2Q3K1 b - -,c4a6
r1br2k1/pp3ppp/1qn1p3/2npP3/3N1P2/2N5/PPPQ2PP/1K1R1B1R b - -,c5e4
3n2k1/2n2ppp/1P2p3/2B5/1PN5/2b3P1/5PBP/6K1 b - -,c7d5
1r2r1k1/1p6/2nqb2p/1QP1p3/3pBpp1/P2P2P1/3N1P1P/R4RK1 b - -,d6d7
2r5/2r1k2p/p3p1p1/1p1n1p2/7P/PN1B1KP1/1P3P2/1R6 w - f6,b1e1
2r1r1k1/1b3p2/2p1qnp1/pp2b2p/4P3/P1NBBPP1/1P2Q2P/2RR2K1 w - -,e2f2
r2q1rk1/1p2nppp/2n5/p2p1b2/3P4/1Qb2NP1/PB2PPBP/R2R2K1 w - -,b2c3
8/8/3n1pk1/6p1/3KP3/6P1/5R2/8 b - -,d6f7
1rbq1rk1/p3n2p/3p2p1/1Np2p2/1P2PP2/P2PB3/3N2BP/b2Q1RK1 w - -,d1a1
3r1r2/4q2k/pN4p1/P1pP1n1p/4pR2/2Q1P1P1/7P/5RK1 b - -,f8f7
r2q1rk1/ppp2ppp/2nbpn2/3p1b2/2PP4/4PNB1/PP1N1PPP/R2QKB1R w KQ -,f1e2
r2qk2r/pp1nbppp/2p1pn2/3p3b/2PP4/1PN1PN1P/P3BPP1/R1BQ1RK1 w kq -,c1b2
2kr3r/p2q1p2/bp1p2pp/n1pPp2n/2P1P3/P1PBNPP1/2QB3P/R3K2R b KQ -,h5g7
r2qkb1r/pb1ppp1p/1pn2np1/8/2Pp4/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,f3d4
6Q1/2kqp3/p1n2p1B/2P5/1P6/7P/6P1/6K1 w - -,g8c4
r4rk1/p1q1bppp/2p2n2/1pn1p1B1/4P3/3B1N1P/PPP1QPP1/R2R2K1 w - -,c2c3
8/p1bQ1pkp/1qp2p2/8/1P2r3/PN4P1/5P1P/2R3K1 b - -,c7e5
8/1p2k1b1/8/4p1P1/1p2Np2/2P2P2/1r6/3R2K1 w - -,c3b4
8/5k1p/p3nq2/1p1Q4/4PN2/6P1/P4PK1/8 b - e3,a6a5
r1bq1r2/pp1nppkp/3p2p1/3P4/8/2P3PP/PP1QNPB1/R4RK1 b - -,d7f6
2r1r3/1p6/pB2b1pk/5p1p/P2RBP2/2P3P1/1P5P/R5K1 b - -,f5e4
3r3r/pk1q1ppp/1pb1p3/n2pPnPR/P1pP4/2P1B2Q/1PBNKPP1/R7 b - -,f5e3
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -,g8f6:a7a6:d7d5
r3k2r/1bqnbppp/p3p3/3p2P1/1p2PP2/1N1PB2Q/PP2N2P/1K1R3R w kq -,d1c1
r1bqkb1r/pppn1pp1/4pn1p/3p4/3P3B/3BPN2/PPP2PPP/RN1QK2R b KQkq -,f8e7
r1bqrnk1/pp2Bpp1/2p4p/3pN3/3P2n1/2NBP3/PPQ2PPP/4RRK1 b - -,d8e7
4r3/4Pp2/3p1Pp1/2p4r/pkP1R1K1/1p1P3P/1P6/R7 w - -,a1f1
r1bq1rk1/ppp1p1bp/6p1/3P4/2P1n3/2N3B1/PP3PBP/R2Q1RK1 b - -,e4g3
r3q1k1/2p2ppp/2p1p3/Rn6/3P4/3NP1P1/2Q2P1P/6K1 w - -,a5a8
2r5/1b3pk1/5bp1/p6p/3pqN1P/3Q2P1/BP3P1K/3R4 b - -,c8c2
1r3bk1/p1p2r1p/1npp2p1/4p3/4P2P/1PN2PB1/P1P3P1/2KR3R w - -,d1d3
r4rk1/1p2pp2/1np3p1/p2pPn2/P2P1Q2/1BNR3q/1PP3N1/R5K1 b - -,h3h5
8/3R3p/7r/4B3/P3kP1P/7K/8/6r1 w - -,a4a5
r1bqk2r/pp1pppbp/1nn3p1/2p1P3/3P4/1BP2N2/PP3PPP/RNBQ1RK1 b kq d3,c5d4
r4bk1/2p2pp1/1pPp1q1p/3P4/p4B2/7P/PP1Q1PP1/4R1K1 w - -,f4e3
r3kb1r/pp1n1ppp/2p1pn2/q4b2/2B5/2NP1N1P/PPP2PP1/R1BQR1K1 b kq -,f5g6
2r5/1b2bpk1/3p2p1/4p3/2r1P2P/2p2BP1/NP1R1K2/4R3 w - -,a2c3
r4rk1/pp2bppp/1qn1b3/2ppP3/5B2/2P2N2/PPQ1BPPP/R3R1K1 b - -,f8e8
8/8/6k1/8/pR6/1p5P/3K4/2r5 b - -,c1h1
r1bq1rk1/ppppb1pp/4Pn2/1Nn2p2/2P5/5NP1/PP2PPBP/R1BQ1RK1 b - -,c5e6
8/6K1/5P2/p2Bk3/P3P3/8/8/1n6 b - -,b1c3
r1b2r1k/pp2q2p/2p5/3p1p1R/3P1P2/PPN1P3/2PQ4/2K3R1 w - -,c1b2
3k4/5pp1/2pb2p1/3p2Pn/N1pP2KP/P2rB3/1P2RP2/8 w - -,e2d2
6nk/p1q1p1bp/1p2Pr2/1Pp4Q/2N5/3r3P/P5Bp/4RR1K w - -,c4e5
1r1q1rk1/1bp1bppp/p3pn2/1p6/1npPP3/2N1BNPP/PP3PB1/RQ1R2K1 b - -,b4d3
1rb2k2/5pp1/1pB1p2p/pPb1N3/P1P2P2/5KP1/7P/3R4 b - -,c5e7
8/6k1/1R6/6p1/8/7P/P5PK/4r3 w - -,h2g3
3r2k1/1p3p1p/p2qb1p1/1p1p3P/1QnNp3/4P1P1/5PB1/R1R3K1 w - -,b4d6
rnb1k2r/pp3p1p/4pp2/q7/2NP4/P3P3/2p2PPP/R2QKB1R w KQkq -,c4a5
4rrk1/pp1n1pp1/1np4p/3qN3/3PBR2/1P2R3/P1Q2PPP/6K1 b - -,d5d6
r1bqk2r/ppp3b1/3p2pn/3Pp2p/4Pp1P/2N2P2/PPPQBBP1/2KR3R b kq -,e8g8
R3rbk1/2qb1p2/2pp1npp/1p2n3/3NPBP1/2N4P/1PP1QPB1/4R1K1 b - -,e8a8
