8/7k/R6P/P1r4K/6p1/7P/8/8 w - -,h5g4
8/4pkrp/3p4/2pP1p2/1p1n1P1P/1P4P1/P4K2/4RB2 b - -,g7g8
8/6p1/1p1k1nBp/4p3/1PP4P/5K2/6P1/8 b - -,f6d7
r1b1r1k1/ppq1bpp1/2pp1nnp/4p3/2PPP3/1PN1BN2/P1Q2PPP/R3RBK1 w - -,a1c1
r1b2rk1/pp2bppp/2n1pn2/7q/2B4Q/2P1BN2/PP1N1PPP/R3K2R w KQ -,h4h5
8/r5k1/p2p2p1/P1r5/Rp6/2bB2P1/2P2PK1/7R w - -,h1h4
3r3r/k1qn1p1p/pp2p3/1Pp3p1/4PP2/R5PP/2P1Q1BK/1R6 b - -,a6a5
1r3rk1/1p3pp1/p6p/4Pb2/2NB4/8/P4PPP/R3b1K1 w - -,a1e1
5k2/8/5P2/2pKN3/2P1r3/8/8/8 b - -,e4e2
5k2/pp6/4R3/8/8/1KP5/P4rPP/8 b - -,f2g2
r3k2r/pp3ppp/1n2p3/4Pb2/8/1BP1B3/P3KPPP/R6R b kq -,a8c8
6k1/p6p/1p2pBp1/2qbPpQP/P1n5/2P2P2/3r2P1/1B2R1K1 w - -,g1h1
r3knr1/ppp1n1p1/2b1p2p/4P1pN/2BP4/7N/PP3PP1/2KRR3 w q -,f2f3
r5k1/4q1b1/4bpp1/p1prp3/4P1NP/2Q3p1/PPP5/1K2RR2 w - -,g4f6
6Q1/p4p2/1p3P1k/4r1n1/7p/8/P5PK/8 w - -,g2g4
r1b1k2r/1pqnppb1/p2p1npp/8/3NPP1B/2N5/PPPQ2PP/2KR1B1R w kq -,f1e2
r1bq1rk1/pp1pbppn/2n4p/2pQP3/8/2N1B3/PPP2PPP/2KR1BNR b - -,d8a5
2r2rk1/p2b2pp/3q4/3ppP2/P1p5/1PnQNR2/2P3PP/R5K1 w - -,d3c3
r1bq1rk1/1ppnppbp/p1np2p1/8/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,f4e3:d1d2
2r3k1/pb2b1pp/1p1pPrq1/8/2PB4/PP1R1PQ1/R4P1P/5BK1 b - -,f6e6
8/R6p/4rkp1/2p5/P3B1PP/bP3K2/8/8 b - -,h7h6
r4k1r/pR3ppp/2q1b3/2pn4/8/2NQ1N2/PP3PPP/R1B3K1 w - -,d3b5
8/3KP2p/7B/5p1b/8/3k4/2p2PP1/8 w - -,d7e6
5r2/r2b2k1/1b1p2p1/pPpPp2p/R1P5/3B1PP1/3N2K1/R7 w - -,a1a3
4r1k1/5pb1/1Bp3p1/4p1Pp/p1P1Pn1P/2N2b2/PP3P2/3R2K1 w - -,d1d6
3r4/kqp2p2/p1bp3p/2p1r1pP/4P3/QP1N1P2/P1P3P1/1K1R3R b - -,e5e8
8/6k1/5pp1/p3b2p/3pKN1P/3B2P1/1P6/3b4 b - -,g7h6
b7/p1B4p/P7/1Pp2kp1/5p2/7P/2r2P2/R5K1 b - -,g5g4
1kr5/pp3p2/8/3NP2P/5Nn1/P7/KP6/8 w - -,e5e6
r2qk2r/1p2bp2/p1np4/2pBp1pp/4P1b1/1P1P2N1/PBP2PPP/R2Q1RK1 w kq -,d1d2
4k2r/1bq3pp/p1nBp3/4Pp2/1pP2Q2/1P1r4/P4PPP/2R1R1K1 b k -,c7f7
2rq1rk1/p2nbppp/bp2pn2/2ppP3/2PP4/1PNQ1NP1/P4PBP/R1BR2K1 b - -,d5c4
4rrk1/pp1q2bp/2n1bpp1/3p4/3P4/2PB1N2/PPQ3PP/R1B2RK1 b - -,e8c8
3r1r2/ppp5/1n1pkp1p/6pP/3RP1P1/2P2P2/PPK1B3/3R4 w - -,b2b4
1Q6/3q1ppk/8/pp6/1np2B2/3b1B2/5PP1/6K1 w - -,b8e5
6kb/r2R1p2/6p1/7p/p7/4B1P1/1r3P1P/6K1 w - -,d7a7
3rqnk1/1p4b1/rp1p2bp/3PpBp1/2N1P3/P2Q2P1/1B3P2/2R2RK1 w - -,c4e3
2R5/p2r3p/P7/4P3/8/1kp1K2P/8/8 b - -,c3c2
r4r2/p1q2pk1/1n2b1pp/2p5/6n1/5N2/PPQNBPPP/R2R2K1 b - -,c5c4
8/Bb5p/p2k2p1/4b3/4P3/3BK2P/P5P1/8 b - -,d6c7
4r1k1/1pp2p2/p3qnp1/4p2p/P1P1P3/BP2Q1P1/5P1P/3R2K1 w - h6,g1g2
3qr1k1/1p2rpp1/p1p1p1np/P1Q5/1RPP1P2/6B1/1P4PP/4R1K1 w - -,h2h4
1k5r/1P1q1ppp/3bp3/p7/1n2B3/4B2P/P3QPP1/2R3K1 w - -,a2a3
r1b2rk1/ppp3bp/3p4/3Pp1q1/1PP2p2/6PP/P1Q2PB1/1RB1R1K1 w - -,b1b3
5n2/p3qk2/1pb1pn2/2p2ppp/2P5/P3PP2/1PQ1BNPP/4B1K1 w - h6,e1c3
8/8/8/1K6/5Q2/1P4p1/6k1/8 w - -,b5c4
1b5k/7p/P5p1/8/1rp1P3/4N1PP/RP4K1/8 b - -,b8a7
r6k/1p5p/3p2p1/1p1b1p2/1P1P1P2/P6P/2B5/4R1K1 w - -,e1e3
R7/P6k/3p4/r2Pn2p/8/6P1/2K1B3/8 w - -,e2h5
2r3k1/1p3r2/5p2/2nRpPpp/p3P3/P1B2KPP/4R3/8 b - -,c5b3
6k1/1p4p1/4pr1p/pb1pN3/3P4/PP2P3/6PP/2R3K1 b - -,f6f8
1rb2rk1/2qnbppp/pp1pp3/5P2/P2QP3/2N1B3/1PP1B1PP/3R1R1K w - -,f5e6
8/r7/6pp/2k5/2p1BnP1/1pPnK3/1P3N2/1R6 b - -,a7e7
3k4/8/3pR2p/3Pb3/8/2p3PP/4B1r1/3K4 b - -,c3c2:g2g1
r6r/ppp2pk1/6p1/6P1/5P2/1P1B1b2/P1PR4/2K1R3 b - -,a8e8
5k2/R5pp/2prn1b1/1p3pP1/2P5/7P/P7/4RBK1 w - -,c4b5
8/1k1n4/2p2p2/2P2P2/P2B1P2/3K4/8/8 w - -,d3e4
6k1/5pb1/6b1/6Q1/p1qrp1N1/PpB2p2/1P6/K5R1 b - -,c4d5
4r2k/1p2q2p/p1p5/5Qn1/8/2PB4/PP4P1/5R1K b - -,h8g7
6k1/2p1q1pp/p1p3n1/1pN5/4P3/2Q1B3/PPP3PP/3b2K1 w - -,c3b3
4rrk1/5pp1/p2qp1p1/1p1p1nQ1/2nP4/P1PN1P2/1PN1R1PP/4R1K1 b - -,d6d8
r1b2rk1/1p1p2pp/p1n1p3/2P1qp2/Nb1Nn3/4BB2/PP3PPP/R2Q1RK1 w - -,d4c6
7k/1p3pp1/3N2rp/p7/P1Q5/2P1q3/2P5/2KR4 w - -,c1b2
6k1/p4ppp/1p6/5P2/1Nr1P3/Pn1K1P2/R4QP1/2q5 b - -,c1c3
8/8/8/K7/5pP1/3k1P2/3r1P1R/8 w - -,g4g5
3rk2r/pppq1pb1/2n1p1pp/2Rb4/1P6/3PBNP1/P2QPPBP/2R3K1 b k b3,a7a6
3q2rk/6pp/1p1P4/p3Q3/2R5/P6P/6PK/8 b - -,d8b8
2r2rk1/pp1q2b1/3p3p/3P1b2/1Q2N3/2N1RPP1/PP5P/R5K1 b - -,a7a5
r1bqk2r/pp1nbp2/2n1p3/3pP1pp/1P6/P1N2NBP/2P2PP1/R2QKB1R w KQkq -,d1d3
6k1/8/4p2P/4P3/4BB2/2p4r/4K3/8 b - -,g8h8
r3q3/2p2r1k/2Np2n1/1NnPp1b1/2P1P1p1/5pP1/2Q2B1P/RR3K2 w - -,b5c3
4rbk1/5ppp/q7/n1p1N3/P3P3/2P4P/Q4PPB/4R1K1 b - -,c5c4
r3k2r/p3qp2/2p2npp/1pb1p3/4P1P1/1B1R1QNP/PPP2P2/4K2R b Kkq -,a8d8
8/3k1p2/p1n5/1pP2Ppp/1P2K3/P3N3/6PP/8 w - -,e3d5
3r1rk1/3nppb1/2b3p1/2p5/4P3/3N1NPP/qP1R1PB1/3QR1K1 b - -,a2a8
2rqr1k1/pb3ppp/1p2pn2/8/3PPQ2/5N2/P4PPP/1B1RR1K1 b - -,d8c7
8/3b4/5N1k/4p3/4B2K/8/7P/8 b - -,d7e6
r1b1qrk1/ppp3b1/n2p4/4pPp1/2PP4/2N2N2/PP2BPP1/R2QR1K1 b - -,c7c6
2r3k1/q4p1p/3p1p1Q/2p3N1/4P3/3PN1P1/2b4P/6K1 w - -,e3f5
rn2kb1r/pbp2ppp/1p2pq2/8/2PP4/2PB1N2/P4PPP/R1BQK2R b KQkq -,b8d7:h7h6
5rk1/5pp1/p1b4p/1p2P1N1/8/2p3P1/PP5P/2KR4 w - -,g5h3
5k2/p1p2ppp/1p1p4/3P3q/2P1P2r/1P2QPr1/PB1K1R2/5R2 b - -,f7f6
rn1q1rk1/1p3pbp/p3b1p1/P2Np3/8/1N1BB3/1PP1QPPP/R4RK1 b - -,e6d5
8/pp2rk1b/n1p4p/2Pp2p1/P2R1P1N/6P1/5K2/2R5 w - g6,h4f3
4Brk1/5ppp/p7/3pP3/3R1n2/b4P2/5P1P/4R1K1 b - -,g7g5
r2q1rk1/1b2bppp/1np1pn2/pp6/2pPPB2/2N2NP1/PPQR1PBP/3R2K1 b - -,b5b4
1r3r2/3bppkp/1q1p1np1/nppP4/4P3/1PN2PN1/P2QB1PP/2R1K2R b K -,h7h5
