8/8/1Kp5/2P5/2k3r1/8/3R4/8 w - -,d2d6
r6k/3R3p/p3B1p1/8/P3P3/3b2P1/6KP/5r2 b - -,f1f6
rr3bk1/2p3pp/2p1b1q1/N1PnNp2/P2PpB2/7P/1P1Q1PP1/R3R1K1 b - -,g6f6
1r3k2/2r2p1p/2Ppp1p1/8/2P2Pn1/6P1/6BP/1R2R1K1 b - -,b8b1
3R4/pp2rp2/2p2kpp/8/2P1P3/4KP2/PP6/8 b - -,f6e6
3r4/3rkppp/pp1pp3/8/PnP1PP2/1PN3P1/3R1K1P/3R4 w - -,f2e3
5rk1/1ppq1p2/r1n2n1p/p1b3pb/2Pp4/1P1P1NPP/PBNQ1PBK/R3R3 b - -,d7d6
2rk4/3b1p1p/p1r1p1p1/1p2P3/2pK1P2/PP1B4/2R3PP/2R5 w - -,b3c4
8/2Q4k/5npp/BBpp1p2/3b1P2/4q1P1/7P/5K2 b - -,h7h8
1r2r1k1/3b3p/3p2p1/p2P4/5p2/2PQpP1P/P4qPK/1R2RN2 b - -,d7f5
5rk1/5pp1/4p2p/1q1r4/8/1R2Q1P1/P4P1P/5RK1 b - -,b5a4
8/7p/R7/5kp1/P2r1p2/7P/5P2/6K1 w - -,g1g2
8/1bb5/p3kp2/2P1p2p/1PN4p/2N2PP1/4K3/8 w - -,g3h4
2R5/8/p4k2/1p2p3/1n1p2P1/6P1/1P1K4/8 b - -,e5e4
6R1/8/8/3K4/5k2/4bp2/5n2/8 b - -,f2g4
8/1pp2p1k/p1n1rnpp/4pN2/4P3/2P2N1P/PP3PP1/3R2K1 w - -,f5g3
r2qk2r/pbpn1p2/1p1pp2p/6p1/2PP4/2P1P1P1/P2NBPPR/R2QK3 b Qkq -,d8f6
3qk1nr/1Qr2pp1/p1nbp3/1pp4p/5B2/3P2P1/PPP2PBP/R4RK1 w k -,g2c6
7Q/p3kqB1/6p1/2p5/4p2P/P3P3/3p3K/8 w - -,g7h6
r1b2rk1/p1qnppbp/1p1p1np1/2p5/P2PP3/N1PB1N1P/1P3PP1/R1BQR1K1 b - -,c8b7
q5k1/2bn1pp1/2p1p2p/p1P5/3PB3/P5P1/3B1PKP/1Q6 w - -,e4h7
2k2r1r/pp2n3/2n2N2/3ppbB1/2p4P/P1q3P1/2P2PB1/R2Q1RK1 w - -,f6d5
6b1/1pk5/2p2p2/p3p1p1/P1P1PnP1/1P2KP2/2N1B2r/1R6 w - -,e2d3
1b1r3k/1p1P3p/p2N4/P1Q2p2/4p3/4P1qP/1P4P1/3R3K b - -,d8f8
3r3r/1kqn1pb1/1p1ppnpp/pPp5/N2PP1PP/P1P1BP2/3QB1K1/2R4R w - -,a4b2
rn1q1rk1/pp2bpp1/2ppbn1p/8/2PQ4/2N2NP1/PP2PPBP/R1BR2K1 w - -,e2e4
3q1rk1/p1r2p1p/4p1p1/3pP3/3P4/2N1bB2/PP2Q1PP/5RK1 w - -,e2e3
6k1/3r2pp/1qp5/p3p3/Pp1bQ3/7P/1PP2rP1/R1N2RK1 w - -,f1f2
3r1rk1/1ppqn1pp/p1pbbp2/8/2N1P3/2Q1BN2/PPP2PPP/3R1RK1 w - -,e3c5
r4rk1/ppbnqppp/2pn4/3p2P1/1P1P3P/P1NBPQ2/3B1P2/2R1K2R b K -,d7b6
r2q1rk1/pp3ppp/2nbb3/1BBp1n2/8/1NP2N2/PP3PPP/R2Q1RK1 w - -,f1e1
5n2/5ppk/2R1p2p/4N3/P3nP2/1P1Br1P1/7P/1R4K1 b - -,f7f5
rq3rk1/pp3p2/3b2pp/3Pp3/6Q1/6N1/PP3PPP/2R1R1K1 b - -,g8h7
8/4r3/p4kp1/1p1np2p/2q2p2/P1P2NP1/1P1Q2P1/4R2K w - -,g3f4
8/8/5p2/3p4/3B1pk1/8/5KP1/8 w - -,d4f6
6k1/1p1r1rp1/pB1P1nqp/5p2/P3pP2/Q7/1P4PP/2RR2K1 b - -,g8h7
8/p7/1p1n1k2/2rPp1p1/PRP2rRp/3BKP1P/8/8 b - -,e5e4
3q1rn1/1p4nk/p2p3b/3P1p2/4pP1p/1PQ1N1P1/P2BBRKP/8 w - -,c3d4
5Bk1/3r3p/p3Qpp1/P6q/1P3P2/8/7P/4R2K b - -,d7f7
8/8/4k3/p7/P2PK3/2R5/7P/8 w - -,c3c6
r3r1k1/pp2bppp/2qp1n2/2p5/2P5/1P1RBN1P/P1P1QPP1/2KR4 b - -,b7b5
8/1b2rpk1/1Q1p2pp/Pp2p3/1q2Pn2/1N5P/3N1PPK/4R3 b - -,f4d3
r2r4/p3qppk/1pnpbn1p/4p3/1PP1P3/3BBN1P/PQ3PP1/2RR2K1 b - -,a8b8
8/3Q4/1p3pk1/p5p1/2P4p/1P2q2P/P5P1/7K w - -,h1h2
r2qr1k1/2p1n1N1/3bp1np/1p2p3/1P1pP3/P2P1N2/2RQ1PPP/R1B3K1 b - -,g8g7
8/8/4NK1k/6p1/6P1/4bP2/8/8 b - -,e3d2
rq2k2r/pb2p1b1/1p1p2p1/2nN4/2P1P2p/4BBP1/PP1Q3P/2R1K2R w Kkq -,e4e5
3r1r1k/1pp1q1pp/2n5/p1p1p3/P3Pnb1/2P1QN2/1P1N1PPP/R3RBK1 b - -,b7b6
6k1/7p/1p1qp1p1/p4p2/3Pn2Q/5N1P/2r2PP1/3R2K1 b - -,a5a4
rr3bk1/2p2ppp/p1p1p3/4P3/P1QP1B2/5qP1/1P3P1P/R2R2K1 w - -,d1d3
2n3r1/3R4/p5qk/1p2Q1p1/1P5P/P7/1B4P1/7K w - b6,h4g5
2k5/bppqr1p1/p2p4/3Pp2p/NQ2P1nP/PNR3P1/KPP1R3/5r2 w - -,b3a5
rnb2rk1/pp4bp/1np2qp1/3Ppp2/P3P3/1PN3P1/4NPBP/R1BQK2R w KQ -,c1a3
8/5pkp/p3p3/6P1/r5K1/8/P6R/8 w - -,g4f3
r3q3/p2r2pk/2pBp2p/2p1PpbP/8/8/PP2QP2/1K1R2R1 w - -,f2f4
5rk1/3qb1pp/6r1/1ppbP3/3p1P2/1P3N2/1R1BQ1PP/2R4K w - -,c1g1
1r1q1rk1/pb2npbp/1p1p2p1/2p1p3/1PPn4/P1N1N1P1/3PPPBP/1RBQ1RK1 w - -,e3d5
r4q1k/p1pbbrnp/1p1p1ppQ/3Pp3/2P1P1PP/1N1B1NR1/PP3P1K/6R1 w - -,g3h3
4rr2/Bpqb3k/2pp3p/5p2/2P2P2/3Q2PP/Pb4BK/3R1R2 w - -,d3d6
2k1rq2/pppbr2p/1n1p1np1/3P1p2/PQ3P2/2N2N2/1PP1BPP1/2KRR3 w - -,a4a5
4r3/p5k1/1p4rp/2p1p2R/5pP1/P1PP1P2/5K2/7R b - -,e8e6
5bk1/2q1pp2/p3n1pp/P2pP3/1B1P4/Q4NP1/5P1P/6K1 w - -,b4c5
7k/R6p/1p6/4bp2/1P2p3/3nB2P/P1r2PB1/5K2 b - -,f5f4
2b1r1k1/3pqpp1/3p3p/7Q/3P4/1B3P2/5PKP/R1n5 w - -,a1c1
6kn/1p1b2b1/8/rp1PpP2/4Pp1q/B1NQ1p1p/1R3P1P/6RK w - -,a3b4
5r1k/6q1/8/3Q4/3bN1p1/6Pp/5P1P/4RK2 b - -,g7e5
rn1qkb1r/pp2ppp1/2p2n1p/3p1b2/3P1P1B/2N1P3/PPP3PP/R2QKBNR b KQkq f3,d8b6
r3kb1r/1bqn1ppp/p2ppn2/1p6/4PP2/1NNB4/PPPBQ1PP/R4RK1 w kq -,a1e1
8/6k1/R7/1p4pR/2p2nP1/2P3K1/PP5P/3r4 b - -,d1d3
r1b3k1/1p5p/pn4p1/8/3NP3/3B4/PP4rP/2KR3R w - -,d3c2
8/6R1/ppr2p2/2p2k1r/2P1b2p/1P6/P6B/2K2R2 b - -,f5e6
rn2kb1r/1b1p1ppp/p4q2/1Pp5/8/4PN2/PP3PPP/R1BQKB1R b KQkq -,f8d6
r4nk1/pb2bpp1/1p2p2p/5N2/2P2q2/2B5/PPB1QPPP/4R1K1 b - -,f4g5
4b3/4k3/2pR4/p1N1P3/P2K4/r7/8/8 w - -,d6h6
2n5/p7/1pP2kpp/1P3p2/1BBpbP2/P5P1/3K3P/8 b - -,e4b1
8/5kp1/8/P2p1PK1/6N1/8/8/r7 w - -,g4e5
2r3k1/6b1/R6p/2pbn1p1/2p5/2P1B1P1/7P/4RNK1 w - -,f1d2
r2q1rk1/1p1bb1pp/pnn1pp2/3pP3/1P1P1P2/P2QB1N1/3N2PP/1R2KB1R b K -,c6a7
r1bqrbk1/pppn1p2/3pp2p/6pn/3P4/2PBPNB1/PPQN1PPP/R4RK1 w - -,h2h3
