8/8/p5R1/1kp5/8/7r/1K6/8 w - -,g6g4
r1b2rk1/pp1nqppp/2p1p3/8/2BP4/2R1PN2/PP3PPP/3Q1RK1 b - -,e6e5
8/6k1/1p4R1/p6p/Pr1P4/7P/2B5/6K1 b - -,g7f7
4r1k1/1p1Rbp1p/p1pn1p2/P7/4p3/2N1P1P1/4BP1P/6K1 b - -,g8f8
8/P1pk4/1n1p3p/3Pp3/2P1N3/8/4K3/8 w - -,e2f3
1r1qkb1r/3n1ppp/p1p2n2/3p1p2/2PP4/2N1P2P/PB2BPP1/R2QK2R w KQk -,a1b1
r4rk1/1bq1bppp/p2ppn2/1p6/3BPP2/P1N1QB2/1PP3PP/R4RK1 b - -,e6e5
8/8/8/8/4bpR1/1p2k3/1K2P1p1/8 b - -,e4d5
4rk2/ppp2ppp/5n2/4N3/5P2/P7/1PP3PP/3R2K1 w - -,d1d4
8/8/4k3/8/8/5K2/2p2B1r/2R5 w - -,c1c2
2r3k1/R2n1p1p/3b1np1/3p4/P2B2P1/3NP2P/r4P2/1R3BK1 b - g3,c8d8
8/3k2B1/5p2/1p2r3/1PbK4/2P2P2/8/R7 b - -,e5d5
r2k1bnr/pp1n1ppp/2p1b3/4p3/2P5/1PN1P3/P4PPP/R1B1KBNR w KQ -,c1b2
2br2k1/5p1p/p5p1/q1P5/1r1b2P1/2N1Q3/PP2B1PP/3RK2R w K -,d1d4
8/2K5/1p6/p1p2kpp/Pr6/1P3R1P/8/8 b - -,f5g6
4r3/1p3r1k/4n1p1/1PPNQ1Pp/4P2P/3P4/6K1/8 w - -,d5f6
r2q1rk1/pp1b1pbp/n2p1np1/3Pp1B1/4P3/2N2P2/PP1QB1PP/R3K1NR w KQ -,g2g4
6k1/R5b1/8/2Np2KP/8/7P/6r1/8 w - -,g5f5
5r1k/7p/p2p4/3Nbqp1/1PPp4/3Q1PP1/6KP/3R4 b - -,f5f7
2rqr1k1/5pp1/1pn2n1p/p1b5/P1bpPB2/3P3P/1P1NB1P1/R1RQ2K1 w - -,c1c4
8/p1p1kB1p/4P1p1/Npp2b2/1P1n4/4KP2/P6P/8 b - b3,d4c2
7k/1pp1r2p/1pnp1qrP/1N2n3/1P2P1pR/P1Q2pP1/1PB2P2/1K1R4 w - -,d1h1
r1b4r/pp6/2p2k2/6R1/2B2q2/1Q3N2/PP3P1P/1K6 b - -,c8f5
4brk1/pp4pp/3RNp2/6P1/7P/8/PP3P2/6K1 b - -,f8f7
8/bpk5/p1p2Q1p/P6P/1P4P1/1BP1p3/3q1PK1/8 w - -,f6f4
3r1nk1/p2rqpp1/1pp4p/5R2/2PP3P/PP3Q2/1B4P1/5RK1 w - -,f3g3
r4rk1/ppp2qp1/3b3p/3pn3/PP3P2/1QP5/3N2PP/RBB2bK1 w - -,d2f1
8/p2R3p/p2p1k2/2p2Pp1/6P1/P1Pr4/8/7K w - -,d7h7
2r2nk1/pbrnqppp/1p1p4/4pP2/1PP1P3/PQ4P1/1B1N2BP/2R1R1K1 w - -,d2f1
8/1p2ppk1/3p1n2/q1r3p1/2P1P1P1/1P2QP2/4B1K1/7R b - -,a5a2
8/1p2r1p1/p1pNk1p1/2Pn1p2/PP1R2PP/8/3K1P2/8 b - -,e6e5
rnbqk2r/1p2bppp/p3pn2/8/3P4/P1N1BN2/1P3PPP/R2QKB1R w KQkq -,f1d3
2bq1rk1/6b1/p2n3p/1p1BpPpP/3p2N1/3R2P1/PPP2Q2/1K1N4 b - -,g8h8
r1bqk2r/2pnnpb1/p2pp1pp/1p6/BP1PP3/2N1BN2/P1P2PPP/R2Q1RK1 w kq b6,a4b3
8/1Q6/K1P5/P3q3/k7/8/8/8 w - -,b7b6
r1q1r1k1/p1pb1pb1/Ppnp1npp/1B2p3/4P2B/2PP1N2/1P3PPP/R2QRNK1 w - -,h4f6
r2q4/pN1nrpkp/2p1b1p1/3n4/3P4/3B1N1P/PP1Q1PP1/4RRK1 b - -,d8b6
r1b1kb1r/1pqn1pp1/p2pp3/6Pp/3NP1nP/2N1BQ1B/PPP2P2/R3K2R w KQkq -,g5g6
r3r1k1/pp1q1pp1/2n2np1/3p4/8/P4P2/1PP1NBPP/R2Q1RK1 w - -,d1d2
8/8/8/4rk2/8/3K4/3Q4/8 w - -,d2a2
3r3k/5pbp/3p2p1/pq2p3/1pN1P2P/1P1Q2P1/P4P2/3R2K1 w - -,d3d5
8/pN6/2p3p1/4p1p1/2K2kN1/1P3r2/8/8 w - -,g4f6
r1nr1bk1/3n1pp1/3Pp2p/p6P/1B2NQ2/3R1NP1/1q2PPK1/2R5 w - -,b4a3
r1n5/4b2p/2k2p2/p3p1p1/b2NP3/3R1P2/1N4PP/4BK2 b - -,e5d4
r1bq1rk1/p1pn1ppp/1pnp4/4p3/2PPPP2/P1PB4/2Q1N1PP/R1B2RK1 b - f3,c8a6
r2q1rk1/1b4bp/p5p1/1pnppp2/1N2P3/PPP3P1/1R1NQPBP/R5K1 w - f6,a1d1
1r4k1/p2b1ppp/B3p3/n1R5/8/5N2/P1P2PPP/6K1 b - -,b8b1
b7/R4pp1/4pk2/pB5p/P1P1n3/7P/6P1/7K b - -,e4g3
r1b1rqk1/1p3pbn/2pp2p1/p1n4p/2P1PP2/1PN2NPP/P1Q1RBBK/4R3 w - -,c2d2
q1rr2k1/p4ppn/1p3b1p/4p3/2B3P1/1PB1PN1R/P4P1P/5QK1 b - -,b6b5
2r5/5pk1/r2p4/1N1p4/PqN1PP2/1P3PPp/2Q4K/2R5 w - -,e4d5
4rk2/1pp2p2/p4q1p/3r2p1/3n4/6Bb/PP1Q1PP1/R2B1RK1 b - -,h3f5
r2qr1k1/pbpnbppp/1p6/3p4/2PP1B2/5NP1/P1Q1PPBP/R3R1K1 b - -,c7c5
8/2r1k2p/1R2p1p1/4N3/5PB1/p6P/r5P1/6K1 w - -,b6e6
r3kb1r/pb1npq2/4N1pp/3p1p2/Ppp2B2/5QN1/1P3PPP/R3R1K1 w - -,a1d1
2rr2k1/1p1nbpp1/p2p1n2/P2Pp2p/2P1q3/1N4P1/1P1BBP1P/R2RQ1K1 b - c3,e4g6
8/r4qk1/P2pRp1p/2nP2p1/3Q1P1P/3B2P1/7K/8 b - -,g5f4
rnbq1rk1/1pp2pb1/3p1npp/p2Pp3/2P1P3/2N1B3/PP2BPPP/R2QK1NR w KQ a6,h2h4
6k1/2R3p1/2P5/p7/5PP1/rP3K2/8/8 w - -,c7b7
8/1R4p1/5p1k/5P1p/1p6/6K1/7P/1r6 w - -,h2h3
r1b4r/pp2q1k1/3p4/2pPnp2/2P2N2/2NB3P/PP1Q2P1/5RK1 w - -,c3e2
3r1rk1/pb1nqppp/1p1bpn2/2ppN3/2PP4/1P2P3/PBQNBPPP/R4RK1 w - c6,d2f3
2r1k3/1pn1pp1p/3p2p1/p1r5/P1P1PP2/1PN3P1/3RR1KP/8 w - -,g2f3
1R6/8/2P1pk2/6p1/2r3K1/4PB1P/2b3P1/8 w - -,g4g3
r5k1/1pp2rpn/p2p2q1/2PPpnp1/1P2Q3/3N2NP/P4PP1/3RR1K1 b - -,a8f8
rn1qkbnr/pp1b1ppp/4p3/2ppP3/1P6/P4N2/2PP1PPP/RNBQKB1R b KQkq b3,c5c4
3r2k1/1p1rnpp1/p3b2p/3p4/3R3N/1P2P3/P3BPPP/2R3K1 w - -,d4d1
r3r1k1/pp1Rn1p1/4Pp1p/8/P5N1/2P5/5PPP/R5K1 b - -,e7f5
r4rk1/pp3pp1/2n2n1p/3p1b2/1qpP1B2/5NP1/PP2PPBP/R2Q1RK1 w - -,d1c1
r1r5/1p2p1Nk/6p1/7p/np2P3/1q2B3/6PP/1R1R2K1 w - -,b1b3
6k1/1bpnqppp/1p1p4/3Pp3/1PP1P3/2BQ1N2/5PPP/r5K1 w - -,c3a1
r1r4k/pp3p1p/3pp1pP/6PB/2b1P3/P1N2P2/1PP2K2/R6R b - -,g6h5
8/8/3r1kpp/2r2p2/2P1p2P/6P1/4BP2/1R3K2 b - -,f6e5
8/pp1Rb3/4B2k/1P5p/2p1Pp2/5n2/P7/5K2 b - -,e7b4
r2qk2r/p1pn1pb1/1p2p1p1/3b2Pp/3P1P1P/4BN2/PPPQB3/2KR3R b kq -,e8g8
1R6/4pr2/2k1p1p1/2PbB3/pP1K1P2/P7/8/8 b - -,f7h7
r1b2r2/pp4pk/7p/2b1np2/8/1BP1N3/PP3PPP/R1B1R1K1 b - -,e5d3
5bk1/p4p2/1p3q2/6r1/4pQ2/PP2P1P1/3R1Pb1/4R1K1 b - -,g5f5
rr3nk1/1p3Pp1/p2p3p/n1p1p2P/2P1PqQB/2PP3B/8/1R2K2R b K -,f4f7
rnbq1rk1/pp2ppbp/2pp1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQK2R b KQ -,b8d7:d8a5
4r1k1/3r2bp/1p2p1p1/p1p2N2/2P2P2/3PN3/PP4KP/3R1R2 b - -,g6f5
5rk1/1r3pp1/4pn1p/2R5/3P4/6PP/2R1NPK1/8 b - -,g7g5
8/4kR2/6P1/4p1K1/8/5P1r/8/8 b - -,e7e6
