1R6/8/5p2/3pk3/7P/3r3P/5K2/8 b - -,d3h3
r4rk1/1b1nbpp1/pq2pn1p/1pp5/4P3/1P1P1NPP/PBQN1PBK/3R1R2 b - -,a8c8
8/5kpp/3Np3/2n2p2/7P/4KPP1/8/8 b - -,f7e7
4r1k1/1R3p1p/p5p1/8/r3p3/2BnP1P1/P3bPBP/1N1n1RK1 w - -,f1d1
1r4k1/p4ppp/b7/2rp4/3N4/1P2P3/P5PP/3RK2R b - -,c5c3
1r4k1/5pp1/3R2p1/4p3/p1N1b2P/2P5/1P4P1/7K b - -,f7f6
6k1/5pp1/6n1/3Q2P1/1pB5/1Pq2P2/P7/1K6 b - -,c3e1
2q1r3/p4k1p/5p1P/1p4p1/2bR1N2/6Q1/P4PP1/6K1 w - -,f4h5
r1bqk2r/1pp1npb1/p2p2pp/8/3NP1nP/2N1B3/PPPQBPP1/2KR3R w kq -,e2g4
6k1/p3r1pp/P2npp2/2qp4/3Q1PP1/2P4P/8/R3R1K1 b - -,c5b5
6k1/1pq1bpp1/p4n1p/P2R4/2N1p3/1P5Q/2r2PPP/R3B1K1 b - -,f6d5
r3k1r1/ppb1npBQ/2p3q1/4pp2/7P/6P1/PP2PPB1/R2R2K1 w q -,h7g6
2R5/r7/Pb3p2/1Bkp4/P1p5/2K5/8/8 b - -,b6c7
8/8/4bk2/8/7K/1r6/1pQ5/8 w - -,c2f2
2r2r2/pp4k1/4bqp1/2pp1p1p/7P/2P1P1P1/PPQ1BP2/1K1R3R b - -,f8d8
2nr2k1/1pq1rpbn/p1p1p1p1/8/PPPPN1P1/1BB1Q3/4RPK1/4R3 b - -,c8d6
r4r1k/p2q2bp/1p4p1/3p4/2pPpPP1/2P3BP/PP2Q1K1/R3R3 b - -,f8f7
1r6/ppk2p2/2r1p1p1/3p4/PR1P2PP/2P5/3K1P2/1R6 w - -,a4a5
8/5R2/8/k7/5p2/5r2/8/4K3 b - -,a5b5
8/1pQ2pk1/p1b3pp/8/8/7P/5PP1/4qBK1 w - -,c7f4
5k1r/5p2/bq2P3/p1b2N2/P7/1pQ1p3/1P2r1B1/5RK1 b - -,e2g2
1r2qk2/R3bpp1/2B1n2r/1P2PQ1p/3p4/5P2/1P3NP1/5RK1 b - -,e8d8
6k1/1b2p1bp/pp2q1p1/2p1Pp2/5P1P/1P2B3/P1P2QP1/3N2K1 b - -,e6c6
r1b2rk1/pp3ppp/2p2n2/8/4nB2/1BP2N2/PPP3PP/R3R1K1 w - -,a1d1
r4rk1/2qnbpp1/p1bpp2p/1p6/4PBP1/2NB1P2/PPP4P/1K1RQ2R w - -,h2h4
8/4k2p/5n2/p1Pb4/3N2P1/6KP/1P6/8 b - -,f6e4
r2qr1k1/p1n2pbp/3p1np1/2pP2B1/Np2P3/3Q1N1P/PP3PP1/3RR1K1 b - -,d8d7
4r1k1/p2bq1pp/1pp5/3p4/3Q4/2P2BP1/PP3PP1/5RK1 w - -,f1d1
2r3k1/1R3p2/p2brPpp/P6q/4P3/P2P1N1P/4Q1B1/7K b - -,c8c1
r1bq1rk1/ppp1n1pp/4pb2/5p2/3P4/2PB1N2/PP2QPPP/R1B1R1K1 b - -,g8h8
3rrbk1/pp3pp1/2p4p/3n1q2/3Pp3/1P4P1/PB2PPBP/2QR1RK1 w - -,c1b1
r1b2rk1/p5q1/2Q5/1p2p2p/6nP/P7/1PP2PP1/R3KB1R b KQ -,c8b7
2k4r/pp3p2/2p1p1p1/2n4p/2PR1PnP/1PN3P1/P4PB1/6K1 b - -,h8d8
r1b4r/1pk3pp/p2bp3/5p2/4B3/4B3/PPP1KPPP/R2R4 w - f6,e4f3
2rq1rk1/1b3pbp/1p3np1/p3P3/3n1P2/PPN1B3/3QB1PP/1RR4K w - -,d2d4
1k1r1b1q/pbpp4/1pn1pn2/8/1PPP2Q1/P3P1P1/1B3N2/R3KN1B w Q -,g4e2
r7/1p3p2/1b2bBpk/7p/p5P1/P4P1P/1P6/2R1RK2 w - -,g4g5
r4rk1/pbqnppbp/1p1p1np1/2p5/P3P3/2PP1N1P/1P1N1PP1/R1BQRBK1 b - -,a8c8
6k1/3n1pb1/4r1pp/5p2/1NpP4/2P2P2/3B1P1P/4R1K1 b - -,e6e1
1r1q1rk1/1ppbnpbp/p2p1np1/P2P4/2P2B2/2N2N1P/1P1QBPP1/R3K2R b KQ -,d7f5
r1r3k1/3R1pbp/4p1pn/p1q1P1B1/5Q2/1P3N2/P4PPP/4R1K1 b - -,h6f5
8/1p6/p3N1k1/P2p4/1P1P2p1/2n2pP1/5P2/6K1 b - -,g6f5
3q2r1/5r1k/1p1p2pP/p3pp2/P1Pn3b/1P3P1Q/3B2RP/3B2RK b - -,h4e7
8/5pkp/4p1p1/8/3P1PP1/3R1K1P/5rr1/3R4 w - -,f3e3
r4rk1/1p3qpp/p1p1bp2/8/1P3N2/P1Q3PP/5bBK/2RR4 b - -,f8e8
rnbqr1k1/1p3pbp/p4np1/2pPp3/P4P2/2N2N2/1P2B1PP/R1BQ1RK1 w - -,f4e5
8/8/3k3p/1P3B1P/1K4P1/8/8/4r3 w - -,b4c4
1r2r1k1/1p1b1pbp/p2p2p1/q1pP4/4PPn1/N1N5/1P4B1/R1BQ1RK1 w - -,f4f5:g2f3
r7/5b2/3kq1p1/2p4p/5Q1R/1P5P/P4PP1/6K1 b - -,d6d7
r1bqkbnr/pp2pp2/2n3p1/2ppP2p/5P2/2P3N1/PP1P2PP/RNBQKB1R w KQkq h6,f1b5
3qr1k1/7p/3p2p1/p2P3n/P3r3/1p6/1P2Q1PP/R3RNK1 w - -,e2e4
r4rk1/pQ3ppp/2BRb3/2p3q1/8/P5P1/1P2PP1P/R5K1 b - -,a8b8
7r/6k1/3p2p1/2pPp1qn/1pP1P3/pP2NKPR/P6Q/8 w - -,f3e2
r1bq1rk1/ppp3pp/2np1n2/4pp2/2P5/2bP1NP1/PP1BPPBP/R2Q1RK1 w - -,d2c3
r4r2/p3ppkp/6p1/qp6/nRpPP3/2P5/P2QNPPP/5RK1 b - -,a7a6
3q1rk1/7p/2n2p2/1p1pp2P/bbpP2P1/4BN2/3NBP2/Q1R4K b - -,d8e8
r1qr3k/4bppp/p1np2b1/1pp1p3/4P3/2PPBQNP/PPB2PP1/2RR2K1 b - -,c8d7
2R2n2/3r1pk1/6pp/8/2B2P1P/5KP1/5P2/8 w - -,g3g4
8/8/1p4B1/pK4kP/P1P5/1P2b3/8/8 w - -,b3b4
2rq1rk1/p3nppp/1pp1p3/3n4/BP1PN3/P4PP1/3Q1P1P/3RR1K1 b - -,d8d7
r1b1r1k1/pp1nqppp/2p2n2/3p4/3P4/2NBPN2/PPQ2PPP/1R3RK1 b - -,f6e4:a7a5
8/Q4p1k/4b1pp/3p4/P7/1P2PK2/2r3PP/5B2 b - a3,c2c3
rqr3k1/1b1nbppp/p3pn2/8/1p2P3/4BP2/PP2NQPP/1BR1R1K1 w - -,c1d1
r2b4/r2q1pk1/3p2p1/p1p1p2p/R1P1Pn2/1PBP3P/3Q1PPK/R2N4 b - -,d7b7
8/3nkp1p/4p1p1/1B1n4/1P1N4/P1R3P1/4PPKP/r7 w - -,c3b3
rnbqkb1r/pp3ppp/4pn2/8/2pP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
r2q1rk1/3bp1bp/3p1np1/nppP1p2/8/PPN3P1/3NPPBP/1RBQ1RK1 w - -,b3b4
2nr2k1/1p1qpp2/p4b1p/P2P2p1/1Q5P/3PB1P1/BP3P2/2R3K1 w - -,h4g5
8/7k/6n1/4p2p/1p2Pp2/1n1B1PpP/1P2Q1P1/2qNK3 b - -,c1c5
2RR4/5pk1/2r5/8/3PK3/8/6p1/8 b - -,c6c8
r2b1rk1/1b3ppp/p2p4/1p1N1q2/2PB2n1/P5P1/1P1QPPBP/2RR2K1 b - -,b5c4
8/5qk1/1p4N1/4r2p/2P5/3B2P1/6QK/8 b - -,e5g5
2k5/2p2ppp/3np3/8/P3n3/3RB1P1/5P1P/7K w - -,f2f3
rr4k1/p1nb1p1p/4p1p1/1P1pq3/8/1QN1P2P/P3BPP1/2R2RK1 w - -,a2a4
r3rbk1/1p3pp1/2q2nbp/p1pNp3/P1PnP3/1PB3PP/1Q1N1P2/R3RBK1 w - -,f1g2
5rr1/pppbkp1p/4nR2/4p3/2B1P3/N1P5/PP4PP/5RK1 w - -,f6h6
8/p1p1Rn2/1p3r1k/7p/PP3p2/2P2K1P/5P1P/6R1 b - -,f7g5
r1bq1rk1/2p1bppp/p1np1n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w - -,f1e1:h2h3:a2a4:b1d2
r1b1rnk1/pp3pq1/2pb3p/3pN2n/3P1P2/2NBP1BP/PP3Q1K/3R1R2 b - -,g7g3
r3k2r/pp1qnpbp/2np2p1/2pNpb2/2P5/3PP1P1/PP2NPBP/R1BQ1RK1 w kq -,e2c3
3r4/pp3k2/2bPprpp/2p5/2P1N2P/4RP2/PP4P1/2KR4 b - -,c6e4
2r2rk1/3b2pp/4pb2/3p1n2/pq1P4/2R1BNP1/1P2QPBP/3R2K1 w - -,c3c8
6k1/pp2r1p1/n1p3bp/2Pp4/P2R4/4NPP1/5K2/2R5 w - -,e3g2
8/5k2/1p2pp2/2p4p/p1nrPP2/P7/1PR1KN1P/8 w - h6,e2f3
8/1R1pk3/1p2p3/1P4p1/2P5/1PK3r1/8/8 w - -,c3b4
