1r6/7p/8/N2k4/P7/4B2P/5P1K/8 b - -,b8b4
1rb3nk/5qrp/3p2p1/p1p1p3/1p2PP2/1P1PQ1P1/P1P1N1BR/2K4R b - -,e5f4
r4rk1/3qppbp/ppp3p1/n5B1/P2PP3/2P2N2/4QPPP/R2R2K1 w - -,a1b1
5r1k/5Np1/1p2Qb2/3R3p/7P/P4qB1/KP6/8 b - -,h8h7
r2r2k1/5pbp/p2nq1p1/1p6/PP1p1Q2/3B3P/2P1NPP1/R4RK1 b - a3,e6d5
rr4k1/7p/2pnbbp1/p1B1p3/1q2P2P/1P3NN1/P1Q2PP1/2R3K1 b - -,b4b5
8/6pp/2R1pkb1/8/p2N4/r5PP/5K2/8 b - -,g6f7
1nbqr1k1/r4ppp/2p2n2/p1bpp3/Pp2P3/3P2PP/1PPNNPBK/R1BQ1R2 w - d6,d2b3
r3k1r1/1b3pP1/p1p1pq2/1p2n3/PbpP3R/2N3P1/1P3PB1/R2Q1K2 w q -,d4e5
1qrr2k1/1b2bpp1/ppnppn1p/8/P1Q1P2B/2N4P/1PPN1PP1/3RRBK1 w - -,c4e2
8/p1n3k1/1p1p1b1p/8/3PKP1p/1B2B3/PP4P1/8 w - -,b3c4
2r3k1/1q1rpp1p/p1b1n1p1/Bp2Pn2/5P2/1PN5/P4QPP/2RR1BK1 w - -,d1d7
r2qk2r/pp3pbp/2nppnp1/8/3P4/1P4PP/PBP1QPB1/RN3RK1 b kq d3,e8g8
r7/2pr2pk/1p1p1pnp/pN1P4/2PPP3/3K4/P4RPP/4R3 w - -,g2g3
Q4rk1/6b1/1p2b1np/1Pp1n1p1/2PpPpP1/1N3P1P/3NP1B1/B3K2R b K -,f8a8
r1b1k2r/ppqp1ppp/4pn2/2b5/2PQ4/6P1/PP2PPBP/RNB2RK1 w kq -,d4d3
8/8/R3pk2/5p2/6p1/6P1/5PK1/3r4 w - -,a6a5
3r1n1r/pk2qp2/1ppBpp1p/8/3P4/5Q1N/PPP2PPP/2KRR3 b - -,d8d6
r4rk1/5p1p/6p1/8/8/P2R1P2/1b3BPP/3R2K1 b - -,a8a3
r1bq1rk1/1p2bp1p/p1p1p1pB/4N2n/P1PP1Q2/3B4/5PPP/1R3RK1 w - -,f4e3
1rr2k2/2nbppbp/3p2p1/3P2B1/1PpqP3/2N2PP1/3Q2BP/1R3R1K w - -,g5h6
5k2/5p2/4p1pp/Ppr5/1R6/P7/5PPP/5K2 w - -,a3a4
rn3rk1/pp4pp/3p1B2/q1p2b2/2P1pN2/2P2P2/P2QB1PP/R4RK1 b - -,f8f6
r2qkb1r/1b1n1ppp/p3pn2/2p5/Pp1P4/3Q1NP1/1P2PPBP/RNB2RK1 w kq c6,c1g5
2b2r2/4R1bk/pp3rpp/8/3p1P1N/2PB2P1/PP4P1/3R2K1 w - -,c3d4
2rr2k1/p4pp1/1pn1pn1p/2p4q/3PP2N/P1PR3P/1B3PP1/4RQK1 w - -,h4f3
2r2k2/2r2ppp/1pR1pn2/pP2N3/P3n3/4PB2/5PPP/R5K1 b - -,e4d2
r2qk2r/pp2npbp/2np2p1/8/2NpPBb1/5NP1/PP3PBP/R2Q1RK1 b kq -,g4f3
2r1r1k1/1q2bp2/pn3npp/3p4/2pN4/2N1P1BP/PPQ2PP1/2RR2K1 b - -,b6d7
3rr1k1/1p3pbp/2pP2p1/P4p2/2BNbB2/q4P1P/Pn1Q2P1/2RR2K1 w - -,d1e1
8/4k1P1/6R1/1p6/4BP2/1P3K2/8/5rr1 w - -,f3e2
r2q1rk1/pp3ppb/2p2n1p/2b1n3/3N4/2N1B1P1/PP3PBP/R2QR1K1 w - -,d4c6
r3k3/1b1pn1q1/p3p1pB/8/1p2P3/1BP1Q1P1/PP2K1P1/5R2 b q -,g7g8
r3r1k1/1pqn1ppp/2p2n2/p3p3/2P1P3/PPN2BPP/1Q3P2/R2R2K1 b - -,d7c5
r3qrk1/1p1bb2p/p3p3/3pPpp1/P1p1n3/2P1PN1P/1PB2PPB/R2Q1R1K w - -,f3d4
2br4/2r1p1k1/3p2pp/p4P2/2P1B2P/1P3P2/PK1R4/2R5 b - -,g6f5
1r3rk1/5p1p/Rbp2qp1/1N2Q3/1P1P1p2/2P5/2B2P1P/5RK1 b - -,f6e5
2b2rk1/4bp2/2qp1n1p/4p1p1/1rp1P3/2N3B1/1PPNQPPP/RR4K1 w - -,h2h4
1rbqk2r/p1p1bppp/4pB2/1p6/3PB3/5N2/PPP1QPPP/R4RK1 b k -,e7f6
r3k2r/ppqnbpp1/2pp1np1/4p3/2PP4/2N1P1P1/PP3PBP/R1BQ1RK1 w kq -,b2b3
8/b7/6k1/8/6p1/5NNp/4K3/8 w - -,f3h2
6b1/1n1P1k2/5p2/5R2/p4P2/4K3/8/8 b - -,f7e7
Q1b2r1k/3nqpp1/7p/5P2/p2P4/2PB4/6PP/1R3RK1 w - -,a8e4
4rbk1/ppr2p1p/4qPp1/4P1BP/2p5/6Q1/P1P3P1/4RR1K b - -,f8c5
r2q1rk1/2p2ppp/p1n1b3/1pbpP3/8/2P2N2/PPBN1RPP/R1BQ2K1 b - -,f7f6
1R6/5pk1/3p2p1/3Pp1Pp/1P2P2P/1p6/q2K4/2R5 w - -,d2d3
7r/pq4k1/1p1prp2/2p1p3/2P3Q1/3P2PP/PP3R1K/R7 b - -,g7f7
2r2rk1/1b3ppp/pq2p3/1p1pP3/3Pn3/QN6/PP2PPBP/2R2RK1 w - -,g2e4
8/8/8/4K3/7Q/6p1/3q1k2/8 b - -,d2a5
r2q1rk1/N4pp1/pp2pnnp/1P6/3P4/5Q2/P2B1PPP/2R1R1K1 w - -,a7c6
4r3/1R2r2R/p3k3/3p4/8/8/1K6/8 w - -,h7h6
2r3k1/pp3p1p/6p1/3r4/2p5/2bPP1P1/PP3PKP/1R1R4 w - -,b2c3
2rn1rk1/pp1b1qb1/2pp2pp/3Np2n/2P2PP1/1P1PPB2/PB1N3K/1R1QR3 b - -,h5f4
4r3/1p5k/pRb1rbpp/P1p1p3/2N1Pp2/2BP1P2/2P3PP/1R4K1 b - -,f6d8
8/ppr2k2/8/4pbp1/8/2P3R1/P1P1K1P1/R1B4r w - -,g3g5
q4rk1/pbrnbppp/1p2pn2/2pp4/2PP4/1P2PN2/PBRNBPPP/Q4RK1 w - -,f1c1
r3k2r/p1bb1ppp/1p6/1Bp5/P1N5/2P1n2P/1P3PP1/R3K2R w KQkq -,c4e3
8/kp6/8/PR1Pp1K1/8/4P2p/7r/8 w - -,g5g4
r1b2rk1/pp1n1pbp/1q1N2p1/8/Pp1p3Q/3P1NP1/1B2PPBP/R4RK1 b - -,b6d6
1rbn1k1r/1p2ppbp/p2p2p1/2pP4/8/NPPBPNP1/1P3PP1/R3K2R w KQ -,a3c4
8/3b4/3k2p1/1p5p/1P1K1P1P/P5P1/4B3/8 w - -,e2d3
2r2rk1/pp1bppbp/2n3p1/8/1QBPP3/4BP2/P3N1PP/2R2RK1 b - -,c6b4
r6k/p2q1rpp/1pp1npb1/2p2N2/P3P1QN/3P3P/1PP2RP1/R5K1 b - -,g6f5
4r1k1/2q4p/p5p1/2PNnp2/3Q4/1P6/P5PP/5RK1 b - -,c7g7
1r2qrk1/p5pp/Q3b3/2b1Np2/5P2/2BB4/PnP1N1PP/R3K2n b Q -,e8c8
r3k2r/1p1bbppp/p1n1pq2/8/2P5/P1Q5/1P1BBPPP/RN3RK1 w kq -,d2e3
2B3k1/p3pp1p/2p1b1p1/8/1p2rP2/6P1/PP5P/R1R3K1 b - -,e6c8
2r3k1/2qn1ppp/2pb4/1r2p3/1P2P1B1/4B3/2Q2PPP/1RR3K1 w - -,c2d3
r1bqk2r/pp2n1pp/1bn1pP2/3p4/1P6/P4N2/1BPN1PPP/R2QKB1R b KQkq -,g7f6
8/8/1r3p2/1P4pp/4k3/6P1/6K1/4R3 b - -,e4f5
8/5r1k/6pp/8/ppq5/4R1PP/5P1K/4Q3 b - -,b4b3
r1bqrbk1/2pp1ppp/p1n2n2/1p2p3/4P3/2PP1N2/PPB2PPP/R1BQKN1R w KQ -,c1g5
8/6Q1/7P/8/8/k5K1/8/6q1 w - -,g3f3
3rq3/2n1pk1p/pNp3p1/2P2r2/1P2QPp1/6P1/P6P/3RR1K1 b - -,c7d5
1rB5/1P5p/8/2p2P2/4k3/2P4P/5K2/8 b - -,e4e5
4nbk1/1p3p2/p1p4p/4PNq1/6Q1/3B3P/PP3P2/6K1 b - -,g5g4
rnbb1rk1/P6p/2p4q/3p1p2/5N2/Q3P3/PP1B1PP1/R3KBN1 b Q -,b8d7
3rrbk1/ppq2p1p/2p2np1/5N2/4PpP1/2PP1Q1P/P4PB1/3R1RK1 w - -,f5d4
6B1/8/8/1R4kp/p2b4/6PK/P2r4/8 b - -,g5h6
rn1qr1k1/3b1pbp/3p1np1/pp1P2B1/2p1P3/P1N2N1P/1PB2PP1/R2QR1K1 b - -,b8a6
R3r1k1/pp3pb1/2p1b1pp/4p3/2P1n2B/5N2/PP2BPPP/3R2K1 b - -,e8a8
r2q1r2/p1nbppkp/1npp2p1/1p2P3/3P4/P1N2N1P/1PPQBPP1/3R1RK1 w - -,c3e4
