6r1/8/1k6/1p6/6P1/P2R3K/8/8 b - -,b6c6
r2q1rk1/p1p3pp/bp2pb2/nN1p4/2PPnB1P/5NP1/PP2QPB1/R4RK1 b - -,c7c6
r1bq1rk1/4npbp/1pn1p1p1/p2p4/P2P4/BPN1PNP1/5PBP/R2Q1RK1 b - -,c8a6
2R5/3b1pk1/1p1n3p/3PbPP1/4p2P/pP6/P3B3/1K3R2 b - -,d7c8
r1b2qk1/4pp1p/p5p1/1ppP4/3bP3/8/P3BPPP/1R1Q1R1K b - -,e7e5
2r3k1/pp1b2bp/5rp1/3P4/n2B4/5P2/PP1qN1P1/K2R1B1R w - -,d1d2
8/8/Rp3kp1/pB1b1p1p/P4P1P/4K3/1r4P1/8 b - -,d5g2
2r2r2/4bk2/Q3ppp1/3p1P2/p7/1qN1P2P/1P4P1/2R2RK1 b - -,g6f5
r4rk1/p2n2pp/2bpp1q1/2p2p2/1PP5/P1BBPP2/2Q2RPP/3R2K1 b - -,d7b6
2r1k2r/2qbbpp1/p2ppn2/1p4Bp/3NPPnP/P1N5/1PP3P1/1K1RQB1R w k -,f4f5
8/5k2/1Br2P2/8/8/p2K4/8/8 w - -,b6d4
5rk1/6p1/p2p2qp/b1pPpr2/1pP1N2P/1P2R1P1/3RQP2/3K4 w - -,h4h5
2rq1rk1/Q2p2pp/b7/p2RP3/1p6/2P3P1/PP3P2/RN4K1 b - -,d8g5
2r2rk1/2q3pp/p7/1P1p4/8/1Qb2N2/4BPPP/2R3K1 w - -,b3d5
2rqkb1r/1p1n1ppp/p2pbn2/3Np3/2P1P3/1N2BP2/PP4PP/R2QKB1R b KQk -,f8e7
r3kb1r/ppq2ppp/1np1p3/4Pn2/N1PP2b1/5N2/PB2BPPP/2RQ1RK1 b kq -,a8d8
2rr2k1/pp2bpp1/2p1pn1p/7P/2PP3R/2BN2P1/PPK2P2/3R4 w - -,b2b3
1r1q1rk1/2n1ppbp/bn1p2p1/1NpP4/4P3/2N1BP2/PP1QB1PP/1R3RK1 w - -,b5c7
2r5/2R2b2/1Bp1qpkp/2Q1p1p1/4P3/5P1P/6PK/8 w - -,c7e7
2rr2k1/1q2bppp/ppbppn2/8/2P5/1PR1PNP1/PB2QPBP/3R2K1 b - -,f6e4
5rk1/1Q2npp1/p5q1/4P1p1/PP1p4/7P/3B3K/3R4 b - -,g6c2
8/2k3pp/8/3P4/8/4K1P1/7P/8 w - -,e3e4
r3r3/ppp2qpk/2np1b1p/5P2/5NP1/3QN3/PP1B3P/R5K1 b - -,c6e5
r4r2/1pp2ppk/5nnp/p1N1p3/P1q1P3/2P1B1QP/1P3PP1/R3R1K1 b - -,b7b6
r1bq1r1k/ppp1p1bp/5np1/3Ppp2/2P5/1QN3P1/PP2PPBP/R1B2RK1 w - -,f1d1
3r1k2/1p1P1pp1/5n2/1r2N1pP/p1p3P1/5P2/PPR5/1KR5 w - -,e5c4
r5k1/1bpq1pp1/p2pr2p/1p6/4P3/1P4QP/P1B2PP1/3RR1K1 b - -,d7e7
6k1/pN4bp/2p1r1p1/P1P2p2/r2p1P1P/3R1KP1/4P3/3R4 b - -,g7f6
8/7K/8/8/8/p7/1k6/3Q4 w - -,d1d2
q5k1/6bp/3p1r2/2p1nQ2/1pP2B2/1P5P/6P1/5RRK w - -,f5g5
8/p1NQpk1p/5pp1/8/2p1P3/q3BK2/r4PPP/8 b - -,a3d6
2q2bk1/5p2/p2p1Bpp/1p1Pp3/4P3/1P4P1/n2Q1P2/5NK1 b - -,a2c1
1nr1qrk1/1p1nbppp/p1p1p3/8/1P1PPB1P/P1N3P1/4QPB1/2RR2K1 b - h3,e8d8
8/6pk/7p/1p6/p4P2/P4R1P/1P1r2K1/8 w - -,f3f2
4k3/4p3/R4p2/7r/4PK2/8/8/8 w - -,a6a7
8/4r3/p6k/2p1R3/P1K1Pp1P/1P3N2/2Pr4/8 w - -,e5e7
2qr1bk1/2r2p1p/4n1p1/PQ2P3/2p2BB1/3p4/P4PPP/3RR1K1 w - -,f4e3
3r4/1p2qp1k/n1p3pb/1bP1p2p/1P2P3/1NQ1P1P1/1N4BP/1R4K1 b - -,e7e6
3r4/Rp3pk1/1p1rp1p1/5nP1/B4P1p/2P2R1P/PP1p2K1/8 w - -,a4d1
r1b1r1k1/1p1nqppp/2p2n2/p2p4/3P4/P1NBPN2/1PQ2PPP/1R3RK1 b - -,f6e4
4kbQ1/2pn1r2/2N1pp2/8/8/3P2P1/P2r1qBP/4R1RK w - -,e1e6
r1bq1rk1/ppn1bppp/2n1p3/2p5/8/P1N1PNP1/1P1P1PBP/R1BQ1RK1 w - -,d2d4
2k2Rrb/1p2p2p/pn2q2P/3pP1P1/3B4/1P3Q2/P1P5/2K5 b - -,c8c7
r4rk1/1p4pp/1q1p4/1P1Ppp2/pP6/Q3bP2/P3B1PP/R4R1K w - -,f1e1
1r3rk1/2qn1pp1/3ppb1p/1Bp5/3Pb3/2P2N2/1PQ2PPP/2R1RNK1 w - -,c2e4
5k2/r4pp1/8/1P5P/5K2/8/7P/1R6 w - -,f4e5
rnbqkb1r/ppp1pppp/3p1n2/8/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -,f1d3:g1f3:b1c3
6k1/5p2/3r1B1p/8/4p3/8/1PP1K2P/8 w - -,f6e5
3r1k2/pp4b1/4pnpp/2p5/4P3/6P1/Pr3PBP/R3RNK1 w - -,g2h3
r4r1k/1bqnbpp1/p3p2p/1p4N1/4B3/8/PPPB1PPP/R3RQK1 w - -,e4b7
rn2kb1r/pp3pp1/1qp1p1p1/3p2Pn/2PP4/1QN1P2P/PP3P2/R1B1KB1R w KQkq -,b3b6
r2qk2r/1b1nbppp/p2p1n2/1p2pPB1/4P3/1BN2N2/PPP1Q1PP/R3K2R b KQkq -,d7c5
8/8/1p6/p1pBk3/P1K4b/5P1P/8/8 w - -,d5e4
8/1p1rkp2/p2ppp1p/r4P2/2P1P1Pb/P2R1B2/1PK4P/3R4 b - -,a5c5
r1bq1rk1/pp2npbp/2n1p1p1/2pp4/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - d6,c4d5:a1b1:a2a3:d1c1
8/1r5p/2p2pp1/4k3/1PP1P3/5P1P/3BK1P1/8 w - -,d2c3
8/pn4pk/1q1P1p1p/1p3p2/1Q1RbP2/1B2P2P/R5P1/2r3K1 w - -,g1h2
r2qkb1r/1b1p1ppp/p3p1n1/npp5/4PB2/2PP1N2/PPB2PPP/RN1Q1RK1 w kq -,f4g3
r1b2rk1/pp3pb1/2np1qpp/1Np1p3/2BPP3/2P5/PP2NPPP/R2Q1RK1 w - -,d4c5
4Qqk1/6p1/p1p4p/3p2n1/3B2Pb/1BP4P/PP4K1/8 w - -,e8f8
r3rnk1/1b3ppp/p1pR1n2/1p2p3/P3P3/1PN2NPP/2P2PB1/4R1K1 b - -,f8g6
1R6/3rrk1p/P1R1p1p1/1K1p1p2/3P1P1P/8/2P3P1/8 w - -,b5b6
2rr2k1/1qn2ppp/2p1pn2/pb2N1B1/pbBPP3/2N4P/1P2QPP1/R2R2K1 b - -,b4c3
8/5k2/4p1p1/2K3P1/7P/8/8/8 b - -,f7e8
1q3k2/5p2/Q2p2p1/2pPp3/1rN5/6P1/4BPK1/8 b - -,b4b3
r2qr1k1/ppp3pp/1b3p2/1P1n4/3Pp1b1/1PP5/3B1PPP/RN1QK2R w KQ -,d1g4
r4rk1/p4p1p/1p2pp2/8/q7/2N5/PPN2P1P/5RK1 w - -,c3a4
5k2/5p1p/1P1b2p1/p7/B3p3/2p1P1P1/P4P1P/3K4 b - -,f8e7
1r1q1rk1/pp2np1p/4b1p1/2p1b3/3nPN2/2NPB1P1/P1PQ2BP/1R3RK1 b - -,d8d7
3rq1k1/R1Q2pp1/1p5p/2p5/3p4/3P1PPP/5PK1/8 w - -,a7b7
3r3k/ppqrb1pb/2n1p2p/2pnPp2/5P2/2P1NBP1/PP2QR1P/2BRN1K1 w - -,e1c2
rn1qkb1r/pp3p2/2p1p1pn/3pP2p/3P1Pb1/2N1BN1P/PPP3P1/R2QKB1R b KQkq -,g4f3
r4rk1/p2R1pqp/1p2p1p1/3b2N1/2P4Q/8/PP3PPP/5RK1 b - -,h7h6
2r1k2r/p2bbppp/1q2pn2/1Pp5/2Qn4/2N2NP1/P2BPPBP/1R3RK1 b k -,d4f3
r1bq1rk1/ppp2p2/2n1pb1p/6p1/3P2PP/2PBBN2/PP1Q1P2/2KR3R b - h3,g8g7
1r4k1/2r1qp1p/2P3pb/1p1B1n2/p2p1R2/P2P2P1/QBR1P2P/6K1 w - -,f4f3
1r1qr1k1/4bppp/2p1bn2/pP4B1/3pN3/P2B1Q1P/2P2PP1/R3R1K1 b - -,c6b5
rn5r/ppp1nkbp/4bpp1/4p3/2P4B/2N1PN2/PP2BPPP/R4RK1 w - -,a1d1
1r2r1k1/3bqppp/p4n2/1p1np3/1b1p4/1P1P1NP1/PBRNPPBP/2RQ2K1 b - -,b4c3
rnbqk2r/pp3ppp/2pb4/3pN3/2B5/2P5/PPP2PPP/R1BQ1RK1 w kq -,f1e1
6k1/p3n1p1/7p/3R4/2N4P/6P1/r4P2/6K1 w - -,d5b5
r4rk1/1p6/2nqb2p/4ppp1/p1Pp4/P2P2P1/1P1N1PBP/1R1Q1RK1 w - f6,b1a1
