7Q/3k4/p3q1p1/r3B3/2P2P2/7P/6PK/8 w - -,h8b8
rn1qkb1r/pp3p2/2p1ppb1/7p/3P3P/2P3N1/PP3PP1/R1BQKB1R w KQkq h6,f1e2
1R6/2k5/6p1/7p/1P1p2r1/3K4/8/8 w - -,b8h8
2rqr1k1/1p1bnppp/p2b4/3p4/3N4/2P1B2P/PP1QBPP1/R3R1K1 b - -,d8c7
2k3rr/ppn1bnp1/2p1p3/2NpPp1p/1P1P3P/2P2NB1/P2K1PP1/R3R3 w - -,g3f4
8/p6p/3p4/2pk2PP/2R5/r7/4BK2/8 b - -,d5e5
2r3k1/p5p1/4p1p1/B2n1q2/3P4/3Q2P1/2r1RP1P/4R1K1 w - -,d3f5
3r1rk1/1bq2pp1/2p1p2p/ppP5/3PB3/P5P1/1PQ2P1P/R2R2K1 w - -,f2f4
8/8/5r2/7P/4b1K1/3k4/R6B/8 w - -,a2a3
8/7k/4n2p/5pp1/1P1b4/5P2/2r2BPP/1R4K1 w - -,f2d4
8/5pk1/3R3p/6b1/1p4P1/2pK3P/P7/8 w - -,d6b6
4B3/6k1/7p/p1p1p2P/PpP1P1Q1/1P5K/8/6q1 b - -,g1g4
2k5/1pp1r3/3n1pp1/p2p4/P2PrP1p/2PN4/1P1R2PP/R5K1 w - -,g2g3
4r2k/p5p1/6q1/5pNp/3Q4/4B2b/2P2RP1/6K1 b - -,h3g4
r2qk2r/1pp2ppp/3p1n2/1N2p3/1bPnP3/p2P2PP/PP3PB1/R1BQ1RK1 b kq -,d4b5
1r6/1pk2p1p/p3p1p1/P1PpP3/3K1PP1/4P3/1R5P/8 w - -,b2b6
r3k2r/1p2q1pR/p3bp2/3p4/3P4/2P3P1/P1QK1PP1/2R2B2 b kq -,h8h7
2r2rk1/pb3ppp/np3n2/3pN3/3p4/qP1Q1NP1/4PPBP/R4RK1 b - -,a3b2
r6k/p1p2r2/1p1p4/3PBB2/2Rb2p1/6P1/PP2RP2/6K1 b - -,d6e5
8/bp3p1k/p3qRrp/3Np3/3nP3/P3Q1P1/1P5P/5R1K b - -,e6h3
1r1r1b2/2qP2kp/R4pp1/1ppQp3/7P/1P2P1P1/5PB1/3R2K1 b - -,b8b6
r5k1/6pp/3B1p2/5P2/8/6KP/5P2/8 b - -,g8f7
r4rk1/3R2pp/p6q/1p3P2/2p1QnP1/8/P4N1P/5RK1 w - -,g1h1
1R6/pp5r/4p1k1/3n2p1/PP1P1p2/5P2/3BKP2/8 w - -,b8g8
1r3rk1/n3ppbp/2pp1np1/qb6/N2P4/BP1N2P1/2Q1PPBP/2RR2K1 b - -,f6d7
8/4pp2/B4k2/8/1P4pn/2P5/2r5/1R4K1 w - -,a6b7
2rr2k1/1bq2ppp/p3pn2/1pP5/2nNPP2/1N4P1/P3Q1BP/2RR2K1 w - -,a2a4
2q2rk1/p3ppbp/r2p2pB/1p1n4/3P4/2P2NPP/b3PPBK/R1Q1R3 w - -,h6g7
r2q1rk1/1b2bppp/p3pn2/1p6/4NB2/P3PN2/1PB2PPP/R2Q1RK1 b - -,f6e4
4r1k1/3qrpb1/pp1p2pp/3PPbP1/2P5/1PB4P/PQ2R1BK/4R3 b - -,g7e5
1r1qrn1k/pp4p1/2p4p/8/3pNP2/3Q2R1/PP4PP/2R3K1 b - -,d8d5
4r3/2R2p2/r2pbkpp/1p1B4/pP1RP3/3PK1P1/1P5P/8 b - -,e8b8
1b2r1k1/1pr2qpn/p2N1p2/2pP1P2/1P1P4/P3PQ1P/1B2R1RK/8 b - -,c7d7
rb3r2/1p3pk1/2p1pp1p/5b2/pqPP1Q2/1P3N2/P4PBP/3R1R1K w - -,f4e3
rnb1k1nr/pp3ppp/2p5/q1bpP3/N3P3/5P2/PPP3PP/R1BQKBNR w KQkq -,c2c3
3r2k1/4b1pp/p3p3/1p1q1p2/8/1P3QP1/P3PP1P/2R2NK1 w - -,f3d5
2r3k1/pp3pp1/4p2p/2r1N2P/8/2n5/PPPR1PP1/1K5R w - -,b2c3
8/pp5p/2rppk2/4p1pP/2r1P1P1/2P2P2/PP1RK3/R7 w - -,a1d1
r1b1r1k1/pp1n1pBp/3q2p1/8/Pp5Q/3P1NP1/4PPBP/R4RK1 b - -,g8g7
3b4/5kp1/6pp/3NBb2/P2P1P2/6nP/6P1/2R3K1 w - -,g1h2
8/7p/p1P3p1/1k4P1/1p2pPp1/1K2P3/P6P/8 b - -,b5c6
r5k1/3b1ppp/4p3/3pP3/r1qN1P2/1p5P/P1PQ2P1/1R2R2K w - -,d4b3
2r1r1k1/5p1p/1pb3p1/p1b3q1/4p3/1Q2P3/P3BPPP/B2R1RK1 w - -,e2c4
2r2r1k/p2bp1qp/2pp1b2/8/1P1P1Pp1/P3Q1P1/1BR3BP/2R3K1 b - -,d6d5
1q3rk1/4bppp/p1r5/n2np3/1p2P1b1/5N2/PP1BQPPP/1BR1R1K1 w - -,e4d5
2r2rk1/6p1/1p2p2p/3pP1q1/3PpR2/pP2P1PP/P3Q1K1/R7 w - -,a1f1
8/8/3k4/3rpp2/6p1/6P1/R4P2/5K2 b - -,d5d4
q4rk1/r1p1bppp/p3p3/Bp6/1n1Pb3/P4NP1/4QPBP/R2R2K1 b - -,b4c2
r2q1rk1/1b1nbppp/p2p4/nppP4/4P3/P4N2/1PBN1PPP/R1BQR1K1 b - -,e7f6
6K1/8/8/1p2Q3/k7/8/2q5/8 w - -,e5e8
8/4kp2/rprpn1p1/4p3/1RP1P2p/PR2KP1P/4B1P1/8 b - -,e6c5
rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/2N4P/PPP1BPP1/R1BQ1RK1 b - -,b8c6
r1b1r1k1/pp3pbp/2pp1np1/q3n3/P1PNP3/2N3PP/1P3P2/R1BQRBK1 b - -,d6d5
1r4k1/p6p/2pp1q2/2p1pp2/4Pnb1/1P1P1N2/P1PN1PP1/1K2RQ2 b - -,g4f3
2r5/r2bk2Q/p3q3/1pb1p2B/8/2P5/P5PP/3R1R1K b - -,e7d8
r5k1/pp4pp/2p1p3/6P1/4Br2/1P2q3/P1P2R2/R2Q2K1 w - -,e4f3
r4rk1/pp1qnp1p/2pp1B2/2n1p3/8/1BPP4/P1P2PPP/R2Q1RK1 b - -,c5b3
8/2k5/R4r1P/1P6/6K1/8/8/7r w - -,a6f6
r2qrbk1/1b3pp1/pn1p1n1p/2pP4/Pp2PP2/2N1B1P1/1P3NBP/R2QR1K1 w - -,c3b1
8/pkq5/1p2Q3/3p2p1/3Pn3/1PP5/P7/1KR5 b - -,c7f4
6k1/4p2p/2prPbp1/B7/p7/R3P3/5PPK/8 b - -,d6e6
5r2/rpk5/1R1p3p/3Pp1p1/6P1/7P/5PK1/1R6 w - -,b6b5
rn1qkb1r/pb2pppp/1p1p1n2/8/3N4/1P2P3/PBP2PPP/RN1QKB1R w KQkq -,f1b5
1k1rq3/4Q2p/p2p1P2/5RP1/8/8/1KP5/8 w - -,f5f3
2rqr1k1/1b1n1p1p/p2b2p1/1p1p1PPN/2pP4/1P2P3/P5RP/1BBQ1RK1 b - -,c8c7
3bn3/pp4k1/3p3p/8/3P1P1p/1B3K2/PP3BP1/8 b - -,e8c7
8/3k4/R2P4/p4p1P/P4p2/1Pb2P2/6K1/8 w - -,h5h6
3bk2r/p4pp1/1p2p1p1/3pP3/qPbR1BP1/P1P5/5PKP/2Q1R3 w - -,g4g5
4r1k1/p4pb1/1p2n2p/3Np1p1/P5b1/3P2B1/1P3PPP/R3R1K1 b - -,e6d4
8/8/5pkp/r3b1p1/6P1/4B2P/2R1PPK1/8 w - -,c2c1
r1b1k2r/pp2bppp/2n1pn2/q7/3P4/2NBBN2/PP3PPP/R2Q1RK1 b kq -,e8g8
8/1pr3k1/1r5p/8/1PP5/1K1R4/7R/8 b - -,b6f6
r3q1k1/1bB3pp/p4n2/Q2N1p2/n6P/2p3P1/Pr3PB1/1R3RK1 b - -,b7d5
4r1k1/5qpp/4r3/pQ1p4/P2P4/2P2bB1/5PNP/R3R1K1 w - -,e1e6
r3kb1r/1p1b1pp1/1qn1p3/p2pPnPp/1P1P4/P4N1B/1B1Q1P1P/RN2K2R w KQkq a6,h3f5
r3kb1r/1pq3p1/p1p2p2/4p2p/2B1P1b1/2N1P1P1/PPP2Q1P/3R1RK1 b kq -,f8d6
7k/5r2/5qn1/p1Np4/8/P7/1P1Q2P1/4R1K1 b - -,g6e5
6k1/5p1p/p2P4/5R2/8/1P4P1/P2r2B1/2r3K1 w - -,g2f1
5n2/2R2pkp/4p3/p3P2P/1b2K1P1/8/8/8 b - -,h7h6
8/1k6/1P4p1/2n5/2N5/5K2/5P2/8 w - -,f3g4
3r1r1k/p2q2bp/1p2p3/3p1N2/2P1pP2/6P1/PPN1Q2P/3R1RK1 b - -,f8f5
2kr1b1r/p3p3/2p2p2/7p/2pP2p1/2PbP1BP/P2R1PP1/R3N1K1 b - -,d3f5
r1r1n1k1/3nqpbp/p1p3p1/1p1pP3/P4P2/1BN3BP/1PPQ2P1/3RR1K1 w - -,c3d5
