8/R2pk3/1p2p3/1P4p1/2P5/1PK3Pr/8/8 w - -,a7b7
2r1bnk1/2q2pbp/4p1p1/p2pN3/1p1P1PP1/1P2P1B1/P3Q1BP/3R2K1 w - -,e3e4
r4rk1/pp4b1/3p2p1/5n2/2P1NRp1/B2P3q/PP2Q1K1/R7 w - -,g2f2
r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1P2/2PB1N2/PP4PP/RNBQ1RK1 b kq -,f8e7
8/pp1k4/2pn1bBp/8/5PP1/2PK2B1/P7/8 w - -,g3f2
r3k2r/pp1qbpp1/2np1n1p/2p1p3/2P1P3/1PN2N2/P2P1PPP/R1BQR1K1 w kq -,c3d5
2rqr1k1/1b3pbp/p1p1p1p1/1p2N3/3Pn3/1P1BP3/P3QPPP/2RR2K1 w - -,d3e4
r5k1/pbnp1r1p/1p1q2BQ/4p3/2Pp3R/1P5P/PB4P1/2R3K1 b - -,d6g6
r1bqrbk1/2p2pp1/p1n2n1p/1p1pp3/4P3/1BPP1NN1/PP3PPP/R1BQR1K1 w - -,e4d5
1k1r3r/1pp2pp1/p1np3q/8/3NPP1p/3R3P/PPP2QP1/1K2R3 b - -,c6d4
rn2qrk1/2pb2b1/p2pp2p/1p3pp1/2PP4/2N1PNP1/PPQ1BPPR/1K5R w - b6,f3d2
6k1/5pp1/4n2p/1N1pp3/P7/5PP1/R5K1/2r5 b - -,e6c5
8/2p4R/2kn4/2p3p1/6P1/5PBK/3r3P/8 w - -,h7e7
6k1/5p2/7p/ppRN2p1/P1b5/4K1P1/7r/8 b - -,c4d5
5k2/2N5/p4p2/2p3pp/P1N5/1P4PP/6K1/r7 b - a3,a1b1
8/2b1k2Q/1p2p3/1P2P2p/P4P1P/3B1KP1/8/6q1 b - -,e7d8
r1b2rk1/ppq1p1n1/2p2p1Q/3pN3/3P1P2/2P3PP/PP1N1P1K/R4R2 b - -,f6e5
5k2/5pp1/1b2p2p/1p2P3/pP2KPPP/Pr6/R1N5/8 b - -,b3h3
r3k2r/1bpnqpp1/1p1ppn1p/p1P5/Q2P3B/2PBPN2/P4PPP/R4RK1 b kq -,d6c5
r4rk1/pp1nqppp/2p1pn2/4P2b/PbBP4/2N2N1P/1P2QPP1/R1BR2K1 b - -,f6d5
2rqr1k1/p3pp1p/1p3npb/4N3/2nP4/B1N3P1/P3QP1P/3RR1K1 w - -,e5c4
1rb2rk1/2qn1pb1/pp1p1npp/4p3/P3P1P1/2P1B2P/1PQNNPB1/R2R2K1 b - -,c8b7
3rr1k1/ppp1qppp/2n1b3/3n2P1/3PN3/P2BBQ2/1PP2P1P/R3K2R b KQ -,d5e3
1r4k1/3r1pp1/1q2p2p/pp2PP2/1n1P2Q1/6P1/1P3B1P/R1b2BK1 w - -,a1c1
r3k2r/pb3ppp/1qn1pn2/1p2N3/1bpPP3/2N2P2/1P2B1PP/R1BQK2R w KQkq -,e5c6
3r4/pp2bk1p/2n1bp2/2pNp1p1/4P3/1PP3P1/PB3PBP/3R2K1 w - g6,g2f3
r3rnk1/ppq1bppp/2pp1n2/4p3/2PPP3/2N1BB1P/PPQ2PP1/3R1RK1 w - -,g2g3
rnbqk2r/1pp2pbp/3p1np1/p2Pp3/2P1P3/P1N5/1P3PPP/R1BQKBNR w KQkq -,f2f3
1n3rk1/4bqp1/4p2p/1N1p2p1/3P4/3BP1P1/2Q2P1P/5RK1 w - -,d3h7
8/7k/1p1P4/p2Np3/n1P1Pp2/5P2/6K1/8 w - -,d6d7
rnb2rk1/ppq1ppbp/3p1np1/2p5/3P4/1P1BPN2/PBPN1PPP/R2Q1RK1 b - -,b8d7
2kr4/1bq1bpp1/p3p2r/8/3NN2p/2P2P2/1P1RQ1PP/3R3K b - -,h6h5
8/n1r1kppp/p3p3/2n5/1pN5/1P2PBP1/P4P1P/1N1R2K1 b - -,f7f6
r4rk1/6p1/p1p1pn1p/1pP1N2P/q7/5R2/1P3PP1/1K1RQ3 b - -,a4e4
8/1R5p/6pk/5r2/5PK1/8/8/8 w - -,b7a7
r3k2r/1bqn1p1p/p2pp1p1/6P1/Pp1NPP1Q/3B4/1PP4P/R4RK1 b kq -,c7c5
rnbq1rk1/1p2ppbp/2p2np1/p2p4/2P5/PP1P1NP1/1B1NPP1P/R2QKB1R b KQ -,c8f5
4r1k1/p1p3bp/1q3p2/2pp4/4rB2/1P3QP1/P1P2P1P/R4RK1 b - -,c7c6
2kr1b1r/pppq4/2n5/5p2/2Pp4/PN3Pp1/1P1Q1PKP/R1B1R3 w - -,f2g3
r4rk1/2p2ppp/2b1p3/2b1P1P1/pp2pB1P/4P3/PPP2PB1/2KR3R w - -,h4h5
3q1rk1/p4ppp/R2p1b2/2r1pP2/4P3/1PNQ4/1P4PP/5RK1 b - -,c5a5
4r1k1/pp3p2/6n1/3B2p1/2PN2b1/2P3r1/P5P1/4R1K1 w - -,e1e8
6b1/8/6P1/1K4kP/1Pp5/2P5/8/8 b - -,g5h5
4R3/nB3pkp/P5p1/8/r1pb4/6BP/5PP1/6K1 w - -,g3e5
6k1/6p1/4pr1p/p4q2/3B4/1Q3P2/2n3PP/4R1K1 w - -,e1e4
8/3k3p/2n3p1/p2K4/2P5/1P4P1/3B3P/8 b - -,d7c7
3br1k1/6n1/p7/PnpPp2p/1Q3P2/4R3/1P2NB1K/8 b - -,c5b4
8/1p6/p2b1n1p/3kp3/8/P4KN1/1P3N2/8 b - -,d6c5
r7/1r2p1k1/3p1p2/1qnP1Pp1/p7/PP2R3/2BQ2P1/4R2K w - -,b3b4
6k1/7p/1p2p1p1/3pN3/1P2nPP1/Pr5P/6K1/R7 b - -,b3g3
r1bqrbk1/1pp1n1n1/p6p/3p2p1/1P1PPp2/P1NB1P2/2Q1NBPP/3R1RK1 b - -,c7c6
1rb1qrk1/pp2p1bp/n1pp1np1/5p2/2PP4/PP3NP1/1BQ1PPBP/RN3RK1 w - -,b1d2
r4rk1/p2q2pp/R2pp3/2p1n2n/4P3/1N3P1P/2PN1QP1/4R1K1 w - -,e1a1
r2qkb1r/pp1n1pp1/2p1pn1p/5b2/4P3/5NP1/PPPN1PBP/R1B1QRK1 b kq -,f5g6
4k3/5p2/p3rp1p/R7/5K2/2P5/P5PP/8 b - -,e6c6
8/R7/3kp3/5p2/5P2/5K2/3b4/8 b - -,d2c3
4r3/1p3k1p/p2p1n2/P1pP2p1/1q4P1/1PN2Q1P/3R1PK1/8 w - -,d2e2
r1bqk2r/pp1n1ppp/2pbpn2/8/P1pP4/2N2NP1/1P2PPBP/R1BQK2R w KQkq -,f3d2
r1q2rk1/1pp1bppp/1n1p4/3Pn2N/p1P2Pb1/1PN1B1Q1/P3B1PP/2KR3R b - f3,g4h5
8/2b4p/6p1/p5P1/1p6/NP3K2/P2k4/8 w - -,a3c4
5rk1/1p1B3p/1p6/3R1pb1/1P2p2N/P7/5P1P/6K1 b - -,g5h4
3rk3/1pR3p1/pN3p2/P2Pp2p/1n5P/5P2/1P3KP1/8 b - -,b4d5
2r1kb1r/pp3pp1/1q2p1p1/8/5B2/8/PPP1QPPP/2KRR3 w k -,d1d3
r4knR/pp3p2/2n2P2/4p1P1/6K1/2Nr2N1/PP6/7R b - -,e5e4
6k1/p4p1p/6p1/8/8/2b2B2/Kr4PP/4N2R w - -,a2a1
r2qk2r/1bpnppbp/1p1p1np1/pP6/2PP4/4PN2/PB2BPPP/RN1Q1RK1 b kq -,e8g8
1rq1r1k1/pp1bbppp/2np1n2/2p1p1N1/1PP5/P1NP2P1/3BPPBP/1R1Q1RK1 b - -,h7h6
2rrn3/1q1b3k/p1p1p1pp/1pR1Pp2/3P1PPN/1Q2B2P/PP6/3R2K1 w - -,g4f5
r3r1k1/1p1n1ppp/2pb4/p2p4/N2P2n1/PP1P2P1/1B3PBP/R3R1K1 w - -,g2f3
8/6p1/7p/kP1bPK1P/2p3P1/3p4/4B3/8 w - -,e2f1
r1b2rk1/ppqnbpp1/2p2n1p/4p3/P1B1P3/2N2N1P/1PP1QPP1/R1B2RK1 w - -,f3h4
r3kb1r/p4ppp/2p1bn2/q3p3/Np2P3/4B3/PPPQ1P1P/1K1R1BR1 w kq -,b2b3
8/3n1pp1/p2kp2p/3p1b2/Np1P4/4P1P1/PP1K1PBP/8 w - -,a2a3
6k1/p3bp1p/1p2n3/3pPbp1/1PqP1p2/P4P1P/1B1QN1P1/2N3K1 w - -,d2c3
rn1q1rk1/pb2bppp/1p1ppn2/1Pp5/8/3PPNP1/PBP2PBP/RN1Q1RK1 b - -,b8d7
r1bq1rk1/pp2ppbp/n4np1/2Pp4/2P5/5NP1/PP2PPBP/RNBQ1RK1 w - -,c4d5
2k2b1r/ppr3pp/5p2/8/3P3P/2PB1R2/PPK5/6R1 w - -,h4h5
r3k2r/pbp5/np1pNq1p/3P1p2/2P1pP2/2P3B1/P1Q3PP/R3K2R b KQkq -,b7c8
r1bq1rk1/p2n1pnp/1p1p2p1/2pPp3/1PP1P3/P1NN4/4BPPP/R1Q2RK1 w - -,f2f4
8/3k4/3p1p1p/3P2p1/1P1bP2P/5RP1/3r1PK1/8 b - -,d2e2
2k4r/p4R2/2P5/1P6/4p3/2R3PK/1r6/8 w - -,h3g4
r5k1/pp2r1pp/3npq2/1P1p4/R2P1N1P/1P4P1/4QP2/2R3K1 b - h3,a8c8
3b4/p1n3k1/1p1p3p/3P1P1B/PP2K2p/8/6P1/4B3 w - -,e4d4
r1b1k2r/2qpbppp/p3pn2/1p2n3/4P3/1NN1BP2/PPP3PP/2KRQB1R w kq -,f3f4
7k/3RR3/3K4/2p5/8/1P5P/4q3/8 b - -,e2a6
