4n3/4P3/8/7k/5K1p/7P/8/8 w - -,f4f5
2r1r1k1/4qppp/1p3n2/pb4B1/3RP3/P5P1/1P4BP/1Q1R3K b - -,h7h6
1n1q1rk1/rp2ppbp/p1p2np1/3p1b2/P1PP4/1QN1PN2/1P1BBPPP/R4RK1 b - a3,f6e4
6k1/1p6/1Np1b3/2P2N2/1P3bPp/P3p2P/5R2/2q2B1K w - -,f2f4
r2qr1k1/6pp/pb2p3/npp1p3/4P3/2P1n3/PPB1QPPP/R3RNK1 w - -,f1e3
1rb1k2r/2qnbpp1/p2ppn1p/8/1p1NPP1B/4Q3/PPP1B1PP/1NKRR3 b k -,c8b7
5r2/p6k/1p1pnb2/1Pp4p/2P1Pp2/P2P3N/3B1P2/6RK b - -,f6e5
r1b1r1k1/pp3pbp/2pp1np1/2n5/1qPNP3/2N3PP/PPR2PB1/R1BQ2K1 w - -,c1d2:f2f3
r1b2rk1/1p3pb1/p2Q2p1/2q5/6n1/1BN5/PPP1N1PP/2KR3R b - -,c5g5
8/2k5/2p3p1/1p1p1p1p/r2P1P1P/3K2P1/P1R2P2/8 b - -,c7b6
8/2k3pp/1p3p2/n7/2PK1P2/1p4P1/1P5P/2N5 w - -,d4c3
3R4/p7/8/2k3p1/5p2/r7/6K1/8 b - -,g5g4
k7/5R2/P7/7r/1KB5/8/8/8 w - -,c4b5
2k5/pp3pp1/4pb1p/2P4P/2r5/4B3/PP1R1PP1/1K6 w - -,g2g3
r2q1rk1/3nb1p1/2p1p1p1/1pPp1p2/1P1P1P2/6P1/1B1QP1BP/R4RK1 w - b6,c5b6
r3r3/1p3pk1/2pp1npp/Pp2p3/1P2P3/2PPN2P/4RPPK/3R4 w - -,f2f3
1r1rb1k1/pp3p1p/2B1pqp1/8/1P1P4/5N2/P2Q1PPP/2RR2K1 b - -,e8c6
r3r3/2p3bk/p5pp/2P2p2/PP1B4/3p2PP/5P2/2R1R1K1 w - -,e1e8
2r3k1/4bp2/6pp/1BnPp3/1p2P3/5N2/1P3PPP/R5K1 w - -,a1e1
4k3/3b4/4p1p1/1p4Bp/pP2P3/5P1P/P2R3K/1r6 w - -,h2g3
rn1q1rk1/pp2ppbp/2p1bnp1/8/2QPP3/2N2N2/PP2BPPP/R1B1K2R w KQ -,c4d3
8/2p1rk2/bp1p2p1/p2P4/5P2/P3N1R1/4PK2/8 w - -,g3g2
3rr3/5kp1/n2p1p2/2pP2Pp/PpN1P2P/5PK1/P7/2RR4 b - -,e8e7
5bk1/p7/5nN1/5r1p/3pr3/1P4B1/P1R2PK1/3R4 b - -,e4g4
r1b1k2r/2q1bppp/p1pp1n2/1p2n3/4P3/PNN1B1QP/1PP1BPP1/R3K2R w KQkq -,e1g1
4r2k/p1q5/1pn1b2p/2p2NpP/4PrP1/2b2PN1/P3Q1B1/R3R1K1 b - -,e6f5
r2nr1k1/1p3ppp/pbp1q2n/3p4/PPPPp3/B3P1PP/2QN1PB1/2R1R1K1 b - -,f7f5
r1b2rk1/ppq1p1bp/6p1/n1p1Pp2/3P3P/2PBB3/P3NPP1/2RQK2R b K -,f8d8
k1r1b3/bp2qppp/p3pn2/4N3/8/1BP1BQ1P/PP3PP1/3R2K1 b - -,c8d8
2k4r/1p1n1ppp/1pN1b3/8/1P2PBn1/2P5/P5PP/2K1RB2 w - -,c6d4
r1bq1rk1/ppp1ppb1/n2p1npp/6B1/2PPP3/2N2N1P/PP3PP1/R2QKB1R w KQ -,g5e3
8/4p2p/4P3/p1p3K1/2P5/PP1kP3/7P/8 w - -,g5h6
r1b1kb1r/pp3ppp/2n1pn2/3q4/3p4/2P1BN2/PP2BPPP/RN1Q1RK1 w kq -,c3d4
r2q1rk1/p2nbppp/1p2p3/3b4/3P4/P2B1P2/1P1BN1PP/2RQ1RK1 b - -,d7f6
8/1pr2pp1/3kp1p1/1p6/6P1/3K1P2/7R/8 w - -,h2h7
4r1k1/p3r2p/2bp2pR/3pp3/7P/1P3P2/2PQ2P1/2K5 b - h3,e5e4
7k/1p4R1/r6p/8/3B1P2/7P/b6K/8 b - f3,a6a4
r2q1k1r/pp1n1p2/2p1pbp1/7p/3P3P/1BB1PQP1/PP3P2/3RK2R w K -,e1f1
3r2k1/4pp1p/6pB/3Pb3/2R4P/3Q2Pq/5P2/6K1 w - -,c4e4
2b1rr1k/6pp/p2p4/1p2n1q1/3BPNnb/P1N5/1PP1Q1BP/5RRK w - -,c3d5
8/p2k4/1p4n1/3BK1p1/PP6/7P/8/8 w - -,e5f6
2r2rk1/p7/2b5/4QPP1/1p1Pp1N1/4q2P/6RK/8 b - -,f8e8
6R1/8/5r2/6p1/4pk2/8/5K2/8 w - g6,g8a8
r1b2rk1/2qpbpp1/p1n1pn2/1p5p/4PP2/PNNBB3/1PP3PP/R2Q1RK1 w - h6,h2h3
2r3k1/4r1pp/1nB1p1n1/1p3p2/qP6/P1Q4P/1B3PP1/3R1RK1 w - -,c3c5
8/2R4B/8/4ppk1/8/2p1P1K1/2n2P1P/2r5 w - -,h2h4
2rr2k1/qpb2pp1/4b1n1/pQB5/P1N1p3/1P4P1/4BP2/2RR2K1 b - -,d8d1
1rbk2r1/p2pp2p/6p1/q1p1b3/8/2N1B3/PPPQ2PP/R3K2R w KQ -,e1g1
3r2n1/4rp1k/1pp1b3/p3Q2P/P3P3/2Nq1P2/1P2N1P1/n4K1R b - -,a1c2
6k1/2p2p1p/2P1pbp1/3q4/1Q1N4/4P1P1/rR3P1P/6K1 b - -,a2b2
4K3/8/5q1p/6pQ/8/5P1P/5k2/8 b - -,f2g3
5k2/7p/6p1/3P4/1qP2P2/1P2Q2P/r5PK/3B4 w - -,d1f3
r4rk1/2p1bpp1/p6p/1p2q1n1/P2pP3/1BPP3P/1P2Q1P1/R1BR2K1 w - -,c3d4
r4rk1/pb2pp1p/p2p4/8/5b2/1N1q2NP/PPP4K/R4R2 w - -,c2d3
rnbqk2r/p1p1npb1/1p1pp1pp/8/2PPPB2/2N2N1P/PP1Q1PP1/R3KB1R b KQkq e3,c8b7
rnb1k2r/1p3ppp/p1qbpn2/8/P1B5/1N3N2/1PP1QPPP/R1B1K2R b KQkq a3,b7b6
8/p5pk/7p/8/3P1Q2/4qBK1/PP4P1/4r3 b - -,e3f4
4k3/4pp1p/4b1pb/1p2p3/1P2P3/3PB1PP/4KPB1/8 b - -,h6g7
1b1rr1k1/1p3qp1/p3pnnp/3pp3/1pP5/P2PP1PP/1B1NRPB1/Q4RK1 w - -,a3b4
5k2/8/8/3PK3/4P3/6p1/R7/5r2 b - -,f1f7
r1bqk2r/ppp3pp/2n1p3/5p2/3PpP2/2N5/PPP1NPPP/R2QK2R w KQkq f6,d1d2
8/6pk/7p/7P/2r5/2P2pP1/2R3K1/8 w - -,g2f3
r5k1/pp2npp1/3qpn1p/3p4/N2P4/3QP2P/PP1N1PP1/2R3K1 b - -,a8c8
2kr3r/1ppqnppp/p1np4/8/4PP2/1NN5/PPP1Q1PP/2KR2R1 b - -,h7h5
4nr1k/p4rqp/3p3n/2pP1p2/PpP1pP1N/1P2N1PP/7Q/1K2R2R w - -,g3g4
7R/6r1/3k2p1/1P3p1p/5P2/4P1K1/5P1P/8 w - -,g3h4
r2qkb1r/1p1n1ppp/p2pbn2/8/4PB2/1NN5/PPPQ2PP/R3KB1R b KQkq -,d7e5
8/3r1ppk/7p/4R2P/1P1p4/3P2P1/5PK1/8 b - -,f7f6
rn1qk2r/pb1nbppp/1p2p3/3pP3/3N1P2/2N3P1/PPP3BP/R1BQ1RK1 b kq -,e7c5
8/8/8/5K2/8/4kP2/6rp/7R w - -,f3f4
6rk/p4p2/4pp1p/2p5/2N2KnP/P3P2R/1PR2PP1/3r4 b - -,d1f1
2n5/1b1r1kpp/p4p2/1pR5/4PB2/5P2/PPB3PP/6K1 w - -,g1f2
r2qn1k1/4b1pp/bp2pr2/p1pp2P1/5B1P/2P1PQ2/PPBN1P2/R3K2R b KQ -,f6f8
r3k2r/1b1ppp1p/p3n1pQ/qp1NP3/3N4/P1PB4/1P3PPP/2KR3R b kq -,b7d5
8/r4p2/2R3pk/2p2p2/1bP4P/1P3BP1/5PK1/8 w - -,h4h5
8/1p1k4/4p2p/1Pbb3P/3B2q1/P2B2Q1/8/5NK1 b - -,c5d4
1R6/3r2k1/2R5/4K2p/5P2/6P1/8/4b3 w - -,b8b3
8/3R4/p3ppk1/2N5/3n4/5P2/r6P/5K2 b - -,d4f3
rnbqk2r/1pp1ppbp/p2p1np1/8/P3PP2/2N2N2/1PPP2PP/R1BQKB1R w KQkq -,d2d4:f1c4
3k4/6p1/3P2p1/1B6/1n6/8/1K5P/8 w - -,b2c3
1r1r2k1/1q2bppp/p3pn2/8/N2p4/1P1Q2P1/P3PP1P/B1RR2K1 b - -,e6e5
3r2n1/p1k1pp2/Bp4pr/2pPn2p/4N3/7P/PPP2PP1/2KRR3 w - -,e4g5
5rk1/p1R2pbp/6p1/2B5/2Q1p3/1P5P/P4PPK/3q4 w - -,c4e4
4r3/ppq3k1/5n1p/2pP1Pp1/P1P5/3P1R1B/3Q3P/7K w - -,f3f1
