8/3R1pk1/6pp/8/6PP/5BK1/8/4r3 b - -,g7f8
8/5p2/pp5p/2n3k1/1K6/5B1P/6P1/8 b - -,f7f5
7k/8/br3r1p/3N2p1/P7/6P1/1PR2bBP/4Q2K b - -,f2e1
2r3k1/pp4bp/3B2p1/1P2n3/4PN2/6P1/b5BP/5RK1 b - -,c8d8
4r2k/1p4b1/pQ1p4/3q2P1/5PK1/5R2/7P/8 w - -,b6b1
r2q1rk1/pbp1b1pp/1p2p3/3pnp2/2PPn3/1P3PP1/PBQ1P1BP/RN3RK1 w - -,c4d5
8/8/5K2/8/5RP1/1k2q3/8/8 w - -,f6f5
r6k/6bp/p5p1/1p2pp2/2P2n2/qBB2P2/2PQ2PP/3R3K w - -,c3b4
1r4k1/p4pp1/4P2p/3p1b2/3P2P1/8/P1p2P1P/4RBK1 b - -,f7e6
r2r1bk1/2Rn1pp1/1n1Pp2p/p2Q4/4N3/B4NP1/1R3PK1/8 b - -,b6d5
7R/5kp1/5b2/3p1P1p/7P/4B3/5P1K/4r3 w - -,e3g5
5kr1/5p1p/3p1N1R/p1p1r1P1/3pP3/4nP2/PPP5/2K3R1 b - -,g8g5
rnbq1rk1/p4pbp/2pp1np1/1p2p3/3PP1P1/2N1B2P/PPPQNPB1/R3K2R b KQ -,c8b7
3r4/6k1/6p1/p1pBp3/1pP1PnP1/1P3R2/1P6/1K6 w - -,g4g5
6k1/1b4q1/p2N2p1/1p1P1r2/2r5/P6Q/1P5P/6RK w - -,d6b7
3q1rk1/4bppp/4pn2/2nb4/2BB4/4PN2/3NQPPP/5RK1 w - -,h2h3
2r4r/2pR1p2/1p1p4/p2P1Pk1/2P5/PP6/3P1K2/4R3 w - -,d7f7
4rbk1/5pp1/8/P1p4q/2N3n1/4P1P1/2Q2PB1/1R3K2 w - -,a5a6
2r3k1/p2b2rp/3B1p1b/3B3Q/1N1p1p2/3Pn3/PP2P2P/7K b - -,g8h8
r4rk1/pbq2pp1/1p2pn1p/3n4/4N3/2P2Q1P/PP2NPP1/RB2R2K b - -,f6d7
2r1r1k1/1q4pp/1p3p2/p4Qn1/3P3N/2p1P1P1/2R2P1P/R5K1 w - -,a1c1
2rb1rk1/p2R3p/3N1pp1/2pq1n2/8/1PQ3P1/PB3P1P/4R1K1 w - -,e1d1
8/1pp2pk1/p2p1npp/3P4/4N2P/1P6/1PP2PP1/5K2 w - -,e4c3
4r1k1/2q2p2/2pb1Qpp/p5n1/1pBpP3/6P1/PPP2PKP/2R1N3 b - -,g8h7
rnbqk1nr/pp3ppp/3b4/3p4/8/1N3N2/PPP2PPP/R1BQKB1R w KQkq -,c2c3
4rb1k/2q4p/Q1p1Bpp1/2p5/4P3/4N3/Pr3PPP/2R2RK1 b - -,e8e6
r2q1rk1/1bpnbppp/3ppn2/p7/NpP5/PP2PNP1/1B1PQPBP/R4RK1 b - -,a8a7
8/1N1k4/2p5/4B3/3K1P2/r7/6b1/8 b - -,d7e6
8/6p1/6k1/R3p3/6K1/Pr3PP1/8/8 w - -,a5a6
2rq1rk1/pb2ppbp/1p1p2p1/2n5/2P1P3/1PN1BP2/P2QB1PP/2R2R1K w - -,b3b4
4rbk1/R7/7p/1p6/2pQq3/6P1/PP3PKP/8 w - -,d4e4
3rr3/2p1qpbk/1pn2npp/p2pp3/P3P1b1/2PP1NN1/1PQBBPPP/3RR1K1 w - -,h2h3
3r1n1k/1p4b1/1NpPbr1p/2P2p2/1P3P2/4RN1P/6BK/4R3 b - -,e6f7
R2n1k2/1B3p2/1b5p/1p4p1/2p5/2P1r1PP/6PK/3R4 b - -,f8e7
r4rk1/2pbqpbn/1p1p2p1/p7/P1PPp2p/2P1P2P/1R1NBPPB/3QR2K b - -,e7e8
1r4k1/1p4p1/1B1p2Pp/P2P2b1/5P2/7P/2p5/5RK1 b - -,g5f4
8/3R2b1/7k/4r2P/3p1NK1/7P/8/8 w - -,d7d6
8/8/1R3p2/7k/3KP3/1p3r2/8/8 w - -,e4e5
r1bqk1nr/pp1pppbp/2n3p1/8/2PNP3/4B3/PP3PPP/RN1QKB1R b KQkq -,b7b6:a7a6:d8a5:d8b6:d7d6:g8f6
r2q1rk1/pb2bppp/1p6/2npN3/4nB2/2N3P1/PP2PPBP/2RQ1RK1 w - -,c1c2
r2r2n1/pp4k1/n1pbq2p/4p2B/2P1Q3/1N2B1P1/PP3P1P/R2R2K1 b - -,d6f8
8/3r1pk1/1n4p1/1p2p3/1P1bP2P/2pP1RP1/2N3K1/1R6 w - -,c2a3
r1bq1rk1/bp3pp1/p3n2p/8/4B3/1P3N1P/PBQ2PP1/R2R2K1 b - -,d8e7
5R2/1P6/2K5/8/5pk1/8/8/1r6 w - -,b7b8q
2Rbk1r1/3n4/1p2p3/1q2P3/3P2p1/P5P1/1B3P2/3Q2K1 w - -,d1c2
r3kb1r/pp1n1ppp/2p1pn2/7b/1q1P1B2/2NB1P2/PPPQN1PP/R4RK1 w kq -,a2a3
8/1p6/8/4P1p1/3rk3/6B1/1K3PP1/8 w - -,e5e6
1q3r1k/4R2p/1r1p1p2/2pP1N2/1pQ1P3/6PP/5P2/R5K1 b - -,f8e8
8/1b1rk3/4p1pp/p3PpP1/PpPp3P/1P1R1P2/4K1B1/8 w - -,g5h6
k2b2rr/1p1q4/p3p3/P2pP2p/2pPpB1P/2P2bPB/2P2Q1K/R4R2 w - -,f2e3
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2N1BN1P/PP3PP1/R2QKB1R b KQ -,c5d4
4r3/5pkn/3p2p1/p2Pp3/R5pB/7P/1P3PP1/6K1 b - -,g6g5
2rqr1k1/3bppbp/3p1nP1/4n3/pp1NP1P1/1B2BP2/PPPQN3/1K1R3R b - -,a4b3
r1bq1rk1/pp1nppbp/5np1/2p5/2BP4/2P2NNP/PP3PP1/R1BQ1RK1 b - -,b7b6
6k1/4b2p/8/5pp1/3BnnP1/4R2P/P1p5/5K2 w - -,d4b2
4r1k1/3n2b1/p1Np2Pp/P2P4/1R5n/8/1PP3B1/2B3K1 w - -,b4e4
2rk2r1/pbnqbp2/1p2p3/3pP1P1/3P3p/PQR5/1P1BBPPN/2R3K1 w - -,h2f3
r4rk1/1b3ppp/p1q2n2/2b1p3/8/3BN3/PPQ2PPP/R1B2RK1 w - -,c1d2
8/3n1k2/p3p1qp/1pp1P1p1/2P3Q1/1P3NP1/P4PK1/8 b - -,g6f5
r2br1k1/5pp1/p2p1n1p/1qpPpP2/1p2B2P/1P3PP1/P1PQ4/R2NR1K1 b - -,d8b6
2kr1bnr/ppp2ppp/2n5/4Pq2/Q1Pp4/5bPP/PP1NPPB1/R1B1K2R w KQ -,g2f3
6Q1/5pb1/pR3nk1/2p5/2P5/P3P1PK/5q2/8 b - -,f2f1
rn1qk2r/3nbppp/bp2p3/pBppP3/P2P4/2P2N2/1P1NQPPP/R1B1K2R b KQkq -,d8c8:a6b5
8/5k2/1R4p1/5p2/6r1/5K2/1B4P1/8 w - -,g2g3
R4n2/2r1k3/2p2pp1/2P5/3PPP2/2KB4/8/8 b - -,f8e6
r1r3k1/5pp1/p3pbp1/1p6/4P3/2PB2qP/P1Q3P1/1K1RR3 b - -,c8c3
4k3/4b1pp/3p4/pq2pP2/2p2n2/B1P2N1P/P1Q2PP1/6K1 w - -,a3c1
4rrk1/2pq2b1/p1np3p/6p1/2QnN3/5N1P/PP3PPB/R3R1K1 b - -,d6d5
1r4k1/2b1np2/B1p2qpp/3p4/3P4/4PN1P/2Q2PP1/5RK1 w - -,a6d3
5rk1/1p5p/pB1p2q1/P2P2b1/1PP1p1p1/8/6PP/1R3QK1 w - -,f1e2
r1r1b1k1/p7/3pNp1p/3Nq3/1p2P3/3Q4/PPP3PP/1K1R4 b - -,e5e6
r3r3/1b1n1pk1/1ppq1bpp/p2p4/1P1P4/1QNBPN2/P1R2PPP/2R3K1 w - -,a2a3
r1bq1rk1/ppp1ppbp/n2p1np1/8/2PPP3/2NBB2P/PP3PP1/R2QK1NR b KQ -,e7e5
rnbq1rk1/pp2ppbp/3p1np1/2pP4/2P1P3/2N2N1P/PP2BPP1/R1BQ1RK1 b - -,b8a6:a7a6
r3r1k1/1bqnbp1p/ppnpp1p1/6PQ/P3PP2/1NN1BR2/1PP3BP/R5K1 w - -,h5h6
4r1k1/pp1r2bp/2p2p2/6p1/2bPP3/2B3PP/P4P2/R3RBK1 b - -,c4f7
r2q1rk1/4bppp/p2p4/3Pp3/1p1n4/6P1/PPP2PBP/R1BQ1RK1 w - -,c1e3
2rr4/p2k1pp1/1p2pb1p/1bpn4/5P2/P2PP1P1/1P1B1NBP/1RR3K1 b - -,d5e7
5nk1/1b3pb1/1q1p2pp/2pPr3/2P1P3/3B2NP/2Q3P1/B4R1K w - -,f1b1
1k6/p2R4/2p5/8/1P6/P7/3K2r1/8 w - -,d2c3
8/8/k3p3/p1PpP3/p7/1P3K2/2n1N3/8 w - -,b3a4
3qrr2/2nb1pbk/3p2p1/1p5p/2pPPp2/2P2N1P/1PBN1PP1/1R1QR1K1 w - -,b1a1
