8/1B6/5kp1/4p2p/Pb3r2/6K1/4R3/8 w - -,b7c6
r1bq1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 w - -,d1b3
2r2r2/pq4bk/1p1np2p/1Pp1pp2/P1P5/2NP1PPP/1BQ3K1/3RR3 b - -,g7f6
3r2k1/pb1rq1pp/1p1bpn2/2p2p2/2PP4/1P2PNP1/PB2Q1BP/3RR1K1 w - -,e1f1
1q1r2k1/pp1r1pp1/2pbpnnp/8/2PP4/1P4PP/PBQ1NPB1/R4RK1 w - -,a1d1
8/1N3kp1/p3p3/Pb1pP1K1/3P4/4P3/8/8 b - -,b5d3
r1b5/p3q1pQ/3np3/4k1P1/2p1p1R1/2P5/P4PP1/3RK3 b - -,c8b7
8/p3k1p1/2p5/P1P3P1/4PKB1/2P5/8/5b2 w - -,f4f5
2r5/1p4bk/3pNp2/p2P3p/1q2P3/1P3rPB/P3R2K/3Q4 w - -,e6g7
8/8/8/R3bkp1/7r/5P2/4P3/6K1 b - -,h4h8
R4b2/p4pk1/1p4p1/1P5p/5P2/5P2/P6P/6K1 b - -,f8d6
r1b1k2r/pp3ppp/n1p2n2/2b5/2B1P3/2N2P2/PP4PP/RNB1K2R b KQkq -,a6c7
2r1brk1/1pq1bpp1/p2ppn1p/1P6/P1PQP3/2N2N2/3B1PPP/2R2RK1 w - -,c3a2
r1bq2k1/1p1n1ppp/2pb4/p2p4/3P1P2/1QNB1NP1/PP3P1P/4R1K1 b - -,d7f6
rnbqkbnr/p1pppp1p/1p4p1/8/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,c8b7
3r4/p1r4k/1p2q1p1/2p2n2/P2Pp2p/2P1R1bP/1B2Q1B1/5R1K w - -,e3e4
2rr4/p4pkp/2n3p1/1p6/1P1p3q/PQ1RN3/5PPP/3R2K1 w - -,b3b2
1rbn4/pp2kp1p/4p3/5p2/5P2/1Nb3P1/PPP3BP/1K1R4 w - -,b2c3
R7/8/8/5p2/5k1r/8/6K1/8 b - -,h4h7
3r2k1/1p3pp1/4p2p/p1n1P3/P4P2/1P1rRNP1/R6P/7K w - -,e3d3
5rk1/p5pp/qp1pp3/5p2/nPP1b3/1K2PN2/4BPPP/2RQ1R2 b - -,a4c5
8/8/p2B4/3n2Kp/P1k3pP/8/8/8 w - -,g5h5
3r1rk1/1p3ppp/p7/3bp1q1/5n2/Q4BN1/PPP2PPP/1R3RK1 b - -,f7f5
6nr/pbNk1p1p/6p1/2pp3P/5B2/2b2N2/P3KPP1/1R5R w - -,b1b7
8/8/p4k2/3bp2P/8/P2K4/6P1/3B4 b - -,d5g2
r4rk1/1pqb2pp/2pp4/p2Pnpb1/N1P1PN2/P7/1PQ1B1PP/R4R1K w - f6,f4e6
2r2bk1/5p1p/p7/1b4P1/5B2/1P6/1PPR3P/1K6 b - -,f8e7
8/8/8/4n3/5p2/3k2N1/5K2/8 b - -,f4f3
1q5k/8/5R1p/p1p5/P7/1p1P1n1P/5KR1/8 b - -,f3g5
5k2/p4p2/1p2p2p/4P1p1/3P4/6PK/PR2QP1P/2r4q w - -,b2c2
5r2/4n2k/p2p1b1p/2p2p2/P4P2/5P1P/6RK/2B3R1 b - -,e7c6
8/6K1/6P1/8/p7/5r2/1k3p2/5R2 b - -,a4a3
r2q1rk1/pp1b1pb1/n2P2pp/2p1n3/P3N3/2N2PP1/1P4BP/R1BQ1RK1 w - -,c3d5
8/pp3k1p/1q4p1/3p4/1P6/P5PP/4Q1K1/8 w - -,e2f3
4r1k1/1q3p2/p5pp/2rN2b1/2p5/2Q1P1PP/PP4P1/2RR2K1 w - -,d5f6
rn1qkb1r/pp3ppp/5nb1/4N3/1pPP2P1/3BP2P/P2N4/R1BQK2R b KQkq -,g6d3
r1bqr1k1/5pbp/1p1p1np1/P2Pp3/4P3/1QN3P1/P2N1PBP/2R2RK1 b - -,b6a5
3r2k1/1bp2ppp/rb2p3/1B5n/P2p1P2/1PN1P1PP/1B5K/R3R3 w - -,e3d4
r4r1k/pppnqb1p/3p1p2/4nN2/2P2R2/1PN5/P2QB1PP/5RK1 b - -,e7d8
8/R1k5/1p6/3pp2p/1Pp2b1P/P7/4K3/8 b - -,c7c6
8/8/bP1k3p/5Bp1/8/1N1pK1P1/7P/8 b - -,d6c6
r1b2knr/1ppq1pp1/p1n4p/4b3/2BP4/1Q6/PP3PPP/RNB1R1K1 w - -,d4e5
r2q1r1k/ppp1bppp/1n6/8/3P4/1QPBBP2/P4P1P/R4RK1 w - -,g1h1
2r2r1k/pb1n2pp/1ppq4/3p1p2/3P4/3N1PP1/PPQnP1BP/2RR2K1 w - -,c2d2
r1r5/1p2kp2/1p1b1n2/3pN1p1/2pP2Pp/PbB1PP2/1P2BK1P/2R4R w - g6,h2h3
r4k1b/p7/3NB2p/PpRpp1pn/1n6/4P1N1/PBb2P1P/6K1 w - -,d6b7
8/8/8/5p1p/1R2k1rP/7K/8/8 b - -,e4e3
1b6/6p1/1p3k2/2pPpP1p/2P1K2P/1PB3P1/8/8 w - -,b3b4
2br3r/1pk2p1p/p3p1n1/5p1B/3N1P2/2P3P1/PKP4P/3R3R w - -,d4f3
r1b1k2r/p1q1b1p1/2pp1pn1/4p3/4P1pP/1QN1B3/PPPN1P2/2K3RR w kq -,f2f3
r2q1rk1/1b1n2pp/2p1p3/1pPp1p2/3Pn3/3N1NP1/PQ2PPBP/R4RK1 b - -,a8a4
8/2B5/6p1/5pn1/6k1/8/5K1P/8 b - -,g4h3
6k1/pq2bpp1/7p/2rpP3/1p1Q2P1/1P5P/P4P2/2BR2K1 w - -,c1e3
5r2/pp4kp/5bp1/3R4/1PB2P2/8/P5PP/6K1 b - -,f8d8
2r2nrk/1b5p/p3p3/2ppPpQ1/8/1P2R3/P1PN1PPP/3R3K b - -,g8g5
1r3k2/3Rbp1p/1r2Pp2/2p5/1pB1P3/1P1R4/2P3PP/1K6 b - -,f7e6
5k2/1r4bQ/2p3p1/R4P1p/3P3P/6P1/5P1K/1q6 b - -,b7b5
3q1rk1/3n1ppp/1p2p3/4P2b/2Q5/5N2/P2N1PPP/R5K1 b - -,d7e5
r1bqr1k1/5p1p/p1n3pb/1pNp1n2/3Pp3/BP2P1P1/P1NQ1P1P/R1R2BK1 w - -,a3b2
2r2nk1/p5p1/1b2b3/3pP2Q/8/3B2BP/1q3PP1/3R2K1 w - -,h5g5
r4r2/pp1b1p1k/2n1p2p/2b5/2N1n2P/8/PP1BPPB1/R2R2K1 w - -,g2e4
rnb3k1/pp3N1p/5p2/1pPp4/3Pp3/2P3P1/P3P1BP/R5K1 w - -,f7d6
2r1r1k1/1bq2ppp/1p2p3/pP2p3/PbP1P3/5PPP/2Q4K/1NRR1B2 b - -,e8f8
2r5/2r1pk1p/p2p2p1/3P1pP1/8/8/PP2RPP1/4R1K1 b - -,c8b8
r2r4/p4kp1/2pRb1pp/4P3/1B1P4/P7/5PPP/5RK1 b - -,a7a5
r4rk1/2qbbppp/p2ppn2/1p6/3nPP2/P1N1B1Q1/1PP1B1PP/4RRK1 w - -,e3d4
3r2k1/p5p1/3R1p1p/8/2p5/4P3/P4PPP/R5K1 b - -,d8d6
r7/ppkb1P2/2p1p1Pb/q2p4/3P4/8/PPQ1B3/1K1R1R2 w - -,c2c3
8/5nB1/2k5/4p1p1/2Kp1pP1/3P1P2/4P3/8 b - -,f7d6
rnbqk2r/pp2bppp/2p1p3/8/2BP4/2P2Q2/P1PBNPPP/R3K2R b KQkq -,b8d7
5rk1/1p1q1pbp/r1ppbnp1/p5B1/N1P5/P2P2P1/1P1Q1PBP/1R3RK1 w - -,c4c5
r1bq1rk1/1p2bppp/1n2p3/1NppP3/1nP2P2/BP1P2P1/4N1BP/R2Q1RK1 b - -,c8d7
3r1rk1/pp1qppb1/5np1/2Pp3p/PP1P2b1/2N2B2/1B3PPP/R2QR1K1 b - a3,f8e8
r5k1/3RB1p1/6P1/4p3/4Kb2/5P2/8/8 b - -,f4g3
2r1r1k1/1R2bp1p/4p1pP/3pP1n1/p2P4/5N2/P4P2/1R2BK2 w - -,b7e7
r5k1/p4p2/3p2p1/1p1P3p/1P3P2/8/b3BK1P/2R5 w - -,e2b5
2Rnr2k/4b1p1/3p3p/1p1Bp3/1P2P2P/3P2P1/3B2K1/8 b - -,g7g5
r2r1bk1/4n2p/2n1p1p1/p1BpPp2/Q4P2/2Pq1BPP/1P2N3/R4RK1 w - -,a1d1
1B4b1/6b1/pp3kB1/2n2p2/4p3/6P1/P4P2/5K1R w - -,g6e8
k2r4/pqp3p1/1r2p3/3pN1P1/3P1b2/8/PPR1QP2/1K1R4 w - -,g5g6
8/1r3pp1/3k3p/8/5P2/1p1K1P2/1R5P/8 b - -,d6e6
1r1q1rk1/2pbppbp/3n2p1/ppR5/1n1PP3/1P2BPP1/P2QN1BP/3NK2R w K -,c5c1
2bq1k1r/4bp2/2p1p3/3pP1pp/8/2NP4/1Q1B1PPP/R5K1 b - -,f8g7
3r2k1/1R3p1p/6p1/p7/B2r1P2/7P/6P1/3R2K1 w - -,d1d4
8/pb5p/1p2kb2/4pp2/2P5/1P3P2/P4KPP/3BN3 b - -,e6d6
