8/8/8/4kppp/3N4/1pP2PP1/1P5P/2K2n2 w - -,c1d1
rn2kb1r/1N3p1p/pq4p1/4p3/PpBpP3/5P2/1PPQ2PP/R2NK2R b KQkq -,b6b7
r1bq1rk1/p1p1bppp/2p1pn2/8/2pP4/N5P1/PP2PPBP/R1BQ1RK1 b - -,e7a3
rnb1k2r/pp2ppbp/2p2np1/q2p4/2PP4/4PN2/PP1NBPPP/R1BQK2R w KQkq -,e1g1
1r4k1/2p2pp1/4rn1p/8/p1P5/P1B3Pb/1P3P2/3RR1KB b - -,e6e1
3rnb1r/1k1qp1p1/pppP4/4p2p/P3Q2P/2N3P1/1PP2P2/3RR1K1 w - -,a4a5
r2qrbk1/3b1pp1/p2p2np/1ppPp3/2P1P3/PP2BN2/2B2PPP/R2QR1K1 w - -,g2g3
r1b2rk1/3nppbp/p2p1np1/qppP4/2P1P1P1/2N1BPN1/PP1Q3P/R3KB1R b KQ -,d7e5
r3kb1r/2p2pp1/p2p1qnp/np1P4/3P4/5N2/PPB2PPP/R1BR1QK1 w kq -,a2a4
1r3qn1/2pb1p1k/1b1p1prp/pp1PpN1Q/4P1NP/P1P3P1/1P3P2/R2BRK2 w - -,g4e3
8/p4p2/1p3kp1/3B3p/5K1P/P1P3P1/1Pb5/8 w - -,b2b4
r1b1nr1k/1p2qppp/p1pb4/P3p3/2B1P3/1Q2B3/1PPN1PPP/R4RK1 w - -,f2f4
3r4/6k1/5bPp/p3qp2/2B1p1b1/1Pp3N1/P1K5/4R1Q1 b - -,d8d2
1r1q1rk1/p1pb1pbp/3p4/1N1Pn3/4PBP1/7P/PP2Q1B1/2KR3R w - -,b5d4
4k3/6pp/p1r1pp2/1pB2P2/nP2P1P1/P7/2R1K2P/8 b - -,a4b6
r1b2rk1/pp2qpbp/n1pp1np1/8/2PNPB2/2N3PP/PP3PB1/R2Q1RK1 b - -,f6d7
1kr2b2/pprq4/3pnp2/P3pNp1/1PPpP1Pp/R2P3P/3Q1PBK/1R6 b - -,d7d8
r2qr1k1/1b3ppp/1pnp1n2/p3p3/1pPPP3/1P1Q2P1/P1NN1PBP/R4RK1 w - -,d4d5
rnb1kb1r/pp2pppp/1qp2n2/3p4/2PP4/1QN2N2/PP2PPPP/R1B1KB1R b KQkq -,b6b3:e7e6
r1bqkb1r/p2npp2/1npp2p1/1p4Pp/3PPP1P/2N1B3/PPPQ4/R3KBNR b KQkq -,c8b7
8/1p4p1/4k3/8/4p3/6P1/P3KP1P/8 w - -,e2e3
7k/6p1/1r3r2/pB1P4/Pn3p1R/8/1P5P/3R2K1 b - -,h8g8
2kr3r/pppbn1p1/1b2p1np/4P3/2B1NP2/5NP1/PP2K2P/R1BR4 w - -,c1e3
r3r1k1/1p3ppp/pq3n2/3p4/3Nn3/1NPQ4/PP3PPP/R4RK1 w - -,f1e1
3r3k/7p/5pp1/Q7/P2q4/1P5P/6P1/1R4K1 w - -,g1h1
1r3rk1/3nq2p/3p4/1p1P1p1n/1PpB1P2/8/3Q1NPP/2R2RK1 b - -,d7f6
4r2r/3n2k1/p1q2p2/3NpPp1/1PP1R2P/8/6Q1/4R1K1 b - h3,g7f7
r2r2k1/1p1n1pp1/1qp1pnp1/8/1bPP4/pPB2B2/P1Q1NPPP/R4RK1 w - -,a1d1
1k1r3r/ppqn1pp1/1n1bp2p/B1p4P/3P4/1Q6/PPPNNPP1/1K1R3R b - -,c7c6
rq2k2r/1p3pp1/p1n5/2bNBRp1/4P3/6P1/PP4BP/R2Q3K b kq -,c6e5
8/8/3bN3/6k1/1p2K1P1/1P6/8/8 b - -,g5g4
r2q1rk1/6b1/p2p2n1/2pPpBpp/R7/5PP1/1PPNQ2P/2B2RK1 b - -,f8f5
rn3rk1/1pp1qp1p/3p1n2/p2Pp1p1/2P1P1b1/2B2NP1/PPQ2PBP/R4RK1 b - -,g4f3
r2q1rk1/pp3pp1/5n1p/2bPp3/8/4B1PP/PP2QPB1/R4RK1 b - -,c5e3
2r4k/3p2bp/p2P2p1/q2b1p2/P1r1P3/BQpR1P2/6PP/1NR3K1 b - -,f5e4
6k1/b1q2pp1/p3p1b1/8/1PN3Pp/2P2B1P/P3QP2/6K1 w - -,c4e5
1r4k1/4pp1p/3p2p1/1P1P4/1P1NP3/2B2KPP/2n5/8 b - -,c2d4
4R3/8/8/pK3k2/P2r4/8/8/8 b - -,d4d5
3N4/R7/1r2p1n1/5p1p/3P1k2/5P2/8/4K3 w - -,a7h7
6k1/p3pp1p/2p3p1/5b2/P1P2b1P/5P1B/Pr2K3/3R3R w - -,e2f1
8/4k3/3r1p1p/2pn1R2/P2p1PpP/P2B2P1/2P2K2/8 b - -,c5c4
r3b1k1/pp4pp/3q2r1/3p2N1/4p3/1PQ1P3/PB3PPb/R4R1K w - -,g5h3
2b2rk1/1pp1qpbp/5np1/Q1PP1p2/8/2N1P1P1/4NPBP/5RK1 w - -,f1d1
r1q2rk1/pb1n1ppp/1p3n2/3P2B1/4p2R/P1N1P3/1PQ1BPPP/4K2R b K -,b7d5
r4rk1/1p1n1p2/2pp2p1/p6p/1qPQP1bP/2N2PP1/PP4B1/2R2RK1 b - -,g4e6
4n3/8/2p1p1k1/p1BpP3/P2P2P1/1P3QK1/8/2q5 w - -,f3d3
3b2k1/1p1P1rp1/pN2qn1p/P1p2p2/5B2/8/1P4PP/1Q1R2K1 b - -,d8b6
8/7p/5B2/2pk1K2/3p1P2/8/3N3P/3b4 b - -,c5c4
r2q2k1/r7/3pQpb1/nPpPp1pp/R6P/1PNP4/2B2PP1/R5K1 b - -,g8g7
1rb1k2r/p2nbppp/nq2p3/2ppP3/Q2P4/2P2N2/PP1NBPPP/R1B1K2R w KQk -,e1g1
1r3kr1/1p2pp2/p2q1b2/P1NPn1pp/1P2P1bP/3B4/3QNPP1/1R2K2R w K -,d2e3
2r1k1nr/1q2bppp/p7/1pBPp3/1Q1p4/1N6/PPP2PPP/3RR1K1 b k -,c8c5
4k3/p4p2/2p2R2/1pPr4/3p2P1/P7/KP6/8 w k -,b2b4
r1bqk2r/pp2ppbp/3p1np1/8/2PQ4/2N3P1/PP2PPBP/R1B2RK1 b kq -,e8g8
3r2k1/1p4b1/1p1p3p/2nPP1p1/r3P3/P5P1/1BQ5/5RK1 b - -,d6e5
8/8/5P2/P1R3kp/8/5r2/3K4/8 b - -,g5f6
r6r/pppn1k1p/3b1p2/3Pp3/8/2N2N2/PP3PPP/2KR3R w - -,f3h4
6k1/1p6/p1p2P1P/P1P3K1/1P3B2/5r2/7P/8 w - -,f4e5
6k1/4pp2/R5p1/1r1nb2p/N7/1P4P1/P2BPP1P/5K2 b - -,e7e6
r2q1rk1/1b1n2bn/pp1p2p1/2pP1p2/P3PP1p/2NNBB1P/1P1Q2P1/R4RK1 w - -,a1e1
3B4/8/2p5/p6P/P1P1kp2/1Pb5/4K3/8 w - -,d8c7
8/3P2R1/5pp1/7p/4p2k/3r4/7K/8 w - -,g7g6
3qn1k1/NQpbbr2/3p2n1/2PPp1pp/1PN1Pp2/5P2/4BBPP/4K2R b K -,e8f6
8/p7/8/4b3/3k4/1P5p/N4K2/8 b - -,a7a5
r1b2rk1/pp2b1pp/2p1p3/3pPp1q/2P1n3/1P1BP3/PB2NPPP/2RQ1RK1 b - -,e4c5
r1bqkb1r/1p4pp/p1n2p2/3pp2n/3P4/2N1PNB1/PP3PPP/2RQKB1R b Kkq -,h5g3
r1bqr1k1/ppp1ppbp/5np1/5n2/7P/B1NP1NP1/PP1QPPB1/2R1K2R w K -,e2e4
rnbqkb1r/ppp1pp1p/5np1/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq -,g1f3
3r3r/pp1nkpp1/2p1pnp1/8/1bP5/2N3PP/PPR1PPB1/R1B3K1 w - -,c1e3
8/2R2p2/1k2p3/5rp1/4K3/7P/8/8 w - -,c7c2
r2r2k1/1bp1b1pp/2p1n3/p2pPp1q/2P2P2/1P2QNPP/PBB4K/R2R4 b - -,d5c4
8/6p1/4pk1p/7P/5PN1/4KB1r/8/8 b - -,f6e7
3R4/4kppp/2p5/p7/P5P1/7P/1Pq1B3/5K2 w - -,d8b8
5rk1/p2q2bp/1p2n1p1/4Pp2/3p4/4B1P1/PP1Q1PbP/2R2NK1 w - -,g1g2
8/4k2p/1p2p1p1/pK3p2/3b1P2/2p3P1/N1P1P2P/8 w - -,e2e3
r1q1k2r/1p1nbppb/p1p1pn1p/2Pp4/3P1B2/1QN1PN1P/PP2BPP1/R4RK1 b kq -,e8g8
6k1/5p2/6pb/3q4/p3p2P/6P1/P3RPNK/2r1Q3 w - -,e1b4
rnbq1rk1/pp4bp/2p2ppn/3p4/3P4/2NB1N2/PPP2PPP/R1BQ1RK1 b - -,f8e8
2r1r1k1/p4pp1/2pR1n1p/2n1pb2/2P5/2N1PN1P/P4PP1/R4BK1 w - -,a1d1
r4rk1/pp3ppp/1nn1p3/8/4Bqb1/NPP1QN2/3P1PPP/R4RK1 b - -,f4e3
1r4k1/1q3pp1/3p1n1p/b2b4/2Q1PB2/7P/1PB2PP1/3R2K1 w - -,e4d5
r1bq1rk1/ppp2pbN/3p2pn/8/2B1P3/4Bn2/PP4PP/RN1QK2R w KQ -,d1f3
4r1k1/2pq3p/3p2pb/2nP1p2/pQ6/R1P1B2P/1PN2PP1/6K1 b - -,h6e3
5r1k/2p2ppp/1pBp1n2/p7/2P5/6P1/1P3P1P/1R4K1 b - -,h8g8
r4rk1/ppq3bp/2p1bpp1/4p3/2P2P2/2BB2P1/PPP4Q/1K1R3R b - -,h7h6
2r3k1/4bppp/p3p3/5P2/q2Pb3/1p2P1N1/1P2Q1PP/5RK1 w - -,g3e4
8/p1r5/P1Bb1kp1/1K3p2/5P2/4P3/5P2/2R5 w - -,c1h1
