8/5K2/7P/7R/4k3/8/8/6r1 b - -,g1f1
6k1/p6p/1p4p1/1PnP4/4n1P1/P6P/5r2/2R3K1 b - -,f2d2
2k1r1r1/p1p4p/b1pnPBpq/4Q1P1/2P5/1P6/P2N3P/2KRR3 b - -,h6h3
r5k1/1b4pp/pq2pp2/1p2n3/1P2P3/1N4P1/P3QPBP/1R1r2K1 w - -,b1d1
r4rk1/1pp1qpb1/3p2pp/p1nPp2n/2P1P3/1PN2NPb/P1QBBP1P/R3R1K1 b - -,h5f6
rnbqkb1r/2pp1pp1/p3p2p/1p2P3/3P4/2NB4/PPPQ1PPP/R3K1NR b KQkq -,c8b7
1r1r2k1/2qnbppp/pp1p1n2/4p3/NPPB3P/P3QBP1/4PP2/2RR2K1 w - -,d4a1
2r2r1k/1p2q1p1/pQ2p2p/4n3/5p2/7P/PPPRBPP1/3R2K1 w - -,f2f3
3r4/5k1p/pp1pb3/4nN2/2P1PBP1/1P6/P3BKP1/8 w - -,f2e3
6rr/1pk5/p2p2np/3Pp1b1/2P2pP1/3B1N2/PPK2P1P/3R2R1 b - -,g6h4
r3bk2/ppq1r1b1/2p2p1p/2P1pPn1/2B1P1P1/PP2BN1R/7Q/R5K1 w - -,f3g5
r2r1k2/pp4b1/2p1pnR1/8/3P1P2/1B2P2R/PP3K2/8 b - -,d8e8
2b3r1/p1q2p1k/1p1b1Qp1/2pp3N/2P5/1P6/P4PPP/3RR1K1 w - -,d1d5
r4rk1/5ppp/1pp5/5b2/8/P4NB1/1Pn2PPP/2R2RK1 b - -,c6c5
8/4k3/2K5/p6p/2PR3P/6r1/P7/8 w - h6,c4c5
8/5k2/R7/5Kp1/4P1P1/5P2/p7/5r2 w - -,a6a7
r2q1rk1/pp2n2p/5bp1/1N1pB3/8/8/PPP2PPP/R2QR1K1 b - -,a7a6
r1bq1rk1/pp2ppb1/5npp/3P4/2BP4/2N5/PP2NPPP/R2Q1RK1 b - -,a7a6
2r3k1/7p/r1p2b2/3p4/3N2n1/P4NB1/1P3PP1/1KR5 w - -,c1c2
3r2k1/5pp1/2p2b1p/p3P3/P3Q3/1PRrB1Pb/4qP1P/4R1K1 w - -,c3c1
r2qkb1r/1pp2ppp/p1n1pn2/7b/2BP4/1PN1PN1P/P4PP1/R1BQ1RK1 b kq -,f8d6
4r1k1/6pp/2R1n3/pp1rB2P/1b3P2/1P2PK2/P3B3/6R1 b - -,h7h6
r7/ppkn3p/2p3r1/3p4/6P1/2N3BP/PPP5/2KRR3 b - -,c7b6
8/pp2R2p/4b1pk/8/2P3P1/5R2/P4P1P/3rrBK1 w - -,f3h3
2kr3r/ppp1q3/1nnb4/5ppp/3Pp3/PPNbPPP1/4N1BP/R1BQR1K1 w - -,d4d5
r4rk1/1pbbq1pp/p1p1p3/P2pP3/2P1p3/1P2P1P1/1BRQ1PBP/5RK1 b - -,f8f7
r1r3k1/2qnbppp/p1bpp3/6P1/N3P3/1P2BP2/2PQ2BP/R4RK1 w - -,f1c1
3Qb3/5k2/4p3/4P1P1/3P4/2K5/8/q7 w - -,c3b3
8/3q1k1p/p4pp1/4p3/1PP1Q3/6P1/5PKP/8 b - -,f6f5
2r2rk1/3nbp2/pq1p2pp/1p1P4/5R1P/1N1Q4/PPP1B1P1/1K1R4 b - h3,d7e5
8/6p1/p3r2k/R7/p4r2/2P2P2/1P3R1P/3K4 w - -,d1c2
2krr3/1p4pp/p7/8/P7/3p1P2/P2R2PP/R5K1 b - -,e8e2
8/2QR1qk1/6p1/P1p5/4p1nP/6K1/1P6/5r2 b - -,f1f3
r4rk1/2q1p1bp/3ppnp1/p7/N2BP3/5P2/1PPQ2PP/R4RK1 w - -,b2b3
r7/p5k1/1n2b1pp/4N3/2p1r1P1/7P/PP2BP2/R2R2K1 w - -,e2f3
4bk2/8/1p2pp1p/p2p2p1/P2P4/1P2P1P1/5PKP/R1Nr4 w - -,g3g4
2r5/1pBbk3/4pp1p/2P3p1/pK2B3/Pn2PP2/6PP/3R4 w - -,c7d6
1n6/1P1k4/3p4/b7/4Pp2/1B3P2/3pK3/8 w - -,e2d1
4R3/r4Bpk/7p/8/3K4/7P/8/8 w - -,f7g8
rnb2rk1/ppq1npbp/2p3p1/4p1B1/4P3/2PB2N1/PP1N1PPP/R2Q1RK1 w - -,d1c2
6B1/p7/1kb1R3/1p6/8/7K/P2r4/8 w - -,g8f7
2r4r/p2n1pk1/4p1pp/n1p1P3/2Pp4/Pq2N2P/1P1NRPP1/2Q1R1K1 b - -,b3b7
6k1/p5R1/r7/3N3p/2PB4/1PK5/8/5r2 b - -,g8f8
8/8/4kp1p/5R1P/1P4P1/4Kp2/8/5r2 b - -,f1b1
1rb2rk1/2q1bppp/p1nppn2/1pp5/4P3/P1PPBNNP/BP3PP1/R2QK2R b KQ -,f8d8
R7/p5p1/1p2kp2/rP6/2P5/1n2BPK1/6P1/8 b - -,e6e5
3R4/8/8/2b5/2k5/4r3/3K4/8 w - -,d8c8
1r1r2k1/1pqbbppp/p1npp3/8/2P1PP2/1PN1BN2/P4QPP/2RR2K1 b - -,b7b5
r6r/2p2pk1/p1q1pbp1/B6p/2NP1P1P/1P6/P1P1Q1b1/1K1R3R w - -,c4e5
r1b2rk1/1pp1q1pp/2n2b2/p3p3/2P1QB2/5NP1/PP3PBP/R2R2K1 w - -,f4e3
8/p4n1r/1pp2k2/4p3/6RP/4nPN1/PP6/1K5R w - -,g3e4
r2k2nr/ppp3bp/1n2bpp1/4p3/P3P3/BPN2N2/2P1BPPP/R3K2R b KQ -,b6d7
8/6kp/6p1/4p1qP/3bB3/5PPK/1p6/1Q6 w - -,h5g6
1r1q1rk1/2p2pp1/p1nb1n1p/1p1p4/Q4Bb1/3P1NP1/PPN1PPBP/3RR1K1 w - b6,a4b3
2b3k1/1pp2p1p/p2r1pp1/Pn1N4/2R5/1P2P1P1/5P1P/6KB w - -,d5e7
6R1/5k2/6n1/5p2/7p/4K2P/8/8 w - -,g8a8
2kr3r/1bqnb1p1/p2p4/1p3p1p/5Pn1/PNN2BQP/1PP3P1/R1B1R2K b - -,e7f6
r3r1k1/1b2nqpp/pp2Rp2/2p2P2/3P1B2/2P4B/2P2QPP/R5K1 w - -,f4g3
2r2bk1/3n1p1p/5np1/1R2p1N1/1P2P3/1P2B1NP/1r3PP1/4R1K1 w - -,g5f3
1r2n1k1/1q3ppp/p1R1p3/r2p4/3PP3/3Q2P1/1P3PBP/2R3K1 b - e3,b7b2
4r1k1/pp1r1pb1/2p1qpb1/7p/3PpQ1P/P3P1P1/1P1N1PB1/2RR1K2 w - h6,c1c5
1n1q1rk1/rbp1bppp/p3pn2/1p6/3P4/5NP1/PPQBPPBP/RN3RK1 w - -,f1d1:f1c1
r4r2/pb5p/1p1P1k2/P1n2N2/8/4p3/2B3PP/1R1R2K1 w - -,f5e3
3rr1k1/p1q2pp1/1p2p2p/2bb4/4n1N1/1P1Q1P2/PBB3PP/R3R1K1 w - -,g1h1
r2r3k/pp4bp/4q1p1/n3pp2/3P4/B1P3QP/P1R1NPP1/1R4K1 b - -,a5c4
2k1rr2/1p5p/p1pqpRp1/P2pN1P1/3P1Q2/2P5/1P3PP1/6K1 b - -,d6e7
r1b5/p1p2p1k/1p1p1P1p/n3pr2/q1P1P2P/2PB4/P1R1Q1P1/5RK1 w - -,e4f5
4k3/4bpp1/p1n1p3/2p1P2p/1pP1NP2/1P4P1/PB2K2P/8 w - -,h2h3
5nr1/p4k2/1pp1p1p1/6R1/1PPP1N2/2K2PR1/P7/r7 w - -,c3b3
rnb1kb1r/ppp2pp1/4pq1p/3pP3/3P4/5N2/PPP2PPP/RN1QKB1R b KQkq -,f6d8
8/2p2pk1/1p2n2p/p1p1P2P/P1P1K1N1/1P4P1/1B1b1P2/8 b - -,d2e1
3R4/2r2p1k/p3p2p/1p2nP2/8/P1P3N1/1P5P/5K2 w - -,f5e6
r2qr1k1/1b1p1ppp/np1b4/p1pP4/4PP2/P1NQ3P/1PB3P1/R1B2RK1 w - -,e4e5
r1b1r1k1/1p1n1pbp/p5P1/2pP4/P1q1N3/2N1B1QP/1P4P1/R4RK1 b - -,h7g6
r1b2rk1/ppp2pbp/2np2p1/4p3/3PP1nq/P1PBB2P/1P1QNPP1/RN3RK1 b - -,g4e3
1r6/R4pk1/4p1p1/1BKp3p/7P/6P1/5P2/8 w - -,b5d7
2k5/p5P1/1p2b3/4B3/4p3/1Ppp4/4K3/8 w - -,e2d1
1r2r1k1/3n3p/b1pq1bp1/2p1pP2/4P3/PpQPBN1P/1P2N3/1K1R2R1 w - -,f5g6
r1bq1rk1/pp3ppp/5n2/3pN3/1b1P4/2NQ4/PP3PPP/R1B2RK1 b - -,h7h6
7r/1p4k1/1r1qbp2/p1b1n3/2PpPpp1/PP1B1P2/R1QN2P1/2RKN3 b - -,d6f8
rnbqk1nr/pp3ppp/4p3/8/2p1P3/b1P2N2/P1BP1PPP/R1BQK2R w KQkq -,c1a3
6k1/7p/p3q3/P1n2pp1/3P2P1/8/5P1P/3QB1K1 b - -,c5d7
