8/8/2pk1p2/R4b1p/3r3p/5P2/1N4PK/8 b - -,f5e6
r4r2/3qppbk/1Bp3p1/7p/4PPnP/1Q6/PP2BP2/1KRR4 b - -,d7b7
r4r1k/ppB3p1/2n2nP1/2QR4/4p3/P4q1P/1PP5/1K1R4 b - -,a8e8
r3r1k1/1pqn1p1p/p1p1pbp1/8/2PP4/1P1R1N2/PB2QPPP/3R2K1 b - -,a8d8
8/7p/8/2KB3b/P4k2/5p2/3r4/5R2 b - -,f3f2
5k2/8/PpR4p/6p1/5r2/4K3/8/8 w - -,a6a7
r1b3k1/2q1bp1p/pr1p1np1/3Pp1B1/R1p1P3/2P2NNP/1P1Q1PP1/4R1K1 w - -,g5e3
8/pp4p1/7p/4Pk2/4p3/PP4K1/5P1P/8 w - -,e5e6
r2qkb1r/5ppp/pn1p1n2/3P4/1p2pP2/1N2B2P/PPP3P1/R2QKB1R w KQkq -,e3b6
8/p1n4p/1k4p1/1ppN1p2/5P2/1P2P3/P1BK1P1P/8 b - -,c7d5
r3r3/1pqb1pbk/2pp1npp/p7/2P1PP2/1PN1B1PP/1PQ3B1/3RR1K1 w - -,c2d2
R7/8/3r4/5p2/5k1p/8/6K1/8 b - -,d6g6
r3k2r/4bppp/1p6/p2pn3/7P/P7/1P1N1PP1/R1B2RK1 b kq -,e8g8
r1bqr1k1/pp1n4/3b2p1/2pP1p1p/B1P1p2P/2Q2NN1/PP2RPP1/4R1K1 w - -,f3g5
7r/1p3k1P/p1p2P2/P1P3K1/1P5P/8/3B4/8 b - -,h8h7
rq3rk1/p2QBpbp/1pb3p1/n7/4P3/5N2/P3BPPP/3R1RK1 w - -,d7d6
rqb3k1/1p2bpp1/pBn1p2p/7P/2B5/1N3PP1/PPP2Q2/1K1R4 b - -,b8e5
r1bqkb1r/p1p3pp/1p1p1n2/3Pp3/1PP1p3/2NnB1N1/P4PPP/R2QKB1R w KQkq -,f1d3
r5k1/pp5p/8/3p1p2/2b5/2P2P1P/P4P2/R3R1K1 w - -,e1e7
6B1/3b1p2/p2b4/2p3k1/2Pp4/3N3P/PP4K1/8 b - -,d7e6
2r3k1/1p1bbppp/r7/p2p4/n4P2/1NP1B2P/PPB3P1/2KRR3 w - -,d1d5
5r1k/1p1q2b1/3p2p1/2pPp1Pp/4P2P/pP2BpR1/P2QRP1K/8 b - -,f3e2
4r1k1/2q1rp2/b2p1npb/p1pPn2p/PpP4P/1P3PN1/1B2B1P1/RN1Q1RK1 b - -,h6e3
1N6/2p1k1p1/p2nbp2/2p4p/2P5/1P3PNP/P2R2PK/1r6 w - -,g3h5
5rk1/1p4qn/3N2p1/1B1Pp2p/1P2Pb1P/6Q1/2r2BP1/5RK1 w - -,g3h3
r4rk1/p1nq1pb1/3p2p1/3Pp1Pp/1p2P2P/2N1B3/PP2QP2/1KR3R1 w - -,c3d1
2kr3r/1ppnqp1p/p1p1b3/6p1/3NPb2/2P1Q3/PP1N1PPP/R1B2RK1 w - -,e3e2
8/2R2pk1/2p1r1p1/pb5p/7P/1Pb2B2/K1P3P1/3R4 b - -,a5a4
8/r4k2/2p4p/3p1p2/5P2/rR2PK1P/6P1/1R6 b - -,h6h5
8/7p/8/NK1kn3/5p2/1P6/7P/8 w - -,a5c4
2k5/1p1r2pp/p1n1p3/2P5/P5P1/1R2B2P/4KP2/8 w - -,b3d3
1rbq1rk1/p3ppbp/2np1np1/1pp5/3PPB2/2P2N1P/PP1NBPP1/R2Q1RK1 b - -,c5d4
rq3rk1/pbpn1ppp/1p1bpn2/3pN3/3P4/3BPNB1/PPP2PPP/R2Q1RK1 b - -,c7c5
2Q5/pp2p1k1/b5pp/4P3/6P1/4r3/7P/6K1 w - -,c8e6
6k1/2p2ppp/q1np1b2/4p3/1p2P3/1P1PBN2/1QP2PPP/6K1 w - -,f3d2
4rrk1/p1ppqpbp/b1p3p1/3nP3/2P5/1P4P1/PB2QPBP/RN2K2R w KQ -,e1g1
5k2/3R2pp/1b6/3B4/rpP3P1/7P/8/7K w - -,d7f7
r6k/4qn1p/1r2b2p/p2p1B2/3P2N1/4Q3/1p4PP/1R2R2K b - -,a8a6
r1b1r1k1/1p1n1ppp/p2q1n2/4p3/1P4P1/P2BPN2/1BQ2P1P/R3K2R w KQ -,e1c1
r1bq2k1/pp2n1pB/2n2r2/2ppp1B1/3P2Q1/P1P2N2/2P2PPP/R3K2R b KQ -,g8h7
1n2Bn2/5Qpk/4p2p/4P3/1q3P2/p5PP/P5NK/8 w - -,f4f5
3rrbk1/1b3pp1/p1q4p/1p2pN2/2p1P1P1/2P2Q2/PPB2PP1/R3R1K1 w - -,a1d1
n7/P6p/8/4kpp1/4p3/6P1/4NPKP/8 w - -,f2f4
8/2p5/1p1pk1p1/1Pb4p/2P1PP2/2B3KP/8/8 b - -,c5e3
r3q1k1/pp4p1/3nrp2/3p3p/P1pP4/1nP1PP2/3BQNPP/R4RK1 w - -,a1e1
r1r3k1/1b2bppp/4pn2/p3N3/PpB5/4BP2/1P4PP/2RR2K1 b - -,f6d5
3r2kr/1p3pp1/p1n2n2/2B1p3/7p/2N4P/P1P1bPP1/R3R1K1 w - -,e1e2
r1bq1rk1/pppn1pbp/6p1/4pn2/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f1d1
6k1/5pp1/7p/p2PpP2/P1prn3/6P1/2K1R2P/3N4 w - -,d1c3
4r1k1/pp3ppp/5n2/3pN3/2pP4/2P5/PP2qPPP/R1Q3K1 w - -,f2f3
1n1q1rk1/1p2bppp/3pbn2/r3p3/4P1P1/pPN1BP2/P1PQ3P/1KNR1B1R b - g3,d6d5
rnbqk2r/ppp1ppbp/6p1/3N4/3P4/4P3/PP3PPP/R1BQKBNR b KQkq -,d8d5
5b2/6p1/1B3p2/1p5P/p2p4/3N4/P3K3/1k6 w - -,b6d4
1Rb4r/4n2q/p2pNk2/2pP1p2/2P5/6P1/P3BP2/2Q3K1 w - -,c1c3
2kr4/p4pp1/2q1pb1p/1pP4P/2P3P1/1P1RPN2/P1K1Q3/8 b - -,d8d3
5rk1/1pR3b1/3r2p1/pB6/P3K2p/7P/1P2R1P1/8 b - -,d6d4
r1b2b1r/pp1nk3/4pp2/3pP2q/3P1P2/5NQ1/PP4PP/R1B1K2R b KQ -,b7b6
8/p6R/1k1p2p1/3P2P1/2P4P/7r/3K4/8 b - -,a7a5
8/p1kb1p2/Bp2p1p1/3pP2p/P2P1P1P/1P2K3/6P1/8 b - -,c7d8
r2qk2r/pp3ppp/2p2n2/2b1n3/4P3/2N2BP1/PP3P1P/R1BQ1RK1 w kq -,f3e2
r5k1/1b1r1p2/p3pp1p/2pp3P/5PP1/8/PPPK4/4RB1R b - g3,g8h8
7r/3b4/5k2/4p1pP/p1Pn1p2/P1R4P/1P1R1P2/5K2 w - -,c4c5
8/4rpk1/7p/2PB1R1P/6p1/2b3P1/2Kp1P2/8 w - -,d5b3
8/p7/P7/8/4p3/2p1K1k1/8/8 w - -,e3e2
2rqr1k1/3n1p1p/bpp1pbp1/p7/N1PP4/PP1B1Q2/1B3PPP/R2R2K1 b - -,f6g7
r2q1rk1/1p1b1ppp/p3p3/n3N2n/Pb1P4/2NQ4/BP1B1PPP/R3R1K1 b - -,a8c8
5k2/5p2/8/6R1/1N4P1/p4PK1/1r6/8 w - -,b4d3
8/5p2/8/1p1k1P2/1p1bp1NP/PR4P1/KPP5/3r4 b - -,b4a3
2rq1rk1/pp1bbppp/2nnp3/3p4/3P1B2/P1NBPN1P/1P3PP1/2RQ1RK1 w - -,b2b4
8/2RbBppk/p2P3p/8/8/6KP/P2r2P1/8 b - -,d7b5
r2qk1nr/ppp2pb1/2npb1pp/4p3/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 b kq -,d8d7
r4rk1/1q2bp1p/bn2p1p1/n1ppP3/p4P2/2PP2N1/1P1N1BPP/R2QRBK1 b - -,c5c4
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2P2N2/PP1NBPPP/R1BQK2R w KQ c6,d4c5
5k2/5p2/2p2P1p/3p3P/1p6/pP4R1/P1r5/1K6 b - -,c2b2
r1b1rbk1/2qn1p1p/pP2pnp1/3pN3/3P1P2/1QN1P3/1P2B1PP/R1B2RK1 b - -,c7b6
rr1q2k1/4ppbp/bn1p1np1/2pP4/4P2N/1PN3P1/P1QB1PBP/1R1R2K1 b - -,f6e8:b6d7
3r1r2/2k1n1pp/2bp1p2/p1p4P/1p2P1P1/P3NP2/1PP1N3/2KR3R b - -,b4a3
1r4k1/2p2p2/p1pp2pp/1r6/3QPPP1/2P3P1/qP2R1K1/3R4 w - -,d1d2
1r6/1rp2k1p/8/P1p2p2/2b1pP2/P1BnP3/2BR2PP/R5K1 w - -,d2d1
5kr1/pp2bp1p/2p5/4r3/2P1N3/8/PP4PP/4RRK1 w - -,a2a3
3rr1k1/1p3pp1/2p4p/R7/1n1P4/1N1pP3/3K1P1P/R7 w - -,a1a4
rnbqkbnr/pp3ppp/2p5/4P3/P1p5/2N5/1P2PPPP/R1BQKBNR b KQkq -,d8d1
r3kb1r/2qb1pp1/2pp1n2/pp2p1B1/3PPP1p/1BNQ4/PPP3PP/2KRR3 b kq -,d7g4
