8/5b2/4p3/3k2Kp/5P2/7B/8/8 w - -,g5f6
4Qbk1/5p2/3B3p/6p1/2qP4/5N1P/2r1nPPK/5R2 b - -,c4c8
1r5r/3kpp1p/1Rn3p1/2P5/4N3/3K4/Pb3BPP/7R w - -,d3c4
r1bqk2r/pp2np1p/3p2p1/2p1b3/8/2PP2P1/PP2P1BP/RNBQ1RK1 w kq -,d1a4
1rq3k1/2rnppbp/b2p1np1/2pP4/8/1PN1PNP1/PBQ2PBP/1R1R2K1 w - -,b2a1
r1b2rk1/ppp3pp/2np1q2/3Pp3/2P5/3B1N2/PP1Q1PPP/R3K2R b KQ -,e5e4
r2qkb1r/pp1bpppp/5n2/n1P5/Q4B2/2N2N2/PP2PPPP/R3KB1R w KQkq -,a4b4
2rr4/pp4kp/4bpP1/3pp3/4PnP1/2P1N1N1/PPB2P2/1K5R b - -,h7g6
r7/1p1r1ppk/4q2p/n3pN2/P3P3/3P3P/6P1/1R1Q1RK1 b - -,a8d8
r1b1k2r/p2nqppp/1pp1pn2/8/2PPN3/5NP1/PPQ2PBP/R4RK1 b kq -,f6e4
rn2kb1r/pp2pppp/2p2n2/q4b2/2BP4/2N5/PPP1NPPP/R1BQ1RK1 b kq -,e7e6
rnbqkb1r/pp3p1p/2p1pnp1/8/2pP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e2c4
8/4k3/4p3/3b1p2/r1p2Pp1/2K3Pp/1PP4P/4RB2 w - -,f1e2
r2qr1k1/pb3pbp/1p1p1np1/nP6/3BP3/P2B1N2/3N1PPP/R2Q1RK1 w - -,f1e1
1r6/3k1p1p/3P2p1/3KPp2/2p5/pbN5/4R1PP/8 b - -,b8a8
2r3k1/1p3ppp/4b3/p1rpN3/3R4/P1P4P/1P3PP1/4R1K1 b - -,g8f8
8/1p3kp1/pBn4p/3Kp3/8/2P4P/P7/8 w - -,d5d6
r2qkb1r/pp1n1pp1/2p1pn1p/7P/3PN3/3Q1N2/PPP2PP1/R1B1K2R w KQkq -,c1f4
2r3k1/pp3ppp/8/4q3/3rp3/1P1nPP2/PB1Q3P/R4RK1 b - -,e5g5
8/5pk1/6p1/4n2p/1NP5/3P2PP/r3P1K1/8 w - -,b4a2
r2qr1k1/1p1n1pbp/p2p1np1/2pP4/P3PP2/2N2Q2/1P1N2PP/R1B2RK1 b - a3,a8b8:d8c7
3r2k1/5p1p/Pq2p1p1/1P6/8/4bBP1/4Q2P/1R5K w - -,e2c4
2R2bk1/3r1ppp/4p3/p7/Pn3P2/5BPP/1P2K3/4B3 w - -,c8a8
r1bqkb1r/p3pppp/2pp1n2/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,e7e5
r1b1kb1r/ppp1qp2/2np1npp/4p3/4P3/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,b1d2
1n2nrk1/Rbq2pbp/2Np2p1/1QpPP3/1p3P2/6P1/1P4BP/2B1R1K1 b - -,b7c6
2b2rk1/7p/3p3r/1p2n1pq/2pQPp2/2B2P1P/1P3RP1/R4B1K b - -,g5g4
8/4k1p1/7p/p1p5/PpPbp1PP/1P1R4/1r2B3/5K2 w - -,d3g3
r2qk2r/p1p1bppp/2p1pn2/3p4/2PP4/2N1PQ2/PP3PPP/R1B2RK1 b kq -,e8g8
r4k2/rp2qp2/2pnn1p1/3p3p/PQ1P4/2N1P2P/1R1N1PP1/1R4K1 b - -,f8g8
8/2B2p2/4p1p1/3kP1Kp/7P/3n4/8/8 b - -,d3e5
r1b4r/ppk2pp1/2Ppp3/8/2P1n3/P4N2/1P2PP1P/R3KB1R b KQ -,b7c6
r1b1k2r/pp2bppp/1qp1p3/8/2QPP3/2n2NB1/PP3PPP/2KR3R w kq -,c4c3
2r4k/R5Rp/7p/4pq2/8/6QP/1Pr3PK/8 w - -,a7f7
r1b2qrk/p4p1p/1ppp1pn1/4p3/3PP3/2P2N2/P1P2PPP/1R1QRB1K w - -,f3d2
3k1b1r/1p2pp2/3p4/5P1p/1r3P2/1B6/P5PP/R4RK1 b - -,f8g7
6k1/p4p1p/8/1Q2n3/4PN2/6P1/qP3K1P/8 b - -,e5c4
r3kb1r/p4ppp/bqp2n2/4p1B1/3PP3/1NN2P2/PP4PP/R2QK2R b KQkq -,a8d8
rnbqk2r/1p3ppp/2p1pn2/8/Nbp5/1P3NP1/PB1PPPBP/R2QK2R w KQkq -,b3c4
2R5/5pk1/2p1p3/4P1p1/2r3P1/4PK2/5P2/8 b - -,c6c5
6k1/rp1qrp2/2p1n1pQ/P2pP2p/3P3P/1R3NP1/P4PK1/1R6 w - -,f3g5
1r2r1k1/pp3pp1/2p1b1qp/3p4/2NPP3/P1P3P1/5PBP/R1Q1R1K1 b - -,d5c4
rn1qkbnr/pp2pppp/2p5/7b/4N3/5N1P/PPPP1PP1/R1BQKB1R w KQkq -,e4g3
2k5/p7/3bpp2/3p3p/3P1P1B/8/PP4P1/6K1 w - -,f4f5
3r1r2/1p2p1k1/p1n1b1p1/2pN1p1p/4PP2/P1P2B1P/1P4P1/2KRR3 b - -,f5e4
8/8/p1B1bk2/5ppp/1pPR1n2/1P3P1P/r2N1KP1/8 w - -,g2g3
rnb1kb1r/2p1pppp/p2q1n2/1p6/2B5/2N2N1P/PPPP1PP1/R1BQK2R w KQkq b6,c4b3
r1b1k2r/1pqn1ppp/p3pn2/3p4/4P3/1NPBBQ2/PKP2PPP/3R3R w kq -,e4d5
r2qk2r/pbpn1ppp/1p1ppn2/8/2P1P3/P1PP1N2/4BPPP/R1BQK2R w KQkq -,e1g1
rnbqkb1r/pp3ppp/3ppn2/8/2P1P3/3B1N2/PP3PPP/RNBQ1RK1 b kq -,f8e7
r4rk1/p2n1ppp/1p4q1/2pPb3/2Q5/P1B3N1/1P3PPP/R3R1K1 b - -,e5c3
8/r3p3/4k3/8/p2K1PP1/R7/8/8 b - -,a7a8
r3r1k1/b1q2pp1/p1ppbn1p/P3p3/3PP3/B1P2N1P/3N1PP1/R2QR1K1 w - -,d1e2
r1bqk1nr/1ppp1ppp/2n5/p3p3/1NP5/5N2/PP1PPPPP/R1BQKB1R b KQkq -,a5b4
r3k2r/pp1nqppp/2p1pn2/5b2/PbBP3N/2N1P2P/1P3PP1/R1BQ1RK1 b kq -,e8g8
2r4k/1p1n2p1/5n1p/3PpP2/1b4P1/6NP/1B4K1/1B1R4 b - -,c8c4
6k1/p2R4/1p3p2/8/Pb2N3/1n3PP1/2r4P/6K1 w - -,e4f6
R7/8/3npkpp/8/6PP/5K2/8/8 b - -,d6f7
2r1r3/pP3pk1/8/1P4n1/4p1pN/3nP1P1/5PB1/1QqR2K1 w - -,b7c8q
3r2k1/1pq2p1p/p1p1r1pB/2P1b2n/Q3N3/2P3PP/P4PK1/1R2R3 w - -,e4d6
r4rk1/1p3pbp/4b1p1/3qp1B1/pN6/2P2P2/PP1Q2PP/R3K2R b KQ -,d5d2
8/p3k3/3b1p2/2rB3R/8/8/P4K2/8 w - -,h5h7
r6r/1bb5/2k1p1Pp/Pp1p4/1Pp4B/2K1PR2/2B2P2/R7 b - -,c7e5
8/8/3Q4/8/7K/8/3kr3/1q6 b - -,b1d3
4r1k1/1b1nqpb1/5n2/1p2pPN1/1p2N3/1R6/r1P1Q1BP/2B3RK b - -,e8c8
8/6p1/1p1b1k2/2pPpP1p/2P1K2P/1PB3P1/8/8 b - -,d6b8
rnbq1rk1/pp3ppp/5n2/3p4/2pP4/P1P1P3/2Q1BPPP/R1B1K1NR b KQ -,b8c6
r2qr1k1/1ppn1pbp/p2p2p1/4n3/2P5/2N1BPP1/PP2QPBP/2RR2K1 b - -,d8c8
r6r/1b2kpp1/p3p2p/1p6/3Nn3/1B3P2/PPP3PP/2KR1R2 b - -,e4c5
r6r/pp1nkpp1/1bp4p/4P3/5P2/6PN/PP2K1BP/3R3R w - -,h3f2
3n1k2/3Q1p2/7P/p2q4/1p2p3/3p3B/PP4P1/6K1 b - -,d5d7
4k2N/6n1/3Bp3/2K1P1p1/5bP1/8/8/8 b - -,e8d7
2kr1b1r/pp1q3p/2n1bp2/2p1pPp1/P1Np2P1/3P4/1PP2PBP/R1BQ1RK1 b - -,e6d5
rnbqk2r/4ppbp/p2p1np1/1PpP4/4P3/2N2P2/PP4PP/RNBQKB1R b KQkq -,e8g8
r5k1/1p4p1/2p1pp1p/8/RPnPn3/pR1N2P1/P1N1PPKP/8 b - -,a8a4
8/2k3p1/5p1p/pR5P/P5P1/1P3PK1/1r6/8 b - -,c7c6
6k1/5p2/5bpp/3R4/8/5NPP/5P1K/1r6 b - -,g8g7
rnbqkbnr/1p1p1ppp/p3p3/2p5/4P3/2P2NP1/PP1P1P1P/RNBQKB1R b KQkq -,b8c6
8/7r/pN1pkbp1/P1p1p3/4P3/1PP2P2/4K1P1/R7 b - -,f6d8
4r3/1R6/2p5/2P3P1/8/4BKPP/1pk5/8 b - -,b2b1q
1k6/5PR1/2P5/2K5/8/p2r4/7p/8 b - -,d3c3
3b4/3k4/6K1/6p1/6P1/8/2PB4/8 b - -,d7e6
