1B6/8/2b2b2/7p/4k2N/6K1/8/8 b - -,c6a4
3rr2k/6p1/pp3p1p/4p3/2Pq4/1P2R1Q1/P5PP/5R1K b - -,d4d2
8/5k2/8/5P2/5P2/1r6/R6P/6K1 w - -,g1g2
2r3k1/R2R1pp1/6p1/8/1p4P1/4PK1P/1r6/8 b - -,c8c2
r1b1r1k1/ppp1qnbp/3p2p1/1P2Pp2/2P5/2B2NP1/PQ2PPBP/3R1RK1 b - -,d6e5
r4b2/3r1pp1/2k1n1b1/2ppPN2/p5P1/B1P2NK1/P2R1P2/R7 w - -,a1d1
r4rk1/pp1bqppn/4p2p/3pP3/3P4/2PB2Q1/PP1N1RPP/4R1K1 b - -,e7g5
6k1/6P1/5PP1/4K3/5n2/8/8/8 b - -,f4g6
1r3k2/2r2pp1/1p5p/p3R3/3R2PP/P3P3/1P3P2/6K1 b - g3,b8e8
rn2r1k1/p2bbppp/1qpB1n2/8/1p2P3/1N3B2/PPPQNPPP/1K1R3R b - -,e7d6
r1b1qrk1/ppp3bp/3pn3/1P2pppn/2P1P3/2NP1NP1/PB1Q1PBP/R4RK1 b - -,f5f4
r5k1/1b3r1p/pn2p1pQ/1p2qp2/8/P1Np4/1P3PPP/3R1RK1 w - -,d1d3
4r3/1P6/P7/2N3k1/3R3p/5b2/1KP5/8 w - -,c5e6
1r1qrnk1/7p/3pbnpQ/2p5/1pBpP3/4NPN1/PP4P1/2KR3R w - -,c4e6
5Nk1/4ppbp/p5p1/1p1pP3/3P2PP/P3n3/1P6/1K1R4 w - -,d1d3
r1bq1rk1/pp1p1ppp/8/2p3bQ/2B1P3/8/PPn2PPP/R1B2RK1 w - -,c1g5
8/p7/2p3pk/2p2n1p/5Q2/3P3N/qPP4P/6K1 b - -,h6g7
rnbqkb1r/pp2pp1p/3p1np1/8/2PpP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f3d4
r3qrk1/1ppb1p1n/n2p2pb/p2Pp2p/2P1P2B/PPN2P2/3NB1PP/1R1QK2R w K -,h4f2
1r6/2p2r1k/R2b3p/8/5Pp1/1P2B2b/P3NP1P/2R3K1 b - -,b8b4
r1bq1r1k/3n2b1/p1pN3p/P1P5/3P4/4Pp2/2Q1BPP1/R4RK1 w - -,e2f3
2rq1rk1/p2n1ppp/1pp2b2/8/3PN3/PQ3N2/1P3PPP/1K1R1R2 w - -,f1e1
8/7p/6p1/6N1/1p6/1k1K4/8/8 b - -,b3a2
r2qk3/pp1bbpp1/3p1nnr/1BpPp3/8/2N1PPN1/PPPQ1B1P/2KR3R w q -,g3f5
r5k1/pp4pp/2ppq3/2P1n3/2N3p1/2P3P1/P3Q1B1/5RK1 w - -,c4d6
1r6/q4pk1/1p1b2p1/nQp1p2p/2Pp3P/3P2P1/3BPPB1/R5K1 b - -,a7c7
1r3b2/2R5/6kp/3P1p2/5P2/p4KPP/B1r2P2/8 w - -,c7c2
6rk/1p5p/5b2/P2qp2Q/1P1pR3/5P2/3B2P1/6K1 w - -,h5f5
r1b2rk1/1pp1qppp/p4n2/3Pp1B1/2NbP3/8/PPQ1BPPP/R4RK1 b - -,h7h6
2kr2r1/pppbq1b1/2nppn2/5pp1/2BP4/P1N1PPB1/1PPQN1P1/2KR3R b - -,g8h8
rq2r1k1/1p1nppbp/1B1p2p1/p2P4/4P3/4Q2P/PP2BPP1/R4RK1 w - -,e2b5
2r5/p6k/1p1bpq2/5p2/3P2pP/P2QP3/1P1K2N1/7R w - -,h1c1
r3r1k1/1b3ppp/p2b1n2/1p1pN3/3qn3/1P1B1PP1/PB4KP/2RNRQ2 b - -,d4b6
r1b2rk1/pp2bpp1/1qn4p/2p1p3/4N3/2PBPN2/PPQ2PPP/R4RK1 w - -,e4g3
r2q1rk1/pp2bppp/2n1pn2/2Pp4/3P2b1/2N1BN2/PP2BPPP/R2Q1RK1 b - -,f6e4
8/pp1r1k2/5p1p/3n1pp1/1P1PrP2/P2R1KPP/2R5/2B5 b - -,b7b5
1k2r3/p2rq3/PpQpN3/3P1p2/1PR2Pbp/4P1Rp/2P2K1P/8 w - -,g3g1
6k1/5rp1/p1r1p3/1p1pR1p1/6P1/P6P/2PR2B1/7K b - -,f7f6
8/p1r3k1/P4p2/5K2/6P1/1Q4b1/8/8 b - -,g3h2
1r6/1p2qpbk/p5p1/5p1p/bP1NBN1P/P2QP1P1/5P2/2R3K1 b - -,f5e4
r4rk1/ppq2pp1/2pbp2p/5b2/N1PPn3/4B1P1/PP3PBP/2RQ1RK1 b - -,e4f6
2rq1rk1/pp2npp1/2bbpn1p/8/3P1N2/P1N1B2P/BP1Q1PP1/3R1RK1 b - -,d6b8
8/1r2kp1p/3pb3/2n1p1p1/1p2P3/1P2K1PP/P1N2PB1/7R b - -,b7b8
4k1r1/5p2/r7/1n1pPpP1/p1pP1P2/BpP5/1K5R/5R2 b - -,b5c7
r2qr1k1/pb3p1p/1pn1pbpB/3n4/3P2Q1/2NB1N2/PP3PPP/3RR1K1 b - -,c6b4
r1bq3k/p3b1pp/2pp4/2p1p3/4Pr2/NQP2N1P/PP3PP1/R3R1K1 w - -,e1e3
8/2Nb2bk/7r/p3p3/P2nPpp1/3B4/1R4PP/4B1K1 w - -,e1a5
5rk1/1bq2pp1/r2p1b1p/p3pP2/N3P3/1Pp1QN2/1P3RPP/3R2K1 w - -,b2c3
1qr3k1/4B1pp/p4p2/3P4/P1P5/4Rb2/5PPP/4R1K1 w - -,g2f3
r1b3k1/ppNnn1bp/3p2r1/2PPp3/4P3/3N1PBq/PP2B2p/2R1QR1K w - -,c5d6
1r3k1r/1q2bppp/2npb3/3Np3/B7/2P1B3/2P2PPP/R2Q1RK1 w - -,c3c4
2r1r1k1/ppqn1bpp/2p1pb2/5p2/3PP3/2QNBPPB/PP5P/R1R3K1 w - -,c1e1
r4rk1/1pq1bppp/p1bppn2/4P3/P2Q1P2/2N1BB2/1PP3PP/R4R1K b - -,d6e5
rnbqkb1r/pp2pp1p/2p2p2/8/3P4/4B3/PPP2PPP/R2QKBNR b KQkq -,c8f5
6k1/6bp/r4np1/4Np2/5P2/1P2B1PK/P1r4P/3R4 w - -,d1d8
1r3rk1/pp2qppp/b3p2b/4P2n/3NN3/1Q3BP1/PPR2P1P/3R2K1 b - -,h5f4
r1bqk1nr/1p1pppbp/p1n3p1/1N6/2P1P3/2N5/PP1B1PPP/R2QKB1R w KQkq -,b5a3
6k1/5p1p/q5n1/1N4Q1/3r2P1/4p2K/8/8 w - -,b5d4
3rnrk1/1pqn2bp/2ppb3/p4p2/N1PPpP2/1P2B1PP/P2QNRB1/5RK1 w - -,d4d5
6k1/1p6/5p1p/1R1Pr1p1/6PP/5KP1/8/8 b - -,b7b6
r2r2k1/5pp1/p1Rn2bp/3B4/1P6/P2P2P1/1B1N1P1P/6K1 b - -,a8c8
r4r2/2q1pk1p/p1p1p1pb/2N1P3/1Q1P1P2/6PP/P1P5/1R3RK1 w - -,b4c4
r4rk1/pp2ppbp/4b1p1/1B1n4/3P1BP1/4PN1P/1P3P2/R3K2R w KQ -,f4g3
r1b2rk1/ppp1n1pp/3p2q1/2b1np2/3NP3/2P1BP2/PP2B1PP/RN1Q1R1K w - f6,e4f5
7b/2p2p2/b1k5/p1p1PP2/2P3P1/2B2N2/P6K/8 w - -,f3d2
r4rk1/1b4pp/p2bp3/5p1Q/3PpP2/q3P3/3BN1PP/2R2RK1 w - -,e2c3
r3k2r/p1qbn1bp/4p1p1/n7/PppNP3/1B2BN2/1PP3PP/R2Q1RK1 w kq -,f3g5
8/6k1/1R6/3p3P/2p1b3/2P5/2P4r/2KB4 w - -,b6d6
n1krqbr1/ppp4p/4p3/2PPN3/3PP1p1/8/PP4PP/R1BQ1RK1 w - -,c5c6
6k1/5ppp/1q3n2/3r2b1/4p1P1/1P2P2P/P5B1/R1B1R1K1 w - -,a2a4
8/8/p3k3/1p2pp1p/1p2n3/1N1R3P/r7/4B1K1 w - -,e1b4
rnbqkb1r/pp2pppp/2p2n2/3P4/2P1N3/8/PPQ2PPP/R1B1KBNR b KQkq -,f6e4
r1b1r1k1/pp3pp1/2nq3p/2bN4/7P/P4N2/1PQ1PPP1/3RKB1R w K -,b2b4
3r4/3qb2k/4p1pp/pp2P3/2p2P2/Pb1p1NR1/1P1Q2PP/R6K w - -,g3h3
Rn1r2k1/2N2ppp/5n2/4pN2/1p6/6P1/1PP2PKP/8 b - -,g7g6
r1bq1rk1/pp1nbppp/2pp1n2/4p3/2BPP3/2N2N1P/PPP2PP1/R1BQR1K1 b - -,b7b5
8/1p1k4/p4Ppp/2PK4/1P5P/2P5/8/8 w - -,c3c4
2r1r1k1/p3qpp1/P4n1p/1PpR4/2P2B2/8/2Q3PP/5RK1 w - -,d5e5
4nk2/8/3p1n1p/2pPNQ2/1pP2PNq/5B2/r6P/5K2 b - -,d6e5
6k1/5p1p/6p1/R2B2n1/8/4P1P1/Pr1r1PKP/5R2 b - -,h7h5
r2qk2r/1p3pp1/p1npb3/3Np1b1/P1B1P2p/2N4P/1PP2PP1/R2Q1RK1 w kq -,c4a2
8/8/8/3k3p/5p1P/2b2P2/1pK5/5N2 b - -,d5d4
r4rk1/pp2bppp/1q2p3/3pBb2/3P4/2P4P/PP1QBPP1/R3K2R w KQ -,e1g1
r1bq1rk1/pp1n1pp1/2p2n1p/P1b5/4P3/2NB1N2/1P3PPP/R1BQ1RK1 w - -,e4e5
2b2rk1/r3n1pp/1pn2q2/p1p5/3p1P2/3NQ3/PPP1B1PP/1KN1RR2 w - -,e3e4
1r4k1/1r2p1bp/3p4/2p2p2/n4P2/P1B4P/1PR2KP1/3RN3 w - -,c3g7
6k1/5pp1/3p4/p2P4/4Pp2/8/r1rN2RK/3R4 w - -,h2h3
r1bq1rk1/pppnppBp/6p1/3P3n/8/2N2P2/PPPQ3P/2KR1BNR b - -,g8g7
r2q1rk1/pb4bp/1pp1p1p1/n1Pp4/1N1P4/1P2PpP1/PB4BP/2RQ1RK1 w - -,f1f3
