8/8/4p3/1k1p2Bp/3P3P/3K4/8/6b1 w - -,g5f6
2r3k1/pp4pp/1n2pq2/3p4/3P4/1P2Q3/P3NPPP/2R3K1 b - -,c8c1
r1b2rk1/1pq2ppp/p4n2/2bp4/3N4/2PQB2P/PP1N1PP1/R4RK1 b - -,f8e8
7r/3b1kp1/2p2p2/ppPp1P2/3P2P1/P1PN2K1/4R3/8 b - -,h8h1
2R5/8/1r4k1/3p1p2/3PpB2/bP2P1P1/P3K3/8 w - -,e2d1
6k1/6bp/p2N2p1/2n5/8/1P5P/P2N1PP1/6K1 b - -,g8f8
r1bqk2r/1pp2ppp/p1Nb4/3p4/B2Pn3/8/PPP2PPP/RNBQ1RK1 b kq -,d6h2
rn1qkbnr/1b1p1ppp/pp2p3/2p5/2PPP3/P1N2N2/1P3PPP/R1BQKB1R b KQkq d3,c5d4
8/8/7p/P1k5/1p5P/3BK3/8/8 b - -,b4b3
8/3rb2r/1p1pkp2/3RpN2/P1P1P2P/1P5K/8/3R4 w - -,d1d3
1r1q1k1r/5pbp/p2p2n1/3P1p2/4p3/NBP5/PP3PPP/R2QK2R w KQ -,a3c4
6q1/1r2r1bk/pp1p2pp/P1nQ4/4pP2/1P2B3/4B1PP/1RR3K1 w - -,d5g8
2r3k1/pq4pp/b1p5/1p3p2/Q1Pr4/2R3P1/P4PBP/R5K1 w - -,a4a5
r1bqkbnr/pp3ppp/2n1p3/3P4/3Q4/2N5/PP2PPPP/R1B1KBNR w KQkq -,d4d1
1r3rk1/1p3pb1/p1ppqnp1/7p/P1P4P/1PNQPPP1/1B5K/3R1R2 b - -,f8d8
1r3rk1/5ppp/1q3b2/4Q3/p7/P2P2PP/5PB1/R4RK1 w - -,e5e1
r2r2k1/1b2qpb1/3p3p/NBp3p1/1P1NP3/6P1/5PP1/R2QR1K1 b - -,g7d4
r1b5/1kp2pp1/1pn5/pN2PP2/6Pr/1P6/2R2N2/3R2K1 w - a6,c2c4
2rr2k1/p2bppbp/1pn3p1/q1p5/2BPP3/2P1BP2/PQ2N1PP/2RR2K1 w - -,g1h1
5k2/1b3p2/5Np1/6P1/2p1p3/2P4P/1P1R3K/1r6 b - -,b7c6
rn2r1kb/p3q2p/b1PR1npB/4p1Q1/4P3/2P2PN1/2P3P1/2KR4 b - -,a6c8
r2q1rk1/1p1bbppp/p1nppn2/2p5/P3P3/1PN2N2/1BPP1PPP/R2QRBK1 b - -,e6e5
3r4/1kp3p1/ppn4p/3r4/1P1p4/P2Q1NP1/2P2PKP/8 w - -,d3g6
2r1r1k1/3n2pp/p4n2/q3p3/2P1p1NR/6P1/1B3P1P/2Q2RK1 b - -,f6g4
2r3k1/pb2pp1p/1p3bp1/8/8/PPpr1N2/5PPP/2Q1R1K1 w - -,f3e5
3r4/4rpk1/R1p2n1p/6p1/PpNn4/8/1P3PP1/2R2BK1 w - -,c4a5
8/6p1/pRr1pk1p/2Pp4/P2P4/4P3/5P2/6K1 b - -,c6c8
1r1qbbk1/3n1p1p/B2p2p1/p2Pp3/1p2P3/1P2BP2/P2QN1PP/2R3K1 w - -,c1c2
r2q1rk1/ppp2pp1/2n1bbnp/2Pp4/1P1P2P1/2N1BN1P/P3BP2/1R1Q1RK1 w - -,d1d2
3rrnk1/ppn1bppp/1qp1b3/8/1P1PN3/P2QB1N1/2B2PPP/R4RK1 b - -,b6b5
8/8/8/7p/1r2pR1P/6P1/4kP2/4b1K1 b - -,e2d3
3rk2r/1p1n2b1/pN4np/3pp1p1/4Pp2/3N1P2/PP4PP/R1B2RK1 w k -,b6d5
r2r2k1/pp3ppp/2n3b1/8/2q2B2/2p3N1/PP1Q1PPP/R3R1K1 w - -,d2c1
4n1b1/K1k5/2Pp2p1/1B1Pp1P1/4P3/N7/8/8 b - -,e8g7
rnb1kr2/8/1q2p2b/pp1pPp1p/2pP1PpP/2P1N1P1/PPQBBR2/R5K1 b q -,b8c6
r3r1k1/1q1bbpp1/p1n4p/P2p4/1p2nB2/1N1BPN1P/1R3PP1/1QR3K1 w - -,d3e4
5k2/8/6p1/2b5/7P/8/5P1P/6K1 b - -,f8g7
2r2rk1/p4ppp/n1n1p3/1N1pP3/P2P4/5N2/1P3PPP/2RR2K1 w - -,g1f1
1qr1r1k1/1bn2ppp/pp1p4/3P1QP1/2P5/1P6/P4BBP/2R1R1K1 w - -,f2d4
2Q5/kpR5/1q3p2/1p1p4/1P2r3/PK6/2P2P2/8 w - -,c7d7
4rbk1/7p/pnNp1Bp1/2pP4/6P1/5Q2/2q2PB1/R5K1 w - -,g4g5
6k1/6pp/p1b2p2/2p1r3/P1R1P3/5PPB/5K1P/8 b - -,g8f8
8/4k1b1/4P3/6pp/8/2P1R1P1/6KP/8 w - -,g2f3
4r1k1/2q2pp1/1n3n1p/8/2p1b3/2P2NPP/1N3PB1/4RQK1 b - -,c7c5
5rk1/1pqrnpb1/p1bp3p/4p1p1/PQB1P3/2P2P2/1P2NBPP/R2R2K1 w - -,f2b6
1r2r1k1/pb3p1p/1p1q2p1/2pNbn2/2Pp1B2/P2P2P1/4PPBP/1RQ1R1K1 w - -,f4e5
1r2k2r/2qbbppp/p2ppn2/1p2n3/4PBP1/PNN1QP2/1PP1B2P/2KR3R b k -,e8g8
r1b1r1k1/1p3ppp/p1nq1n2/2bp4/8/1P1BPN1P/PB2NPP1/R2Q1RK1 b - -,f6e4
1R3rk1/8/6PK/8/8/8/8/8 w - -,b8f8
r1b1kb1r/1p1p1ppp/pnq1p3/2p1P3/3P4/2P2N2/PP3PPP/RNBQ1RK1 w kq -,f1e1
1rbq1rk1/b1p2ppp/p1np1n2/Pp2p3/4P3/1BP2N2/1P1P1PPP/RNBQR1K1 w - -,d2d4
r3k2r/4npp1/2p5/pppbP1B1/P4RP1/2P5/2P2P1N/3R2K1 b - -,e7g6
4n3/5k2/R3p1p1/2B2n1p/1PP2P2/2b2P2/8/5K2 b - -,c3d2
8/r7/5kp1/1p1Bb1p1/2p1R3/P4P1P/1PK3P1/8 b - -,a7a6
6k1/pp2b1pp/2p5/3r4/3P4/4B3/PPK2P1P/3R4 b - -,g8f7
3rr3/pp1n1pkp/2pbpnp1/8/3P4/2PN1BP1/PP3P1P/R1BR2K1 b - -,h7h6
r4rk1/1pp1q1p1/p2n3p/3P4/Q3ppB1/2R1P3/PP3PPP/5RK1 b - -,f4e3
r4rk1/2p2ppp/5n2/p2p1Q2/Pq6/1P6/2PN1PPP/3R1RK1 w - -,d2f3
R3nk2/5pp1/8/4PK1p/5NP1/5r1P/8/8 b - -,h5g4
6k1/N4b2/2P3pb/1p2p2p/1P2Q3/P2N3P/2q3PK/8 w - -,e4e5
2rr2k1/5pp1/4p2p/1pPb4/5P2/3R2P1/q4QBP/2R3K1 b - -,a2f2
r1r2nk1/1p2bbpp/4pp2/2P4q/1p1N4/P1B1Q2P/2B2PP1/R2R2K1 w - -,a3b4
r1bq1rk1/p3ppbp/2p2np1/1p6/2pNP3/2NPB2P/PPP2PP1/R2Q1RK1 b - -,d8c7
2q1rnk1/3n1p2/p5Pp/1p1pP1b1/3p4/P6P/1P2N1PB/1B1Q1R1K b - -,f7g6
r3k1r1/pp3p1p/1nbqp1pB/3nN3/3P2Q1/1B6/PP3PPP/R2R2K1 w q -,a1c1
1nq2rk1/r3bppp/pp1pp3/8/2PNQ3/6P1/PP2PPBP/R2R2K1 w - -,b2b3
r4k2/5p2/p1R1p2p/1p6/1P1qP3/3B2Q1/P5PP/6K1 w - -,g1f1
r1b2rk1/ppp2ppp/2nq1n2/3p4/1b1P4/2N2N2/PPPBBPPP/R2QK2R b KQ -,f8e8
r4rk1/6bp/1q1pNnp1/4p3/1p2P2Q/3b1N2/1P1B2PP/R4R1K w - -,e6f8
rn1qk2r/4ppbp/3p1np1/2pP4/4P3/2N2NP1/PP3P1P/R1BQ1K1R b kq -,b8d7:e8g8
2r3k1/pq2ppbp/1p4p1/3p4/PPrNn3/B1P1P1P1/2RQ1P1P/2R3K1 w - -,d2d3
8/8/3K4/6pp/5k2/8/4R3/8 w - -,e2a2
1r3rk1/4b1pp/pqnpp3/4p3/1pP1P3/1P2N3/P1N2PPP/R2Q1RK1 w - -,d1g4
8/8/3b3p/pB6/1p3p2/1P5P/6K1/4k3 w - -,g2f3
4r1k1/2q2p1r/p2p1np1/1p1Pp2p/4P2P/2PR1PQN/1P4P1/5R1K w - -,h3g5
5rk1/pp3pp1/3q2bp/2Rp4/1P1Pp3/1Q2P3/P2N1PPP/6K1 b - -,f8d8
4rrk1/ppp3n1/3p1q2/3P4/1PP5/6P1/P1R1QPKP/5R2 w - -,e2g4
r2qkb1r/1pp1nppp/p1n5/3pp3/4P1b1/1B1P1N2/PPP2PPP/RNBQK2R w KQkq -,c2c3
6k1/b5qp/3p2p1/3N1r2/Q1Pn1p2/5N1P/5PB1/5RK1 w - -,f3d4
r2qr1k1/1b1n1pbp/p1pp1np1/1p2p1B1/3PP3/1PP2NNP/P1BQ1PP1/R3R1K1 b - -,d8e7:d8c7
r6r/P3p1bp/3k2p1/1R1Bp3/4P3/2K1BP2/6PP/8 b - -,a8c8
