8/8/r5k1/8/1R4PP/6K1/8/8 w - -,b4d4
8/p2p1pkp/b3p1p1/2p5/1nP1P3/3P2P1/PN3PBP/6K1 b - -,b4a2
4k1r1/1r3p2/2nB2p1/pp1pPqPp/2pP3R/2P2Q2/5P2/1R2K3 w - -,f3f5
8/1kp5/1p1p4/p3q3/P2Q4/1PP5/2P5/1K6 b - -,e5e1
4r1k1/pp3p1p/2p1R1p1/6B1/3b4/P4P2/1P3P1P/4R1K1 b - -,e8e6
4q1k1/1Q1b1ppp/1p5r/3p4/3NB3/1P2P3/r4PPP/2RR2K1 b - -,d5e4
8/4k3/qQ1p4/P3p1K1/4P1P1/5P2/8/8 b - -,a6d3
2r1k2r/1b1n1p2/p3pQ1p/1p6/3R4/8/PP3PPP/1B2NRK1 b k -,d7f6
5rk1/pp4bp/1q2p1p1/3pn3/3P4/1P2QB2/P1rRN1PP/5RK1 b - -,c2d2
6k1/5pp1/Q3p2p/4q3/8/6P1/8/5K2 b - -,e5g3
r4rk1/pp2qpbp/1n4p1/3Pp3/6b1/1QN2NP1/PP3PBP/R4RK1 w - -,f3d2
r1bqkb1r/pppp2pp/2n2n2/5pN1/2PPp3/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,f8b4
2Q5/1p4pk/3p3r/2PP4/7R/3q2Pp/5P2/7K w - -,h4h6
r2qnr1k/pp4bP/2p5/3P4/8/2NBB2Q/PP4PP/3R2K1 b - -,c6d5
5r2/pb3kpp/1pr1pb2/2pp1p2/2PP1P2/PP2PR2/1B1N2PP/2R3K1 b - c3,c6c8
3r2k1/1r2qppn/pp1p1n1p/4p3/1PP1P2P/2BPQPPB/7K/R4R2 b - -,d8a8
3rk2r/p4ppp/1n2p3/1p1q1n2/2pP4/P3BPP1/1P3PBP/2RQ1RK1 w k -,f3f4
r5k1/1b3pp1/1p2p2p/1Bb3q1/P1Q5/2P1NP1P/6P1/2BR1K2 b - -,c5e3
3rq1k1/5pp1/6p1/1p1P1R2/1P2r3/6QP/PB4PK/1R6 b - -,f7f6
2r5/4p1kp/3p2p1/3P4/R7/6P1/P3PP1P/6K1 b - -,g7f6
2r1kr2/3b2Qp/p2qpB2/1pnp1p2/8/P1P5/2P1B1PP/1R3RK1 b - -,f8f7
r2rb1k1/p3n1p1/1pnBp2p/q2pPp2/P1pP1P1N/2P4P/2PQB1P1/1R3RK1 w - -,g2g4
8/p1p5/1p6/4k1PK/2P5/1b5P/8/8 w - -,h5h6
r3rnk1/pp3ppp/2pqbn2/3p4/3P4/2NBPN1P/PPQ2PP1/2KR3R w - -,c1b1
8/8/6B1/p6P/1k6/2p3K1/8/8 w - -,h5h6
rnb2rk1/pp2ppbn/2pp2p1/q5Pp/3PP3/2N1BP2/PPPQB2P/R3K1NR w KQ -,f3f4
6k1/2b2p1p/4RBp1/3B4/2P3P1/p4R1P/8/1q5K w - -,h1g2
5R2/n2k4/r2pN3/2pP3r/P3K3/NP6/8/8 w - -,a3c4
8/1r3k1p/3K1P2/3R2P1/8/8/8/8 b - -,f7g6
r1bq1rk1/pp3ppp/2nbp3/8/2BP4/2P2N2/P4PPP/R1BQ1RK1 b - -,b7b6
r1bqkb1r/pp3ppp/2n1pn2/8/2BP4/P1N2N2/1P3PPP/R1BQK2R b KQkq -,f8e7
r3kb1r/ppqn1ppp/2p1pn2/2Pp1b2/QP1P4/2N1PN1P/P4PP1/R1B1KB1R b KQkq b3,f8e7
6r1/p1kn1p2/2p1bQp1/4P1Np/1qp4P/8/1PP3P1/1NK4R w - -,g5e6
4Q3/5p2/2p3pk/1p1p3q/p2P4/P1P4P/1P3PP1/6K1 b - -,h5d1
8/1R6/p2r2p1/1b4k1/4p2p/P3N2P/5KP1/8 w - -,b7c7
r7/1ppb1pk1/p4q2/1P1Pb3/P3P1p1/3BNpPr/5Q1P/2RR3K b - -,e5g3
3b1r1k/1b1q3p/1p2p3/pP1p1p2/P2PnN2/1Q2B3/2R1BPPP/6K1 b - -,d8e7
rr6/3nk3/3np3/2p1p2p/1p2P3/1P3PP1/1NP1NK2/R6R b - -,d6b5
8/2p5/2n1kp2/2Pn3p/N1KP3P/4B3/5P2/8 w - -,e3d2
7k/6r1/3pp1PK/2p2b2/5Rp1/6P1/1P3P2/8 w - -,f2f3
1r4k1/7r/1q1p1R1Q/pBpPn1p1/4P3/1nN3P1/6KP/4B3 w - -,h6g5
r4k2/5ppp/6n1/2R2RP1/p1n1P2P/P7/2P3B1/7K b - -,c4a3
r2r2k1/p3qp1p/2p3p1/4n3/2Q1PN1P/5PK1/PP4P1/3R3R w - -,c4c3
8/8/1p2p3/1p4K1/1P2k1P1/P7/8/8 w - -,g5f6
2Qb1k2/r4ppp/1Nn5/1bp1P3/4PP2/P1P3P1/1P5P/3R2K1 b - -,f8e8
r4rk1/1bq1bppp/pn1pp3/p7/P3PP2/2NRBB2/1PP3PP/4QR1K b - -,e7f6
r2q1rk1/ppp2ppp/2p2b2/4p3/4P1b1/2NP1N2/PPP2PPP/R2Q1RK1 w - -,h2h3
R7/1p2pkb1/3ppnpp/2r5/2P1PP1B/6PP/4B3/7K w - -,h4f6
8/3k4/5p1p/1p1P4/pP1KPP2/7P/8/8 w - -,h3h4
2r2rk1/2q1bppp/4b3/3pn1P1/P3P2P/2P1B3/3QBR2/R2N2K1 w - -,e4d5
r1r3k1/1pqb1pp1/p4n1p/3p4/3N4/P1NQP2P/1P1R1PP1/3R2K1 w - -,d3b1:d4f5
8/3k4/P2p1p1p/1p2p1p1/4P1P1/3KB2P/6n1/8 b - -,d7c6
q4rk1/1b1n1ppp/4p3/1p2P1P1/2pPpRQP/2P1P3/1PB5/rRB3K1 w - -,b1a1
2rq1rk1/pp3pnp/2p1b1p1/6b1/3PP1n1/2NB4/PPQ1N1PP/3R1RBK w - -,e2f4
8/kp3p2/p7/2pN2r1/P1PbP1p1/qP1Q4/4K1R1/3R3r b - -,h1h3
2b1r1k1/1p2qpbn/2pp4/5Pp1/1PP1P1n1/1NN1B3/3QB1K1/7R w - -,e3d4
2kr1b1r/pppq4/1nn1p3/5pp1/1P1P4/2N1P1P1/P2BQPB1/R1R3K1 b - -,c8b8
1rr3k1/4ppbp/1p1n2p1/1Bp5/2PPb3/N3P1P1/PBR2P1P/R5K1 w - -,c2d2
8/5ppk/p3p2p/1p2P3/4pP2/P1P3P1/1P2Q1KP/2q5 b - -,g7g6
r4k2/6pp/4bp2/rp2p3/4P3/3PNR2/2P3PP/5RK1 w - -,g2g4
3r1r1k/pp3p2/2n2b1p/q7/3pBP2/1P2P3/1P1R1P1P/3Q2RK w - -,b3b4
2rq1rk1/pp4pp/3p4/2n2b2/2PN1N1b/4B3/PP1QB2P/R2K3R w - -,d4f5
r1b1r1k1/1pqn1pbp/2p1n1pB/p3P3/P7/2N2NPP/2PQ2BK/3RR3 b - -,d7e5
8/2Rbk3/1p1n2pp/p2p1p2/3P3P/1P1B1PP1/P5K1/8 w - -,g2f2
3r2k1/p4rp1/qp3b1p/8/2pPQ3/B1P3P1/P6P/4RRK1 w - -,a3c1
r3r1k1/pp3p1p/4bQp1/3p3n/3P4/2N3PP/PP3PB1/R4RK1 b - -,h5f6
6k1/1p3r2/p6P/4B3/P2Rn3/5p2/1P6/5K2 b - -,e4c5
4qbk1/pp3ppp/1np2n2/8/2pP1P2/1P1Q1BP1/P4N1P/4BK2 w - -,b3c4
8/2Q1qk2/5npp/BBpp1p2/3b1P2/6P1/7P/5K2 w - -,c7c8
4nrk1/1p2qp1p/p1p3p1/3p4/5P2/2Q4P/PP2bP2/R4RK1 w - -,f1e1
8/4bkp1/p3p3/1p1rB1pp/8/P4P2/1P2RP1P/6K1 w - -,g1g2
4r3/3b2k1/1p4p1/2p5/4r1N1/P3R1R1/2K4P/8 w - -,e3e4
4k3/2q2r1p/p2p1B1p/1p1b1p2/1P3P2/4P1R1/1Q4P1/6K1 w - -,f6h4
5rk1/6pp/p2pp1r1/2p5/2P2P2/2PR4/P5PP/3R2K1 w - -,d1f1
2q3k1/ppp1n1p1/3p3p/3p4/3NP3/2P2Q2/PP4PP/6K1 w - -,e4d5
r4k2/3p1p2/1p1P1Nnp/pBp5/R7/4P2b/P4P1P/4K3 b - -,a8d8
1R6/p1Rb2pp/4ppk1/8/2B5/r1P3P1/P4PKP/3r4 w - -,c4b3
r1bq1rk1/pp2ppbp/3p1np1/8/3NP3/2N5/PPPQ1PPP/2KR1B1R w - -,f2f3
r5k1/1p3pp1/2p2n1p/2P1rP2/pP2p3/P1R3PP/5PB1/4R1K1 w - -,c3e3
8/8/2p1k1p1/pp1n2P1/3PKN2/1PP5/P7/8 b - -,e6d6
r1b2rk1/3pppbp/1pn2np1/7q/8/1NN3P1/PP2PPBP/R1BQ1RK1 w - -,e2e4
8/2k2p2/2P2Kpr/pB6/P4P2/8/8/8 b - -,h6h7
r2qk2r/1p1b1p2/1n2p1p1/pP1pP1Pp/Pb1P3P/3Q1N2/1B2NPK1/R6R b kq -,e8g8
