2R5/8/8/8/7k/6p1/3r4/7K b - -,h4h3
r1b2rk1/p4pb1/1pp3p1/2p1Pn2/6P1/2NP1N2/PPP2BP1/4RRK1 b - -,f5d4
2r3k1/4bpp1/p1r1p1q1/1pP1B2p/1P3P2/P2R2PP/4Q2K/3R4 b - -,f7f5
r1bq2k1/pp3rpp/6n1/P2pQp2/1P1Pp3/4PP2/R2BB1PP/5RK1 w - -,e5g3
2rr1k2/qb3ppp/p3pn2/2b5/2N5/BP6/P3QPPP/RB2R1K1 w - -,e2e3
rnbqk1nr/pp3ppp/3b4/3p4/3P4/1PPBB3/5PPP/RN1QK1NR b KQkq -,g8e7
6k1/1p1q1p2/1n2p1p1/pP5p/P2PB3/5P1P/Q4P2/6K1 w - -,a2d2
4Rk2/pp1b4/2p2n1p/3p2p1/8/2NB1P2/PPP2KPP/8 b - -,f8e8
2r3k1/5pp1/4p2p/3b4/2qN1P2/1p1Q3P/1P1R2PK/8 b - -,c4d3
r4rk1/pp3ppp/2p1bb2/N2n4/4P3/P5P1/1qQB1PBP/2R1R1K1 b - e3,d5c7
4r1k1/1pprn1pp/4bbq1/nN2p3/4Pp2/PPBP2P1/4QPBP/2R2RK1 w - -,c3a5
3B4/6p1/8/3p4/1P1P2k1/3b2P1/5K2/8 w - -,d8c7
Qnb1kb1r/p1q3pp/4pp2/8/PpNP4/4P3/1PP2PPP/R1B1K2R b KQk -,b8c6
1b3rk1/5ppp/4b3/n7/4P3/P2N2P1/5PKP/1RN5 w - -,d3c5
5rk1/1pR3p1/p1b1p1Bp/3pK3/1P1P4/P4P2/6PP/8 w - -,f3f4
6k1/2p2pp1/p7/1p1n3p/2P5/N5KP/PP3PP1/8 b - -,b5c4
5k2/R4p2/2p2npp/3r4/4p3/PP1N4/2P1KPPP/8 w - -,d3b4
2q2r1k/pp3rpp/2nR4/7Q/4b3/4B1P1/PP3P1P/3RN1K1 w - -,d1d2
8/3r1p1k/7p/R1p2NbP/1P2P1P1/5Q2/1q3P2/6K1 w - -,f5g3
3r4/1P1Q2kp/B2p1q2/1N1Pp3/5p2/8/1K4b1/2R5 b - -,d8d7
r4k2/ppp4p/6p1/2nP1p2/2P5/5P1N/P2KP2P/7R w - f6,h3f4
Q2q4/1Q6/2K1k3/8/8/8/8/8 b - -,d8d5
r2qnrk1/pp3pb1/3p2pp/2pPn3/2P5/2N1B3/PP2BPPP/R2QR1K1 b - -,f7f5
r4k1b/1p1R3p/p5pP/2P1p2n/4Pp2/5P2/PP6/1K4NR w - -,g1h3
2r2rk1/5ppp/2R5/2nPp3/1pp5/4n1P1/1P3QBP/6K1 b - -,c4c3
2rk3r/p2npBbp/1p4p1/8/3P3B/4PP2/P2K1P1P/1R5R w - -,h1c1
5r1k/1p4p1/4Q2p/2q1P2P/4p3/P7/2P3P1/R6K w - -,e6d6
2r1k2r/3bbppp/pq1p1n2/4pP2/2n1P3/1NN3P1/1PP1Q1BP/R1B2RK1 w k -,g1h1
4rr1k/1p6/4p1Q1/1p1p4/4nP2/1P3R2/P1P3PP/4qB1K b - -,e1h4
r1bq1rk1/1p2npbp/2ppn1p1/p3p3/2P5/1PNPP1P1/P2BNPBP/1RQ2RK1 b - -,f7f5
5rk1/6pp/1BNb1p2/1P1pp3/5P2/6P1/1R4KP/8 w - -,b6a7
2r3k1/p1nq1rpp/3p4/1ppP1p2/8/PP1QPPP1/1B3R1P/2R3K1 b - -,c7a8
r5k1/3p1ppp/r2n4/2p5/p1P5/Pq1Q1PP1/1P1R3P/2K2B1R b - -,a8e8
r1r3k1/4ppbp/3p2p1/1q1P4/2N1PP2/2P4P/1PR1Q1PK/2R5 w - -,c4e3
3rrbk1/1p4np/B2p1pp1/3R4/1n2P1P1/5N1P/PP3P1Q/2R3K1 w - -,a6b7
r3k1nr/1bq1bp1p/p2pp1p1/2p2P2/4P3/2NB4/PPPBQ1PP/4RRK1 b kq -,g6f5
3r2k1/pb3p1p/4pbp1/p7/4n3/2P1BN1P/1PB2PP1/R5K1 b - -,a7a6
r1bqkb1r/3npppp/2p2n2/ppPp4/3P4/P1NBPN2/1P3PPP/R1BQK2R b KQkq -,g7g6
6k1/5p2/p7/6pQ/P2q4/1P3PKP/6P1/4r3 w - -,h5g5
r4rk1/5p2/p3pq2/1p1bN1bQ/3PnP2/1BPR4/P5PP/5RK1 b - f3,f6h6
r2q1rnk/1b1pppbp/p5p1/np1NP1B1/8/1B3N1P/PPP2PP1/R2QR1K1 w - -,d1d3
1r1r1bk1/1pn5/p1p1bppp/N3p3/PP2P3/3P2P1/2RB1P1P/1R3BK1 w - -,d2e3
8/3bk3/pp3p1p/3p2pP/1P1N1PP1/P4K2/8/8 w - -,f3g3
8/1Q2R1bk/1P3qp1/p7/3p4/6P1/P5K1/8 b - -,d4d3
r1q4r/4kp2/p1p1p3/1p2Np1p/n1PP3P/4Q3/2P2PP1/3RR1K1 w - b6,d4d5
r1q2rk1/p3pp2/4nNp1/2Q4p/3p4/1P6/1PP2PPP/R1BR2K1 b - -,e7f6
2rr2k1/pq1nppbp/1p4p1/2p5/Q2PP3/2P1B3/P2N1PPP/1RR3K1 b - -,e7e6
8/5ppk/1p2p3/3bP3/1P6/4B3/2r2PPP/4R1K1 b - -,c2b2
rnbqkbnr/pp2pppp/8/3p4/1p2P3/P7/2PP1PPP/RNBQKBNR w KQkq d6,e4e5:e4d5
rnb2rk1/pp2ppbp/1qp2np1/4N3/3P1B2/2N3P1/PPP2P1P/R2QKB1R w KQ -,e5c4
1rb2rk1/1pN2ppp/8/p1P5/7b/P2nP2P/1P2KPB1/R1B4R b - -,d3c5
4r1k1/1q3pb1/p1b1n1p1/1p5p/4p3/1P2R2N/PB2Q1PP/1B2N2K w - -,b1e4
2r2rk1/5pp1/p6p/1P6/2n1R3/2P2N2/5PPP/R5K1 b - -,a6b5
8/4rpk1/2R3p1/4P2P/5PK1/8/8/8 b - -,g6h5
1r4k1/p2n1rq1/b1p2p2/3p1Q1R/Np1P1NP1/1P3P2/1PP5/2KR4 b - -,f7e7
2r3k1/p5pp/1pn2p2/8/4N3/BP1p1nP1/P4PKP/3R4 b - -,c6e5
7k/1p4p1/5p1p/3BpP2/4P2P/2N5/1P2QK2/2q3r1 b - -,g1h1
8/1knBb3/p1p4p/B3p1pP/P3Pp2/1P3P2/4K1P1/8 b - -,e7d6
r4rk1/1p4pp/pB1R1p2/8/2b2P2/8/1P1K2PP/2R5 b - -,c4b5
8/kbp3pp/p7/1pb5/8/2P4r/PPR3P1/3R1K2 b - -,h3h1
r1bq1r1k/ppp1p1bp/3p1np1/2P2p2/3P1P2/1QN2N2/PP2BPPP/R3R1K1 b - -,c7c6
6B1/2k4p/1p5P/p3K1n1/P2P1p2/8/1P6/8 b - -,f4f3
R5R1/1r3p1k/2p3np/1p2p1p1/2r1P3/P1P1BPK1/5P1P/8 b - -,c4c3
r4r1k/p2qb1pp/2p5/1p1p1b2/8/1Q1BB3/PPP2PPP/3R1RK1 w - b6,e3d4
6k1/ppq3p1/4ppbp/8/3Q1PP1/P1B5/1PP4P/2K5 b - f3,a7a6
1r6/2n2pp1/3k3p/3P4/1pBP1PP1/7P/3K4/1R6 w - -,b1a1
2r2rk1/p2qbppp/1pbppn2/8/2P1P3/2N1BP2/PP1QB1PP/2R2RK1 w - -,f1d1
8/5qnk/4p2p/Pp1pPp1P/r2P1Pp1/p1P3P1/Rn4K1/4B1QR w - -,g1e3
r1bq1rk1/pp1n1ppp/5n2/2pp2B1/3P4/2b1PN2/PP2BPPP/R2Q1RK1 w - -,b2c3
5b2/5pk1/6p1/p1p1q3/P7/1P4Pp/5P1P/3Q1BK1 b - -,f8e7
6k1/Q6p/4p3/3q4/8/7P/P5K1/8 w - -,g2f2
r2q1rk1/1p1nbp1p/2p2np1/p2p2B1/3P4/2NQP3/PP1N1PPP/1R3RK1 b - -,f8e8
r2qr1k1/pp1n1ppp/4p3/3pP1Nb/Pb1P4/3BQ3/1P3PPP/R1B2RK1 b - -,h5g6
8/6pp/3kpp2/pp1n4/3P4/3N4/PPK2PPP/8 w - -,g2g3
r1b1r1k1/pppnqpb1/3pp2p/6p1/3PP3/2P3n1/PP1NBPPP/R2QNRK1 w - -,h2g3
r3r3/1bq2p1k/p3nnpp/1p2p3/2p1P2P/P1P1QNN1/1P3PP1/3RRBK1 b - h3,f6g4
r1b1k2r/pp2nppp/1bp5/2B5/1PB5/P5N1/2P2PPP/3RK2R b Kkq -,b6c5
r1bq1rk1/pp1p2bp/2n1p1p1/2p2p2/2PPn3/1P2PNP1/PB2QPBP/RN3RK1 b - -,d8e7
rnbqr1k1/pp2ppb1/3p2pp/8/2PpP1nB/2N2N2/PP2BPPP/R2Q1RK1 w - -,f3d4
r1b1kb1r/pp1n1pp1/2p2n1p/q3p3/2B1P3/2NQBN2/PPP2P1P/2KR2R1 b kq -,b7b5
rnb2rk1/ppq1ppbp/3p1np1/2p5/3PP3/N1PB3P/PP2NPP1/R1BQ1RK1 b - -,a7a6
rnbq1rk1/1p2nppp/2p1p3/3p3P/p2PP3/5P2/PPPQN1P1/2KR1BNR b - -,a4a3
8/8/5p2/2k1p2P/4P1p1/r7/p5K1/R7 b - -,c5d4
r4r1k/1pqbb1pp/2n5/p1pBpp2/2Pp4/P2P2P1/1PQNPP1P/R1B2RK1 w - -,d2f3
r1b1k1nr/ppp2ppp/4p3/3q4/2pN4/P7/1PQBPPPP/R3KB1R b KQkq -,d5d4
1r3r1k/2qbn1bp/3p1np1/p1pPpp2/2P1P3/1R2BPP1/P2QNNBP/1R4K1 b - -,b8b3
