8/2N5/8/p2p3p/PkpR4/5qNK/8/8 b - -,h5h4
rn1q1rk1/4bppp/3pbn2/p2Np3/Pp2P3/1N3B2/1PP2PPP/R1BQR1K1 w - -,d5e7
3rr2k/2qnb1pp/2p1p1n1/1pPpp3/pP2P3/P2P2NP/BBQ2PP1/4RRK1 w - -,e4d5
3r2k1/2n1bpp1/p1r3p1/1p1p4/1P1P3P/3BPPP1/R2BK3/1R6 b - -,g8f8
8/5n2/1P3k2/2K5/8/R5p1/P6r/8 b - -,h2c2
r2q1rk1/1bn3bp/3pp1p1/Nnp5/1p2P1P1/5NBP/RPP2PB1/Q3R1K1 b - -,b7a6
8/5pkp/p5p1/3R4/8/1r4P1/4PP1P/5K2 w - -,d5d6
r2qk2r/1b1nppb1/p2p1np1/1p4Np/3BP2P/2N2P2/PPPQ2P1/1K1R1B1R b kq -,e8g8
4r3/3q1r1k/3p2pp/3P4/1RpN4/2PnpPP1/2Q4P/5R1K w - -,b4c4
2rq1rk1/pB2bppp/5n2/8/Q7/P2N2P1/1B1nPP1P/1R3RK1 b - -,c8c7
1r2q1k1/2pn1np1/5pNp/1bPPpQ1P/p3P1P1/4B3/P5B1/3R2K1 w - -,d1b1
7k/7p/p5p1/P3b3/1B6/4p1PP/8/5K2 b - -,e5g3
8/P3k2p/3p1p2/1P6/7P/7P/2r5/5BK1 b - -,c2a2
r4rk1/1b2bpp1/pq1p1n1p/2p5/4PB2/1PNQ1N1P/P4PP1/R3R1K1 w - -,f3d2
8/7p/3bk1p1/8/1p6/1P5P/PB4P1/6K1 w - -,g1f1
r2r2k1/p4p2/5q1p/3b1N2/1Q4p1/2P3Pn/P1B2P1K/R7 b - -,h6h5
8/1p3p1k/1Rb4p/P3pNpP/1P2P1P1/5P2/r2rNK2/8 w - -,f5g3
3r4/3rpk1p/1p1pRnp1/pNpP1p2/P1P2P2/3BKP2/7P/4B3 w - -,e1c3
3r2k1/pp3p1p/3r2p1/3P4/q7/4Q1P1/P2R1P1P/3R2K1 b - -,b7b6
r4rk1/pbqnbppp/2n1p3/2p1P3/1pp2B1P/3P1NP1/PP3PB1/R2QRNK1 w - -,d3c4
8/p2bk2p/1b3pp1/3B4/2KNPPP1/7P/8/8 b - -,b6d4
qn2nrk1/1r2bppp/p3p2B/1p2N3/3PN3/6Q1/PP3PPP/2R1R1K1 b - -,b8d7
3r1rk1/pbq3bp/1p3pp1/n2Pp3/2p1P3/2P1BP2/P1BQN1PP/2R2RK1 b - -,b7c8
r2q1rk1/pp3ppp/1np2n2/4N3/3PR3/1Q1B4/PP3PPP/4R1K1 w - -,e4f4
8/5pk1/7p/R4P2/3p4/pb1P2P1/4BK1P/r7 w - -,a5a7
8/p3r3/1p3pkp/3R4/PP2p1P1/4P3/8/6K1 b - -,e7c7
3r1r1k/pb5p/1b3pp1/n1p5/4P1RN/PqN2Q2/1B3RPP/7K b - -,b3f7
rn2k2r/p4pp1/2b1pn1p/qp6/2pPP2B/2P5/3N1PPP/1R1QKB1R w Kkq -,h4f6
6r1/4kp2/3bp3/1pp2p1R/8/P1P2NP1/1P1K1P2/8 w - -,h5h1
r1b1r1k1/pp1nqpp1/2p2n1p/8/3Pp3/2NB1N2/PPQ2PPP/4RRK1 w - -,c3e4
rn1q2k1/pp2prbp/2p3p1/3p4/3P2b1/2P2N2/P1P1BPPP/R1BQR1K1 b - -,g4f3
r3k2r/pp2ppbp/1nq5/2pQ4/8/5N2/PPP2PPP/R1BR2K1 w kq -,d5c6
3r4/pp1P3k/5r1p/1B1R1p2/8/1P5P/P4P2/5K2 w - -,d5e5
1rqb4/5pkp/6p1/3Np3/4P1PP/5P1K/8/3Q4 b - -,b8b2
r1bR4/p4pk1/1p4pp/2p2P2/2P1r3/2P1N1P1/P4K1P/3R4 b - -,g6f5
8/8/1k6/2R1K3/4N3/8/8/3r4 b - -,b6b7
8/1p3pk1/5p1p/q1r4P/6P1/1P3P2/1Q2R3/6K1 b - -,a5b6
r1b1r1k1/pp3nbp/1qpp1n2/5P2/2PN1N1B/5P2/PP2B2P/R2Q1R1K b - -,f6d5
r3r1k1/ppp1qpp1/1bn1bn1p/8/3pP2B/1NN2P2/PPP1Q1PP/1K1R1B1R w - -,c3a4
2rqr1k1/1b3pbp/3p1np1/ppnP4/2pB1P2/P1N2B1P/1PPN1QP1/R4RK1 b - -,b5b4
2nk4/8/3p2p1/3PP3/1Pp3pP/r1B3Q1/2BK2P1/5q2 w - -,e5d6
rnb2rk1/pp2p1bp/2pp1np1/q4p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,e7e5
8/5pk1/4p2p/6pP/PR1K2P1/4P3/5r2/8 b - -,f7f5
r2q1rk1/1p2ppbp/2bp1np1/p7/2PBP3/2N2P2/PP1QB1PP/R4RK1 b - -,f6d7
1Q6/p4k2/4p1p1/3b2Pq/1p1p4/3P4/PPPn1K2/R7 w - -,b8c7
r1bk1b1r/1p1nNp2/p4P1p/6q1/3Q1R1p/8/P1P1B1PP/1R5K b - -,g5e5
5r1k/4b1p1/2b1p2p/1ppqPp2/7P/rPRPB1Q1/5PP1/2R2BK1 w - -,h4h5
r1bq1rk1/pp2p1bp/n1pp2p1/5p2/3PN3/1P3NP1/PBP1PPBP/R2QR1K1 b - -,f5e4
1r3qk1/3b2pp/p2p4/b1pPp3/2P1P3/3QB1P1/P5BP/R5K1 w - -,a1b1
Qb1q2k1/3r1pp1/2p4p/2P1p3/P3P3/Bb3N1P/5PP1/1R4K1 b - -,d7a7
r3k2r/pb1qbpp1/1pnppn1p/2p5/4P3/P1PPBN1P/1P1NBPP1/R2Q1RK1 w kq -,d3d4
3r4/1b1qbrpk/p2n1pRp/3p1P1N/1p1P4/4B1P1/PPQ3BP/5R1K w - -,g2h3
b3R3/3r2k1/P4rp1/7p/8/5pPP/5P2/R4BK1 b - -,f6f8
8/5p2/1r1p2p1/2k5/1p4PP/1R1K1P2/8/8 b - g3,d6d5
r2q1rk1/pp3pp1/2pb1np1/2npp3/2P3P1/3P1N1P/PPQ1PPB1/R1B2RK1 b - -,d8e7
r2qk1nr/1b1p1pbp/ppn1p1p1/2p5/P1B1PPP1/2NP1N1P/1PP5/R1BQ1RK1 w kq -,f4f5
r4rk1/p2qbppp/1np1p2B/8/3PN1Q1/8/PP3PPP/R2R2K1 b - -,g7g6
4r2k/R6p/3R2p1/2pB4/3b4/1P1p2P1/4nP1P/5K2 w - -,d6d7
r6r/5pk1/1p6/p1nPQ3/2P2p2/5Pp1/PPBR2P1/5KBq b - -,g7g8
1rq2rk1/1p1n1pbp/2p1b1p1/p3p3/P1P1P3/2N1B1PP/1P2QPBK/2RR4 b - -,b7b6
8/p3Rpk1/6p1/1p6/1Pp4p/2Pr1PpP/P3K1P1/8 w - -,e7e3
8/8/5R2/p1K1k1p1/Pr6/7P/8/8 w - -,f6f3
2bq1rk1/2p2ppp/pr1b2n1/n7/1p1PN3/1P1N1BP1/PB3PQP/2R1R1K1 w - -,d3e5
2kr3r/1ppq2pp/p2p4/3Pp3/P1Q5/4P3/1PP3PP/R4RK1 w - -,f1f3
r4rk1/1Q1n1pp1/p3q1p1/b2p4/3P1BP1/P6P/1P2NP2/R4RK1 w - -,e2c3
rnbqk1nr/ppp1ppbp/3p2p1/8/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g8f6:e7e6
r4rk1/4Bpbp/6p1/1qpP4/4Q3/pPR2N2/5PPP/5RK1 b - -,g7c3
8/2P5/8/2K3p1/8/1P2nP1p/7k/8 b - -,h2g2
r4rk1/1p3ppp/1np3b1/p3R3/P2P2Pq/1BP4P/3B1P2/R2Q2K1 w - -,d1f3
r1bqkb1r/ppp1pppp/2n2n2/3p4/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq d6,e4d5
rn1qkb1r/4pp1p/2p1bnp1/1pPpN3/p2P2P1/2N1P3/PP3P1P/R1BQKB1R w KQkq -,f1g2
6k1/2br1pp1/2p4p/p7/P3Pp2/5N2/1P3PPP/4R1K1 w - -,e1c1
2r2bk1/7p/4bp2/pp2pNp1/4P3/P1P2P2/1P4PP/3RB1K1 w - -,g1f2
r1bq1rk1/p3b1pp/2p3n1/2pPpp2/N7/1P1PBN2/P1P1QPPP/R4RK1 b - -,c6d5
b3r1k1/3nq1bp/1B4p1/PP1p3n/2pN4/6P1/2Q2PBP/1R1R2K1 b - -,d7b6
6k1/1p1r2pp/pRn1p3/8/P5P1/2P1B2P/4KP2/8 b - -,g8f7
rnbq1rk1/ppp1bppp/4pn2/3p4/2P5/P1N2NP1/1P1PPPBP/R1BQK2R w KQ -,d2d4
r1k4r/2p2pp1/1p2b3/p1p1P3/P1P2pP1/1P3P1P/1B1R4/3R2K1 w - -,d2h2
r2q1rk1/p1p2ppp/2pbpn2/3p4/5P2/1P3Q2/PBPP1PPP/RN2K2R w KQ -,e1g1
r2q1rk1/pp2bppp/1nb1pn2/4N1B1/3P4/1BN5/PP3PPP/R2QR1K1 w - -,a1c1:e5c6
2rqnrk1/p2nbppp/b1p1p3/1pPpP3/3P4/1PN3P1/PB1N1PBP/R2Q1RK1 b - -,b5b4
6rk/1R6/p2p4/P1pP1p2/2P5/2P2Kb1/2B5/8 b - -,g3e5
8/4qp2/3p2pk/3P4/5P1P/3Qp1P1/3nP1B1/6K1 w - -,g1h2
8/7P/p6r/p4k2/5pR1/4p3/6P1/3BK3 w - -,g4g8
r1b2rk1/ppnp1pbp/1qn2Bp1/2p1P3/2B5/2N2N2/PP1Q1PPP/R3R1K1 w - -,c3e4
r3k2r/ppq2pb1/2bppnpp/2p5/4PP2/P1NP1N1P/1PP3P1/R1B1QRK1 w kq -,a1b1
8/6r1/1k6/4R3/4p3/6P1/5K2/8 b - -,g7g4
r4rk1/pp2pp2/1np1b1p1/6P1/3bPBP1/2N5/PP2BP2/2KR3R b - -,d4g7
r5k1/pp1n1ppp/2bPp3/2r1P3/5N2/5PB1/P2R2PP/1R4K1 w - -,f4d3
