8/p7/5K1p/1kP3r1/2R3P1/8/P7/8 w - -,c4f4
6k1/1p2rpp1/3p2p1/p2P4/2P4P/1P2r1P1/P1R3K1/5R2 b - -,b7b6
r2q1rk1/pb1pppbp/1p4p1/4n3/2P1P3/2N1BP2/PP1QN1PP/R2R2K1 w - -,b2b3
2r3k1/p2q2pp/1np3n1/2QpBb2/1p1P1N1P/4P3/PP3P2/2K3RR b - -,g6e5
1r3rk1/2pn1qbp/4b1p1/2p2p2/1PP1p3/1Q2B1P1/1N2PPBP/1R1R2K1 w - -,b4b5
8/8/3bp3/3p3p/kPnP3P/4NK2/8/4B3 b - -,c4e3
r1bqkb1r/1p3ppp/p1np1n2/4p3/4P3/N1N1B3/PPP2PPP/R2QKB1R b KQkq -,b7b5
8/8/6p1/1p1p1K1P/1Pk5/p7/P7/8 w - -,h5g6
2qr2k1/p2r2pn/1p1P1p1p/2b1pP2/7P/PP1RN3/1BP1Q1P1/3R3K w - -,e3c4
2Q2r2/3P4/5bpk/4pB2/4P3/3r4/6K1/8 b - -,f8d8
1n1r4/1R1P1p2/p3p1pp/2K1k3/B5P1/7P/P5P1/8 b - -,f7f5
6k1/p3nppp/1p1bp3/8/3P4/P3B1P1/1P3P1P/1B4K1 w - -,g1f1
4rr1k/1bp3pp/1p1p1nq1/p2P1p2/Q1PP1P2/4p1P1/P3PNBP/1R3RK1 w - -,f2d1
1r6/7R/5kp1/2p5/5P2/P7/4K1PP/8 b - -,f6f5
nr1q1rk1/1p1bppbp/p2p2p1/2pP3n/2P1P3/2N2NP1/PP1B1PBP/1RQ2RK1 b - -,b7b5
rr6/3q2k1/3p1pp1/pR2p2n/P1PpP3/3P1PP1/6RP/3Q1NK1 b - -,b8b5
2b1rrn1/4q1k1/1p1p1p2/p2PpP1p/2PpP2P/7B/PP1Q1R1N/3R2K1 b - -,g7h8
r3k1r1/pppBn1qp/4pp2/b2p1n2/3P1B2/P1N2NP1/1PP2P1P/R2QR1K1 b q -,e8d7
8/8/5k2/8/PK1R4/8/4r3/8 b - -,f6e5
r2qrbk1/3n1ppp/pp1p1n2/2pP4/P1B1PB2/2N5/1P3PPP/R2QR1K1 b - -,d8c8
1r3k2/1p1R2p1/p2N1b1p/P6P/5PP1/8/8/6K1 b - -,b7b6
8/6k1/4R3/6Kp/7P/6r1/8/8 w - -,g5h5
q1r3k1/5p1p/4pb2/p4p2/P7/1p1bP3/1P2QPPP/R3N1K1 w - -,e1d3
6k1/4b2p/pn2q3/2p3p1/2P1P3/1Q2BKP1/PP3P1P/8 b - -,b6c4
r1b5/1p4k1/pP1p3q/2p1p2r/2P3pN/3P1PP1/P3P3/1R1Q1RK1 b - -,c8d7
8/5kp1/4p2p/1p1p2b1/6N1/1P3P2/P3RKPP/2r5 b - -,d5d4
8/5p1k/4p1p1/4Pn1p/1p1PQ2P/5KP1/P4B2/5q2 w - -,e4e1
8/5pk1/pp3bpp/2p2q2/P2p1P2/2PP1Q2/1P4PP/4BK2 b - -,g6g5
8/5p1p/3p1kp1/7n/4PP2/r3KP2/4N2P/3R4 w - -,d1d3
r1bqrbk1/pp1n1ppp/2p5/8/2P1NB2/6P1/PPQ2PBP/R4RK1 w - -,a1e1
5k2/p3R1bp/8/2BKP3/r4p2/8/6PP/8 b - -,f8g8
r2qk2r/pp2bppp/2n1bB2/8/3pN3/5NP1/PP2PPBP/R2Q1RK1 b kq -,e7f6
r2r2k1/p4npp/bpn1p3/4P3/2N2p1q/B1P2P2/P1Q3PP/R3RBK1 b - -,h4g5
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq d6,g2g3:b1c3:e2e3:c4d5:d1c2:a2a3:c1g5
8/2p5/2k5/P1Pp1p2/R2P2p1/3N1nP1/7r/5K2 b - -,c6b5
2r5/1bq3kp/ppr1ppp1/8/2BPpP2/4P2P/PP4P1/2RQ1RK1 w - -,b2b3
r4rk1/pp3ppp/1np1b3/3p1P2/3q4/2NB4/PPPQ2PP/R4RK1 w - -,g1h1
8/5k1K/6p1/8/6PP/5nB1/8/8 b - -,f3d4
8/p7/3k4/2R5/1Pb4r/P3K3/8/8 w - -,c5a5
8/p7/1p6/3k1ppp/8/PP2PPP1/4K3/8 w - -,e2f2
r2q1rk1/bppb1ppp/p1np1n2/8/2PP2P1/P1N4P/1P2NPB1/R1BQK2R w KQ -,c1g5
r1bqk2r/pp2bpp1/2n1pn1p/3p4/7B/2P1PN2/PP2BPPP/RN1QK2R b KQkq -,e8g8
2r3k1/1b1n1p2/1n4p1/pNq4p/Pp2p3/1P2N2P/4BPP1/1Q1R2K1 b - -,c5e5
8/p7/1p5k/n4p1p/4PP2/P5P1/4BK1P/8 b - -,f5e4
r3r1k1/pp1nppbp/2pp1np1/8/2PP4/1P3bPP/PB1NPPB1/R4RK1 w - -,g2f3
rq3r1k/6bp/b1pQB1p1/pp6/8/P1N2p1P/1PP2PP1/3RR1K1 w - -,e6d7
2rqk2r/1p2np2/p1n1p1p1/3pP2p/2PP1Q2/N2B4/5PPP/R4RK1 b k -,e8g8
r4rk1/1p1qbppp/p1n1bn2/3p4/P1pPPB2/2N2P1P/1PB1N1P1/R2Q1RK1 b - -,a8d8
r2q1rk1/1bp1ppbp/pnn3p1/1p2P3/3P4/1QN1BN2/PP2BPPP/3R1RK1 b - -,c6a5
r1bq1rk1/1p2npbp/p1npp1p1/2p5/4PP2/P2P1N2/1PP1B1PP/R1BNQRK1 b - -,c6d4
r1bqk2r/pp1nbp1p/2n1p3/2ppP1p1/3P2P1/2PB1N2/PP1N1P1P/R1BQ1RK1 b kq g3,a7a5
8/4kp1p/6p1/1r1PP3/4K3/1p6/1N4PP/8 b - -,b5c5
r2q1rk1/5ppp/b1p1pn2/p1bp4/N1P1P3/P4P2/BP1BQ1PP/R3K2R b KQ c3,c5a7
4k3/1p2P2R/p1pr4/3r1P2/1P3Kp1/1R6/8/8 b - -,d6f6
8/8/6p1/7p/p4q2/7P/2Q1k1P1/6K1 b - -,e2e1
rq3rk1/pp2nppp/4p3/2n2b2/2N5/4PN2/PP2BPPP/R2Q1RK1 w - -,d1d6
2br2k1/2p1pr1p/p2q1pp1/1pnPp3/4P1PQ/P1N1PR2/1PP1B2P/5RK1 w - -,g1h1
r1bqkb1r/pppp1ppp/2n1pn2/8/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
1nk1r2r/2pq2pp/1p1b2n1/3p1p2/p2P4/2PQ1N1P/PP1B1PP1/1KN1R2R b - -,a4a3
6k1/1R6/7p/3r1p2/7P/5KP1/5P2/8 b - h3,d5a5
1r1qr1k1/2nnppbp/pp1p2p1/2pP3P/P3PBB1/2N5/1PPQ1PP1/1R2R1K1 b - -,b6b5
8/1b6/6p1/2B1pk1p/5p1P/4n2K/6P1/4N3 w - -,c5b4
r3r2k/1p1R2pp/2n1Bq2/p4P1P/Pb2p1P1/4B3/1PP2Q2/2K4R w - -,g4g5
6k1/Rp3p1p/2p3p1/6P1/4r3/P2r4/1P2nP1P/R5NK b - -,d3b3
8/3k4/p1p4R/3p3p/rP1B4/2P2b1P/7K/8 w - -,h2g3
5rk1/1b3p1p/1q2pnp1/p1r5/1p2P3/3B1PP1/PP1NQ1KP/R2R4 w - -,d2c4
3r1bk1/p2r1p1p/1p3Pp1/n1p2NP1/4N3/1PP1B2P/1P2K1B1/R7 b - -,g6f5
r5k1/8/4p1K1/p3P3/R7/8/8/8 b - -,a8a6
1r3r1k/p2b3p/3pp3/2p1b3/2P1BP1q/2NPPQ2/PP1BK2p/7R w - -,c3d1
2r2rk1/qb1nbppp/p3pn2/1pp5/8/1P2NNP1/PB1PPPBP/Q1RR2K1 b - -,f8d8
2brrbk1/1pq2pp1/2p4p/2Pn4/1P1NB3/2B2P2/2Q3PP/3R1RK1 w - -,f1e1
2kr3r/ppp1qpp1/2p1bn1p/2b1p1N1/4P3/3P3P/PPPNQPP1/R1B2RK1 w - -,g5e6
8/4k1b1/p2r2p1/nppBp3/4P2r/1PP1N1R1/P3KP2/R7 w - -,a2a4
q2r2k1/pb2bppp/1pn1p3/3r4/3P4/1P3NP1/PB2QPBP/2RR2K1 w - -,d1d2
r4r2/2qbppkp/2np1np1/p1p5/1pP1P3/1P1P1N1P/P1BQNPP1/R4RK1 b - -,e7e5
4r1k1/5p2/1r3B1p/Rpp1N3/1npp4/6P1/1P3PKP/3R4 w - -,e5d7
1rr5/3q1Bpk/1pp2np1/8/P2Pp3/1Q2PP1b/5R2/1RB3K1 b - -,e4f3
8/7p/p7/1p1k4/1P6/P3R1P1/7r/4K3 w - -,e3c3
2rr2k1/1pq2pbp/p1bppnp1/8/2P1PP2/1PNQN3/1P1B2PP/2R2R1K b - -,b7b6
2rq1rk1/pb1n1ppp/1ppbpn2/3p4/2PP4/1PNBPN2/PBQ2PPP/2R2RK1 b - -,f8e8
8/3k4/pp4p1/1n1P1p1p/1P3P1P/4K1P1/8/2N5 b - -,d7d6
6k1/p3rp1p/1n1N2p1/4r3/P2R4/1P4P1/7P/3R3K b - -,e5e1
8/2nr1pkp/6p1/3N4/4P2P/4KPP1/3R4/8 b - -,c7d5
7k/4b1p1/3p2p1/1pr3P1/4PB1q/1P6/P5QP/5RK1 w - -,g1h1
8/1Q6/4qppk/7p/7P/1p4P1/5P2/6K1 w - -,b7b8
4r3/6kp/4qpp1/4r3/p1Pb4/3Q3P/1B4P1/4RR1K w - -,e1e5
4r3/1p6/p3pk2/5p2/2P4r/3Pq3/PP2R1B1/4K3 w - -,e2e3
8/1b5p/p3pk2/5pp1/PnB5/1P3P2/6PP/3N2K1 b - -,f6e5
