8/2Q5/pp4pk/3q1p2/P3r2P/5R1K/1P6/8 b - -,e4h4
r1bqk1nr/1p1p1pbp/p3p1p1/8/B2pP3/3P4/PPP1NPPP/R1BQ1RK1 b kq -,g8e7
2rqkb1r/pp3ppp/1n2p3/n2pPb2/3P4/1BN1B3/PP2QPPP/R3NRK1 b k -,f8e7
3r4/2n1kp2/1P1p2p1/p3p2p/4P3/4NPPP/1R6/6K1 b - -,c7a6
8/1p5p/p2rpk2/8/3PK3/4R3/PP4PP/8 b - -,h7h5
3q1rk1/2R1bpp1/p3p1p1/np1p4/Pr1P1B2/1P1QP2P/4BPP1/5RK1 w - -,a4b5
2r5/prpn1pkp/3pp1p1/1q6/3P1N2/3Q2P1/PPR1PP1P/2R3K1 b - -,a7a6
b1r1r3/5p1k/p5p1/2p1b1P1/2PpP3/3B2P1/P5PN/1R2R2K w - -,e1f1
r1br2k1/q4ppp/p1np1N2/1p2p3/4P3/PB3N1P/1PPQ1PP1/3RK2R b K -,g7f6
8/p6r/1q1P1bk1/2PQ1p1r/4pPpP/R5P1/4B1K1/7R b - -,b6b2
5rk1/r4ppp/nqp5/2bpPPP1/1p3B2/3NP2P/1P2Q2K/2R2R2 w - -,f1f3
2B2k2/4bp1p/6r1/2Bpp2q/3n4/2R2P2/1PP4P/1K1R4 w - -,c8g4
r3r1k1/1q3ppp/2b1pb2/1pp1p3/4P1N1/2PP3P/1PB1QPP1/R3R1K1 b - -,b7c7
1r6/3b3p/B2k1pp1/3p4/pp1P3P/4P1P1/PP3P2/2R2K2 w - -,a6d3
4r1k1/5p1p/3p2p1/1p1P4/4Pn2/1B3q2/1P1N1P2/2N2K2 w - -,d2f3
rn1qk2r/pb1p1pp1/1p2pn1p/2p5/1bPP3B/2N2N2/PPQ1PPPP/R3KB1R w KQkq c6,a1d1
1r2k2r/p5b1/2p1p2p/6p1/8/4P1P1/PP1KNPP1/2R4R b k -,b8b2
8/4kppp/2r5/R2p4/Pp1P1P2/1P6/5P1P/6K1 w - -,a5b5
r1b2rk1/1p1n3n/p2p2p1/P1pP3p/2N1Pp1q/2N2P2/1P1QB1PP/R2K3R b - -,h4e7
2rqnrk1/1p1b2p1/p3pp1p/3p3P/1b1P1BP1/nPNBPP2/P3NK2/2RQ2R1 w - -,c3b1
4B3/6p1/6K1/p1k5/P7/2n5/8/8 w - -,g6g7
5rk1/1rq2p1p/3p1np1/pp3P2/6Q1/P2BR3/1PP3PP/3R3K w - -,g4g5
2rr2k1/pp3ppp/1q2p3/2b1P3/3BQP2/1PP3P1/P6P/R1R3K1 b - -,c5d4
6k1/5p1p/1r4p1/4n3/3Np3/4PbP1/3KBP1P/R7 w - -,a1a8
1rb2r1k/3nNp1p/p4q2/8/1P6/3QRN2/P4KPP/2R5 b - -,d7b6
8/8/8/8/5pk1/5N1n/6K1/8 b - -,h3g5
2r2rk1/p6p/3n2p1/1pnpp3/8/1P1B1P2/PRPNK1PP/4R3 w - -,e2d1
r4rk1/pbpnqppp/1p1pp3/8/1PPPn3/2B1PN2/P1Q1BPPP/R4RK1 w - -,f3d2
8/2r5/3R1p1p/5k2/P4P2/1P2R1KP/1r4P1/8 w - -,d6d5
2rq1rbk/p5bp/1pnp1np1/3Npp2/2P5/1PB2NP1/PQ2PPBP/R2R2K1 w - e6,d5f6
r4rk1/1b1qbppp/p3p3/1p1n2B1/3N4/2PB4/PP2QPPP/3R1RK1 w - -,d4f3
2r1b1k1/5ppp/p3pn2/1p6/3B4/bP2P3/P2NBPPP/3R2K1 w - -,d2b1
1r4k1/4nppp/p2q4/2pP3P/1rP3P1/1P6/P1BQ4/1K1R3R b - -,a6a5
8/1p3p2/p1b4k/4P2p/4PK1N/r1P3R1/7P/8 b - -,c6e4
r2rn1k1/1p2bpp1/4p1p1/pN2B3/P1PNn3/1P6/5PPP/3R1RK1 w - -,b5c7
8/p4p2/R3b1p1/4k2p/8/2NRK3/1r3P2/8 b - -,h5h4
3q4/3b2kp/2Np4/1prPb1p1/3pPpP1/3B1P2/P3K2P/1R2Q3 b - -,d7c6
5r1k/pb2q1pp/3r4/PPpp4/4p1n1/2N1PPK1/1PQ3P1/R1B1NR2 b - -,d6h6
8/p1p5/1p3k2/2PP3n/PP4p1/4K3/6B1/8 w - -,d5d6
r2qr1k1/4bpp1/p1npbn1p/1p6/3NP3/6NP/PPB2PP1/R1BQR1K1 b - -,c6d4
8/5p2/4pN2/R3Pkp1/5r1p/7P/6PK/3b4 w - -,a5a1
rnbqk2r/ppp1npbp/3p2p1/4p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -,e8g8
8/7p/4pk2/6R1/3P3P/5P2/4K3/1r6 w - -,g5h5
rnb2rk1/ppp1q1pp/5p2/3p4/1bPP1Bn1/2N2N2/PP2BPPP/R2QK2R b KQ -,f8e8
r1b1kbnr/pppp1ppp/2n5/8/4Pp1q/2N2N2/PPPPK1PP/R1BQ1B1R b kq -,h4h5
8/2R4k/pp1K3p/4P3/1P3nrN/P2P4/8/8 b - -,h7g8
r7/1pn1bp2/1k2b3/1p1pPp2/1P1P2pp/P1NNB3/2RK1PPP/8 w - -,c3b1
2b5/5pk1/6q1/1pb2np1/2p3N1/P4BPP/1P1QR1K1/8 w - -,d2d5
1r1qr1k1/2pb1pbn/np1p2p1/p2Pp3/P1P1P2p/BPNN2PP/5PB1/2RQ1RK1 w - -,f2f4
6k1/p4p1p/1p3q2/2p1np2/2Pr3P/PPQ2BP1/3P4/3R2K1 w - -,f3e2
2R5/3k2p1/pr1np3/5pP1/Pp1K1P2/1P3B2/4P3/2R5 b - -,d6c8
1r1r1k2/4bpp1/pp2p2p/n1p1P3/P1P5/1P3NP1/5PP1/N2RR1K1 b - -,f8e8
2b5/r5k1/2p5/p3p1PB/Pp2n3/4R3/1P3PPN/2qQ2K1 b - -,c1d1
8/Pk5p/8/6p1/K7/1p3P2/1Rb3PP/8 w - -,b2b3
r1b2rk1/pp3ppp/2nb4/3N4/7q/3BB1P1/PP3P1P/R2QR1K1 b - -,h4g4
r3k2r/pp3pp1/2p1p2p/3qN3/3Pn3/4Q3/PPP2P2/1K1R3R b kq -,e4d6
3rk2r/4b1p1/pNBq1pbp/4p3/P1Q3P1/4R3/1P3P1P/4R1K1 b k -,e8f8
r3r1k1/pp1qbppp/2p1b3/2Pn1p2/PP1P4/R2B2BP/4NPP1/1Q1R2K1 b - -,h7h5
r1q1nrk1/pp1bppbp/3p2p1/2pP4/1nP1PP2/2NBBN1P/PP4P1/R2Q1RK1 w - -,d3b1
r2qr1k1/ppp1bppp/1n6/3p4/3P2n1/1QP2N1P/PP1N1PP1/R1B2RK1 b - -,g4f6
8/1p1r1k1p/2p1b1p1/5pB1/PP2n3/6P1/5P1P/3BR1K1 w - -,g5e3
r1bqkb1r/pp3ppp/3ppn2/2n1P3/5P2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,f6e4
r1b3k1/pp1nq1pp/2p4r/3p4/3PN3/1Q2P3/PP1N1PPP/2R2RK1 b - -,e7h4
3rr1k1/5ppp/1pn1p3/p1q5/2P5/PP2QN2/5PPP/R2R1K2 w - -,f1e2
r2qr1k1/1b3ppp/pb2p3/1p2P3/1P1NnP2/PB6/1B4PP/R3QRK1 w - -,a1d1
5rk1/ppp3pp/3p4/2bPr3/2P5/3nN3/PP1B1PPP/3R1RK1 b - -,d3b2
6k1/2p5/Q3p1q1/P2rn1pp/1p1pr3/1P4PP/R1P1RP2/6K1 w - -,e2e4
r3kb1r/4qppp/bnpp4/p7/2P1Q3/1P6/PB1N1PPP/R3KB1R b KQkq -,e7e4
2r1r1k1/2q2pp1/p2p3p/1pnB1P2/3QpP2/2P5/PP4PP/1K1RR3 w - b6,e1e3
2r3k1/p2q2pp/1pp1b1n1/3pP3/1P1P3n/3B4/PN1Q1BPP/2R3K1 w - -,d2g5
r4b2/2p2kpp/bpp2p2/p7/3P1N2/2P3P1/1P1N1PP1/R5K1 w - -,f2f3
8/2r4p/5p2/5B2/pP6/P3k3/K1N3Pb/8 b - -,e3d2
8/1p5r/p1nppk2/2p1p1p1/P3P3/2PPNKP1/1P3P2/3R4 b - -,f6g6
2r1k2r/pp3ppp/2n1b3/3p4/3P1b2/1P1B1N2/1P1N1PPP/R3R1K1 w k -,d3f5
5rk1/1pRBp2p/p4bp1/3P4/4pr2/8/P2R1PKP/8 w - -,c7b7
1n1q1rk1/1p2bpp1/p2p1n1p/r2Pp3/2P5/1P3N1P/1B3PP1/R2QRBK1 w - -,b2a3
8/4k3/1R1N4/p1p5/P1P3K1/r7/3b4/8 w - -,d6e4
b1r1rk2/2qn1pp1/1p1ppn1p/p7/P1PP3N/6R1/1P1BQPPP/1B2R1K1 w - -,b2b3
r2qrbk1/1b3ppp/pp1p1n2/2pPn3/P3PB2/2NB1N1P/1P3PP1/R2QR1K1 w - -,f4e5
8/5n1r/4pk1P/8/5PP1/5K2/7R/8 w - -,g4g5
8/4k1p1/3p4/2nPp1P1/4P2P/2K5/p7/8 w - -,c3b2
2bqrr1k/4b1pp/p2p4/1p6/2nBPNn1/P1N3Q1/1PP3BP/4R1RK w - -,e1f1
r1bq1rk1/pp2pp1p/2p3pb/5n2/Q2PNn2/2PB3P/PP1N1PPB/3RR1K1 w - -,d3f1
