8/8/5pk1/8/5R1P/5PK1/1r4P1/8 w - -,g3h3
r1bq1rk1/1pnn1pbp/p2p2p1/2pP4/P3PP2/2NBBN2/1P4PP/R2Q1RK1 b - -,d7f6
6r1/8/p2k4/1p6/1P6/1KP1R1P1/P7/8 b - -,d6d5
6k1/6pp/4p3/p7/1p1rpPP1/4R3/1PP4P/2K5 b - -,g8f7
6r1/pp6/7k/2R4p/2PpP3/3P3b/PPN5/7K b - -,g8g3
6nk/pp4qp/3p4/2pP2P1/2P1BN2/4QKP1/Pb6/8 b - -,b2d4
r4rk1/pp2qppp/1b6/1P1pn3/4n1b1/PN4P1/2PBNPBP/R2Q1RK1 w - -,d2b4
r1b1r1k1/1pqn1pbp/2pp2p1/p7/2P1P3/1PN1BP2/1P1Q2PP/3RRBK1 b - -,d7c5
6r1/p3p2k/qp1pNp1p/2pPn2R/2P1P1r1/2P3P1/P4Q1P/5RK1 b - -,e5f7
r3k2r/pp1q3p/2pbp1p1/6B1/6Q1/1PNP4/1Pn1NPPP/5RK1 b kq -,e8g8
1r3rk1/p2bpnbp/2pp2p1/5P2/3P4/1PN1B2P/P2NRPP1/2R3K1 b - -,g6f5
r3k2r/2qp1pp1/ppb1pn2/2b5/2P1PP1p/P1N2B2/1PQ3PP/R1B2R1K w kq -,c2e2
7k/1p4b1/p1p1brpp/2P4q/P3P3/4QN2/6BP/4RRK1 b - -,f6f8
5rk1/3n1ppp/B3pn2/1p6/3P1b2/3N2P1/P1r1PP1P/R4RK1 w - -,d3f4
8/8/2Q2kp1/p4n1p/1q3p1P/6P1/1P3P2/5BK1 b - -,f5d6
r4rk1/p2nqppp/1p2p3/4P3/3p4/3Q4/PP1N1PPP/1B3RK1 b - -,g7g6
r2qk2r/3P1pp1/4p3/p7/2pP2n1/4PNP1/1P1bQP2/R4RK1 b kq -,d8d7
8/3R1k1p/1p2rBp1/p3P3/2p4P/2P1P3/1n6/6K1 b - -,f7e8:f7f8
4qbk1/8/3p2p1/3P1p2/p1P3Pp/3Q1P1P/3N4/3K4 b - -,e8e5
r7/6pp/1ppk1p2/3p1b2/p2P1P1P/P1P2P2/1P2RK2/3B4 w - -,f2e3
2r1r1k1/1pqbppbp/p2p1np1/6B1/4P3/1NPB4/PP1Q1PPP/R3R1K1 w - -,a1d1
5q1k/p5p1/2p4p/8/2P5/2PQr2P/6PK/8 w - -,d3e3
rnbq1rk1/ppp2ppp/3p1n2/4p3/2PP4/2PBP3/P3NPPP/R1BQK2R w KQ -,e3e4
r4rk1/pp2pp1p/2p3pb/3qP3/2QP4/1PB1PR2/P5PP/R5K1 b - -,f7f5
r3r1k1/p4p1p/n4b2/1P1pppP1/8/4P2P/PP1B1P2/1K1R3R w - -,g5f6
r2q1rk1/1b1nbppp/pp1p1n2/3Pp3/2B1P3/2N2N2/1PP2PPP/R1BQR1K1 b - -,g7g6
r1b1k2r/p2p1ppp/1pn1p1q1/2b5/2P1PB2/2NB2Q1/PP3PPP/R3K2R w KQkq -,a1d1
8/2B5/4bR2/P2k4/2p2P2/r7/3K4/8 b - -,e6c8
8/5p1p/4p1p1/p5P1/P1R2Pk1/5r2/6KP/8 b - -,f3f4
r2qkb1r/pppnnppp/4p3/4P2b/2BP4/2N1BN1P/PP3PP1/R2QK2R w KQkq -,g2g4
r1bqk1nr/pp3pbp/3p2p1/2p1p3/3nP3/3PB1P1/PPPQ1PBP/R2NK1NR b KQkq -,g8e7
8/1p6/p2k4/6p1/5nKp/P1P2P1P/1P6/8 b - -,d6e5:f4e6
8/8/3p1k1p/1P1P2p1/3bp3/N5P1/1pK1P2P/8 b - -,f6e5
2kr3r/p2qnpp1/1pb1p2p/n2pP2P/P1pP2BN/B1P5/2P2PP1/R2Q1RK1 b - -,h8g8
r3nr1k/p2bq1bp/1p3np1/2pPpp2/2P5/P1N1PP2/2Q1BNPP/1RB2RK1 w - -,a3a4
3r4/pp2rbkp/2p2pp1/2R5/3P3P/P3PPP1/5KB1/2R5 b - -,f7b3
6k1/8/8/2b1pN1R/4r3/6PK/7P/8 b - -,g8f7
8/4K1k1/4R3/5PP1/8/8/8/5r2 w - -,e6g6
5r2/1pp2rkp/p2pn1p1/4p3/PP2P1N1/2P2PP1/6KP/3R1R2 w - -,h2h4
5rk1/pp3pp1/2q1p3/2P1Q3/5R2/7P/1P4P1/6K1 w - -,b2b4
8/8/2n4p/ppN1pk2/8/P1P1K3/1P5P/8 w - -,c5e4
5k2/4rB2/1p4P1/pP2pK2/P3P3/8/5b2/7R w - -,f5f6
8/8/1K3k2/Pp4p1/1P1N4/8/5p2/8 w - -,a5a6
8/1p3pk1/2p2r2/7p/4P1p1/1P1Bq3/P1K2p2/3Q3R b - -,f6f3
8/p3kp2/7p/P1p1PP2/2b3B1/4K1P1/8/8 b - -,c4b5
r4rk1/1q1n1ppp/p4n2/P1bNpPB1/8/8/1P2QPPP/RB1R2K1 b - -,f6d5
8/5p2/4pBpk/2n1P3/4P2P/5PP1/8/5K2 w - -,f1e2
6nr/pQ2b3/5ppk/P1Bpp2p/7P/1p1q1N2/5PP1/2R3KR w - -,f3e1
r3kb1r/pp1q3p/4p1p1/5p2/3P4/2P2Q2/P4PPP/R1B2RK1 b kq -,f8d6
r2q1rk1/pp3ppp/2nb4/3p4/3P1Bb1/5P2/PPB1N1PP/R2Q1RK1 b - -,g4e6
4rbk1/2n2q2/3p1p1p/Bp1P1Q2/p7/P4N1P/1P3PP1/R5K1 b - -,c7d5
r4rk1/1pq2ppp/p3bnn1/P3p3/2NpP3/3P2Q1/1P1NBPPP/R1R3K1 b - -,a8c8
3nb3/1pr1k3/p3p2p/4p1p1/P3B3/1P3P2/6PP/1KNR4 b - -,d8f7
2r2r1k/1p1nb1p1/5n1p/3PpP2/1P4P1/4B1NP/8/1BRR2K1 b - -,c8c1
r5k1/p2n1ppp/2p2n2/q4p2/1b6/1BN4P/PPPB1PP1/R3Q1K1 b - -,a8e8
1r1r4/p5pp/2R2p2/1B2n2k/P3q2P/1R4P1/5P2/2Q3K1 w - -,b3e3
8/5K2/6pk/p1r1p3/3R4/8/8/8 w - -,d4e4
8/pp5p/4p1p1/1b1pk3/8/P3P1P1/1P1K2BP/8 b - -,b5c6
6k1/ppp4p/6p1/8/2NQ1p2/1P6/P4KPP/3r4 b - -,d1d4
2r2r1k/1p3ppp/2b1pqn1/p3p3/P3P1Q1/1BPN3P/1P3PP1/3RR1K1 b - -,h7h6
6k1/7p/p1r1p1p1/1p1p4/2r2P2/P1P3P1/1P5P/3RR1K1 w - -,g1f2
3r2k1/1b3pp1/1p1qrn1p/pP1p4/3Q4/4PBP1/P3NP1P/2RR2K1 b - -,g7g5
3r4/1p5k/p1p1Qpqp/3n2p1/8/P3B1RP/1P3PPK/8 w - -,e3c5
8/8/p7/k7/2pR4/1p1b4/1K6/8 w - -,d4d3
2k4r/2nb1Np1/1q1B4/p6p/4B3/2Q5/1rP3PP/4R2K w - -,d6c7
r3k2r/1p1n1pp1/p1p1pnp1/3p4/2P3P1/qPN1P2P/P2PQPB1/R3K2R w KQkq -,e1g1
r1b2rk1/1p1nqpbp/p2p1np1/2pP4/P7/2N3P1/1P1NPPBP/R1BQ1RK1 w - -,d2c4
r1bq1rk1/1pp2ppp/p1p2n2/8/1b2P3/2NP1N1P/PPP2PP1/R1BQ1RK1 b - -,b4c3
8/7k/5K1P/5P2/3R4/8/8/5r2 b - -,f1f2
8/8/p3n3/P1Np1k2/1P6/2P1K3/8/8 b - -,e6c7
2k5/n4ppp/pp2p3/8/1P1P4/PN2KP2/6PP/8 b - -,a7b5
5Nk1/B3b1pp/2B1p3/2pp4/4n3/4P2P/1P3PP1/5bK1 w - -,f8e6
8/8/8/1N2kp2/p4n1P/P3K3/6P1/8 w - -,e3f2
3r2k1/pp2q1pp/2n1p3/3r1p2/3P1Q1P/P3B3/1P3PP1/R3R1K1 b - -,c6d4
r4rk1/3q1ppp/2n1pn2/p2p4/R2P1B2/2PQPN1P/5PP1/R5K1 b - -,f8c8
2r2rk1/1b2ppbp/p4nP1/1pq1P3/3p3Q/P1NB1R1P/1PPB2P1/R6K b - -,f7g6
r3r1k1/3bbp1p/5np1/2qp4/1p1N4/1P1BPP2/PQ3BPP/3R1R1K b - -,c5a5
2r2rk1/2q3bp/p2p2p1/p3p3/2bNQP2/2P1B3/1P1R2PP/R6K w - -,f4e5
6k1/5p2/3Nn1p1/1P2Q2p/1q6/5PK1/6PP/8 w - h6,h2h3
2kr1b1r/1b2qp1p/pp1ppp2/2n4Q/2PNPP2/2N5/PP2B1PP/2KR3R b - -,c5e4
6k1/1p1q1pb1/pB3np1/3Pp3/2Q1P3/1P3BPp/P6P/6K1 b - -,f6e8
8/8/5pk1/3R4/3N1K2/8/7P/r7 w - -,d5d7
1r4k1/7p/1P2R1p1/3nNp2/3P1p2/7P/5PP1/6K1 w - -,e5d7
r5k1/p4r2/b2P3Q/2p5/1p6/5p1P/PP4P1/6KR w - -,g2f3
8/2b2p2/R3bkp1/7p/4P2P/5BP1/2r1PPK1/8 b - -,f6e5
