5r2/4RPk1/6p1/4Q3/5P1p/1q5P/6PK/8 b - -,g7h7
r1b5/p1p1Qnk1/1p2P3/1P1P2p1/P4pn1/2N2P1q/4B2r/4KRR1 b - -,h3h4
1qr3k1/4bppp/2B1pn2/8/1p6/1N2PP2/1P2Q1PP/2B2RK1 b - -,c8c6
r1b1k2r/2qnbpp1/p1pp1n1p/1p2p3/3PP3/2NB1NB1/PPPQ1PPP/1K1R3R b kq -,c8b7
r5bk/p5p1/5b2/1P5p/3p1R2/3B3P/PP1K4/6R1 b - -,g8a2
r3rbk1/1bpq1p1p/p1np1np1/1p2p1B1/3PP3/2P2NNP/PPB2PP1/R2QR1K1 b - -,f8g7
r3r1k1/1p1qnp1p/1B3bp1/4p3/P2pP2P/1P4P1/4QPBK/R4R2 w - -,g2h3
5rk1/1pB1ppbp/2n3p1/nR6/B3R3/5P2/P1Nr1P1P/6K1 b - -,f8a8
1q3r1k/1r4b1/p2p1npp/B1pPp3/NPP2n2/R5PP/2Q2P2/1R3BK1 b - -,c5b4
r2q1rk1/1pp1bpp1/p4np1/3p4/3P1BP1/5B1P/PPPQ1P2/3R1RK1 w - -,f1e1
8/k1p2p2/3q3p/p2bN2P/P5P1/1P1Q4/1KP5/8 w - -,d3d4
8/7R/3p4/3k4/4n3/P1P4P/1P3r2/1K6 w - -,h7b7
r4nr1/p3pk2/4p2n/1pP3Rp/3p3P/5P1B/PPPB1P2/1K4R1 w - -,g1d1
r1bqk2r/3n2pp/1pp1pn2/p1Pp1p2/1P1P1P2/P1N2N2/4PPBP/R2Q1RK1 b kq -,f6e4
3q4/6kp/1p1r1pp1/p1p1p3/P2nP3/1PQ1RNPP/2P2PK1/8 b - -,h7h5
rn2k2r/1pqb3p/p3Pppb/P1p1p3/2B2PnB/2N2N2/1PPQ2PP/R4RK1 b kq -,d7c6
r3r1k1/pp3ppp/8/3p4/3Q2b1/5NP1/P1N1RPBP/2q3K1 w - -,e2e1
r2qk2r/p3npb1/1pp1b1pp/2p1p3/4P3/2NPBN1P/PPPQ1PP1/R4RK1 w kq -,a2a3
3q4/r2N1k1p/p1Q2p2/2p1pp2/P2p2P1/7P/1PP2P2/4R1K1 b - -,d8d7
8/p2Rpp1p/5kp1/2p5/2P5/r5P1/5P1P/6K1 w - -,d7d5
8/4P1np/1N1k4/2p5/8/P7/5K2/8 w - -,a3a4
r2q1rk1/1b1n1p1p/pn2p1p1/1p6/8/QBNP1N2/PP3PPP/R3R1K1 w - -,e1e3
3r1rk1/1pq1bpp1/2p1pn1p/p4b2/2PP4/PP4P1/1B1N1PBP/R2Q1RK1 w - -,d1c1
r1bqk2r/ppp2ppp/2nb4/4p3/8/2PP2P1/P1P2PBP/R1BQK1NR w KQkq -,g1f3
3r2k1/np4p1/4p3/3p1qp1/pP1P1P2/P1R1P3/5NB1/2R4K b - -,g5f4
r4rk1/pp3pbp/2np2p1/q3P3/2P1bB2/1Q3N2/PP2BPPP/3RR1K1 b - -,d6e5
2q2rk1/4pp2/p2p2p1/1pP1n2p/3RP3/1P3P2/P3Q1PP/5RK1 b - -,c8c5
3qrbk1/r4n1p/1p4p1/pP1bpp2/P1NP1n2/BQ3N2/2R2PPP/3R1BK1 b - -,e5e4
8/8/8/3R2K1/p1r3P1/Pk3p2/8/8 b - -,f3f2
5rk1/7p/1Q4p1/1p3qb1/p3p3/Pb1nBP1P/1P2R1P1/5RK1 b - -,b3c4
5r2/2p1rkq1/3p2p1/pB1P1p2/Pp2nP1Q/4R3/1PP3P1/K6R b - -,g7d4
R2b4/3k4/4r3/p1p2p2/P1N1P2p/2PK3P/1P4P1/8 b - -,f5e4
1R6/6pk/1PK5/6PP/8/8/8/3r4 b - -,d1c1
8/p4p2/2N2kpp/2b1p3/8/1P4PP/P4P2/5K2 w - e6,b3b4
rq1r2k1/2R1b1pp/p2p2n1/1p1Ppp2/1P2B3/1Q2BN1P/P4PP1/2R3K1 b - -,f5e4
r2q1rk1/pb2npbp/1pn1p1p1/2pp4/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - d6,c4d5:b2b4:b2b3
5r2/3P1P2/2B4p/2k4P/P1p5/8/K7/8 w - -,d7d8q
6k1/p5p1/3Np2p/8/5r1P/2nP2K1/P4P2/4R3 b - -,f4d4
2r5/8/3R1N1p/8/3nkP2/8/5K1P/8 b - -,e4f4
r3r1k1/1p3p1p/2ppq1p1/7n/p1P1BP2/2Q1B1P1/PP5P/3RR1K1 b - -,e6e4
8/6R1/6p1/p2pk3/r7/4PK2/8/8 w - -,g7g6
3r2k1/p4n1p/1np2pp1/8/4PP1P/8/PP2BN2/2KR4 b - -,d8d1
r3k2r/pp1qppbp/2np2p1/8/2P1P3/2N1n3/PPN2PPP/R2Q1RK1 w kq -,c2e3
1r1q1rk1/5bb1/p1npn1pp/P1pNpp2/Q1P5/2NPP1P1/3B1PBP/1R3RK1 b - -,f7e8
6r1/p4pp1/2p1k2p/3pP3/2P2P1P/2R5/P1P3P1/2K5 w - -,c4d5
4b3/5ppp/1P1k4/2N5/P7/4PP2/1R3KPP/r7 b - -,e8c6
3b4/6k1/8/5Kp1/2N3P1/5P2/8/8 b - -,d8e7
3r2k1/5pp1/1qp2np1/1p2p3/3PP3/2PQ2NP/6PK/3R4 b - -,c6c5
1n1q4/2r2pkp/p3pQp1/1p2P1P1/3P4/2P5/5PP1/R4RK1 b - -,d8f6
8/R3bk2/1q1rp1p1/5n2/1p6/1P6/P1P1Q3/1K2R3 w - -,a7a8
2n5/3k2p1/p2p1p1p/5P2/1p1PP1P1/4K3/BP4P1/8 b - -,c8b6
4qr1k/r2n1ppp/p1pp4/1p3PPQ/3pPR2/P2P3P/BPPB4/6K1 b - -,g7g6
r4rk1/p3bppp/1q2pn2/8/1p1P4/1p2P3/1P1BBPPP/R2QK2R w KQ -,e1g1
bqr1n3/2r2pkp/pp1pp1p1/4n3/P1PNPQ2/1PN4P/5PP1/2RR1BK1 w - -,f4e3
r6k/p3R3/1p3q1p/5p1Q/1nbP1P1P/6R1/P4P2/6K1 w - -,g3g6
3r3k/4ppb1/1pp1b1p1/4P2p/1PP1NB2/3P3P/5PP1/R5K1 b - -,f7f6
8/8/8/3p1p2/N2k4/P7/4B2r/4K3 b - -,h2h3
r1b5/p1p1Qnk1/1p6/1P1P4/P3Nppq/5P2/3KB2r/5RR1 w - -,e7h4
r1b2r1k/pp3np1/2p1p2p/3p1p2/2PP1P1q/3NP2P/PP1Q1PBK/2R3R1 w - -,d2b4
8/p1k1p2p/2p2b2/3r1p2/2N2P2/1P5P/P3R2K/8 b - -,d5d4
rn1q1rk1/pp3ppp/3ppn2/3p3b/3P4/4PN1P/PPPNBPP1/R2QK2R w KQ -,e1g1
r3r1k1/p2n1Nb1/np1Bq1pp/4P3/3pN1Q1/8/PP4PP/2R2RK1 w - -,g4h4
rnbqkbnr/p3pppp/2p5/8/PppPP3/8/NP3PPP/R1BQKBNR b KQkq -,g8f6
r1bqr1k1/1pp1npbp/p1np2p1/8/3NP3/2N1B3/PPPQBPPP/R4RK1 w - -,f2f4
r1b1k2r/1pq1ppb1/p2p1npp/5P2/P1nNP3/2N1B3/1PPQB1PP/R3K2R w KQkq -,e2c4
6k1/R4p1p/3p2p1/p1pP1nB1/1p3QP1/2P4P/5P1K/q3r3 w - -,g4f5
8/2p5/1pp3p1/2qb3B/4p3/1P2P3/PK3k2/Q7 w - -,h5g6
3r1b2/5p1k/2n3pp/pp1qp3/8/1NP1BP1P/PP2Q1PK/4R3 b - -,a5a4
8/5N2/2P5/6pP/6P1/4P3/5k1K/6r1 w - -,f7g5
r3k2r/p1p1bp1p/2p1p3/3nP1p1/2q5/2N3QP/PPPB1PP1/R4RK1 w kq g6,b2b3
3r1rk1/1p1nbpp1/p1p1q2p/P3p3/2N1P3/1P2B2P/2P1QPP1/R2R2K1 b - -,d7c5
2b1r1k1/r5pp/p2qp3/1pNp1P2/PPnP4/3Q3P/4PPB1/1R3RK1 b - -,e6f5
2rq1rk1/p2p1ppp/np1Pp3/2b1P3/8/5N2/PB3PPP/R2QR1K1 b - -,a6b4
2rr1nk1/pb2qpp1/1p2pn1p/4N3/PbPP4/2R2N2/1B2QPPP/1B1R2K1 w - -,c3e3
8/5r1k/p2B3p/2P2Pp1/2r5/5KN1/P1p5/2R5 w - -,f3e3
3r1bk1/1qnr1pp1/p2p1n1p/2p5/2P1P1P1/2NQ1PBP/PP1R3K/3RN3 w - -,d3e3
8/8/4p2p/3knp2/5N2/6K1/7P/8 b - -,d5d6
r1b2rk1/ppp3N1/3ppqBp/3n4/3P3P/2P2N2/PPQ2PP1/1K2R2R b - -,g8g7
r1r3k1/pqnn1pbp/3pp1p1/2p5/1pPPP3/1P3NP1/PQNBRPKP/4R3 b - -,a7a5
2r1b3/6kp/4ppp1/3r4/p4PP1/R2BK2P/8/R7 b - -,d5c5
r5k1/q2n1p1p/3p1np1/3Pp2P/4P1P1/1P1B2N1/1K1Q4/6RR w - -,g1a1
7R/8/2rk1p2/4p3/5r2/1P5R/1K5P/8 w - -,h3d3
8/r5kp/B2p2p1/p2P4/1p5P/5R2/PPP5/2K5 b - -,a7a6
1rbq1rk1/n3ppbp/2pp1np1/8/Np1P4/1P3NP1/PBQ1PPBP/2R2RK1 w - -,f3e1
Q7/5ppk/3r2qp/p4R2/6r1/1P6/P6P/5R1K w - -,a8a5
r1bq1rk1/pp2bp1p/1n3np1/3p4/3P4/P1NQ1NP1/1P2P1BP/R1B2RK1 w - -,f3e5
