8/3k4/3b2R1/p3p3/2P1P1P1/4BK2/r7/8 w - -,c4c5
4N3/6k1/4K2p/6bP/6P1/8/8/8 b - -,g7f8
2r2rk1/2qb2pp/1p2ppn1/pPnpP3/P1P5/5N2/2BNQPPP/R1R3K1 w - -,e5f6
r3Qn1r/pk1b2R1/7p/2Pp1B2/qp5P/4PP1N/PPP5/2K4R w - -,f5d7
2r1bk2/1R2Rpp1/p3p2p/P2pPP2/3N4/2r4P/2P1K1P1/8 b - -,c8c4
r5k1/2p3Bp/pbp5/1p3n1N/P7/1P3K2/2P3PP/R7 w - -,g7e5
rnbqkb1r/ppp1pp1p/5np1/3p4/Q1P5/2N2N2/PP1PPPPP/R1B1KB1R b KQkq -,c7c6:c8d7:b8c6
1r3rk1/4ppbp/p4np1/1q3PB1/2p3P1/2P3NP/PPQ5/3R1RK1 w - -,d1d2
8/4rk2/p3b3/2K5/5Qpp/1P6/1P5P/8 b - -,f7g6
2br2k1/R6p/4p1p1/4N1P1/3p1P1P/4P3/5K2/8 w - -,e5c6
r1b1kn1r/p3b3/q1n1p1p1/1p1pPp2/1PpP1P1P/2P2N1B/1N1BK3/1RQ4R w q -,h3g2
rnbqkb1r/pp3ppp/4p2n/2ppP3/5P2/5N2/PPPP2PP/RNBQKB1R w KQkq c6,c2c3
2r1k2r/1p1q1ppp/p3p3/n2P1bP1/Pbp5/2N1B3/1P2QP1P/3RKB1R w Kk -,f1g2
4rr2/p4pkp/1q1p1np1/8/2p1PP2/1PN2Q2/P5PP/R4R1K b - -,c4b3
q2r3k/3B2pp/4Q3/3pB3/3P4/r6P/6P1/1R5K w - -,e5g7
r5k1/3b3p/4p1pP/1n1pPpN1/p1pP4/B1P5/2PK1PP1/7R w - -,a3b4
2n3k1/p4ppp/1p1bp3/8/3P4/P3B3/1P3PPP/1B4K1 w - -,g2g3
8/8/5B2/3p4/4k2K/5n2/8/8 w - -,h4g3
r2q1rk1/4ppbp/bn1p1np1/2pP4/8/2N2NPP/PP2PPB1/R1BQ1RK1 w - -,f1e1
r3qrk1/1b3ppp/1p2pn2/p1n5/4P2Q/5NP1/PP1B1PBP/R2R2K1 w - -,e4e5
5k2/5p1p/p1p2pb1/1p2r3/3bP1P1/7P/PPB5/3NRK2 b - -,h7h5
2k1r2r/1ppbn1q1/p2pp1pp/8/3PR3/PB3N1P/1PPQ1PP1/2KR4 w - -,b3e6
rn3qk1/p1pp1npp/1p2pr2/2P5/3Pb2P/2P2P2/P1Q3P1/R1B1NRK1 w - -,c2e4
r1b2rk1/bp2qpp1/p1n1p2p/8/2Q5/P1N2NP1/1P2PPBP/2RR2K1 w - -,c4h4
rnbqkbnr/pppp2pp/4p3/5p2/8/5NP1/PPPPPPBP/RNBQK2R b KQkq -,g8f6
1n1r2k1/BPp1qp1p/3p2pb/3Pp3/1PN1P1b1/Q1N5/5PPP/5RK1 b - -,e7g5
1r1r2k1/1bq2p1p/1N3bp1/p1P2n2/3p4/P3p3/1PQ2PPP/R2RNBK1 b - -,e3f2
2rq1nk1/2r1bpp1/bp2p2p/3pP2P/pP1P1BP1/P3RNK1/3Q2P1/RB6 b - b3,f8h7
2r1qrk1/p4p1p/np3p2/5P2/8/P3B3/5RPP/3RQ1K1 b - -,c8d8
2r2rk1/ppqbp1bp/n1pp1np1/3P1p2/2PN4/2N1P1P1/PP1B1PBP/R2Q1RK1 w - -,a2a3
6k1/2p1r1p1/1pR1p1p1/1n1p1pP1/p2P1P2/P3P3/3N1K1P/R7 b - -,g8f8
1r1q1rk1/3nppbp/p2p1np1/1ppP4/P3P3/2N1BB1P/1PPQ1PP1/R4RK1 w - b6,a4b5
r3k1r1/pb1n1p1p/3p2p1/pq1np3/3B4/2P2NP1/1P2PPBP/R2Q1RK1 w q e6,e2e4
8/6bk/3Pb1p1/1pB5/4p1p1/8/8/3K4 w - -,d1e2
r2r2k1/5ppp/b7/p1q1b3/1p2PP2/P2B1R1P/1P2N1P1/1R1Q3K b - -,e5b8
r2q1rk1/1p1nppbp/2pp1np1/8/1RPPP1b1/2N1BN2/P3BPPP/3Q1RK1 b - -,a8a3
rnbqk2r/ppp1bppp/3p1n2/4p3/1P6/4PN2/PBPPBPPP/RN1QK2R b KQkq -,e8g8
4n3/5qk1/3b4/1Q1p2pp/3Pb3/2B1P1P1/4NNBn/5K2 w - -,f1g1
r2r4/pp1n2kp/2p1p1p1/8/3P4/P1RNPP2/1P2K1P1/7R b - -,h7h5
r2q1rk1/1p3pbp/2bpp1p1/p1n5/2P1P3/1PN1BP2/P2QB1PP/3R1RK1 b - -,g7e5
8/7p/2p3RP/1p3p2/bK1k1P2/8/8/8 w - -,g6g7
8/5pk1/6p1/2r1p1P1/nq2P3/4QP2/BP1R4/1K6 w - -,e3b3
r1b2rk1/p4ppp/8/2BNP1b1/1p6/1B3PP1/PP5P/4K2R b K -,f8e8
4rrk1/pb1q3p/3ppnp1/2p5/2P1NP2/3B3P/PPQ3PK/4RR2 b - -,f6h5
3b4/3P4/1p1B4/p7/P1k5/3p4/2K5/8 w - -,c2b2
4r1k1/5p1p/6p1/3Pb3/4P2q/1P1Q1P2/6PP/R5BK b - -,e5a1
8/R3nk2/1p1p3p/PP1P4/1P6/5Bp1/6KP/1r6 b - -,b6a5
r4r2/2q2pk1/1p1Nb1p1/p2pPp1p/PP1Q1P2/2P4P/6P1/R3R2K b - -,c7c6
r4rk1/1p1nbpp1/1qp1pn1p/4N2P/3P1P2/pPP3N1/P2BQ1P1/R3R1K1 b - -,c6c5
3r2k1/2p2pp1/pb2rq1p/1p3b2/3P4/P1Q1B2P/1P2NPP1/2R1R1K1 b - -,f5e4
rn2kb1r/pp1n1ppp/4p3/2qpP1B1/6Q1/2N4P/PPP1BPP1/R4RK1 w kq -,g5e3
rr4k1/3nq1pp/p1b1p3/1p2p3/2p1P3/1P1BQ3/PNP2PPP/3R1RK1 w - -,b3c4
r2qk1nr/p1pbn1bp/1p1p4/3PppN1/2P5/1QN5/PP2BPPP/R1B1K2R b KQkq -,g8f6
5rk1/1p3ppp/pq6/3b2B1/P7/1P6/5PPP/2Q2R1K b - -,b6b3
r2q1rk1/pp3pbp/1n2pnp1/1N1p4/3P1B2/1Q3PPP/PP3PB1/R1R3K1 w - -,f4d6
2rr2k1/pp3pp1/2p1pbp1/8/2BPR3/2P3P1/PP3P1P/4R1K1 w - -,c4b3
r2b3r/3P1k2/2NR4/p4R2/5P2/5K2/P7/8 b - -,f7g7
r2qr1k1/pp3pbp/2n2np1/3ppb2/2P5/PP3NP1/1B1NPPBP/R2Q1RK1 b - c3,d5d4
r2q1rk1/1p3pb1/p1p1b1pp/4pn2/3n4/Q1NP2P1/PP1BPPBP/2R1NRK1 w - -,e2e3
6k1/5p1p/b5p1/2p1n3/4P3/r1P5/P3N1PP/1B1R3K w - -,d1d8
r2qkbnr/1pp2ppp/p1n1p3/3p3b/2PP4/2N1PN1P/PP1B1PP1/R2QKB1R b KQkq -,g8f6
r1b2rk1/p3qpbp/4pnp1/2p5/5B2/2PB1N2/PP1Q1PPP/3R1RK1 b - -,c8b7
2r3k1/pp4p1/1q6/2bpp3/8/1P6/P1Q3PP/2RKRN2 b - -,b6e6
5b2/p5p1/6kp/2pN4/qPPpR3/P6P/5B2/5BK1 w - -,e4f4
4R3/6k1/2p2bP1/P7/4B1r1/4B2p/6bK/8 w - -,e4f5
6k1/Bp3r2/2p5/6pp/P3R3/5n2/1PP5/3K4 b - -,g8g7
1r2r1k1/p1q3pp/B1p1p3/2P1bp2/4n3/4B1P1/PP2QP1P/R4RK1 w - -,a1b1
2rn4/2r2k1p/1p2N1p1/3p4/PB6/4R3/5PPP/4R1K1 b - -,d8e6
r2q1rk1/pppb1pbp/2np1np1/4P3/2P4N/1PN3P1/PB2PPBP/R2QK2R b KQ -,d6e5
3r4/1R4p1/2B1ppkp/3p4/1NbP1P2/4P3/5K1P/8 w - -,b7e7
1r2n3/R3pp1p/2Pp1kp1/1p1P4/1P2N3/5P2/5P1P/6K1 b - -,f6e5
r3r1k1/1p3pb1/p2p1np1/q1BP4/P1p5/2N3PP/1PQ2PB1/R3R1K1 b - -,a5c5
3N4/8/5k2/6p1/4pp2/8/5K2/8 w - -,d8b7
1r4r1/4bk1p/p1p2p2/2p5/P3pN1P/1PB1PbP1/2P2R2/2K3R1 b - -,c5c4
r1nqbrk1/6bp/1p3n2/1P1p1pp1/N2Pp3/BQ2P1P1/4NPBP/1RR3K1 b - -,f8f7
1r1r4/pp4kp/2n1bpp1/2PBp3/2P2P2/4B3/PR4PP/3R2K1 b - -,e6f7
6r1/5RP1/p7/8/7k/8/5K2/8 w - -,f7a7
3r2k1/pp4bp/4q1p1/4p1Q1/3n2N1/6P1/PPr3KP/R2R2B1 w - -,g1f2
3r1rk1/pp3ppp/2p5/8/6P1/1P2P1P1/P2RNKbP/7R w - -,d2d8
8/5k2/2B2p2/p2p3p/2bP3P/2P1KP2/P4R2/7r b - -,h1h4
1rbk1br1/3qnp1p/p2p2p1/3P1PP1/1pPBQ3/1P4N1/P6P/2R2RK1 w - -,d4f6
2r1n3/8/1pPp1npk/p3p2p/P1P1P3/3N2PP/2R3K1/4R3 b - -,c8c6
7r/pk1rbp2/1pq1b3/3pP2p/2p2NpP/P1P1B1P1/1PP1Q3/2KR1R2 b - -,b6b5
8/p3k2Q/1p2q1p1/2p2p2/2P5/2P5/P5PP/6K1 b - -,e7d6
1r4k1/pBQ2p1p/1p2p1p1/2p2q2/8/2NrR1P1/P4P1P/6K1 b - -,b8b7
8/p3Qpk1/Kp5p/3rN3/5p2/2q1n3/P3B3/8 b - -,c3e5
r2q1r2/pp4k1/3p1pnp/2pPpnBR/2P1P1B1/1P3QP1/P4PK1/R7 w - -,g5d2
1n6/1k6/1P6/2n5/8/8/5K2/8 w - -,f2g1
4r1k1/3n1p2/R2p2pp/2pPb3/4P1P1/Nr5P/5PB1/3R2K1 b - -,d7b6
r2n2k1/pp2pr1p/5np1/2q5/2Pp4/3B2B1/P1P1QPPP/3RR1K1 b - -,d8c6
8/1p2rpk1/p7/4q1pp/4PQ2/6P1/PP2R1PK/8 w - -,f4f3
