3R4/6pk/2p4p/5r2/8/6P1/4PPKP/8 w - -,f2f4
r3k2r/1bp3q1/p2p3p/1p1Ppp2/1P2PP2/P3Q2P/2P4N/3R1BK1 w kq -,g1f2
rnb2rk1/p1q1ppbp/3p2p1/2pP4/P3P3/2PB4/2QN1PPP/RN3RK1 b - -,b8d7
2r2rk1/1pq2ppp/p2pbn2/4p3/2P1P3/1PN1Q2P/P3BPP1/2R2R1K b - -,f8d8
1r3nk1/2pq1pp1/3pnb1p/1p2p3/1P2P3/1NPP1NB1/3Q1PPP/R5K1 w - -,d3d4
4k3/1prR2pp/p7/5P2/P7/1P6/2r2P1P/3R2K1 w - -,d7d8
2rq1rk1/3b2b1/1n2p2p/1p3pp1/p1pPP3/P3BNP1/1PQ2PBP/1RR3K1 w - f6,f3e5
5r2/pR5p/3pBkp1/P1pP4/8/2nP2P1/7P/7K w - -,b7h7
8/5p2/2k1P1pp/pp5P/1n1K2P1/4N3/1P6/8 b - -,f7e6
6k1/p7/3r1pp1/1r1p1n2/4n3/4PN2/5PKP/B1RR4 w - -,c1c8
8/p1p2kp1/2r5/3qPb2/8/2B5/PP3P2/2KR4 w - -,d1d5
8/8/5k2/p7/2KN1P2/rP5p/8/8 w - -,d4f3
8/1p5p/1p1k2p1/1K2p3/P1P1n1P1/1P3N1P/8/8 b - -,e4c5
1r3r2/5pbk/3p1p1p/1ppPqNp1/1n2P1Q1/1R1P2P1/1P5P/2B2RK1 b - -,f8g8
2r3k1/1q3ppp/2p1p3/P2n4/2RPQ3/br5P/3B1PP1/3B1RK1 b - -,b3b2
r1b2rk1/ppp2ppp/3q1n2/3p4/3P4/P3P3/1P2BPPP/R1BQK2R b KQ -,f8e8
8/1R2kp2/7p/4PP2/7r/4K2P/8/8 b - -,e7e8
r1bqk2r/pp3pbp/2np1np1/4p3/3PP3/4B1P1/PP2NPBP/RN1QK2R w KQkq -,h2h3
r2qkb1r/pb1n1p2/4p2p/1p1P2p1/2p5/2N2NP1/PPQ1BPP1/3RK2R b Kkq -,e6d5
rn2k2r/pp1b2pp/8/2bP1p2/8/2NK2P1/PP4BP/1RB4R w kq -,b2b4
r1bqk1nr/pp3ppp/1bn5/4p3/3pP3/1NPB1N2/PP2QPPP/R1B2RK1 b kq -,g8e7
r2q1rk1/pp1bb1pp/2nnpP2/3p4/3P1B1P/P1NBPP2/1P2N3/R2QK2R b KQ -,f8f6
8/p4k2/4p3/7p/2rNP1p1/P1B5/3P4/5K2 w - -,f1g2
r1bq1rk1/ppp1n1bp/3p2p1/3P4/2P1pN2/2N2nP1/PP2Q1BP/R1B2RK1 w - -,g1h1
r4rk1/pp2qpb1/1n1P2p1/6Np/3p1Pb1/Q2B2P1/PP2N2P/2KRR3 b - -,e7d7
2r1r1k1/3nppbp/3pbnp1/qp1N4/1N1BP3/PP3P2/1Q2B1PP/R1R3K1 b - -,e6d5
8/8/8/R5P1/3k2K1/8/8/5r2 b - -,d4e4
4b2r/2k2pb1/1p5p/p1pBP1pP/2P5/4R1P1/PPKB4/8 b - -,f7f5
n4b1r/1knq1p2/4p1p1/1p1pP2p/2pPNB1P/2P3P1/R1B2PK1/Q7 b - -,d7c6
N4k2/1p3pb1/2b3pp/p4n2/2P2B2/1P3P2/P3r1PP/2R1R2K b - -,e2a2
r2qk2r/1p1bbppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1R1K b kq -,e8g8:a8c8:d8c7
1r6/5k1p/PB2pbpP/5p2/2B5/3R1P2/1P4n1/1K6 b - -,b8b6
r3qr2/3bpnbk/3p2p1/p1pPp2p/1pP2P2/1P3NPP/PB4B1/R2QR1K1 w - -,f4e5
2rq1rn1/1b1n2kp/p4bp1/1pp2p2/5B2/2PB1N1P/PP3PPN/1Q1RR1K1 w - -,d3c2
rnbq1rk1/p2p1ppp/4pn2/bppP4/2P1P3/P1N2P2/1P4PP/R1BQKBNR w KQ -,b2b4
4Q3/pp1N1pk1/2p4b/5p2/8/1KP5/PP6/3q4 w - -,b3c4:b3b4
8/Q3pk1p/3B1bp1/3n4/1p6/7P/P1q2PP1/4R1K1 w - -,a7b7
r1bqrbk1/1p3p2/p2p1np1/3Pn2p/3N1BP1/1PN4P/P4PB1/R2Q1RK1 w - h6,g4g5
8/8/1pb1kp1p/2p1b1P1/2P1P1P1/3BBK2/8/8 b - -,f6g5
1r3rk1/pq1bppbp/2p3p1/B3N3/Q7/4P1P1/PP3PBP/3R1RK1 b - -,g7e5
r5k1/5p1p/3bp1p1/p2p4/b2P4/P2NP2P/5PP1/R1R3K1 b - -,a4b3
6k1/pp5p/6p1/3r4/2N3P1/8/PP3bP1/5R1K b - -,f2g3
r5k1/1p3r2/1P4p1/2RN1pP1/3PpPnp/4P1q1/p5P1/R1Q4K w - -,c1g1
r1b2rk1/pp2bppp/1q1p1n2/2p5/4PP2/1PN1BN2/1PP3PP/R2Q1R1K b - -,b6c6
2r5/5p2/4bb2/R1Np1k2/1P1P1p2/2B2K2/5P2/8 b - -,c8h8
2b1r2k/p1p2rb1/1p2n1p1/P3p2q/1PB1Pp1p/2P2PnP/1NQN1BP1/3RR1K1 b - -,f7e7
r1b2r1k/pp1nQpp1/6qp/3p1NB1/3P2PP/P1N2P2/1Pp5/2K4R b - -,f7f6
r2q1rk1/pb1pbppp/1pn1pn2/6B1/3p3P/2PBPN2/PP1NQPP1/R3K2R w KQ -,e3d4
rn2k2r/pp2ppbp/2p1b3/4N1p1/3PP3/5P2/PP1K2PP/R4BNR b kq e3,e8g8
8/8/8/8/8/1pk5/8/2K5 b - -,b3b2
r4rk1/pb3p1p/1p3qp1/3pQ2n/1nP5/2N2NP1/P4PBP/1R1R2K1 b - -,d5d4
r3r1k1/1q3pbp/p5p1/1pR3Bn/1Q6/5N1P/Pn3PP1/2R2BK1 b - -,b2a4
2bk4/p7/2R1p1p1/p2p1pP1/P2P1P2/1P3N1r/2P3K1/8 b - -,h3h7
rq5r/1p1bkp1p/p1n1p3/8/2B1Qp2/5N2/PP3PPP/2RR2K1 b - -,b8c7
3r2k1/pp1r1p1p/2n1pnp1/6q1/2N5/P1Q4P/1P3PP1/1BR1R1K1 b - -,f6d5
r2qr1k1/ppp2pbp/2n3p1/4p3/2NnN1b1/3P1PP1/PP1BP1BP/2RQ1RK1 b - -,g4c8
r3kb1r/pp1n1pp1/1qb1p3/2ppN2p/3P1P2/1P2P3/PBP1Q1PP/RN3RK1 b kq d3,f7f6
3R1bk1/8/p6p/1p4p1/3p4/r4BP1/6KP/6N1 w - -,g1e2
4rrk1/1pp3pn/p2p4/3PppqN/6Pn/2PPP2P/PP2Q1B1/4RRK1 w - -,h5g3
8/pb2r3/1p1RNnpk/5p2/2B2P2/2P1P3/PP2K3/8 w - -,d6d8
3r3k/p4pp1/1pn4p/2p5/3p1B1P/P1P2PP1/1P3P2/3RrK2 w - -,d1e1
r4rk1/1p3pp1/3Ppq1p/1b1pN3/3P1B1P/p4R2/Pn3PP1/RQ4K1 b - -,f6f5
1k1rr3/pp1n2pp/4B3/P2p4/5P1P/B5P1/2N4K/5R2 w - -,c2d4
rn1q1rk1/pp2ppbp/2p2np1/3p4/6b1/1P1P1NP1/PBP1PPBP/RN1Q1RK1 w - -,b1d2
3r1rk1/pbq1ppbp/1pn3pB/2p5/2BPP3/2P5/P2QNPPP/2RR2K1 b - -,e7e5
3r3k/1bR3pp/2R2N1b/pq1pPp2/1p1P3Q/8/PP3PBP/6K1 b - -,b7c6
5rk1/5ppp/1q2r3/p3P3/Pp2QR2/7P/1P4P1/4R2K b - -,h7h6
2r3k1/pbr2p1p/1p2pqpQ/3nN3/3PB3/P2R4/1P3PPP/4R1K1 b - -,f6f4
r2q1rk1/pp1bbppp/2n1pn2/1B1p4/3P1B2/2N1PN2/PP3PPP/R2Q1RK1 w - -,a1c1
r2rn1k1/pp2pp1p/q5p1/P1p1P1B1/Q3P1b1/6P1/1P3PBP/R3R1K1 b - -,a6e6
r1bq1rk1/ppp3bp/3p1pnn/3Pp1p1/1PP1P3/2N2NB1/P3BPPP/2RQ1RK1 b - -,g6f4
2br1rk1/p2q2pp/1p2p3/2P1Rp2/1P3P2/PN5P/4Q1P1/5R1K w - -,f1f3
3r2k1/1bqr1pp1/2p1p2p/ppP5/3P1P2/PPQ2BP1/7P/R2R2K1 w - -,g1f2
r2qk2r/3n1pbp/1pn1p1p1/p1PpP3/P4P2/NPPQBN2/6PP/R4RK1 b kq -,b6c5
2rr2k1/4Rpbp/p4np1/8/1p3P2/8/qPPQ2PP/3N1RBK w - -,d2e2
r2qrbk1/1bpn1p1p/3p1np1/pp1Pp3/4P3/1PP2NNP/P1B2PP1/R1BQR1K1 b - -,c7c6
7q/8/5bk1/3Q1pn1/P2P2p1/4P1P1/5P1r/2R1BK2 b - -,g5e4
r1bq1r1k/pp2b2n/2p1p1Q1/2P1Np2/3P3P/P5P1/1P2RPB1/3R2K1 b - -,d8e8
6k1/p2n1pbp/2p3p1/1p6/3PNBP1/2P5/PP3PP1/5K2 b - -,d7b6
8/8/2pb4/4pk2/PPR5/3K4/3B4/1r6 b - -,b1a1
r4rk1/1bp2pp1/p1nbpn1p/1p1q4/3P4/2PBBNN1/PP1Q1PPP/R4RK1 b - -,d6g3
