8/2R1pk2/8/6pp/5rN1/6K1/5P1P/8 w - -,g4e3
1r4r1/p4p1k/8/5pqP/1p3Q2/4R3/PP6/R6K w - -,f4g5
6k1/5pp1/2p2n1p/2Bp1B2/1Pb3P1/5P1P/3Q3K/q7 b - -,a1f1
r2q1rk1/3b1ppp/p2pn3/1p1Np3/PP2P3/3B4/2P2PPP/R1Q2RK1 w - -,a4b5
2r2k2/5p1p/1pr1b1p1/p2pR3/3B1P2/2P4P/PP4P1/4R1K1 b - -,h7h5
1rbq1rk1/pp2ppbp/2np1np1/2p5/2P5/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,a7a6
1rbqk1nr/pp3pbp/3p2p1/2p1p3/3nP3/3PB1P1/PPPQ1PBP/R2NK1NR w KQk e6,c2c3
6k1/2p2ppp/8/p7/Pb3qP1/7P/1P2BB2/R5K1 b - -,f4e5
7k/p5rp/2Q1b3/5p2/1P3P2/4p2P/q1N4K/8 w - -,h3h4
rnbqk2r/1p2bppp/p1p1pn2/2Pp4/3P4/2N1PN2/PPQ2PPP/R1B1KB1R b KQkq -,b8d7
4Q3/5pk1/3q2pp/p1pp4/P7/1PP3P1/5P1P/6K1 w - -,e8b5
rn1qkb1r/pp2pp1b/2p2n1p/3p2p1/3P2P1/2N2P2/PPP1PB1P/R2QKBNR w KQkq -,h2h4
8/5b1p/1Pk2Pp1/B3K1P1/P7/6P1/7P/8 b - -,f7b3
8/6k1/2r2ppp/3N4/4PN2/5PK1/8/8 w - -,f4e2
r1b2rk1/ppp2ppp/3qn3/3N4/2B1P3/3QB2P/P1P2RP1/5RK1 w - -,c4b3
2kr1b1r/p1ppqp1p/b1p5/3nP1p1/2P5/1P6/PB1NQPPP/R3KB1R b KQ -,f8g7
4r3/1bq3kp/p3r1p1/1ppn1p2/8/1PP4Q/1PN1NPPP/3RR1K1 w - -,g1f1
5r1k/pp2n1p1/5q1p/5P2/1P1p1NP1/P7/3Q3P/4R1K1 b - -,h8g8
3r2k1/pr4pp/2R2p2/3p4/3P2b1/1P3P2/P2N2PP/4R1K1 b - -,g4f5
r1q1kb1r/1p3ppp/p4n2/5bN1/1n1pN3/8/PP2BPPP/RQBR2K1 w kq -,d1d4
5rk1/3qpnb1/p5pp/1pPr4/3NN2P/2P1Q3/PP4P1/1K2RR2 b - -,b5b4
r2qr1k1/pp3pp1/P4n1p/3p1b2/2nPp3/2P2PP1/4PNBP/R1BQ1RK1 b - -,b7b6
r2q1rk1/5pbp/p3p3/1p4P1/2pNb3/P3B3/1PP1Q1PP/3R1RK1 b - -,d8e7
1r4k1/5pp1/4p3/8/P2R1P1p/6nP/6PK/2R5 b - -,g3e2
1r6/p5R1/4k2p/2p5/B4R2/3n4/1P3P1P/1K6 w - -,f4f3
r5k1/p1pn1q1r/1p1p1p2/4pNpp/2PPP3/2P2PP1/P3Q1P1/3RR1K1 b - -,a8e8
2kr4/1b3pp1/pn2p3/1p6/7r/PP1B1P2/2P1N1P1/3RR1K1 b - -,c8b8
r1bq1rk1/pp2ppbp/5np1/3p4/1P1P4/1B2PN2/P4PPP/R1BQ1RK1 w - -,f3e5
r1q1r3/pp2nk2/2n3p1/3N1b1p/3P4/7P/PPP1QPB1/R1B1K2R w KQ -,c1e3
r3r1k1/4qpp1/3p3p/1p2p3/2pPP1Q1/2P1P2P/1P4PK/R4R2 b - -,a8a1
r1bqkb1r/1p3p1p/p2ppnp1/4n3/2PNP3/2N3P1/PP3PBP/R1BQ1RK1 w kq -,f2f4
3rr2k/pQp3p1/7p/2P5/3qP3/P2p2P1/5RKP/3R4 w - -,b7c7
r4r2/p1pqnpbk/1pn3pp/4p3/2N1P3/P1QP1NP1/1P3PKP/R1BR4 b - -,d7e6
r1bqr1k1/2p2pp1/2pp1n1p/p3p3/P3P3/2PP1N2/2P2PPP/1RBQ1RK1 w - -,f1e1
3rb1k1/p1q2ppn/2p1p3/4N3/3r2PQ/4R3/PPP2P1P/4R1K1 w - -,e3h3
2bqr1k1/1pn2pbp/2p3p1/4p3/1P6/3PPN1P/1BQ2PP1/1R3BK1 b - -,c8f5
6k1/8/5Rp1/2p5/2Pb2K1/p2P4/8/8 w - -,f6g6
r4rk1/pbp2pbp/1p1q2p1/3N4/2Pn1N2/1Q6/PP2B1PP/3R1RK1 w - -,d1d4
3r2k1/pppqnrb1/2npb1pp/4p3/1P2P3/2P2NPP/PB1NQPBK/3R1R2 b - -,e6a2
r7/P3rkp1/8/5pKp/R7/4B1P1/5P2/8 w - -,g5h5
q3rb1k/5ppp/p2p4/1p1PpPP1/1P1n3P/4Q2B/PP6/1K1R3R w - -,e3e4
2B2b2/8/5p1p/2k1p1pP/Kp2P1P1/5n2/8/2B5 b - -,c5d4
2r3k1/4n1p1/p3p2p/P1prPp2/1p1p1P2/1P1P1NP1/2R4P/2R3K1 b - -,g7g5
8/6pk/8/8/3P4/4R3/7P/2r4K w - -,h1g2
2r2rk1/1p1n1pbp/p2p2p1/P2P4/R1p1P1nq/8/1PQB1PPP/3NRBK1 w - -,h2h3
r2qk2r/pp2ppbp/2npbnp1/2p5/2P5/P1NPP1P1/1P2NPBP/R1BQK2R b KQkq -,e8g8
8/p4k2/1p5p/1Pp1b2P/2P1BpR1/3P1K2/5P2/5r2 w - -,f3g2
8/8/6p1/5k1p/n6P/P4K2/4N1P1/8 b - -,f5e5
r1bqk2r/pp1pppbp/2n2np1/1B6/3PP3/2N2N2/PP3PPP/R1BQK2R b KQkq -,d7d5
1qr3k1/5p1p/1pb1pp2/2p5/2P5/PQN1P2P/3RBPPb/7K b - -,h2c7
2r1kb1r/p3pppp/2p2n2/3p4/2BP4/2P1BN2/PP3PPP/R3K2R b KQk -,d5c4
1r3bk1/1r3p2/b1p1pBpp/p1PpP3/Nq1p1PPQ/1P1P3R/P1R4P/6K1 w - -,h4h6
r1bqr1k1/pppn1pbp/3p1np1/8/2PP4/2N2N1P/PPQ1BPP1/R1B2RK1 b - -,d7f8
2rq1rk1/pp1n1ppp/2p5/2b2p1P/2PP2n1/1P2p3/PBQNBP2/R3K2R w KQ -,f2e3
3r1b2/3r1p1k/p2P2p1/2PQ3p/1P2p1q1/2BbN3/R4PP1/4R1K1 b - -,g4h4
r7/6k1/1R2b1p1/2p1p3/p1n1P3/2b1R1P1/5PK1/8 w - -,e3c3
3r1bk1/6pp/1p3p2/pP1bPP2/P2P4/2RNB3/4K2P/8 b - -,d5e4
r2q1rk1/pp2ppbp/1n4p1/3Pp3/8/1QN1BP2/PP3P1P/R2R2K1 w - -,c3e4
8/p2rbp2/2p1p1p1/3r3p/2pP1P1P/PkP3P1/1PRR1B2/3K4 w - -,f2e3
rn3rk1/ppp3pp/4qp2/4N3/3P4/8/PPPQ2PP/R4RK1 w - -,e5d3
r1b1kbnr/2qp1ppp/p1N1p3/1p6/4P3/2NBB3/PPP2PPP/R2QK2R b KQkq -,c7c6:d7c6
7k/6p1/8/4pp2/1P5p/R3P1nP/P1r2P2/3b2K1 w - -,e3e4
r7/8/1kp1q1p1/p4p2/PPR5/2Q1P3/4KP2/8 w - -,c3d4
8/8/R7/pkp1p3/8/8/1K6/4r3 w - -,a6a8
r1r3k1/pb2q1p1/2p1pn1p/QpP1Np2/3P1P2/6P1/PP4BP/2R2RK1 w - -,a2a4
1r1q3k/5p2/4b1p1/p3P2N/3P3b/P2Q4/6PP/R6K w - -,h5f4
8/3rk3/br2ppp1/R7/2p1P2p/5P2/1PR1N1PP/4K3 w - -,g2g3
5k2/p4p2/8/4p3/4P3/2PrN1P1/4bPKP/R7 b - -,d3c3
r3kb1r/1bq2ppp/p1p2n2/1p2pP2/P3P3/3BB3/1PPN2PP/R2Q1RK1 b kq -,f8e7
r4bk1/3R1ppp/4p3/pp2N3/8/7P/5PP1/5K2 w - -,e5f7
1r3rk1/2qn1p1p/4p3/p1p2p2/2Pp4/1P1Q2P1/P3RPBP/4R1K1 w - -,g2h3
2k4r/ppn5/2b2qp1/3pQ2p/3P4/P1N2N1P/1P3PP1/4R1K1 b - -,f6e5
r2q1rk1/pb3pbp/np2p1p1/2pP4/3P4/1Pn2NP1/PB3PBP/R2QR1K1 w - -,b2c3
r1bqr1k1/pppnbppp/4pn2/3p2B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1d3
r7/2RK2k1/4P3/8/8/8/8/8 w - -,d7e7
r1bqk2r/p1ppnpbp/2p3p1/8/2P5/2N3P1/PP2PPBP/R1BQK2R b KQkq -,e8g8
3r4/1p1r1kp1/p1pbpn1p/P4p2/1PPP1P1P/3R1KP1/3B1N2/3R4 b - -,d6e7
6rk/p3p3/1p1q3p/2p2p2/3p1Prb/1P1P2P1/P1P1R2Q/4BK2 b - -,h4g3
7k/1p4R1/4N1p1/1P2P3/5P2/2b3PK/4r2P/q7 w - -,g7b7
4rrk1/1p4bp/p2q2p1/2B1n3/Pp2PN2/6P1/2Q4P/1R3R1K b - -,d6c6
8/p1p5/8/1p1k4/6r1/P1P5/1K6/8 w - -,b2b3
rq3k2/1Q2R2p/pp1P4/5p2/P7/2N4P/1P4P1/6K1 w - -,e7h7
8/1p2rpk1/6rp/1PR2R2/4P1p1/5P2/5K2/8 b - -,e7d7
rn1qkb1r/pp3p2/2p1p1pn/3pP2p/3P1P2/2N1BQ1P/PPP3P1/R3KB1R b KQkq -,h5h4
