3R2rk/5R2/7P/p5r1/6PK/2P2P2/8/8 w - -,d8g8
r6k/4ppq1/P2p3p/3Pn1p1/2p1P3/1r4PP/4QPBK/RR6 w - -,b1b3
rnbq1rk1/1pp2ppp/3p1n2/p3p3/1PP5/P1Q2NP1/1B1PPP1P/R3KB1R b KQ -,a5b4
8/5k2/p5p1/8/2pB1PPp/5K1P/P6b/8 b - -,h2g3
4r3/3k3p/p7/1p6/P4P2/1B4P1/1PPK3P/8 b - a3,d7d6
r1bqk2r/pp2bpp1/3p1nn1/2pPp2p/2P1P2P/2N2NP1/PP2BP2/R1BQK2R b KQkq -,c8d7
8/1K5p/3k2p1/3p4/3P1P1P/5PPb/8/3B4 b - -,d6d7
r2qkb1r/4nppp/p1p1p3/2BpPb2/5P2/1P6/P1P3PP/RN1QK1NR w KQkq -,g1f3
2Q2bk1/pp3p1p/4np2/8/8/1P6/P2N1PPP/4qNK1 w - -,c8b7
2rq1rk1/pp1bppbp/3p1np1/8/3nP1P1/1BN1BP2/PPPQ3P/R3K2R w KQ -,e3d4
2b3k1/2r1q2p/p1P1p1p1/1p1p2P1/1P1P1QN1/4P2P/8/5RK1 b - -,c7c6
r1bqr1k1/ppp2pbp/3n2p1/3Pp3/8/BPN1P1P1/P4PBP/2RQ1RK1 b - -,c8d7
rnbqkb1r/pp3ppp/2pp1n2/4p3/3PP3/5P2/PPP1N1PP/RNBQKB1R w KQkq -,b1c3
1r6/4P3/5kN1/8/1PN5/1K4p1/8/8 w - -,g6f4
1r2r3/1p1k2n1/p1pPp2p/2P2pp1/2BP4/4P2P/1P2KPP1/R6R w - -,f2f4
rn2q2k/1b3rpp/3p4/p1p2p1N/4n1P1/1P2P3/PB3PBP/2RQ1RK1 b - -,e8d7
rn1q1rk1/pb1p1pbp/1p3np1/2pp4/2P2B1N/2N3P1/PP2PPBP/R2Q1RK1 b - -,b8a6
1r5r/3bqkb1/3p4/1ppP1npp/4pP2/N3P1PP/1P2Q1BK/1RBR4 w - -,c1d2
1r3rk1/2qbppbp/p2p1np1/8/1PP1P1P1/2N4P/3BQPB1/1R2K2R w K -,g4g5
1r1q1r2/pp1b1pk1/n1pNp1Pp/P1P5/2R5/5RP1/1P2QP2/1B4K1 b - -,f7f5
4kb1r/pp1b2pp/5p2/3Pp1B1/5P2/2P5/P1P3PP/2K2B1R w k -,g5h4
r1bq1rk1/pp1nppbp/2n3p1/8/8/N1PBBN2/PP3PPP/R2Q1RK1 w - -,d3e4
1r6/1p1rnp2/p5pp/3pk3/3N2PP/1P2PK2/P1R2P2/2R5 w - -,f3e2
6k1/1pp3pp/p4p2/8/2P2B2/5KP1/2r5/4R3 b - -,c2c3
4k3/5p2/2p2K2/2Pp2P1/8/4P3/8/8 w - -,g5g6
5Q2/2r2p1p/P1b2qpk/3p4/3N4/2P3P1/1P3P2/5BK1 b - -,f6g7
2rq1rk1/1p4bp/3p2p1/5b2/PpP1pP2/1P2B3/3Q2PP/3RKB1R b K -,g7c3
1rbqr1k1/3n1pbp/1n1p2p1/p1pP4/4PP2/2N3PP/1P1N2B1/R1BQ1RK1 w - -,g1h2
5rk1/1R3pp1/4pb2/7p/1p6/8/PPN2PPP/5K2 b - -,f8a8
8/8/5k2/8/2pK1Pbp/8/6B1/8 b - -,f6f5
2r3k1/p4p1p/1p1p2p1/5n2/4RP2/3Q2P1/P6P/3q1BK1 b - -,c8c1
4q1k1/3n1r1p/1pr2p2/p2NpQ2/2Pp1P2/PP3R2/6PP/4R1K1 w - -,f5h5
8/8/8/1np5/pk6/2N5/1K6/8 w - -,c3d5
8/8/pPp5/P7/8/3Kpk1p/7P/8 b - -,e3e2
2r3k1/5pp1/r3p1p1/3p4/Pp1PnP2/1B2P3/1P2K2P/R6R b - -,a6c6
r1r5/p3kpp1/2pnb2p/3p4/Np1P4/1P1BP3/P3KPPP/R1R5 w - -,a2a3
k7/2r2p2/p1P1p1p1/4P2p/1P3P1P/P3B1P1/4K3/8 w - -,e3c5
5rk1/1b3pb1/1N4pp/2B1p1qn/Q1BnP3/5P2/R5PP/5RK1 b - -,f8b8
r4k1r/p2R1p1p/1p2p1p1/2q5/Q1P3P1/8/PP3P1P/3R2K1 b - -,f8g7
r7/pp2rpk1/3qnnpp/3p4/3Pp2P/1QP3PB/PP3PK1/R1B2R2 w - -,a2a4
rn1q1rk1/5pbp/2p1pnp1/1p6/3P4/1QN2N2/PP3PPP/R1B1R1K1 w - -,c1g5
8/8/1p1R1p2/1r3p1p/5P2/2P2k2/2PK3P/8 b - -,f3f4
5r2/2P2qbk/2p2npp/p7/P3p3/2N3Pb/2Q1PPNP/2B2RK1 w - -,c1f4
r3qrk1/1ppbp1bp/n2p1np1/p4p2/2PP4/PPN3P1/1B1NPPBP/R2Q1RK1 b - -,a8b8
2rn2k1/pp1b2b1/3N2pp/4P3/7q/1P1P1R2/PB3K2/1R1Q4 w - -,f2e3
r1b2rk1/pp1q2bp/2p1p1p1/3p4/2PP4/1Q2PB1P/PP4P1/R1B2RK1 b - -,b7b6
8/4p3/6pk/3Pp2p/2N4P/2r5/4BKP1/8 w - -,c4e5
b4rk1/3nqppp/2pb1n2/4p1N1/1p1PN3/1B2P2P/1PQB1PP1/5RK1 b - -,f6e4
6k1/2q2pp1/2rb1n2/1Q1pp2p/Np6/1P2PPP1/PB1R3P/3K4 b - -,c7c8
1r2rn1k/pb3q2/4pb2/2p1p1Np/3pN2P/P2B2RQ/5PP1/2R1K3 b - -,f6g5
r1b3k1/6p1/2P3q1/1B1p1p2/4pP2/4P1P1/3Q2K1/2R5 b - -,c8e6
2r1r1k1/pp1bqppp/2p1p1n1/3pP3/2PP4/bP1B1N2/PBQ2PPP/R4RK1 w - -,b2a3
rnbqk2r/pp2bppp/2p1p3/8/2BP4/2P2Q2/P1PB1PPP/R3K1NR w KQkq -,g1e2
r1b2rk1/1pp2p1p/2n1pqp1/P4n2/P2P4/2QBPN2/1B3PPP/R4RK1 b - -,a8a5
r4rk1/1p2b1pp/2pppn2/p5B1/Pq2P3/2NQ3P/1PP2PP1/R3R1K1 b - -,d6d5
r7/2p3bk/4p2p/3p1ppP/3P4/2PKP3/pr3PP1/R3NR2 w - -,e1c2
8/8/1kp1P3/p3q3/Pb1N4/2p1P1rP/5QP1/2R3K1 w - -,e6e7
r3k2r/p1pbqpp1/1pn2n1p/2p1p3/P1B1P3/2PPBN1P/1P3PP1/R2Q1RK1 b kq -,a8d8
rn1q1rk1/pbppbppp/1p3n2/3p4/2P4N/6P1/PP2PPBP/RNBQ1RK1 b - -,c7c6:b8a6:f8e8:f6e4
r3k2r/2qbbppp/p1nppn2/1p6/4P1P1/1NN1BP2/PPPQ3P/2KR1B1R w kq -,g4g5
3k3r/1p2pp2/p1rp1n1p/8/3PPP2/P2K2B1/1P3P2/R6R w - -,d4d5
2N5/3k2p1/2n2pp1/2P1p3/2K4P/6P1/5P2/8 w - -,c8b6
3r1r2/1p2bppk/pq2n2p/3pP3/3N4/1P2P3/PB2Q1PP/3R1RK1 w - -,e2h5
rnbqkb1r/pppp1ppp/1n2p3/4P3/3P4/1B6/PPP2PPP/RNBQK1NR b KQkq -,d7d5
8/4kp2/6p1/2NR2P1/2r2K2/6P1/5P2/8 w - -,f4e5
4rr1k/2pn2p1/p1n1q2p/1p1bpp2/8/2PPQN1P/PPBN1PP1/4RRK1 w - -,c2b3
r1b2rk1/1pp1q1bp/3p4/p1nPpp1n/2P2P2/P1N1B3/1PBQN1PP/R4RK1 b - -,b7b6
r3r1k1/1p3p1p/p1n3p1/8/6R1/2B5/PP3PPP/3R2K1 b - -,a8d8
r5k1/p2q1pb1/bp2p1np/2p1P1p1/2N2P2/1Q1PB1P1/PP5P/R4RK1 b - f3,g5f4
8/3k4/R2p2b1/p3p1Bp/2p4P/2P5/r1PK4/8 w - -,d2e3
1rk4r/2pnp3/7p/2pQp1p1/4Nq2/3P2R1/4PP1P/3RK3 w - -,d1a1
rnbqkb1r/1p2pp1p/1n4p1/pBp5/P2P4/2N5/1P3PPP/R1BQK1NR b KQkq -,b6d7
r2qr2k/pp2b3/1np1b1Q1/3ppP2/3P2P1/2N1P2P/PP6/4RRK1 w - -,g6h6
r5k1/pb1qrpp1/1pp2n2/3p3p/1Q1P4/P3P1P1/1P2NPBP/2RR2K1 b - -,h5h4
8/8/8/3k2pp/1P2p3/4K2P/8/8 w - -,b4b5
8/8/8/8/8/8/r5k1/4Kn2 b - -,g2f3
2r1kb1r/1bqp1pp1/p3pn2/1p6/4PP1p/P1NBB2P/1PP2QP1/R4RK1 w k -,e4e5
3r1bk1/1rq3pp/ppb1pn2/2p2B2/P1P2P2/2NP3P/2QN2P1/BR3RK1 b - -,e6f5
rn2r1k1/p5b1/2pq1nNp/1p2Npp1/P4P2/3P2P1/1B4KP/1R1Q1R2 b - -,f6d5
r4rk1/1pnq3p/p4pb1/2ppP1Q1/8/2P3R1/PP3PPP/RN4K1 w - -,e5f6
1r1r2k1/5pp1/3pb2p/pNq1p1b1/Pp2P3/1B3Q2/1PP2PPP/3R1RK1 b - -,d8d7
r2qr1k1/pp2bbpp/2p1p1n1/3nP3/8/1N3NP1/PP1B1P1P/2RQRBK1 w - -,f3d4
3r2k1/p2r3p/1p3pp1/4p3/1NPb4/1P6/P4PPP/3RR1K1 w - -,b4d5
